Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
08:56,,,,,"SUB IN by JOHNSON,MICAH",,,"SUB IN by JOHNSON,MICAH",1
08:56,,,,,"SUB OUT by GRIDLEY,ISAAC",,,"SUB OUT by GRIDLEY,ISAAC",1
08:56,,,,,"SUB OUT by JONES,DREW",,,"SUB OUT by JONES,DREW",1
08:56,,,,,"SUB OUT by SOWADA,COLLIN",,,"SUB OUT by SOWADA,COLLIN",1
08:48,,,,,"MISS LAYUP by COSTAS,RILEY",,,"MISS LAYUP by COSTAS,RILEY",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
08:42,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
08:30,,,,,"MISS LAYUP by JOHNSON,MICAH",,,"MISS LAYUP by JOHNSON,MICAH",1
--,,,,,"REBOUND OFF by JOHNSON,MICAH",,,"REBOUND OFF by JOHNSON,MICAH",1
08:23,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
08:08,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",1
08:02,,,,,"TURNOVER  by HAYNES,CALEB",,,"TURNOVER  by HAYNES,CALEB",1
07:56,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
07:44,,,,,"MISS LAYUP by JOHNSON,MICAH",,,"MISS LAYUP by JOHNSON,MICAH",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
07:40,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
07:40,,,,,"STEAL  by ESTES,DJ",,,"STEAL  by ESTES,DJ",1
07:40,,10 (+1),,9,"GOOD FT by HAYNES,CALEB",Berry 10-9 (+1),,"GOOD FT by HAYNES,CALEB",1
07:28,,10,,11 (+1),"GOOD LAYUP by HAYNES,CALEB(in the paint)",Berry 10-11 (-1),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
07:23,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
07:22,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
07:19,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
--,"REBOUND OFF by BECKER,SAXTON",,,,,,,"REBOUND OFF by BECKER,SAXTON",1
07:15,"GOOD LAYUP by BECKER,SAXTON(in the paint)",12 (+1),,11,,Mill 12-11 (+1),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
07:10,,,,,"MISS LAYUP by HAYNES,CALEB",,,"MISS LAYUP by HAYNES,CALEB",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
07:04,"GOOD LAYUP by YOUNG,DILLON(fastbreak)(in the paint)",14 (+3),,11,,Mill 14-11 (+3),,"GOOD LAYUP by YOUNG,DILLON(fastbreak)(in the paint)",1
--,"ASSIST  by TULLOS,ZACHARY",,,,,,,"ASSIST  by TULLOS,ZACHARY",1
06:43,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
06:35,"MISS JUMPER by YOUNG,DILLON",,,,,,,"MISS JUMPER by YOUNG,DILLON",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
06:16,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
06:16,,14 (+2),,12,"GOOD FT by HAYNES,CALEB",Berry 14-12 (+2),,"GOOD FT by HAYNES,CALEB",1
06:16,,,,,"MISS FT by HAYNES,CALEB",,,"MISS FT by HAYNES,CALEB",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
06:13,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",1
06:13,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
06:13,,,,,"SUB IN by WEHUNT,DAWSON",,,"SUB IN by WEHUNT,DAWSON",1
06:13,,,,,"SUB OUT by ESTES,DJ",,,"SUB OUT by ESTES,DJ",1
06:08,,,,,"SUB IN by JONES,DREW",,,"SUB IN by JONES,DREW",1
06:08,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
05:58,"GOOD 3PTR by BECKER,SAXTON",17 (+5),,12,,Mill 17-12 (+5),,"GOOD 3PTR by BECKER,SAXTON",1
--,"ASSIST  by GRANT,SHE'CHEM",,,,,,,"ASSIST  by GRANT,SHE'CHEM",1
05:30,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
05:30,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
05:30,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
05:30,,,,,"SUB IN by MBENOUN,ROB",,,"SUB IN by MBENOUN,ROB",1
05:30,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
05:25,,,,,"MISS JUMPER by JONES,DREW",,,"MISS JUMPER by JONES,DREW",1
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",1
05:16,,17 (+3),,14,"GOOD LAYUP by JONES,DREW(in the paint)",Berry 17-14 (+3),,"GOOD LAYUP by JONES,DREW(in the paint)",1
05:07,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by JONES,DREW",,,"REBOUND DEF by JONES,DREW",1
04:57,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",1
04:57,,17 (+2),,15,"GOOD FT by JOHNSON,MICAH",Berry 17-15 (+2),,"GOOD FT by JOHNSON,MICAH",1
04:57,,17 (+1),,16,"GOOD FT by JOHNSON,MICAH",Berry 17-16 (+1),,"GOOD FT by JOHNSON,MICAH",1
04:57,,,,,"SUB IN by FALCONER,TREY",,,"SUB IN by FALCONER,TREY",1
04:57,,,,,"SUB OUT by MBENOUN,ROB",,,"SUB OUT by MBENOUN,ROB",1
04:34,,,,,"FOUL  by JOHNSON,MICAH",,,"FOUL  by JOHNSON,MICAH",1
04:34,"MISS FT by BECKER,SAXTON",,,,,,,"MISS FT by BECKER,SAXTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:34,"MISS FT by BECKER,SAXTON",,,,,,,"MISS FT by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by JOHNSON,MICAH",,,"REBOUND DEF by JOHNSON,MICAH",1
04:30,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
04:30,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
04:20,,17,,18 (+1),"GOOD LAYUP by JOHNSON,MICAH(in the paint)",Berry 17-18 (-1),,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",1
03:52,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",1
03:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:46,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
03:46,"SUB OUT by YOUNG,DILLON",,,,,,,"SUB OUT by YOUNG,DILLON",1
03:37,,,,,"MISS JUMPER by HAYNES,CALEB",,,"MISS JUMPER by HAYNES,CALEB",1
--,,,,,"REBOUND OFF by JONES,DREW",,,"REBOUND OFF by JONES,DREW",1
03:27,,17,,20 (+3),"GOOD LAYUP by JONES,DREW(in the paint)",Berry 17-20 (-3),,"GOOD LAYUP by JONES,DREW(in the paint)",1
03:21,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",1
03:21,,,,,"STEAL  by HAYNES,CALEB",,,"STEAL  by HAYNES,CALEB",1
03:08,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",1
03:00,"GOOD 3PTR by JENKINS,KALEB",20,,20,,Mill 20-20 (0),,"GOOD 3PTR by JENKINS,KALEB",1
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",1
02:56,,20,,21 (+1),"GOOD FT by JOHNSON,MICAH",Berry 20-21 (-1),,"GOOD FT by JOHNSON,MICAH",1
02:56,,,,,"MISS FT by JOHNSON,MICAH",,,"MISS FT by JOHNSON,MICAH",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
02:56,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
02:56,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
02:56,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
02:56,,,,,"SUB OUT by FALCONER,TREY",,,"SUB OUT by FALCONER,TREY",1
