Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
15:26,,5,,10 (+5),"GOOD JUMPER by JENKINS,KALEB(fastbreak)",Mill 5-10 (+5),,"GOOD JUMPER by JENKINS,KALEB(fastbreak)",1
15:03,"MISS 3PTR by COOKS,BROSNAN",,,,,,,"MISS 3PTR by COOKS,BROSNAN",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
14:45,,5,,12 (+7),"GOOD DUNK by SPIKES,KALVIN(in the paint)",Mill 5-12 (+7),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
14:27,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
14:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:27,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
14:27,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
14:27,"MISS FT by COOKS,BROSNAN",,,,,,,"MISS FT by COOKS,BROSNAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:27,"GOOD FT by COOKS,BROSNAN",6,,12 (+6),,BU 6-12 (+6),,"GOOD FT by COOKS,BROSNAN",1
14:06,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
14:06,"STEAL  by ROBERTS,JOSHUA",,,,,,,"STEAL  by ROBERTS,JOSHUA",1
13:57,"MISS LAYUP by JONES,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by JONES,JUSTIN(in the paint)",1
--,"REBOUND OFF by COOKS,BROSNAN",,,,,,,"REBOUND OFF by COOKS,BROSNAN",1
13:53,"MISS LAYUP by COOKS,BROSNAN(in the paint)",,,,,,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",1
--,"REBOUND OFF by JONES,JUSTIN",,,,,,,"REBOUND OFF by JONES,JUSTIN",1
13:49,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",1
13:49,"TURNOVER  by JONES,JUSTIN",,,,,,,"TURNOVER  by JONES,JUSTIN",1
13:49,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
13:49,"SUB IN by DUPREE,RYAN",,,,,,,"SUB IN by DUPREE,RYAN",1
13:25,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
13:20,,6,,14 (+8),"GOOD DUNK by TULLOS,ZACHARY(in the paint)",Mill 6-14 (+8),,"GOOD DUNK by TULLOS,ZACHARY(in the paint)",1
13:06,"GOOD LAYUP by JAMES,TRAI(in the paint)",8,,14 (+6),,BU 8-14 (+6),,"GOOD LAYUP by JAMES,TRAI(in the paint)",1
12:49,,8,,16 (+8),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",Mill 8-16 (+8),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
12:32,"MISS LAYUP by COOKS,BROSNAN(in the paint)",,,,,,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",1
12:32,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:25,"GOOD 3PTR by ROBERTS,JOSHUA",11,,16 (+5),,BU 11-16 (+5),,"GOOD 3PTR by ROBERTS,JOSHUA",1
