Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
10:45,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",2
10:44,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
10:42,,69 (+34),,35,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEE 69-35 (-34),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
10:33,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",71 (+36),,35,,BSC 71-35 (-36),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
10:04,,71 (+34),,37,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",SEWANEE 71-37 (-34),,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",2
09:57,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
09:33,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
09:08,"MISS JUMPER by HENRY,COLIN",,,,,,,"MISS JUMPER by HENRY,COLIN",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
09:00,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
08:48,,71 (+32),,39,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEWANEE 71-39 (-32),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
08:32,"GOOD LAYUP by MURPHY,NICK(in the paint)",73 (+34),,39,,BSC 73-39 (-34),,"GOOD LAYUP by MURPHY,NICK(in the paint)",2
08:02,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
07:43,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",2
07:43,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
07:40,"FOUL TECH by MURPHY,NICK",,,,,,,"FOUL TECH by MURPHY,NICK",2
07:40,,73 (+33),,40,"GOOD FT by BRYANT,VALENTINO",SEWANEE 73-40 (-33),,"GOOD FT by BRYANT,VALENTINO",2
07:40,,73 (+32),,41,"GOOD FT by BRYANT,VALENTINO",SEWANEE 73-41 (-32),,"GOOD FT by BRYANT,VALENTINO",2
07:36,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
07:35,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
07:31,,73 (+29),,44,"GOOD 3PTR by BROWN,TYLER",SEWANEE 73-44 (-29),,"GOOD 3PTR by BROWN,TYLER",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
07:15,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
06:40,"GOOD LAYUP by THOMAS,LARRY(in the paint)",75 (+31),,44,,BSC 75-44 (-31),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
06:31,,75 (+29),,46,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 75-46 (-29),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
06:08,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
06:08,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
06:00,,75 (+26),,49,"GOOD 3PTR by BROWN,TYLER",SEWANEE 75-49 (-26),,"GOOD 3PTR by BROWN,TYLER",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
05:47,"GOOD LAYUP by LEE,CALEB(in the paint)",77 (+28),,49,,BSC 77-49 (-28),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
05:28,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
05:13,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",2
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",2
05:03,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
05:03,"GOOD FT by LEE,CALEB",78 (+29),,49,,BSC 78-49 (-29),,"GOOD FT by LEE,CALEB",2
05:03,"GOOD FT by LEE,CALEB",79 (+30),,49,,BSC 79-49 (-30),,"GOOD FT by LEE,CALEB",2
04:49,,79 (+28),,51,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEWANEE 79-51 (-28),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
04:09,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
04:06,"GOOD JUMPER by THOMAS,LARRY(in the paint)",81 (+30),,51,,BSC 81-51 (-30),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",2
03:56,,81 (+28),,53,"GOOD JUMPER by BEVIACQUA,BRYAN",SEWANEE 81-53 (-28),,"GOOD JUMPER by BEVIACQUA,BRYAN",2
03:48,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",83 (+30),,53,,BSC 83-53 (-30),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,"ASSIST  by OLAFSSON,ODDUR",,,,,,,"ASSIST  by OLAFSSON,ODDUR",2
03:41,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:27,"MISS JUMPER by OLAFSSON,ODDUR",,,,,,,"MISS JUMPER by OLAFSSON,ODDUR",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
03:11,,83 (+28),,55,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 83-55 (-28),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
03:03,"MISS 3PTR by OLAFSSON,ODDUR",,,,,,,"MISS 3PTR by OLAFSSON,ODDUR",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
02:50,,83 (+26),,57,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEWANEE 83-57 (-26),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
02:39,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",2
02:38,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",2
02:27,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,,,,,"REBOUND OFF by WILLIAMS,TRENT",,,"REBOUND OFF by WILLIAMS,TRENT",2
02:22,,83 (+24),,59,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",SEWANEE 83-59 (-24),,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",2
02:05,"GOOD 3PTR by JONUS,JASEN",86 (+27),,59,,BSC 86-59 (-27),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by OLAFSSON,ODDUR",,,,,,,"ASSIST  by OLAFSSON,ODDUR",2
02:03,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
02:03,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",2
02:03,"MISS DUNK by FREEMAN,SCHYLAR",,,,,,,"MISS DUNK by FREEMAN,SCHYLAR",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
02:00,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
01:51,"FOUL  by SHELTON,MIGUEL",,,,,,,"FOUL  by SHELTON,MIGUEL",2
01:42,,86 (+26),,60,"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 86-60 (-26),,"GOOD FT by CALDWELL,MARCELLUS",2
01:42,,86 (+25),,61,"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 86-61 (-25),,"GOOD FT by CALDWELL,MARCELLUS",2
01:30,"MISS JUMPER by SHELTON,MIGUEL",,,,,,,"MISS JUMPER by SHELTON,MIGUEL",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
01:18,,86 (+22),,64,"GOOD 3PTR by CALDWELL,MARCELLUS",SEWANEE 86-64 (-22),,"GOOD 3PTR by CALDWELL,MARCELLUS",2
01:07,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",2
01:06,,,,,"STEAL  by MARTIN,SAM",,,"STEAL  by MARTIN,SAM",2
00:33,"FOUL  by OLAFSSON,ODDUR",,,,,,,"FOUL  by OLAFSSON,ODDUR",2
00:26,,86 (+21),,65,"GOOD FT by BEVIACQUA,BRYAN",SEWANEE 86-65 (-21),,"GOOD FT by BEVIACQUA,BRYAN",2
00:19,,,,,"MISS FT by BEVIACQUA,BRYAN",,,"MISS FT by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",2
00:17,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",2
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",2
