Time Remaining,RCMBB12,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
02:58,"GOOD JUMPER by DUNAVANT,JOHN",54 (+3),,51,,RCMBB12 54-51 (-3),,"GOOD JUMPER by DUNAVANT,JOHN",2
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",2
02:44,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",2
02:44,,54 (+2),,52,"GOOD FT by AFFRONTI,LEWIS",SEW 54-52 (-2),,"GOOD FT by AFFRONTI,LEWIS",2
02:44,,54 (+1),,53,"GOOD FT by AFFRONTI,LEWIS",SEW 54-53 (-1),,"GOOD FT by AFFRONTI,LEWIS",2
02:30,"GOOD JUMPER by DUNAVANT,JOHN",56 (+3),,53,,RCMBB12 56-53 (-3),,"GOOD JUMPER by DUNAVANT,JOHN",2
02:13,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",2
02:13,,,,,"MISS FT by BOULDIN,BRETT",,,"MISS FT by BOULDIN,BRETT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:13,,56 (+2),,54,"GOOD FT by BOULDIN,BRETT",SEW 56-54 (-2),,"GOOD FT by BOULDIN,BRETT",2
01:56,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
01:35,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",2
00:59,"TURNOVER  by KILPATRICK,KORY",,,,,,,"TURNOVER  by KILPATRICK,KORY",2
00:59,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",2
00:59,"FOUL  by KILPATRICK,KORY",,,,,,,"FOUL  by KILPATRICK,KORY",2
00:59,,56 (+1),,55,"GOOD FT by BOULDIN,BRETT",SEW 56-55 (-1),,"GOOD FT by BOULDIN,BRETT",2
00:59,,56,,56,"GOOD FT by BOULDIN,BRETT",SEW 56-56 (0),,"GOOD FT by BOULDIN,BRETT",2
00:44,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
00:15,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:04,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:00,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:51,,56,,58 (+2),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEW 56-58 (+2),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",3
--,,,,,"ASSIST  by VEAL,ROBERT",,,"ASSIST  by VEAL,ROBERT",3
04:28,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",3
--,"REBOUND OFF by DUNAVANT,JOHN",,,,,,,"REBOUND OFF by DUNAVANT,JOHN",3
04:17,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",3
03:58,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
03:37,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",58,,58,,RCMBB12 58-58 (0),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",3
03:18,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",3
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",3
02:44,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",3
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",3
02:22,"FOUL  by DUNAVANT,JOHN",,,,,,,"FOUL  by DUNAVANT,JOHN",3
02:22,,,,,"MISS FT by AFFRONTI,LEWIS",,,"MISS FT by AFFRONTI,LEWIS",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
02:22,,,,,"MISS FT by AFFRONTI,LEWIS",,,"MISS FT by AFFRONTI,LEWIS",3
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",3
02:00,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",3
02:00,"GOOD FT by GALOW,ANDREW",59 (+1),,58,,RCMBB12 59-58 (-1),,"GOOD FT by GALOW,ANDREW",3
02:00,"MISS FT by GALOW,ANDREW",,,,,,,"MISS FT by GALOW,ANDREW",3
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",3
01:40,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",3
--,"REBOUND DEF by CHIEN,KEVIN",,,,,,,"REBOUND DEF by CHIEN,KEVIN",3
01:24,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",3
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",3
01:20,"FOUL  by CHIEN,KEVIN",,,,,,,"FOUL  by CHIEN,KEVIN",3
01:20,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
01:20,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",3
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",3
00:41,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",3
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",3
00:21,,59,,60 (+1),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 59-60 (+1),,"GOOD LAYUP by BROWN,TYLER(in the paint)",3
00:10,"GOOD LAYUP by GALOW,ANDREW(in the paint)",61 (+1),,60,,RCMBB12 61-60 (-1),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",3
00:00,,,,,"MISS 3PTR by NELSON,ANVIL",,,"MISS 3PTR by NELSON,ANVIL",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
