Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
17:28,,38,,38,"GOOD 3PTR by STEPHENS,JOE",UDMB 38-38 (0),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by HIGHTOWER,BRAETON",,,"ASSIST  by HIGHTOWER,BRAETON",2
17:05,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
16:49,,38,,40 (+2),"GOOD LAYUP by GILE,CURTIS(in the paint)",UDMB 38-40 (-2),,"GOOD LAYUP by GILE,CURTIS(in the paint)",2
16:31,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",40,,40,,SEW 40-40 (0),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
16:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:06,,,,,"TURNOVER  by BRUFFEY,TANNER",,,"TURNOVER  by BRUFFEY,TANNER",2
16:04,"STEAL  by VEAL,ROBERT",,,,,,,"STEAL  by VEAL,ROBERT",2
15:37,"MISS 3PTR by BEVIACQUA,BRYAN",,,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND DEF by HIGHTOWER,BRAETON",,,"REBOUND DEF by HIGHTOWER,BRAETON",2
15:31,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
15:28,,40,,42 (+2),"GOOD LAYUP by GILE,CURTIS(in the paint)",UDMB 40-42 (-2),,"GOOD LAYUP by GILE,CURTIS(in the paint)",2
--,,,,,"ASSIST  by BRUFFEY,TANNER",,,"ASSIST  by BRUFFEY,TANNER",2
15:12,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
15:10,,,,,"STEAL  by BRUFFEY,TANNER",,,"STEAL  by BRUFFEY,TANNER",2
15:08,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
15:08,,,,,"MISS FT by BRUFFEY,TANNER",,,"MISS FT by BRUFFEY,TANNER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:08,,40,,43 (+3),"GOOD FT by BRUFFEY,TANNER",UDMB 40-43 (-3),,"GOOD FT by BRUFFEY,TANNER",2
14:59,,,,,"MISS LAYUP by STEPHENS,JOE",,,"MISS LAYUP by STEPHENS,JOE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:52,,,,,"MISS 3PTR by BRUFFEY,TANNER",,,"MISS 3PTR by BRUFFEY,TANNER",2
--,,,,,"REBOUND OFF by STEPHENS,JOE",,,"REBOUND OFF by STEPHENS,JOE",2
14:25,,40,,45 (+5),"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",UDMB 40-45 (-5),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",2
14:25,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
14:25,,40,,46 (+6),"GOOD FT by BRUFFEY,TANNER",UDMB 40-46 (-6),,"GOOD FT by BRUFFEY,TANNER",2
14:00,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:58,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
13:45,,,,,"MISS 3PTR by STEPHENS,JOE",,,"MISS 3PTR by STEPHENS,JOE",2
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",2
13:25,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
13:15,,40,,49 (+9),"GOOD 3PTR by STEPHENS,JOE",UDMB 40-49 (-9),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by GILE,CURTIS",,,"ASSIST  by GILE,CURTIS",2
13:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:02,,,,,"FOUL  by STEPHENS,JOE",,,"FOUL  by STEPHENS,JOE",2
13:02,"MISS FT by MARTIN,SAM",,,,,,,"MISS FT by MARTIN,SAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:02,"MISS FT by MARTIN,SAM",,,,,,,"MISS FT by MARTIN,SAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:58,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",2
12:40,,,,,"FOUL  by BRUFFEY,TANNER",,,"FOUL  by BRUFFEY,TANNER",2
12:40,,,,,"TURNOVER  by BRUFFEY,TANNER",,,"TURNOVER  by BRUFFEY,TANNER",2
12:22,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by GILE,CURTIS",,,"REBOUND DEF by GILE,CURTIS",2
12:06,,40,,51 (+11),"GOOD LAYUP by GILE,CURTIS(in the paint)",UDMB 40-51 (-11),,"GOOD LAYUP by GILE,CURTIS(in the paint)",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
11:41,"GOOD 3PTR by BROWN,TYLER",43,,51 (+8),,SEW 43-51 (-8),,"GOOD 3PTR by BROWN,TYLER",2
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",2
11:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:21,,,,,"MISS JUMPER by BRUFFEY,TANNER",,,"MISS JUMPER by BRUFFEY,TANNER",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
10:57,"GOOD LAYUP by BROWN,TYLER(in the paint)",45,,51 (+6),,SEW 45-51 (-6),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",2
10:24,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
10:06,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",2
--,,,,,"REBOUND DEF by GILE,CURTIS",,,"REBOUND DEF by GILE,CURTIS",2
09:53,,,,,"TURNOVER  by BRUFFEY,TANNER",,,"TURNOVER  by BRUFFEY,TANNER",2
09:29,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
09:19,,,,,"TURNOVER  by WINEBARGER,ALEX",,,"TURNOVER  by WINEBARGER,ALEX",2
08:43,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",47,,51 (+4),,SEW 47-51 (-4),,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",2
08:18,,47,,53 (+6),"GOOD JUMPER by WINEBARGER,ALEX",UDMB 47-53 (-6),,"GOOD JUMPER by WINEBARGER,ALEX",2
08:10,,,,,"FOUL  by ASSINESI,DREW",,,"FOUL  by ASSINESI,DREW",2
07:53,,,,,"FOUL  by ASSINESI,DREW",,,"FOUL  by ASSINESI,DREW",2
07:53,"GOOD FT by VEAL,ROBERT",48,,53 (+5),,SEW 48-53 (-5),,"GOOD FT by VEAL,ROBERT",2
07:53,"MISS FT by VEAL,ROBERT",,,,,,,"MISS FT by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
07:39,,48,,55 (+7),"GOOD JUMPER by WINEBARGER,ALEX",UDMB 48-55 (-7),,"GOOD JUMPER by WINEBARGER,ALEX",2
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",2
07:11,,,,,"FOUL  by SMITH,DECKER",,,"FOUL  by SMITH,DECKER",2
