Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
11:11,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",8,,22 (+14),,SEW 8-22 (-14),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
10:55,,,,,"MISS JUMPER by FRIERSON,NATE",,,"MISS JUMPER by FRIERSON,NATE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:50,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",1
10:50,"BLOCK  by MARTIN,SAM",,,,,,,"BLOCK  by MARTIN,SAM",1
--,,,,,"REBOUND OFF by COX,TJ",,,"REBOUND OFF by COX,TJ",1
10:43,,8,,25 (+17),"GOOD 3PTR by SEARS,CALLUM",CCM 8-25 (-17),,"GOOD 3PTR by SEARS,CALLUM",1
--,,,,,"ASSIST  by LAKEY,ZAROME",,,"ASSIST  by LAKEY,ZAROME",1
10:18,"GOOD LAYUP by NELSON,ANVIL(in the paint)",10,,25 (+15),,SEW 10-25 (-15),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
10:09,,,,,"MISS JUMPER by LAKEY,ZAROME",,,"MISS JUMPER by LAKEY,ZAROME",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
10:08,,,,,"FOUL  by SEARS,CALLUM",,,"FOUL  by SEARS,CALLUM",1
09:44,"GOOD JUMPER by NELSON,ANVIL",12,,25 (+13),,SEW 12-25 (-13),,"GOOD JUMPER by NELSON,ANVIL",1
09:29,,12,,27 (+15),"GOOD JUMPER by SEARS,CALLUM",CCM 12-27 (-15),,"GOOD JUMPER by SEARS,CALLUM",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
08:53,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by SEARS,CALLUM",,,"REBOUND DEF by SEARS,CALLUM",1
08:45,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",1
08:31,,12,,29 (+17),"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",CCM 12-29 (-17),,"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
08:18,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
08:16,,,,,"STEAL  by SEARS,CALLUM",,,"STEAL  by SEARS,CALLUM",1
08:12,,12,,31 (+19),"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",CCM 12-31 (-19),,"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",1
--,,,,,"ASSIST  by SEARS,CALLUM",,,"ASSIST  by SEARS,CALLUM",1
08:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:58,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",1
07:48,,,,,"MISS JUMPER by COX,TJ",,,"MISS JUMPER by COX,TJ",1
--,,,,,"REBOUND OFF by DANEK,JOEY",,,"REBOUND OFF by DANEK,JOEY",1
07:44,,,,,"MISS LAYUP by DANEK,JOEY",,,"MISS LAYUP by DANEK,JOEY",1
--,,,,,"REBOUND OFF by DEVRIES,JON",,,"REBOUND OFF by DEVRIES,JON",1
07:40,,12,,33 (+21),"GOOD LAYUP by DEVRIES,JON(in the paint)",CCM 12-33 (-21),,"GOOD LAYUP by DEVRIES,JON(in the paint)",1
07:27,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
07:16,"GOOD LAYUP by BROWN,TYLER(in the paint)",14,,33 (+19),,SEW 14-33 (-19),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
06:48,,,,,"MISS JUMPER by MUTCHERSON,ROSBIE",,,"MISS JUMPER by MUTCHERSON,ROSBIE",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
06:23,"MISS JUMPER by MARTIN,SAM",,,,,,,"MISS JUMPER by MARTIN,SAM",1
--,,,,,"REBOUND DEF by FRIERSON,NATE",,,"REBOUND DEF by FRIERSON,NATE",1
06:12,,,,,"MISS 3PTR by MUTCHERSON,ROSBIE",,,"MISS 3PTR by MUTCHERSON,ROSBIE",1
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",1
05:59,"GOOD 3PTR by BRYANT,VALENTINO",17,,33 (+16),,SEW 17-33 (-16),,"GOOD 3PTR by BRYANT,VALENTINO",1
05:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:24,,,,,"MISS JUMPER by LAKEY,ZAROME",,,"MISS JUMPER by LAKEY,ZAROME",1
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",1
05:00,"GOOD 3PTR by BRYANT,VALENTINO",20,,33 (+13),,SEW 20-33 (-13),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",1
04:38,,,,,"TURNOVER  by ENGBERS,BRYANT",,,"TURNOVER  by ENGBERS,BRYANT",1
04:17,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",22,,33 (+11),,SEW 22-33 (-11),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
03:59,,,,,"MISS LAYUP by MCGRIFF,COLTON",,,"MISS LAYUP by MCGRIFF,COLTON",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
03:50,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",,,"REBOUND DEF by MUTCHERSON,ROSBIE",1
03:42,,,,,"MISS LAYUP by MUTCHERSON,ROSBIE",,,"MISS LAYUP by MUTCHERSON,ROSBIE",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
03:40,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",1
03:11,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",24,,33 (+9),,SEW 24-33 (-9),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
02:52,,,,,"MISS 3PTR by ENGBERS,BRYANT",,,"MISS 3PTR by ENGBERS,BRYANT",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
02:33,,,,,"FOUL  by SEARS,CALLUM",,,"FOUL  by SEARS,CALLUM",1
02:33,"GOOD FT by BRYANT,VALENTINO",25,,33 (+8),,SEW 25-33 (-8),,"GOOD FT by BRYANT,VALENTINO",1
02:33,"GOOD FT by BRYANT,VALENTINO",26,,33 (+7),,SEW 26-33 (-7),,"GOOD FT by BRYANT,VALENTINO",1
02:17,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
02:02,"GOOD 3PTR by AFFRONTI,LEWIS",29,,33 (+4),,SEW 29-33 (-4),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
01:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:46,,29,,35 (+6),"GOOD LAYUP by MUTCHERSON,ROSBIE(in the paint)",CCM 29-35 (-6),,"GOOD LAYUP by MUTCHERSON,ROSBIE(in the paint)",1
01:28,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",1
01:28,,,,,"BLOCK  by DEVRIES,JON",,,"BLOCK  by DEVRIES,JON",1
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",1
01:17,,,,,"FOUL  by DANEK,JOEY",,,"FOUL  by DANEK,JOEY",1
01:17,"GOOD FT by NELSON,ANVIL",30,,35 (+5),,SEW 30-35 (-5),,"GOOD FT by NELSON,ANVIL",1
01:17,"MISS FT by NELSON,ANVIL",,,,,,,"MISS FT by NELSON,ANVIL",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
01:15,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
01:04,,,,,"MISS 3PTR by MUTCHERSON,ROSBIE",,,"MISS 3PTR by MUTCHERSON,ROSBIE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:47,,,,,"MISS JUMPER by MUTCHERSON,ROSBIE",,,"MISS JUMPER by MUTCHERSON,ROSBIE",1
00:47,"BLOCK  by BROWN,TYLER",,,,,,,"BLOCK  by BROWN,TYLER",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
00:44,,,,,"FOUL  by MUTCHERSON,ROSBIE",,,"FOUL  by MUTCHERSON,ROSBIE",1
00:43,"FOUL TECH by NELSON,ANVIL",,,,,,,"FOUL TECH by NELSON,ANVIL",1
00:43,,,,,"FOUL TECH by MUTCHERSON,ROSBIE",,,"FOUL TECH by MUTCHERSON,ROSBIE",1
00:35,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:08,"GOOD JUMPER by BRYANT,VALENTINO",32,,35 (+3),,SEW 32-35 (-3),,"GOOD JUMPER by BRYANT,VALENTINO",1
19:44,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
19:44,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
19:34,,,,,"MISS LAYUP by COX,TJ",,,"MISS LAYUP by COX,TJ",2
19:34,"BLOCK  by BRYANT,VALENTINO",,,,,,,"BLOCK  by BRYANT,VALENTINO",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:28,,,,,"MISS JUMPER by SEARS,CALLUM",,,"MISS JUMPER by SEARS,CALLUM",2
--,,,,,"REBOUND OFF by SEARS,CALLUM",,,"REBOUND OFF by SEARS,CALLUM",2
19:26,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
19:07,,,,,"MISS LAYUP by SEARS,CALLUM",,,"MISS LAYUP by SEARS,CALLUM",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
18:57,"GOOD 3PTR by AFFRONTI,LEWIS",35,,35,,SEW 35-35 (0),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",2
18:38,,,,,"MISS 3PTR by SEARS,CALLUM",,,"MISS 3PTR by SEARS,CALLUM",2
--,,,,,"REBOUND OFF by DEVRIES,JON",,,"REBOUND OFF by DEVRIES,JON",2
18:31,,,,,"MISS LAYUP by COX,TJ",,,"MISS LAYUP by COX,TJ",2
18:30,"BLOCK  by BRYANT,VALENTINO",,,,,,,"BLOCK  by BRYANT,VALENTINO",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
18:23,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by SEARS,CALLUM",,,"REBOUND DEF by SEARS,CALLUM",2
18:18,,,,,"TURNOVER  by SEARS,CALLUM",,,"TURNOVER  by SEARS,CALLUM",2
18:18,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",,,"REBOUND DEF by MUTCHERSON,ROSBIE",2
18:04,,,,,"TURNOVER  by DANEK,JOEY",,,"TURNOVER  by DANEK,JOEY",2
17:51,,,,,"FOUL  by DEVRIES,JON",,,"FOUL  by DEVRIES,JON",2
17:34,"GOOD 3PTR by AFFRONTI,LEWIS",38 (+3),,35,,SEW 38-35 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
17:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:18,,38 (+1),,37,"GOOD LAYUP by COX,TJ(in the paint)",CCM 38-37 (+1),,"GOOD LAYUP by COX,TJ(in the paint)",2
17:18,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",2
17:18,,38,,38,"GOOD FT by COX,TJ",CCM 38-38 (0),,"GOOD FT by COX,TJ",2
17:01,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",2
16:37,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",2
16:29,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",2
16:28,,,,,"STEAL  by DEVRIES,JON",,,"STEAL  by DEVRIES,JON",2
16:20,,,,,"MISS LAYUP by DANEK,JOEY",,,"MISS LAYUP by DANEK,JOEY",2
--,,,,,"REBOUND OFF by DANEK,JOEY",,,"REBOUND OFF by DANEK,JOEY",2
16:16,,38,,40 (+2),"GOOD LAYUP by DANEK,JOEY(in the paint)",CCM 38-40 (-2),,"GOOD LAYUP by DANEK,JOEY(in the paint)",2
15:59,"GOOD 3PTR by BOULDIN,BRETT",41 (+1),,40,,SEW 41-40 (+1),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",2
15:51,,41,,42 (+1),"GOOD JUMPER by MUTCHERSON,ROSBIE",CCM 41-42 (-1),,"GOOD JUMPER by MUTCHERSON,ROSBIE",2
15:35,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",43 (+1),,42,,SEW 43-42 (+1),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",2
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",2
15:26,,43,,44 (+1),"GOOD JUMPER by COX,TJ",CCM 43-44 (-1),,"GOOD JUMPER by COX,TJ",2
15:10,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",45 (+1),,44,,SEW 45-44 (+1),,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",2
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",2
14:57,,45,,47 (+2),"GOOD 3PTR by DEVRIES,JON",CCM 45-47 (-2),,"GOOD 3PTR by DEVRIES,JON",2
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",2
14:31,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
14:29,,,,,"FOUL  by DANEK,JOEY",,,"FOUL  by DANEK,JOEY",2
14:29,"GOOD FT by NELSON,ANVIL",46,,47 (+1),,SEW 46-47 (-1),,"GOOD FT by NELSON,ANVIL",2
14:29,"MISS FT by NELSON,ANVIL",,,,,,,"MISS FT by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
14:00,,,,,"MISS JUMPER by MCGRIFF,COLTON",,,"MISS JUMPER by MCGRIFF,COLTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:32,"MISS 3PTR by BEVIACQUA,BRYAN",,,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
13:24,,46,,50 (+4),"GOOD 3PTR by MUTCHERSON,ROSBIE",CCM 46-50 (-4),,"GOOD 3PTR by MUTCHERSON,ROSBIE",2
--,,,,,"ASSIST  by FRIERSON,NATE",,,"ASSIST  by FRIERSON,NATE",2
13:02,"TURNOVER  by KIRKPATRICK,TODD",,,,,,,"TURNOVER  by KIRKPATRICK,TODD",2
12:43,,,,,"MISS JUMPER by MCGRIFF,COLTON",,,"MISS JUMPER by MCGRIFF,COLTON",2
--,,,,,"REBOUND OFF by DEVRIES,JON",,,"REBOUND OFF by DEVRIES,JON",2
12:37,,46,,52 (+6),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 46-52 (-6),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",2
--,,,,,"ASSIST  by DEVRIES,JON",,,"ASSIST  by DEVRIES,JON",2
12:37,"FOUL  by KIRKPATRICK,TODD",,,,,,,"FOUL  by KIRKPATRICK,TODD",2
12:37,,46,,53 (+7),"GOOD FT by MCGRIFF,COLTON",CCM 46-53 (-7),,"GOOD FT by MCGRIFF,COLTON",2
12:19,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",2
12:16,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:58,,,,,"MISS LAYUP by FRIERSON,NATE",,,"MISS LAYUP by FRIERSON,NATE",2
--,"REBOUND DEF by BEVIACQUA,BRYAN",,,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",2
11:51,"MISS LAYUP by BEVIACQUA,BRYAN",,,,,,,"MISS LAYUP by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND DEF by CHANEY,DAMIEN",,,"REBOUND DEF by CHANEY,DAMIEN",2
11:21,,,,,"TURNOVER  by ENGBERS,BRYANT",,,"TURNOVER  by ENGBERS,BRYANT",2
11:19,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
11:16,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
11:15,,,,,"STEAL  by FRIERSON,NATE",,,"STEAL  by FRIERSON,NATE",2
11:12,,46,,55 (+9),"GOOD LAYUP by CHANEY,DAMIEN(fastbreak)(in the paint)",CCM 46-55 (-9),,"GOOD LAYUP by CHANEY,DAMIEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MUTCHERSON,ROSBIE",,,"ASSIST  by MUTCHERSON,ROSBIE",2
11:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:49,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by CHANEY,DAMIEN",,,"REBOUND DEF by CHANEY,DAMIEN",2
10:26,,,,,"TURNOVER  by CHANEY,DAMIEN",,,"TURNOVER  by CHANEY,DAMIEN",2
10:03,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
10:03,,,,,"BLOCK  by DANEK,JOEY",,,"BLOCK  by DANEK,JOEY",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
09:55,"GOOD JUMPER by NELSON,ANVIL(in the paint)",48,,55 (+7),,SEW 48-55 (-7),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",2
09:45,,48,,57 (+9),"GOOD JUMPER by FRIERSON,NATE",CCM 48-57 (-9),,"GOOD JUMPER by FRIERSON,NATE",2
09:22,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by CHANEY,DAMIEN",,,"REBOUND DEF by CHANEY,DAMIEN",2
