Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
10:25,,14,,24 (+10),"GOOD FT by BRYANT,VALENTINO",SEW 14-24 (+10),,"GOOD FT by BRYANT,VALENTINO",1
09:56,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
09:47,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
09:44,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by ANDERKAVICH,JOEY",,,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",1
09:42,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
09:31,"TURNOVER  by O'HARA,ROSS",,,,,,,"TURNOVER  by O'HARA,ROSS",1
09:23,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
09:21,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",16,,24 (+8),,LAGRANGE 16-24 (+8),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
09:08,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
09:07,"STEAL  by ANDERSON,KYRON",,,,,,,"STEAL  by ANDERSON,KYRON",1
09:03,"TURNOVER  by ANDERSON,KYRON",,,,,,,"TURNOVER  by ANDERSON,KYRON",1
08:48,"FOUL  by ANDERKAVICH,JOEY",,,,,,,"FOUL  by ANDERKAVICH,JOEY",1
08:42,,,,,"MISS FT by NELSON,ANVIL",,,"MISS FT by NELSON,ANVIL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:25,,16,,25 (+9),"GOOD FT by NELSON,ANVIL",SEW 16-25 (+9),,"GOOD FT by NELSON,ANVIL",1
08:01,"GOOD 3PTR by CRAFT,BLAKE",19,,25 (+6),,LAGRANGE 19-25 (+6),,"GOOD 3PTR by CRAFT,BLAKE",1
--,"ASSIST  by ANDERSON,KYRON",,,,,,,"ASSIST  by ANDERSON,KYRON",1
07:30,,19,,27 (+8),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEW 19-27 (+8),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
07:07,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",21,,27 (+6),,LAGRANGE 21-27 (+6),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",1
06:51,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",1
06:47,"MISS LAYUP by VAUGHN,MARCUS",,,,,,,"MISS LAYUP by VAUGHN,MARCUS",1
--,"REBOUND OFF by O'HARA,ROSS",,,,,,,"REBOUND OFF by O'HARA,ROSS",1
06:44,"MISS LAYUP by O'HARA,ROSS",,,,,,,"MISS LAYUP by O'HARA,ROSS",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
05:54,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
05:51,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",1
05:47,"GOOD FT by ANDERSON,KYRON",22,,27 (+5),,LAGRANGE 22-27 (+5),,"GOOD FT by ANDERSON,KYRON",1
05:25,"MISS FT by ANDERSON,KYRON",,,,,,,"MISS FT by ANDERSON,KYRON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:49,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",24,,27 (+3),,LAGRANGE 24-27 (+3),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
--,"ASSIST  by CRAFT,BLAKE",,,,,,,"ASSIST  by CRAFT,BLAKE",1
04:48,,24,,29 (+5),"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",SEW 24-29 (+5),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
--,,,,,"ASSIST  by VEAL,ROBERT",,,"ASSIST  by VEAL,ROBERT",1
04:48,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",26,,29 (+3),,LAGRANGE 26-29 (+3),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",1
04:17,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",1
04:17,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",28,,29 (+1),,LAGRANGE 28-29 (+1),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
04:17,,28,,31 (+3),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 28-31 (+3),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
04:16,"GOOD LAYUP by CRAFT,BLAKE(in the paint)",30,,31 (+1),,LAGRANGE 30-31 (+1),,"GOOD LAYUP by CRAFT,BLAKE(in the paint)",1
04:04,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
04:04,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
03:53,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",1
03:53,"GOOD FT by ROBINSON,DENZEL",31,,31,,LAGRANGE 31-31 (0),,"GOOD FT by ROBINSON,DENZEL",1
03:53,"MISS FT by ROBINSON,DENZEL",,,,,,,"MISS FT by ROBINSON,DENZEL",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
03:27,,31,,33 (+2),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 31-33 (+2),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
03:09,"TURNOVER  by VAUGHN,MARCUS",,,,,,,"TURNOVER  by VAUGHN,MARCUS",1
03:06,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
02:50,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",1
02:38,"MISS JUMPER by ROBINSON,DENZEL",,,,,,,"MISS JUMPER by ROBINSON,DENZEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:23,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",1
02:13,"TURNOVER  by VAUGHN,MARCUS",,,,,,,"TURNOVER  by VAUGHN,MARCUS",1
01:59,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by ANDERSON,KYRON",,,,,,,"REBOUND DEF by ANDERSON,KYRON",1
01:48,"TURNOVER  by MUNCH,PETER",,,,,,,"TURNOVER  by MUNCH,PETER",1
01:24,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:55,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
00:45,,31,,35 (+4),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEW 31-35 (+4),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
00:27,"TURNOVER  by VAUGHN,MARCUS",,,,,,,"TURNOVER  by VAUGHN,MARCUS",1
00:27,"FOUL  by VAUGHN,MARCUS",,,,,,,"FOUL  by VAUGHN,MARCUS",1
00:03,,31,,38 (+7),"GOOD 3PTR by BOULDIN,BRETT",SEW 31-38 (+7),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
19:43,,31,,41 (+10),"GOOD 3PTR by AFFRONTI,LEWIS",SEW 31-41 (+10),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
19:24,"GOOD 3PTR by POWER,AARON",34,,41 (+7),,LAGRANGE 34-41 (+7),,"GOOD 3PTR by POWER,AARON",2
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",2
18:50,,34,,44 (+10),"GOOD 3PTR by WILLIAMS,TRENT",SEW 34-44 (+10),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
18:28,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
18:04,,34,,46 (+12),"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",SEW 34-46 (+12),,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",2
17:39,"GOOD JUMPER by ANDERSON,KYRON",36,,46 (+10),,LAGRANGE 36-46 (+10),,"GOOD JUMPER by ANDERSON,KYRON",2
17:22,,36,,48 (+12),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 36-48 (+12),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
17:03,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",2
--,"REBOUND OFF by ANDERKAVICH,JOEY",,,,,,,"REBOUND OFF by ANDERKAVICH,JOEY",2
17:01,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
16:52,"MISS LAYUP by ANDERSON,KYRON",,,,,,,"MISS LAYUP by ANDERSON,KYRON",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
16:43,,36,,51 (+15),"GOOD 3PTR by BROWN,TYLER",SEW 36-51 (+15),,"GOOD 3PTR by BROWN,TYLER",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
16:20,"GOOD JUMPER by MACLIN,CATRELL",38,,51 (+13),,LAGRANGE 38-51 (+13),,"GOOD JUMPER by MACLIN,CATRELL",2
15:57,,38,,53 (+15),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 38-53 (+15),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",2
15:29,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",40,,53 (+13),,LAGRANGE 40-53 (+13),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",2
15:05,,40,,55 (+15),"GOOD JUMPER by AFFRONTI,LEWIS",SEW 40-55 (+15),,"GOOD JUMPER by AFFRONTI,LEWIS",2
14:40,"MISS JUMPER by ANDERKAVICH,JOEY",,,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",2
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
14:33,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
14:30,"FOUL  by ANDERKAVICH,JOEY",,,,,,,"FOUL  by ANDERKAVICH,JOEY",2
14:30,,40,,56 (+16),"GOOD FT by NELSON,ANVIL",SEW 40-56 (+16),,"GOOD FT by NELSON,ANVIL",2
14:30,,,,,"MISS FT by NELSON,ANVIL",,,"MISS FT by NELSON,ANVIL",2
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",2
14:04,"MISS LAYUP by VAUGHN,MARCUS",,,,,,,"MISS LAYUP by VAUGHN,MARCUS",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
13:58,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by CRAFT,BLAKE",,,,,,,"REBOUND DEF by CRAFT,BLAKE",2
13:52,"TURNOVER  by CRAFT,BLAKE",,,,,,,"TURNOVER  by CRAFT,BLAKE",2
13:51,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
13:49,,40,,58 (+18),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEW 40-58 (+18),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
13:15,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:11,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",2
13:10,"STEAL  by O'HARA,ROSS",,,,,,,"STEAL  by O'HARA,ROSS",2
13:08,"GOOD LAYUP by CRAFT,BLAKE(in the paint)",42,,58 (+16),,LAGRANGE 42-58 (+16),,"GOOD LAYUP by CRAFT,BLAKE(in the paint)",2
13:06,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
13:03,"MISS FT by CRAFT,BLAKE",,,,,,,"MISS FT by CRAFT,BLAKE",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
12:50,,42,,60 (+18),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEW 42-60 (+18),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",2
12:39,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
12:39,"GOOD FT by VAUGHN,MARCUS",43,,60 (+17),,LAGRANGE 43-60 (+17),,"GOOD FT by VAUGHN,MARCUS",2
12:39,"MISS FT by VAUGHN,MARCUS",,,,,,,"MISS FT by VAUGHN,MARCUS",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
12:22,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",2
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",2
12:10,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
12:10,"MISS FT by CRAFT,BLAKE",,,,,,,"MISS FT by CRAFT,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:10,"MISS FT by CRAFT,BLAKE",,,,,,,"MISS FT by CRAFT,BLAKE",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
11:57,"FOUL  by O'HARA,ROSS",,,,,,,"FOUL  by O'HARA,ROSS",2
11:46,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",2
11:38,"MISS JUMPER by MACLIN,CATRELL",,,,,,,"MISS JUMPER by MACLIN,CATRELL",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
11:24,,43,,62 (+19),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 43-62 (+19),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
11:04,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
11:03,"TURNOVER  by O'HARA,ROSS",,,,,,,"TURNOVER  by O'HARA,ROSS",2
11:03,"FOUL  by O'HARA,ROSS",,,,,,,"FOUL  by O'HARA,ROSS",2
10:51,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by VAUGHN,MARCUS",,,,,,,"REBOUND DEF by VAUGHN,MARCUS",2
10:43,"MISS LAYUP by ANDERSON,KYRON",,,,,,,"MISS LAYUP by ANDERSON,KYRON",2
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
10:33,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",2
10:27,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",2
10:26,,,,,"STEAL  by BROWN,TYLER",,,"STEAL  by BROWN,TYLER",2
10:23,,,,,"MISS LAYUP by AFFRONTI,LEWIS",,,"MISS LAYUP by AFFRONTI,LEWIS",2
10:23,"BLOCK  by ROBINSON,DENZEL",,,,,,,"BLOCK  by ROBINSON,DENZEL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:14,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:43,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
09:43,"GOOD LAYUP by O'HARA,ROSS(in the paint)",45,,62 (+17),,LAGRANGE 45-62 (+17),,"GOOD LAYUP by O'HARA,ROSS(in the paint)",2
09:20,,45,,64 (+19),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEW 45-64 (+19),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
09:07,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
