Time Remaining,JOHN,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
07:57,,26,,82 (+56),"GOOD 3PTR by VEAL,ROBERT",SEW 26-82 (+56),,"GOOD 3PTR by VEAL,ROBERT",2
--,,,,,"ASSIST  by GRACE,WES",,,"ASSIST  by GRACE,WES",2
07:47,"GOOD 3PTR by BOWEN JR.,RICKY",29,,82 (+53),,JOHN 29-82 (+53),,"GOOD 3PTR by BOWEN JR.,RICKY",2
07:31,,,,,"TURNOVER  by ABELES,ZACH",,,"TURNOVER  by ABELES,ZACH",2
07:31,,,,,"FOUL  by ABELES,ZACH",,,"FOUL  by ABELES,ZACH",2
07:30,"MISS 3PTR by KING,NICK",,,,,,,"MISS 3PTR by KING,NICK",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
07:25,,,,,"MISS 3PTR by GRACE,WES",,,"MISS 3PTR by GRACE,WES",2
--,,,,,"REBOUND OFF by WARREN,NATHAN",,,"REBOUND OFF by WARREN,NATHAN",2
07:13,,,,,"MISS JUMPER by GRACE,WES",,,"MISS JUMPER by GRACE,WES",2
--,,,,,"REBOUND OFF by VEAL,ROBERT",,,"REBOUND OFF by VEAL,ROBERT",2
06:51,,,,,"FOUL  by WARREN,NATHAN",,,"FOUL  by WARREN,NATHAN",2
06:51,,,,,"FOUL  by WARREN,NATHAN",,,"FOUL  by WARREN,NATHAN",2
06:34,,,,,"FOUL  by GRACE,WES",,,"FOUL  by GRACE,WES",2
06:23,"MISS JUMPER by BOWEN JR.,RICKY",,,,,,,"MISS JUMPER by BOWEN JR.,RICKY",2
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",2
06:07,,,,,"MISS 3PTR by VEAL,ROBERT",,,"MISS 3PTR by VEAL,ROBERT",2
--,"REBOUND DEF by LOUIS,CEBASTIANO",,,,,,,"REBOUND DEF by LOUIS,CEBASTIANO",2
05:58,"GOOD JUMPER by BOWEN JR.,RICKY",31,,82 (+51),,JOHN 31-82 (+51),,"GOOD JUMPER by BOWEN JR.,RICKY",2
--,"ASSIST  by KING,NICK",,,,,,,"ASSIST  by KING,NICK",2
05:25,,31,,84 (+53),"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",SEW 31-84 (+53),,"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",2
05:13,"GOOD 3PTR by BOWEN JR.,RICKY",34,,84 (+50),,JOHN 34-84 (+50),,"GOOD 3PTR by BOWEN JR.,RICKY",2
--,"ASSIST  by FRIEDMAN,ERIC",,,,,,,"ASSIST  by FRIEDMAN,ERIC",2
04:58,"FOUL  by BOWEN JR.,RICKY",,,,,,,"FOUL  by BOWEN JR.,RICKY",2
04:52,"FOUL  by LOUIS,CEBASTIANO",,,,,,,"FOUL  by LOUIS,CEBASTIANO",2
04:28,,,,,"TURNOVER  by WARREN,NATHAN",,,"TURNOVER  by WARREN,NATHAN",2
04:26,"STEAL  by QUINONES,ANDREW",,,,,,,"STEAL  by QUINONES,ANDREW",2
04:21,"GOOD 3PTR by DEPEW,CHASE",37,,84 (+47),,JOHN 37-84 (+47),,"GOOD 3PTR by DEPEW,CHASE",2
--,"ASSIST  by QUINONES,ANDREW",,,,,,,"ASSIST  by QUINONES,ANDREW",2
04:02,,,,,"MISS 3PTR by GRACE,WES",,,"MISS 3PTR by GRACE,WES",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:41,"TURNOVER  by QUINONES,ANDREW",,,,,,,"TURNOVER  by QUINONES,ANDREW",2
03:39,,,,,"STEAL  by GRACE,WES",,,"STEAL  by GRACE,WES",2
03:30,,,,,"TURNOVER  by WARREN,NATHAN",,,"TURNOVER  by WARREN,NATHAN",2
03:28,"STEAL  by LOUIS,CEBASTIANO",,,,,,,"STEAL  by LOUIS,CEBASTIANO",2
03:25,"TURNOVER  by LOUIS,CEBASTIANO",,,,,,,"TURNOVER  by LOUIS,CEBASTIANO",2
03:25,"FOUL  by LOUIS,CEBASTIANO",,,,,,,"FOUL  by LOUIS,CEBASTIANO",2
03:05,,,,,"TURNOVER  by KIRKPATRICK,TODD",,,"TURNOVER  by KIRKPATRICK,TODD",2
02:51,,,,,"FOUL  by GRACE,WES",,,"FOUL  by GRACE,WES",2
02:44,"MISS JUMPER by LOUIS,CEBASTIANO",,,,,,,"MISS JUMPER by LOUIS,CEBASTIANO",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
02:21,,,,,"TURNOVER  by KIRKPATRICK,TODD",,,"TURNOVER  by KIRKPATRICK,TODD",2
02:19,"STEAL  by DEPEW,CHASE",,,,,,,"STEAL  by DEPEW,CHASE",2
02:16,"GOOD LAYUP by BELL,CHRIS(fastbreak)(in the paint)",39,,84 (+45),,JOHN 39-84 (+45),,"GOOD LAYUP by BELL,CHRIS(fastbreak)(in the paint)",2
01:59,,,,,"TURNOVER  by LEIBRANDT,ERIC",,,"TURNOVER  by LEIBRANDT,ERIC",2
01:59,,,,,"FOUL  by LEIBRANDT,ERIC",,,"FOUL  by LEIBRANDT,ERIC",2
01:47,,,,,"FOUL  by GRACE,WES",,,"FOUL  by GRACE,WES",2
01:47,"GOOD FT by LOUIS,CEBASTIANO",40,,84 (+44),,JOHN 40-84 (+44),,"GOOD FT by LOUIS,CEBASTIANO",2
01:47,"MISS FT by LOUIS,CEBASTIANO",,,,,,,"MISS FT by LOUIS,CEBASTIANO",2
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",2
01:30,,40,,86 (+46),"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",SEW 40-86 (+46),,"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",2
01:20,,,,,"FOUL  by ABELES,ZACH",,,"FOUL  by ABELES,ZACH",2
01:20,"GOOD FT by LOUIS,CEBASTIANO",41,,86 (+45),,JOHN 41-86 (+45),,"GOOD FT by LOUIS,CEBASTIANO",2
01:20,"GOOD FT by LOUIS,CEBASTIANO",42,,86 (+44),,JOHN 42-86 (+44),,"GOOD FT by LOUIS,CEBASTIANO",2
01:10,,,,,"TURNOVER  by ABELES,ZACH",,,"TURNOVER  by ABELES,ZACH",2
00:56,"MISS JUMPER by LOUIS,CEBASTIANO",,,,,,,"MISS JUMPER by LOUIS,CEBASTIANO",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:52,"MISS 3PTR by QUINONES,ANDREW",,,,,,,"MISS 3PTR by QUINONES,ANDREW",2
--,"REBOUND OFF by BELL,CHRIS",,,,,,,"REBOUND OFF by BELL,CHRIS",2
00:48,"MISS JUMPER by BELL,CHRIS",,,,,,,"MISS JUMPER by BELL,CHRIS",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
00:41,"FOUL  by QUINONES,ANDREW",,,,,,,"FOUL  by QUINONES,ANDREW",2
00:22,,,,,"MISS 3PTR by ABELES,ZACH",,,"MISS 3PTR by ABELES,ZACH",2
--,,,,,"REBOUND OFF by WARREN,NATHAN",,,"REBOUND OFF by WARREN,NATHAN",2
00:17,,,,,"MISS 3PTR by ABELES,ZACH",,,"MISS 3PTR by ABELES,ZACH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
