Time Remaining,BOYCE,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
12:52,,,,,"FOUL  by KIRKPATRICK,TODD",,,"FOUL  by KIRKPATRICK,TODD",2
12:52,"GOOD FT by WILMOTT,BROCK",30,,65 (+35),,BOYCE 30-65 (+35),,"GOOD FT by WILMOTT,BROCK",2
12:52,"GOOD FT by WILMOTT,BROCK",31,,65 (+34),,BOYCE 31-65 (+34),,"GOOD FT by WILMOTT,BROCK",2
12:40,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",2
12:28,"GOOD LAYUP by WILMOTT,BROCK(in the paint)",33,,65 (+32),,BOYCE 33-65 (+32),,"GOOD LAYUP by WILMOTT,BROCK(in the paint)",2
--,"ASSIST  by BLAND,EMMANUEL",,,,,,,"ASSIST  by BLAND,EMMANUEL",2
12:11,,,,,"STEAL  by MARTIN,SAM",,,"STEAL  by MARTIN,SAM",2
11:57,,,,,"TURNOVER  by MARTIN,SAM",,,"TURNOVER  by MARTIN,SAM",2
11:47,"MISS JUMPER by WILMOTT,BROCK",,,,,,,"MISS JUMPER by WILMOTT,BROCK",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
11:13,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",2
--,,,,,"REBOUND OFF by BEVIACQUA,BRYAN",,,"REBOUND OFF by BEVIACQUA,BRYAN",2
10:59,,33,,67 (+34),"GOOD LAYUP by MARTIN,SAM(in the paint)",SEW 33-67 (+34),,"GOOD LAYUP by MARTIN,SAM(in the paint)",2
10:44,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
10:29,,,,,"TURNOVER  by MARTIN,SAM",,,"TURNOVER  by MARTIN,SAM",2
10:28,"STEAL  by POWELL,MATT",,,,,,,"STEAL  by POWELL,MATT",2
10:26,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
10:26,"GOOD FT by POWELL,MATT",34,,67 (+33),,BOYCE 34-67 (+33),,"GOOD FT by POWELL,MATT",2
10:26,"GOOD FT by POWELL,MATT",35,,67 (+32),,BOYCE 35-67 (+32),,"GOOD FT by POWELL,MATT",2
10:16,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",2
--,"REBOUND DEF by WILMOTT,BROCK",,,,,,,"REBOUND DEF by WILMOTT,BROCK",2
10:04,"TURNOVER  by WILMOTT,BROCK",,,,,,,"TURNOVER  by WILMOTT,BROCK",2
09:48,,35,,69 (+34),"GOOD JUMPER by BROWN,TYLER",SEW 35-69 (+34),,"GOOD JUMPER by BROWN,TYLER",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
09:26,"GOOD LAYUP by WILMOTT,BROCK(in the paint)",37,,69 (+32),,BOYCE 37-69 (+32),,"GOOD LAYUP by WILMOTT,BROCK(in the paint)",2
09:14,,37,,71 (+34),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 37-71 (+34),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",2
09:14,"FOUL  by WILMOTT,BROCK",,,,,,,"FOUL  by WILMOTT,BROCK",2
09:14,,37,,72 (+35),"GOOD FT by NELSON,ANVIL",SEW 37-72 (+35),,"GOOD FT by NELSON,ANVIL",2
09:01,"GOOD JUMPER by BARNETT,KEVIN(in the paint)",39,,72 (+33),,BOYCE 39-72 (+33),,"GOOD JUMPER by BARNETT,KEVIN(in the paint)",2
08:43,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
08:35,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND OFF by BOULDIN,BRETT",,,"REBOUND OFF by BOULDIN,BRETT",2
08:31,"FOUL  by HENDRICK,BEAU",,,,,,,"FOUL  by HENDRICK,BEAU",2
08:31,,39,,73 (+34),"GOOD FT by BOULDIN,BRETT",SEW 39-73 (+34),,"GOOD FT by BOULDIN,BRETT",2
08:31,,39,,74 (+35),"GOOD FT by BOULDIN,BRETT",SEW 39-74 (+35),,"GOOD FT by BOULDIN,BRETT",2
08:22,"MISS 3PTR by HENDRICK,BEAU",,,,,,,"MISS 3PTR by HENDRICK,BEAU",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
08:10,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by BARNETT,KEVIN",,,,,,,"REBOUND DEF by BARNETT,KEVIN",2
07:53,"MISS JUMPER by BARNETT,KEVIN",,,,,,,"MISS JUMPER by BARNETT,KEVIN",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
07:44,,,,,"MISS JUMPER by KIRKPATRICK,TODD",,,"MISS JUMPER by KIRKPATRICK,TODD",2
--,"REBOUND DEF by WILMOTT,BROCK",,,,,,,"REBOUND DEF by WILMOTT,BROCK",2
07:33,"MISS LAYUP by BLAND,EMMANUEL",,,,,,,"MISS LAYUP by BLAND,EMMANUEL",2
07:33,,,,,"BLOCK  by KIRKPATRICK,TODD",,,"BLOCK  by KIRKPATRICK,TODD",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
07:20,,39,,77 (+38),"GOOD 3PTR by AFFRONTI,LEWIS",SEW 39-77 (+38),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",2
07:01,"GOOD LAYUP by BLAND,EMMANUEL(in the paint)",41,,77 (+36),,BOYCE 41-77 (+36),,"GOOD LAYUP by BLAND,EMMANUEL(in the paint)",2
--,"ASSIST  by WILMOTT,BROCK",,,,,,,"ASSIST  by WILMOTT,BROCK",2
06:43,,,,,"MISS 3PTR by GRACE,WES",,,"MISS 3PTR by GRACE,WES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:35,"FOUL  by BLAND,EMMANUEL",,,,,,,"FOUL  by BLAND,EMMANUEL",2
06:16,,,,,"MISS JUMPER by KIRKPATRICK,TODD",,,"MISS JUMPER by KIRKPATRICK,TODD",2
--,"REBOUND DEF by WILMOTT,BROCK",,,,,,,"REBOUND DEF by WILMOTT,BROCK",2
06:04,"MISS LAYUP by ETHRIDGE,TREY",,,,,,,"MISS LAYUP by ETHRIDGE,TREY",2
06:04,,,,,"BLOCK  by KIRKPATRICK,TODD",,,"BLOCK  by KIRKPATRICK,TODD",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
06:01,"MISS JUMPER by BLAND,EMMANUEL",,,,,,,"MISS JUMPER by BLAND,EMMANUEL",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
05:39,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
05:39,"GOOD FT by DOENGES,JORDAN",42,,77 (+35),,BOYCE 42-77 (+35),,"GOOD FT by DOENGES,JORDAN",2
05:39,"MISS FT by DOENGES,JORDAN",,,,,,,"MISS FT by DOENGES,JORDAN",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
05:15,,,,,"MISS JUMPER by KIRKPATRICK,TODD",,,"MISS JUMPER by KIRKPATRICK,TODD",2
--,,,,,"REBOUND OFF by KIRKPATRICK,TODD",,,"REBOUND OFF by KIRKPATRICK,TODD",2
05:13,"FOUL  by ETHRIDGE,TREY",,,,,,,"FOUL  by ETHRIDGE,TREY",2
05:13,,42,,78 (+36),"GOOD FT by KIRKPATRICK,TODD",SEW 42-78 (+36),,"GOOD FT by KIRKPATRICK,TODD",2
05:13,,42,,79 (+37),"GOOD FT by KIRKPATRICK,TODD",SEW 42-79 (+37),,"GOOD FT by KIRKPATRICK,TODD",2
04:51,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",2
04:51,"MISS FT by POWELL,MATT",,,,,,,"MISS FT by POWELL,MATT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:51,"GOOD FT by POWELL,MATT",43,,79 (+36),,BOYCE 43-79 (+36),,"GOOD FT by POWELL,MATT",2
04:39,,43,,81 (+38),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEW 43-81 (+38),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
04:12,"MISS 3PTR by POWELL,MATT",,,,,,,"MISS 3PTR by POWELL,MATT",2
--,"REBOUND OFF by POWELL,MATT",,,,,,,"REBOUND OFF by POWELL,MATT",2
04:09,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:02,"TURNOVER  by WILMOTT,BROCK",,,,,,,"TURNOVER  by WILMOTT,BROCK",2
04:01,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",2
03:58,,43,,83 (+40),"GOOD LAYUP by CALDWELL,MARCELLUS(fastbreak)(in the paint)",SEW 43-83 (+40),,"GOOD LAYUP by CALDWELL,MARCELLUS(fastbreak)(in the paint)",2
03:39,"TURNOVER  by HARPER,LUKE",,,,,,,"TURNOVER  by HARPER,LUKE",2
03:24,,,,,"TURNOVER  by KIRKPATRICK,TODD",,,"TURNOVER  by KIRKPATRICK,TODD",2
03:04,"GOOD JUMPER by HENDRICK,BEAU",45,,83 (+38),,BOYCE 45-83 (+38),,"GOOD JUMPER by HENDRICK,BEAU",2
02:47,,,,,"TURNOVER  by ABELES,ZACH",,,"TURNOVER  by ABELES,ZACH",2
02:46,"STEAL  by DOENGES,JORDAN",,,,,,,"STEAL  by DOENGES,JORDAN",2
02:44,"GOOD LAYUP by DOENGES,JORDAN(fastbreak)(in the paint)",47,,83 (+36),,BOYCE 47-83 (+36),,"GOOD LAYUP by DOENGES,JORDAN(fastbreak)(in the paint)",2
02:24,,47,,85 (+38),"GOOD JUMPER by GRACE,WES",SEW 47-85 (+38),,"GOOD JUMPER by GRACE,WES",2
02:03,"MISS 3PTR by DOENGES,JORDAN",,,,,,,"MISS 3PTR by DOENGES,JORDAN",2
--,,,,,"REBOUND DEF by WARREN,NATHAN",,,"REBOUND DEF by WARREN,NATHAN",2
01:43,,,,,"TURNOVER  by WARREN,NATHAN",,,"TURNOVER  by WARREN,NATHAN",2
01:31,"GOOD 3PTR by HENDRICK,BEAU",50,,85 (+35),,BOYCE 50-85 (+35),,"GOOD 3PTR by HENDRICK,BEAU",2
--,"ASSIST  by DEWITT,KEGAN",,,,,,,"ASSIST  by DEWITT,KEGAN",2
01:05,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:54,,,,,"MISS JUMPER by ABELES,ZACH",,,"MISS JUMPER by ABELES,ZACH",2
--,"REBOUND DEF by HENDRICK,BEAU",,,,,,,"REBOUND DEF by HENDRICK,BEAU",2
00:54,,,,,"FOUL  by LEIBRANDT,ERIC",,,"FOUL  by LEIBRANDT,ERIC",2
00:54,"GOOD FT by HENDRICK,BEAU",51,,85 (+34),,BOYCE 51-85 (+34),,"GOOD FT by HENDRICK,BEAU",2
00:54,"MISS FT by HENDRICK,BEAU",,,,,,,"MISS FT by HENDRICK,BEAU",2
--,"REBOUND OFF by MARSHALL,LUKE",,,,,,,"REBOUND OFF by MARSHALL,LUKE",2
00:40,"MISS JUMPER by HENDRICK,BEAU",,,,,,,"MISS JUMPER by HENDRICK,BEAU",2
--,"REBOUND OFF by HARPER,LUKE",,,,,,,"REBOUND OFF by HARPER,LUKE",2
00:37,"MISS JUMPER by HARPER,LUKE",,,,,,,"MISS JUMPER by HARPER,LUKE",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
00:17,,,,,"MISS 3PTR by ABELES,ZACH",,,"MISS 3PTR by ABELES,ZACH",2
--,,,,,"REBOUND OFF by LEIBRANDT,ERIC",,,"REBOUND OFF by LEIBRANDT,ERIC",2
00:10,,,,,"MISS JUMPER by LEIBRANDT,ERIC",,,"MISS JUMPER by LEIBRANDT,ERIC",2
--,"REBOUND DEF by MARSHALL,LUKE",,,,,,,"REBOUND DEF by MARSHALL,LUKE",2
00:10,,,,,"FOUL  by LEIBRANDT,ERIC",,,"FOUL  by LEIBRANDT,ERIC",2
00:10,"GOOD FT by MARSHALL,LUKE",52,,85 (+33),,BOYCE 52-85 (+33),,"GOOD FT by MARSHALL,LUKE",2
00:10,"MISS FT by MARSHALL,LUKE",,,,,,,"MISS FT by MARSHALL,LUKE",2
--,"REBOUND OFF by HENDRICK,BEAU",,,,,,,"REBOUND OFF by HENDRICK,BEAU",2
00:00,"GOOD JUMPER by HENDRICK,BEAU(in the paint)",54,,85 (+31),,BOYCE 54-85 (+31),,"GOOD JUMPER by HENDRICK,BEAU(in the paint)",2
