Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,FRAN,Game Score,Team Indicator,Play,Period
17:57,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",10 (+8),,2,,BSC 10-2 (+8),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
17:41,,10 (+6),,4,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 10-4 (+6),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
--,,,,,"ASSIST  by NATE,STANTON",,,"ASSIST  by NATE,STANTON",1
17:23,"GOOD JUMPER by AHUMADA,HART",12 (+8),,4,,BSC 12-4 (+8),,"GOOD JUMPER by AHUMADA,HART",1
--,"ASSIST  by PRICE,PATRICK",,,,,,,"ASSIST  by PRICE,PATRICK",1
17:04,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
17:04,,12 (+7),,5,"GOOD FT by FRANK,MURRAY",FRAN 12-5 (+7),,"GOOD FT by FRANK,MURRAY",1
17:04,,12 (+6),,6,"GOOD FT by FRANK,MURRAY",FRAN 12-6 (+6),,"GOOD FT by FRANK,MURRAY",1
16:51,"GOOD 3PTR by JONUS,JASEN",15 (+9),,6,,BSC 15-6 (+9),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
16:28,,,,,"MISS 3PTR by CONNOR,FLANAGAN",,,"MISS 3PTR by CONNOR,FLANAGAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:26,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
16:09,,,,,"TURNOVER  by DAN,KROENING",,,"TURNOVER  by DAN,KROENING",1
16:08,,,,,"STEAL  by THOMAS,KLEINSCHNITZ",,,"STEAL  by THOMAS,KLEINSCHNITZ",1
15:59,,15 (+7),,8,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 15-8 (+7),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
15:57,,,,,"FOUL  by FRANK,MURRAY",,,"FOUL  by FRANK,MURRAY",1
15:57,"GOOD FT by WHITE,BLAISE",16 (+8),,8,,BSC 16-8 (+8),,"GOOD FT by WHITE,BLAISE",1
15:57,"GOOD FT by WHITE,BLAISE",17 (+9),,8,,BSC 17-8 (+9),,"GOOD FT by WHITE,BLAISE",1
15:57,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
15:57,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
15:57,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
15:57,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
15:57,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",1
15:57,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
15:57,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
15:57,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",1
15:57,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",1
15:57,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
15:43,,17 (+7),,10,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 17-10 (+7),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
15:15,"GOOD 3PTR by KEGARISE,KEVIN",20 (+10),,10,,BSC 20-10 (+10),,"GOOD 3PTR by KEGARISE,KEVIN",1
15:08,"MISS JUMPER by HENRY,COLIN",,,,,,,"MISS JUMPER by HENRY,COLIN",1
--,,,,,"REBOUND DEF by THOMAS,KLEINSCHNITZ",,,"REBOUND DEF by THOMAS,KLEINSCHNITZ",1
15:08,,20 (+8),,12,"GOOD JUMPER by CONNOR,FLANAGAN",FRAN 20-12 (+8),,"GOOD JUMPER by CONNOR,FLANAGAN",1
15:08,"MISS LAYUP by SHEMANSKI,RICKY",,,,,,,"MISS LAYUP by SHEMANSKI,RICKY",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
15:08,"GOOD TIPIN by LEE,CALEB(in the paint)",22 (+10),,12,,BSC 22-12 (+10),,"GOOD TIPIN by LEE,CALEB(in the paint)",1
15:08,,22 (+8),,14,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 22-14 (+8),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
15:08,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
15:08,,,,,"STEAL  by THOMAS,KLEINSCHNITZ",,,"STEAL  by THOMAS,KLEINSCHNITZ",1
15:08,,22 (+6),,16,"GOOD LAYUP by FRANK,MURRAY(in the paint)",FRAN 22-16 (+6),,"GOOD LAYUP by FRANK,MURRAY(in the paint)",1
15:08,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
15:08,,,,,"STEAL  by NATE,STANTON",,,"STEAL  by NATE,STANTON",1
12:52,,,,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
12:29,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
12:25,"GOOD LAYUP by LEE,CALEB(in the paint)",24 (+8),,16,,BSC 24-16 (+8),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
12:25,,,,,"FOUL  by THOMAS,KLEINSCHNITZ",,,"FOUL  by THOMAS,KLEINSCHNITZ",1
12:25,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
12:25,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
12:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
12:25,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
12:25,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",1
12:25,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
12:25,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
12:25,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
12:25,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
12:25,,,,,"SUB IN by PETER,MOONEY",,,"SUB IN by PETER,MOONEY",1
12:25,,,,,"SUB IN by DAVID,RAINWATER",,,"SUB IN by DAVID,RAINWATER",1
12:25,,,,,"SUB OUT by NATE,STANTON",,,"SUB OUT by NATE,STANTON",1
12:25,,,,,"SUB OUT by THOMAS,KLEINSCHNITZ",,,"SUB OUT by THOMAS,KLEINSCHNITZ",1
12:16,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by RODGERS,PHILLIP",,,,,,,"REBOUND OFF by RODGERS,PHILLIP",1
12:06,"GOOD LAYUP by HOLLAND,JASON(in the paint)",26 (+10),,16,,BSC 26-16 (+10),,"GOOD LAYUP by HOLLAND,JASON(in the paint)",1
12:01,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
11:53,,,,,"TURNOVER  by PETER,MOONEY",,,"TURNOVER  by PETER,MOONEY",1
11:52,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
11:48,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:46,,,,,"SUB IN by THOMAS,KLEINSCHNITZ",,,"SUB IN by THOMAS,KLEINSCHNITZ",1
11:46,,,,,"SUB OUT by PETER,MOONEY",,,"SUB OUT by PETER,MOONEY",1
11:43,,,,,"TURNOVER  by SEAN,WAYNE",,,"TURNOVER  by SEAN,WAYNE",1
11:28,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",28 (+12),,16,,BSC 28-16 (+12),,"GOOD LAYUP by RODGERS,PHILLIP(in the paint)",1
11:09,,,,,"MISS 3PTR by FRANK,MURRAY",,,"MISS 3PTR by FRANK,MURRAY",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
11:01,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
11:00,,,,,"STEAL  by FRANK,MURRAY",,,"STEAL  by FRANK,MURRAY",1
10:58,,28 (+10),,18,"GOOD LAYUP by DAVID,RAINWATER(in the paint)",FRAN 28-18 (+10),,"GOOD LAYUP by DAVID,RAINWATER(in the paint)",1
10:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:55,,,,,"SUB IN by SHANE,CRUMP",,,"SUB IN by SHANE,CRUMP",1
10:55,,,,,"SUB IN by NATE,STANTON",,,"SUB IN by NATE,STANTON",1
10:55,,,,,"SUB OUT by CONNOR,FLANAGAN",,,"SUB OUT by CONNOR,FLANAGAN",1
10:55,,,,,"SUB OUT by DAVID,RAINWATER",,,"SUB OUT by DAVID,RAINWATER",1
10:41,"GOOD JUMPER by KEGARISE,KEVIN",30 (+12),,18,,BSC 30-18 (+12),,"GOOD JUMPER by KEGARISE,KEVIN",1
10:08,,,,,"TURNOVER  by FRANK,MURRAY",,,"TURNOVER  by FRANK,MURRAY",1
10:07,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",1
10:05,,,,,"FOUL  by FRANK,MURRAY",,,"FOUL  by FRANK,MURRAY",1
10:05,"GOOD FT by JONUS,JASEN",31 (+13),,18,,BSC 31-18 (+13),,"GOOD FT by JONUS,JASEN",1
10:05,"GOOD FT by JONUS,JASEN",32 (+14),,18,,BSC 32-18 (+14),,"GOOD FT by JONUS,JASEN",1
10:05,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
10:05,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
10:05,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",1
10:05,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
10:05,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
10:05,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
10:05,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
10:05,"SUB OUT by RODGERS,PHILLIP",,,,,,,"SUB OUT by RODGERS,PHILLIP",1
09:46,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
09:30,,32 (+12),,20,"GOOD JUMPER by NATE,STANTON",FRAN 32-20 (+12),,"GOOD JUMPER by NATE,STANTON",1
09:22,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",34 (+14),,20,,BSC 34-20 (+14),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
09:12,,,,,"MISS 3PTR by SEAN,WAYNE",,,"MISS 3PTR by SEAN,WAYNE",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
09:04,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",1
09:01,,,,,"STEAL  by NATE,STANTON",,,"STEAL  by NATE,STANTON",1
08:40,,,,,"MISS 3PTR by NATE,STANTON",,,"MISS 3PTR by NATE,STANTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:38,,,,,"SUB IN by CONNOR,FLANAGAN",,,"SUB IN by CONNOR,FLANAGAN",1
08:38,,,,,"SUB IN by JOHN,TRABBIC",,,"SUB IN by JOHN,TRABBIC",1
08:38,,,,,"SUB OUT by SEAN,WAYNE",,,"SUB OUT by SEAN,WAYNE",1
08:38,,,,,"SUB OUT by FRANK,MURRAY",,,"SUB OUT by FRANK,MURRAY",1
08:17,"GOOD LAYUP by PRICE,PATRICK(in the paint)",36 (+16),,20,,BSC 36-20 (+16),,"GOOD LAYUP by PRICE,PATRICK(in the paint)",1
08:01,,36 (+14),,22,"GOOD LAYUP by CONNOR,FLANAGAN(in the paint)",FRAN 36-22 (+14),,"GOOD LAYUP by CONNOR,FLANAGAN(in the paint)",1
07:37,"MISS LAYUP by AHUMADA,HART",,,,,,,"MISS LAYUP by AHUMADA,HART",1
--,,,,,"REBOUND DEF by SHANE,CRUMP",,,"REBOUND DEF by SHANE,CRUMP",1
07:31,,36 (+12),,24,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 36-24 (+12),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
07:12,,,,,"FOUL  by SHANE,CRUMP",,,"FOUL  by SHANE,CRUMP",1
07:12,"GOOD FT by RICHARDS,ZAC",37 (+13),,24,,BSC 37-24 (+13),,"GOOD FT by RICHARDS,ZAC",1
07:12,"GOOD FT by RICHARDS,ZAC",38 (+14),,24,,BSC 38-24 (+14),,"GOOD FT by RICHARDS,ZAC",1
07:12,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
07:12,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
07:12,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
07:12,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",1
07:12,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
07:12,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
07:12,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
07:12,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
07:12,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",1
07:12,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",1
07:12,,,,,"SUB IN by FRANK,MURRAY",,,"SUB IN by FRANK,MURRAY",1
07:12,,,,,"SUB OUT by SHANE,CRUMP",,,"SUB OUT by SHANE,CRUMP",1
06:53,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
06:52,,,,,"MISS 3PTR by CONNOR,FLANAGAN",,,"MISS 3PTR by CONNOR,FLANAGAN",1
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",1
06:34,"MISS LAYUP by SHEMANSKI,RICKY",,,,,,,"MISS LAYUP by SHEMANSKI,RICKY",1
--,,,,,"REBOUND DEF by NATE,STANTON",,,"REBOUND DEF by NATE,STANTON",1
06:13,,,,,"MISS 3PTR by CONNOR,FLANAGAN",,,"MISS 3PTR by CONNOR,FLANAGAN",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
06:07,,,,,"FOUL  by FRANK,MURRAY",,,"FOUL  by FRANK,MURRAY",1
06:07,,,,,"SUB IN by DAN,KROENING",,,"SUB IN by DAN,KROENING",1
06:07,,,,,"SUB OUT by FRANK,MURRAY",,,"SUB OUT by FRANK,MURRAY",1
05:59,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:56,,,,,"FOUL  by NATE,STANTON",,,"FOUL  by NATE,STANTON",1
05:56,"GOOD FT by HENRY,COLIN",39 (+15),,24,,BSC 39-24 (+15),,"GOOD FT by HENRY,COLIN",1
05:56,"GOOD FT by HENRY,COLIN",40 (+16),,24,,BSC 40-24 (+16),,"GOOD FT by HENRY,COLIN",1
05:35,,,,,"MISS LAYUP by CONNOR,FLANAGAN",,,"MISS LAYUP by CONNOR,FLANAGAN",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
05:25,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by CONNOR,FLANAGAN",,,"REBOUND DEF by CONNOR,FLANAGAN",1
05:05,,,,,"MISS LAYUP by JOHN,TRABBIC",,,"MISS LAYUP by JOHN,TRABBIC",1
05:05,"BLOCK  by HENRY,COLIN",,,,,,,"BLOCK  by HENRY,COLIN",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
04:43,"GOOD LAYUP by SHEMANSKI,RICKY(in the paint)",42 (+18),,24,,BSC 42-24 (+18),,"GOOD LAYUP by SHEMANSKI,RICKY(in the paint)",1
04:23,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
04:23,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",1
04:23,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
04:23,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
04:23,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
04:23,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
04:23,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
04:23,,,,,"SUB IN by PETER,MOONEY",,,"SUB IN by PETER,MOONEY",1
04:23,,,,,"SUB OUT by JOHN,TRABBIC",,,"SUB OUT by JOHN,TRABBIC",1
04:16,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
04:16,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
04:05,,,,,"MISS JUMPER by NATE,STANTON",,,"MISS JUMPER by NATE,STANTON",1
--,"REBOUND DEF by RODGERS,PHILLIP",,,,,,,"REBOUND DEF by RODGERS,PHILLIP",1
03:47,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by NATE,STANTON",,,"REBOUND DEF by NATE,STANTON",1
03:32,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",1
03:32,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
03:25,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
03:02,,,,,"MISS LAYUP by NATE,STANTON",,,"MISS LAYUP by NATE,STANTON",1
--,"REBOUND DEF by AHUMADA,HART",,,,,,,"REBOUND DEF by AHUMADA,HART",1
02:41,"GOOD 3PTR by MURPHY,NICK",45 (+21),,24,,BSC 45-24 (+21),,"GOOD 3PTR by MURPHY,NICK",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
02:26,,,,,"TURNOVER  by CONNOR,FLANAGAN",,,"TURNOVER  by CONNOR,FLANAGAN",1
02:25,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",1
02:23,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",1
02:23,,,,,"BLOCK  by CONNOR,FLANAGAN",,,"BLOCK  by CONNOR,FLANAGAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:23,,,,,"SUB IN by SEAN,WAYNE",,,"SUB IN by SEAN,WAYNE",1
02:23,,,,,"SUB OUT by DAN,KROENING",,,"SUB OUT by DAN,KROENING",1
02:16,,,,,"FOUL  by THOMAS,KLEINSCHNITZ",,,"FOUL  by THOMAS,KLEINSCHNITZ",1
02:15,"GOOD FT by JONUS,JASEN",46 (+22),,24,,BSC 46-24 (+22),,"GOOD FT by JONUS,JASEN",1
02:15,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",1
--,,,,,"REBOUND DEF by THOMAS,KLEINSCHNITZ",,,"REBOUND DEF by THOMAS,KLEINSCHNITZ",1
02:04,,,,,"TURNOVER  by THOMAS,KLEINSCHNITZ",,,"TURNOVER  by THOMAS,KLEINSCHNITZ",1
02:02,"STEAL  by RODGERS,PHILLIP",,,,,,,"STEAL  by RODGERS,PHILLIP",1
01:58,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by CONNOR,FLANAGAN",,,"REBOUND DEF by CONNOR,FLANAGAN",1
01:52,,46 (+20),,26,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 46-26 (+20),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
01:31,"TURNOVER  by RODGERS,PHILLIP",,,,,,,"TURNOVER  by RODGERS,PHILLIP",1
01:29,,,,,"STEAL  by THOMAS,KLEINSCHNITZ",,,"STEAL  by THOMAS,KLEINSCHNITZ",1
01:24,,46 (+18),,28,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 46-28 (+18),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
01:24,"FOUL  by AHUMADA,HART",,,,,,,"FOUL  by AHUMADA,HART",1
01:24,,46 (+17),,29,"GOOD FT by THOMAS,KLEINSCHNITZ",FRAN 46-29 (+17),,"GOOD FT by THOMAS,KLEINSCHNITZ",1
01:24,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
01:24,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
01:24,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
01:24,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
01:24,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
01:24,"SUB OUT by RODGERS,PHILLIP",,,,,,,"SUB OUT by RODGERS,PHILLIP",1
01:24,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
01:24,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
00:54,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
00:54,,46 (+15),,31,"GOOD JUMPER by SEAN,WAYNE(in the paint)",FRAN 46-31 (+15),,"GOOD JUMPER by SEAN,WAYNE(in the paint)",1
--,,,,,"ASSIST  by NATE,STANTON",,,"ASSIST  by NATE,STANTON",1
00:54,"MISS 3PTR by PRICE,PATRICK",,,,,,,"MISS 3PTR by PRICE,PATRICK",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
00:54,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by SEAN,WAYNE",,,"REBOUND DEF by SEAN,WAYNE",1
19:46,"GOOD 3PTR by JONUS,JASEN",49 (+18),,31,,BSC 49-31 (+18),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
19:22,,,,,"MISS 3PTR by CONNOR,FLANAGAN",,,"MISS 3PTR by CONNOR,FLANAGAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:01,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",51 (+20),,31,,BSC 51-31 (+20),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
18:38,,,,,"MISS 3PTR by FRANK,MURRAY",,,"MISS 3PTR by FRANK,MURRAY",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
18:32,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",53 (+22),,31,,BSC 53-31 (+22),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
18:19,,,,,"MISS JUMPER by NATE,STANTON",,,"MISS JUMPER by NATE,STANTON",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
18:02,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
17:59,,,,,"STEAL  by THOMAS,KLEINSCHNITZ",,,"STEAL  by THOMAS,KLEINSCHNITZ",2
17:58,,53 (+20),,33,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 53-33 (+20),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",2
17:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:51,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",2
