Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
18:39,,32 (+8),,24,"GOOD JUMPER by VAUGHN,MARCUS(in the paint)",LCM 32-24 (+8),,"GOOD JUMPER by VAUGHN,MARCUS(in the paint)",2
18:28,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by CRAFT,BLAKE",,,"REBOUND DEF by CRAFT,BLAKE",2
18:22,,,,,"MISS LAYUP by CRAFT,BLAKE",,,"MISS LAYUP by CRAFT,BLAKE",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
18:16,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
18:11,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",2
18:10,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
18:04,"GOOD LAYUP by PRICE,PATRICK(in the paint)",34 (+10),,24,,BSC-M 34-24 (+10),,"GOOD LAYUP by PRICE,PATRICK(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
17:54,,,,,"TURNOVER  by WHITFIELD,NIC",,,"TURNOVER  by WHITFIELD,NIC",2
17:51,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",2
17:37,"GOOD JUMPER by MESSENGER,MARK(in the paint)",36 (+12),,24,,BSC-M 36-24 (+12),,"GOOD JUMPER by MESSENGER,MARK(in the paint)",2
17:20,,36 (+10),,26,"GOOD LAYUP by MADDOX,BRANDON(in the paint)",LCM 36-26 (+10),,"GOOD LAYUP by MADDOX,BRANDON(in the paint)",2
--,,,,,"ASSIST  by CRAFT,BLAKE",,,"ASSIST  by CRAFT,BLAKE",2
17:20,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
17:20,,36 (+9),,27,"GOOD FT by MADDOX,BRANDON",LCM 36-27 (+9),,"GOOD FT by MADDOX,BRANDON",2
17:20,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",2
17:20,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",2
17:20,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
17:20,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
17:20,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
17:20,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
17:20,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
17:20,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
17:20,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",2
17:20,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
16:49,"GOOD JUMPER by AHUMADA,HART(in the paint)",38 (+11),,27,,BSC-M 38-27 (+11),,"GOOD JUMPER by AHUMADA,HART(in the paint)",2
16:25,,38 (+9),,29,"GOOD LAYUP by MADDOX,BRANDON(in the paint)",LCM 38-29 (+9),,"GOOD LAYUP by MADDOX,BRANDON(in the paint)",2
--,,,,,"ASSIST  by WHITFIELD,NIC",,,"ASSIST  by WHITFIELD,NIC",2
16:05,"MISS JUMPER by SHEMANSKI,RICKY",,,,,,,"MISS JUMPER by SHEMANSKI,RICKY",2
--,"REBOUND OFF by SHEMANSKI,RICKY",,,,,,,"REBOUND OFF by SHEMANSKI,RICKY",2
16:00,"MISS LAYUP by SHEMANSKI,RICKY",,,,,,,"MISS LAYUP by SHEMANSKI,RICKY",2
--,,,,,"REBOUND DEF by HOWARD,JEROD",,,"REBOUND DEF by HOWARD,JEROD",2
15:52,,38 (+7),,31,"GOOD JUMPER by WHITFIELD,NIC",LCM 38-31 (+7),,"GOOD JUMPER by WHITFIELD,NIC",2
15:33,"GOOD LAYUP by SHEMANSKI,RICKY(in the paint)",40 (+9),,31,,BSC-M 40-31 (+9),,"GOOD LAYUP by SHEMANSKI,RICKY(in the paint)",2
15:14,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:59,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
14:59,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
14:59,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
14:59,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",2
14:59,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",2
14:59,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",2
14:43,"MISS JUMPER by AHUMADA,HART",,,,,,,"MISS JUMPER by AHUMADA,HART",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
14:25,,40 (+7),,33,"GOOD LAYUP by MADDOX,BRANDON(in the paint)",LCM 40-33 (+7),,"GOOD LAYUP by MADDOX,BRANDON(in the paint)",2
--,,,,,"ASSIST  by TUCK,STEPHEN",,,"ASSIST  by TUCK,STEPHEN",2
14:15,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
14:05,,40 (+5),,35,"GOOD LAYUP by TUCK,STEPHEN(in the paint)",LCM 40-35 (+5),,"GOOD LAYUP by TUCK,STEPHEN(in the paint)",2
--,,,,,"ASSIST  by VAUGHN,MARCUS",,,"ASSIST  by VAUGHN,MARCUS",2
13:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:56,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",2
13:56,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",2
13:56,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
13:56,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
13:56,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
13:56,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",2
13:56,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
13:56,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",2
13:56,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",2
13:56,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
13:56,,,,,"SUB IN by WHITFIELD,NIC",,,"SUB IN by WHITFIELD,NIC",2
13:56,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",2
13:48,"GOOD 3PTR by JONUS,JASEN",43 (+8),,35,,BSC-M 43-35 (+8),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
13:29,,,,,"MISS 3PTR by HOWARD,JEROD",,,"MISS 3PTR by HOWARD,JEROD",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
13:20,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
13:01,"GOOD JUMPER by JONUS,JASEN",45 (+10),,35,,BSC-M 45-35 (+10),,"GOOD JUMPER by JONUS,JASEN",2
13:01,,,,,"TURNOVER  by TUCK,STEPHEN",,,"TURNOVER  by TUCK,STEPHEN",2
13:01,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
13:01,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",2
13:01,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
13:00,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:54,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
12:53,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",2
12:53,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
12:49,"MISS JUMPER by PRICE,PATRICK",,,,,,,"MISS JUMPER by PRICE,PATRICK",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
12:41,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",2
--,"REBOUND OFF by MESSENGER,MARK",,,,,,,"REBOUND OFF by MESSENGER,MARK",2
12:39,"GOOD JUMPER by MESSENGER,MARK",47 (+12),,35,,BSC-M 47-35 (+12),,"GOOD JUMPER by MESSENGER,MARK",2
12:38,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",2
12:17,,,,,"MISS 3PTR by MADDOX,BRANDON",,,"MISS 3PTR by MADDOX,BRANDON",2
--,"REBOUND DEF by PRICE,PATRICK",,,,,,,"REBOUND DEF by PRICE,PATRICK",2
12:00,"GOOD 3PTR by JONUS,JASEN",50 (+15),,35,,BSC-M 50-35 (+15),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by PRICE,PATRICK",,,,,,,"ASSIST  by PRICE,PATRICK",2
11:52,,,,,"TURNOVER  by HOWARD,JEROD",,,"TURNOVER  by HOWARD,JEROD",2
11:49,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",2
11:46,"MISS JUMPER by PRICE,PATRICK",,,,,,,"MISS JUMPER by PRICE,PATRICK",2
--,"REBOUND OFF by MESSENGER,MARK",,,,,,,"REBOUND OFF by MESSENGER,MARK",2
11:40,"GOOD JUMPER by MESSENGER,MARK",52 (+17),,35,,BSC-M 52-35 (+17),,"GOOD JUMPER by MESSENGER,MARK",2
11:17,,52 (+14),,38,"GOOD 3PTR by HOWARD,JEROD",LCM 52-38 (+14),,"GOOD 3PTR by HOWARD,JEROD",2
--,,,,,"ASSIST  by WHITFIELD,NIC",,,"ASSIST  by WHITFIELD,NIC",2
11:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:12,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
11:12,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",2
10:56,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",2
10:52,"TURNOVER  by MESSENGER,MARK",,,,,,,"TURNOVER  by MESSENGER,MARK",2
10:49,,,,,"STEAL  by WHITFIELD,NIC",,,"STEAL  by WHITFIELD,NIC",2
10:41,,,,,"MISS LAYUP by MADDOX,BRANDON",,,"MISS LAYUP by MADDOX,BRANDON",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
10:34,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",54 (+16),,38,,BSC-M 54-38 (+16),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by MESSENGER,MARK",,,,,,,"ASSIST  by MESSENGER,MARK",2
10:34,,,,,"FOUL  by GAYLOR,BRITT",,,"FOUL  by GAYLOR,BRITT",2
10:34,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by WHITFIELD,NIC",,,"REBOUND DEF by WHITFIELD,NIC",2
10:30,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
10:17,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
10:17,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
09:59,,,,,"MISS JUMPER by TUCK,STEPHEN",,,"MISS JUMPER by TUCK,STEPHEN",2
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",2
09:53,"GOOD JUMPER by JONUS,JASEN",56 (+18),,38,,BSC-M 56-38 (+18),,"GOOD JUMPER by JONUS,JASEN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
09:41,,,,,"MISS JUMPER by WHITFIELD,NIC",,,"MISS JUMPER by WHITFIELD,NIC",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
09:36,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",2
09:36,"GOOD JUMPER by AHUMADA,HART",58 (+20),,38,,BSC-M 58-38 (+20),,"GOOD JUMPER by AHUMADA,HART",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
09:36,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",2
09:36,"MISS FT by AHUMADA,HART",,,,,,,"MISS FT by AHUMADA,HART",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
09:36,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
09:36,,,,,"STEAL  by VAUGHN,MARCUS",,,"STEAL  by VAUGHN,MARCUS",2
09:36,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
09:36,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
09:36,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",2
09:36,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",2
09:36,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
09:36,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
09:36,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
09:36,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
09:36,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",2
09:36,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",2
09:36,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",2
09:36,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",2
09:36,,,,,"SUB OUT by TUCK,STEPHEN",,,"SUB OUT by TUCK,STEPHEN",2
09:18,"TURNOVER  by AHUMADA,HART",,,,,,,"TURNOVER  by AHUMADA,HART",2
08:59,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:48,,,,,"MISS 3PTR by HOWARD,JEROD",,,"MISS 3PTR by HOWARD,JEROD",2
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",2
08:25,"FOUL  by SHEMANSKI,RICKY",,,,,,,"FOUL  by SHEMANSKI,RICKY",2
08:25,"TURNOVER  by SHEMANSKI,RICKY",,,,,,,"TURNOVER  by SHEMANSKI,RICKY",2
08:24,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:19,,,,,"MISS FT by MADDOX,BRANDON",,,"MISS FT by MADDOX,BRANDON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:18,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",60 (+22),,38,,BSC-M 60-38 (+22),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
08:13,"FOUL  by SHEMANSKI,RICKY",,,,,,,"FOUL  by SHEMANSKI,RICKY",2
08:13,,,,,"MISS FT by HOWARD,JEROD",,,"MISS FT by HOWARD,JEROD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:13,,,,,"MISS FT by HOWARD,JEROD",,,"MISS FT by HOWARD,JEROD",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:41,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",2
07:36,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",62 (+24),,38,,BSC-M 62-38 (+24),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
07:14,,,,,"MISS LAYUP by ROBINSON,DENZEL",,,"MISS LAYUP by ROBINSON,DENZEL",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
07:04,"MISS 3PTR by SHEMANSKI,RICKY",,,,,,,"MISS 3PTR by SHEMANSKI,RICKY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:04,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
07:04,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
07:04,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",2
07:04,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
07:04,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",2
07:04,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",2
07:04,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
07:04,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
07:04,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",2
07:04,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",2
07:04,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",2
07:04,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",2
06:51,,62 (+21),,41,"GOOD 3PTR by GAYLOR,BRITT",LCM 62-41 (+21),,"GOOD 3PTR by GAYLOR,BRITT",2
--,,,,,"ASSIST  by CRAFT,BLAKE",,,"ASSIST  by CRAFT,BLAKE",2
06:43,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",2
--,"REBOUND OFF by RODGERS,PHILLIP",,,,,,,"REBOUND OFF by RODGERS,PHILLIP",2
06:29,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
06:08,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",2
06:08,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",2
05:58,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",2
05:53,,,,,"TURNOVER  by ROBINSON,DENZEL",,,"TURNOVER  by ROBINSON,DENZEL",2
05:53,"STEAL  by MESSENGER,MARK",,,,,,,"STEAL  by MESSENGER,MARK",2
05:53,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",2
05:53,"GOOD FT by MURPHY,NICK",63 (+22),,41,,BSC-M 63-41 (+22),,"GOOD FT by MURPHY,NICK",2
05:53,"GOOD FT by MURPHY,NICK",64 (+23),,41,,BSC-M 64-41 (+23),,"GOOD FT by MURPHY,NICK",2
05:37,,,,,"MISS JUMPER by HOWARD,JEROD",,,"MISS JUMPER by HOWARD,JEROD",2
--,,,,,"REBOUND OFF by ROBINSON,DENZEL",,,"REBOUND OFF by ROBINSON,DENZEL",2
05:21,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",2
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",2
05:07,"TURNOVER  by RODGERS,PHILLIP",,,,,,,"TURNOVER  by RODGERS,PHILLIP",2
05:07,,,,,"SUB IN by WHITFIELD,NIC",,,"SUB IN by WHITFIELD,NIC",2
05:07,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",2
05:07,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
05:07,,,,,"SUB OUT by ROBINSON,DENZEL",,,"SUB OUT by ROBINSON,DENZEL",2
04:53,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
04:53,,64 (+22),,42,"GOOD FT by TUCK,STEPHEN",LCM 64-42 (+22),,"GOOD FT by TUCK,STEPHEN",2
04:53,,64 (+21),,43,"GOOD FT by TUCK,STEPHEN",LCM 64-43 (+21),,"GOOD FT by TUCK,STEPHEN",2
04:53,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",2
04:53,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",2
04:42,"GOOD JUMPER by MESSENGER,MARK(in the paint)",66 (+23),,43,,BSC-M 66-43 (+23),,"GOOD JUMPER by MESSENGER,MARK(in the paint)",2
04:09,,,,,"MISS JUMPER by GAYLOR,BRITT",,,"MISS JUMPER by GAYLOR,BRITT",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
04:00,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",2
--,"REBOUND OFF by RODGERS,PHILLIP",,,,,,,"REBOUND OFF by RODGERS,PHILLIP",2
03:56,"MISS JUMPER by RODGERS,PHILLIP",,,,,,,"MISS JUMPER by RODGERS,PHILLIP",2
--,"REBOUND OFF by RODGERS,PHILLIP",,,,,,,"REBOUND OFF by RODGERS,PHILLIP",2
03:49,"GOOD 3PTR by MURPHY,NICK",69 (+26),,43,,BSC-M 69-43 (+26),,"GOOD 3PTR by MURPHY,NICK",2
--,"ASSIST  by RODGERS,PHILLIP",,,,,,,"ASSIST  by RODGERS,PHILLIP",2
03:37,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
03:37,,69 (+25),,44,"GOOD FT by TUCK,STEPHEN",LCM 69-44 (+25),,"GOOD FT by TUCK,STEPHEN",2
03:37,,69 (+24),,45,"GOOD FT by TUCK,STEPHEN",LCM 69-45 (+24),,"GOOD FT by TUCK,STEPHEN",2
03:37,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
03:37,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
03:29,,,,,"FOUL  by MADDOX,BRANDON",,,"FOUL  by MADDOX,BRANDON",2
03:29,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by WHITFIELD,NIC",,,"REBOUND DEF by WHITFIELD,NIC",2
03:29,,,,,"SUB IN by WHITFIELD,NIC",,,"SUB IN by WHITFIELD,NIC",2
03:29,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",2
03:20,,,,,"TURNOVER  by TUCK,STEPHEN",,,"TURNOVER  by TUCK,STEPHEN",2
03:12,"GOOD LAYUP by HENRY,COLIN(in the paint)",71 (+26),,45,,BSC-M 71-45 (+26),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
02:44,,71 (+24),,47,"GOOD JUMPER by VAUGHN,MARCUS",LCM 71-47 (+24),,"GOOD JUMPER by VAUGHN,MARCUS",2
02:26,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",73 (+26),,47,,BSC-M 73-47 (+26),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,"ASSIST  by RODGERS,PHILLIP",,,,,,,"ASSIST  by RODGERS,PHILLIP",2
02:18,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
02:18,,,,,"MISS FT by VAUGHN,MARCUS",,,"MISS FT by VAUGHN,MARCUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:18,,,,,"MISS FT by VAUGHN,MARCUS",,,"MISS FT by VAUGHN,MARCUS",2
--,"REBOUND DEF by RODGERS,PHILLIP",,,,,,,"REBOUND DEF by RODGERS,PHILLIP",2
02:10,,,,,"FOUL  by TUCK,STEPHEN",,,"FOUL  by TUCK,STEPHEN",2
02:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:10,"GOOD FT by HENRY,COLIN",74 (+27),,47,,BSC-M 74-47 (+27),,"GOOD FT by HENRY,COLIN",2
02:10,"GOOD FT by HENRY,COLIN",75 (+28),,47,,BSC-M 75-47 (+28),,"GOOD FT by HENRY,COLIN",2
01:48,,75 (+25),,50,"GOOD 3PTR by HOWARD,JEROD",LCM 75-50 (+25),,"GOOD 3PTR by HOWARD,JEROD",2
--,,,,,"ASSIST  by WHITFIELD,NIC",,,"ASSIST  by WHITFIELD,NIC",2
01:44,,,,,"FOUL  by HOWARD,JEROD",,,"FOUL  by HOWARD,JEROD",2
01:44,"MISS FT by HOLLAND,JASON",,,,,,,"MISS FT by HOLLAND,JASON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:44,"GOOD FT by HOLLAND,JASON",76 (+26),,50,,BSC-M 76-50 (+26),,"GOOD FT by HOLLAND,JASON",2
01:44,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",2
01:44,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",2
01:44,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",2
01:44,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
01:29,,76 (+24),,52,"GOOD JUMPER by TUCK,STEPHEN(in the paint)",LCM 76-52 (+24),,"GOOD JUMPER by TUCK,STEPHEN(in the paint)",2
00:51,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
00:42,,76 (+22),,54,"GOOD JUMPER by MADDOX,BRANDON",LCM 76-54 (+22),,"GOOD JUMPER by MADDOX,BRANDON",2
