Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
11:11,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
11:11,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
11:11,,,,,"SUB IN by EWING,JAMES",,,"SUB IN by EWING,JAMES",1
11:11,,,,,"SUB OUT by RILEY,JAREN",,,"SUB OUT by RILEY,JAREN",1
11:05,,26 (+13),,13,"GOOD JUMPER by GRAHAM,JOSH",HCM 26-13 (+13),,"GOOD JUMPER by GRAHAM,JOSH",1
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",1
10:37,"GOOD JUMPER by PRICE,PATRICK",28 (+15),,13,,BSC-M 28-13 (+15),,"GOOD JUMPER by PRICE,PATRICK",1
10:14,,28 (+13),,15,"GOOD LAYUP by GRAHAM,JOSH(in the paint)",HCM 28-15 (+13),,"GOOD LAYUP by GRAHAM,JOSH(in the paint)",1
09:57,"MISS JUMPER by HOLLAND,JASON",,,,,,,"MISS JUMPER by HOLLAND,JASON",1
09:57,,,,,"BLOCK  by SHERIDAN,DAYTON",,,"BLOCK  by SHERIDAN,DAYTON",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
09:49,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by EWING,JAMES",,,"REBOUND DEF by EWING,JAMES",1
09:27,,28 (+10),,18,"GOOD 3PTR by GOODMAN,CHRIS",HCM 28-18 (+10),,"GOOD 3PTR by GOODMAN,CHRIS",1
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",1
09:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:21,,,,,"SUB IN by RIZOS,RYAN",,,"SUB IN by RIZOS,RYAN",1
09:21,,,,,"SUB OUT by GRAHAM,JOSH",,,"SUB OUT by GRAHAM,JOSH",1
08:59,"MISS LAYUP by MESSENGER,MARK",,,,,,,"MISS LAYUP by MESSENGER,MARK",1
--,,,,,"REBOUND DEF by RIZOS,RYAN",,,"REBOUND DEF by RIZOS,RYAN",1
08:46,,,,,"MISS LAYUP by RIZOS,RYAN",,,"MISS LAYUP by RIZOS,RYAN",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
08:34,"GOOD JUMPER by JONUS,JASEN",30 (+12),,18,,BSC-M 30-18 (+12),,"GOOD JUMPER by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
08:18,,,,,"MISS LAYUP by MARTIN,AMMON",,,"MISS LAYUP by MARTIN,AMMON",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
08:12,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
08:12,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
08:12,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
08:12,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
08:12,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
08:12,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
08:12,"SUB OUT by RODGERS,PHILLIP",,,,,,,"SUB OUT by RODGERS,PHILLIP",1
08:12,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
08:12,,,,,"SUB IN by RILEY,JAREN",,,"SUB IN by RILEY,JAREN",1
08:12,,,,,"SUB OUT by MARTIN,AMMON",,,"SUB OUT by MARTIN,AMMON",1
07:52,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",32 (+14),,18,,BSC-M 32-18 (+14),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by MESSENGER,MARK",,,,,,,"ASSIST  by MESSENGER,MARK",1
07:52,,,,,"FOUL  by SHERIDAN,DAYTON",,,"FOUL  by SHERIDAN,DAYTON",1
07:52,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",1
07:52,,,,,"SUB IN by HEATHSCOTT,NICK",,,"SUB IN by HEATHSCOTT,NICK",1
07:52,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",1
07:42,,32 (+12),,20,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",HCM 32-20 (+12),,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",1
--,,,,,"ASSIST  by EWING,JAMES",,,"ASSIST  by EWING,JAMES",1
07:29,"GOOD 3PTR by JONUS,JASEN",35 (+15),,20,,BSC-M 35-20 (+15),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
07:10,,,,,"TURNOVER  by RIZOS,RYAN",,,"TURNOVER  by RIZOS,RYAN",1
07:09,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",1
06:53,,,,,"FOUL  by RIZOS,RYAN",,,"FOUL  by RIZOS,RYAN",1
06:53,"GOOD FT by RICHARDS,ZAC",36 (+16),,20,,BSC-M 36-20 (+16),,"GOOD FT by RICHARDS,ZAC",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
