Time Remaining,COVENANT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
16:06,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
16:06,"SUB OUT by BOWMAN,SAM",,,,,,,"SUB OUT by BOWMAN,SAM",1
16:06,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",1
16:06,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
16:06,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
16:06,,,,,"SUB IN by SHEMANSKI,RICKY",,,"SUB IN by SHEMANSKI,RICKY",1
16:06,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
16:06,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
16:06,,,,,"SUB OUT by PRICE,PATRICK",,,"SUB OUT by PRICE,PATRICK",1
16:06,,,,,"SUB OUT by AHUMADA,HART",,,"SUB OUT by AHUMADA,HART",1
16:06,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
15:44,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",1
--,"REBOUND DEF by FOSTER,CHASE",,,,,,,"REBOUND DEF by FOSTER,CHASE",1
15:28,"MISS 3PTR by FOSTER,CHASE",,,,,,,"MISS 3PTR by FOSTER,CHASE",1
--,"REBOUND OFF by MUTCHERSON,ROSBIE",,,,,,,"REBOUND OFF by MUTCHERSON,ROSBIE",1
15:24,"GOOD JUMPER by MUTCHERSON,ROSBIE",9 (+2),,7,,COVENANT 9-7 (-2),,"GOOD JUMPER by MUTCHERSON,ROSBIE",1
15:11,,9,,10 (+1),"GOOD 3PTR by MURPHY,NICK",BSC 9-10 (+1),,"GOOD 3PTR by MURPHY,NICK",1
--,,,,,"ASSIST  by DOATY,ISIAH",,,"ASSIST  by DOATY,ISIAH",1
14:53,"GOOD LAYUP by FOSTER,CHASE(in the paint)",11 (+1),,10,,COVENANT 11-10 (-1),,"GOOD LAYUP by FOSTER,CHASE(in the paint)",1
--,"ASSIST  by JOHNSON,STEPHEN",,,,,,,"ASSIST  by JOHNSON,STEPHEN",1
14:39,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:36,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
14:36,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
14:36,,,,,"SUB OUT by DOATY,ISIAH",,,"SUB OUT by DOATY,ISIAH",1
14:24,"MISS JUMPER by MUTCHERSON,ROSBIE",,,,,,,"MISS JUMPER by MUTCHERSON,ROSBIE",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
14:08,,,,,"FOUL  by SHEMANSKI,RICKY",,,"FOUL  by SHEMANSKI,RICKY",1
13:46,"GOOD JUMPER by JOHNSON,STEPHEN",13 (+3),,10,,COVENANT 13-10 (-3),,"GOOD JUMPER by JOHNSON,STEPHEN",1
13:22,"FOUL  by JOHNSON,STEPHEN",,,,,,,"FOUL  by JOHNSON,STEPHEN",1
13:22,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
13:22,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
13:14,,13 (+1),,12,"GOOD LAYUP by HOLLAND,JASON(in the paint)",BSC 13-12 (-1),,"GOOD LAYUP by HOLLAND,JASON(in the paint)",1
13:14,"FOUL  by JOHNSON,STEPHEN",,,,,,,"FOUL  by JOHNSON,STEPHEN",1
13:14,,,,,"MISS FT by HOLLAND,JASON",,,"MISS FT by HOLLAND,JASON",1
--,"REBOUND DEF by FOSTER,CHASE",,,,,,,"REBOUND DEF by FOSTER,CHASE",1
13:01,"MISS JUMPER by CHAMBERS,KACEY",,,,,,,"MISS JUMPER by CHAMBERS,KACEY",1
--,,,,,"REBOUND DEF by SHEMANSKI,RICKY",,,"REBOUND DEF by SHEMANSKI,RICKY",1
12:48,,13,,15 (+2),"GOOD 3PTR by KEGARISE,KEVIN",BSC 13-15 (+2),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
12:24,"TURNOVER  by WERKEMA,PAUL",,,,,,,"TURNOVER  by WERKEMA,PAUL",1
12:24,"SUB IN by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB IN by MCGAUGHEY,DOMINIQUE",1
12:24,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
12:24,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",1
12:24,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
12:24,"SUB IN by LAKEY,ZAROME",,,,,,,"SUB IN by LAKEY,ZAROME",1
12:24,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",1
12:24,"SUB OUT by JOHNSON,STEPHEN",,,,,,,"SUB OUT by JOHNSON,STEPHEN",1
12:24,"SUB OUT by WERKEMA,PAUL",,,,,,,"SUB OUT by WERKEMA,PAUL",1
12:24,"SUB OUT by FOSTER,CHASE",,,,,,,"SUB OUT by FOSTER,CHASE",1
12:24,"SUB OUT by CHAMBERS,KACEY",,,,,,,"SUB OUT by CHAMBERS,KACEY",1
12:06,,13,,18 (+5),"GOOD 3PTR by KEGARISE,KEVIN",BSC 13-18 (+5),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
11:53,"MISS LAYUP by SEARS,CALLUM",,,,,,,"MISS LAYUP by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by SHEMANSKI,RICKY",,,"REBOUND DEF by SHEMANSKI,RICKY",1
11:29,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
11:24,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
11:24,"BLOCK  by BOWMAN,SAM",,,,,,,"BLOCK  by BOWMAN,SAM",1
--,"REBOUND DEF by MCGAUGHEY,DOMINIQUE",,,,,,,"REBOUND DEF by MCGAUGHEY,DOMINIQUE",1
11:18,"MISS LAYUP by SEARS,CALLUM",,,,,,,"MISS LAYUP by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by SHEMANSKI,RICKY",,,"REBOUND DEF by SHEMANSKI,RICKY",1
11:17,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
11:17,"GOOD FT by SEARS,CALLUM",14,,18 (+4),,COVENANT 14-18 (+4),,"GOOD FT by SEARS,CALLUM",1
11:17,"MISS FT by SEARS,CALLUM",,,,,,,"MISS FT by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
11:17,,,,,"SUB IN by RODGERS,PHILLIP",,,"SUB IN by RODGERS,PHILLIP",1
11:17,,,,,"SUB OUT by SHEMANSKI,RICKY",,,"SUB OUT by SHEMANSKI,RICKY",1
11:12,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by BOWMAN,SAM",,,,,,,"REBOUND DEF by BOWMAN,SAM",1
11:04,"MISS 3PTR by DEVRIES,JON",,,,,,,"MISS 3PTR by DEVRIES,JON",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
10:35,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
10:35,"BLOCK  by BOWMAN,SAM",,,,,,,"BLOCK  by BOWMAN,SAM",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
10:29,,14,,20 (+6),"GOOD JUMPER by HENRY,COLIN",BSC 14-20 (+6),,"GOOD JUMPER by HENRY,COLIN",1
10:11,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
09:59,"GOOD FT by BOWMAN,SAM",15,,20 (+5),,COVENANT 15-20 (+5),,"GOOD FT by BOWMAN,SAM",1
09:38,"GOOD FT by BOWMAN,SAM",16,,20 (+4),,COVENANT 16-20 (+4),,"GOOD FT by BOWMAN,SAM",1
09:38,,,,,"SUB IN by AHUMADA,HART",,,"SUB IN by AHUMADA,HART",1
09:38,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
09:38,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
09:38,,,,,"SUB IN by PRICE,PATRICK",,,"SUB IN by PRICE,PATRICK",1
09:38,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
09:38,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
09:38,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
09:38,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
09:38,,,,,"SUB OUT by RODGERS,PHILLIP",,,"SUB OUT by RODGERS,PHILLIP",1
09:38,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
09:37,"FOUL  by SEARS,CALLUM",,,,,,,"FOUL  by SEARS,CALLUM",1
09:13,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",1
09:13,,16,,21 (+5),"GOOD FT by RICHARDS,ZAC",BSC 16-21 (+5),,"GOOD FT by RICHARDS,ZAC",1
09:13,,16,,22 (+6),"GOOD FT by RICHARDS,ZAC",BSC 16-22 (+6),,"GOOD FT by RICHARDS,ZAC",1
09:13,"SUB IN by CHAMBERS,KACEY",,,,,,,"SUB IN by CHAMBERS,KACEY",1
09:13,"SUB OUT by LAKEY,ZAROME",,,,,,,"SUB OUT by LAKEY,ZAROME",1
09:08,"GOOD LAYUP by BOWMAN,SAM(in the paint)",18,,22 (+4),,COVENANT 18-22 (+4),,"GOOD LAYUP by BOWMAN,SAM(in the paint)",1
09:08,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
09:08,"GOOD FT by BOWMAN,SAM",19,,22 (+3),,COVENANT 19-22 (+3),,"GOOD FT by BOWMAN,SAM",1
08:59,,19,,25 (+6),"GOOD 3PTR by PRICE,PATRICK",BSC 19-25 (+6),,"GOOD 3PTR by PRICE,PATRICK",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
08:38,"GOOD 3PTR by CHAMBERS,KACEY",22,,25 (+3),,COVENANT 22-25 (+3),,"GOOD 3PTR by CHAMBERS,KACEY",1
--,"ASSIST  by BOWMAN,SAM",,,,,,,"ASSIST  by BOWMAN,SAM",1
08:21,,,,,"MISS 3PTR by PRICE,PATRICK",,,"MISS 3PTR by PRICE,PATRICK",1
--,"REBOUND DEF by BOWMAN,SAM",,,,,,,"REBOUND DEF by BOWMAN,SAM",1
08:11,"TURNOVER  by BOWMAN,SAM",,,,,,,"TURNOVER  by BOWMAN,SAM",1
08:09,,,,,"STEAL  by AHUMADA,HART",,,"STEAL  by AHUMADA,HART",1
08:06,"FOUL  by MCGAUGHEY,DOMINIQUE",,,,,,,"FOUL  by MCGAUGHEY,DOMINIQUE",1
08:06,,22,,26 (+4),"GOOD FT by JONUS,JASEN",BSC 22-26 (+4),,"GOOD FT by JONUS,JASEN",1
08:06,,,,,"MISS FT by JONUS,JASEN",,,"MISS FT by JONUS,JASEN",1
--,,,,,"REBOUND OFF by AHUMADA,HART",,,"REBOUND OFF by AHUMADA,HART",1
08:06,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
08:06,"SUB IN by FOSTER,CHASE",,,,,,,"SUB IN by FOSTER,CHASE",1
08:06,"SUB IN by JOHNSON,STEPHEN",,,,,,,"SUB IN by JOHNSON,STEPHEN",1
08:06,"SUB OUT by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB OUT by MCGAUGHEY,DOMINIQUE",1
08:06,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
08:06,"SUB OUT by BOWMAN,SAM",,,,,,,"SUB OUT by BOWMAN,SAM",1
08:01,"FOUL  by FOSTER,CHASE",,,,,,,"FOUL  by FOSTER,CHASE",1
08:01,,22,,27 (+5),"GOOD FT by JONUS,JASEN",BSC 22-27 (+5),,"GOOD FT by JONUS,JASEN",1
08:01,,22,,28 (+6),"GOOD FT by JONUS,JASEN",BSC 22-28 (+6),,"GOOD FT by JONUS,JASEN",1
08:01,,22,,29 (+7),"GOOD FT by JONUS,JASEN",BSC 22-29 (+7),,"GOOD FT by JONUS,JASEN",1
07:38,"GOOD LAYUP by MUTCHERSON,ROSBIE(in the paint)",24,,29 (+5),,COVENANT 24-29 (+5),,"GOOD LAYUP by MUTCHERSON,ROSBIE(in the paint)",1
07:27,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:13,,,,,"MISS 3PTR by AHUMADA,HART",,,"MISS 3PTR by AHUMADA,HART",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:10,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
07:10,"MISS FT by DEVRIES,JON",,,,,,,"MISS FT by DEVRIES,JON",1
--,,,,,"REBOUND DEF by AHUMADA,HART",,,"REBOUND DEF by AHUMADA,HART",1
07:10,,,,,"SUB IN by RODGERS,PHILLIP",,,"SUB IN by RODGERS,PHILLIP",1
07:10,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
