Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,ELMIRA,Game Score,Team Indicator,Play,Period
11:23,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:23,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
11:23,,,,,"SUB IN by HARKINS,HAYDEN",,,"SUB IN by HARKINS,HAYDEN",1
11:23,,,,,"SUB OUT by HENDERSON,JUSTIN",,,"SUB OUT by HENDERSON,JUSTIN",1
11:01,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by CESARE,NICK",,,"REBOUND DEF by CESARE,NICK",1
10:40,,21 (+8),,13,"GOOD 3PTR by BADMOS,OLADAPO",ELMIRA 21-13 (+8),,"GOOD 3PTR by BADMOS,OLADAPO",1
10:21,"GOOD 3PTR by REPISHTI,BRYAN",24 (+11),,13,,CENTRE_M 24-13 (+11),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
09:59,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",1
09:59,,24 (+10),,14,"GOOD FT by MULLANE,JOHN",ELMIRA 24-14 (+10),,"GOOD FT by MULLANE,JOHN",1
09:59,,24 (+9),,15,"GOOD FT by MULLANE,JOHN",ELMIRA 24-15 (+9),,"GOOD FT by MULLANE,JOHN",1
09:59,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:59,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
09:59,,,,,"SUB IN by BORELLI,DAVID",,,"SUB IN by BORELLI,DAVID",1
09:59,,,,,"SUB OUT by MULLANE,JOHN",,,"SUB OUT by MULLANE,JOHN",1
09:37,"GOOD 3PTR by GUMP,MATT",27 (+12),,15,,CENTRE_M 27-15 (+12),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",1
09:21,,27 (+10),,17,"GOOD JUMPER by HARKINS,HAYDEN",ELMIRA 27-17 (+10),,"GOOD JUMPER by HARKINS,HAYDEN",1
09:02,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
08:58,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by BORELLI,DAVID",,,"REBOUND DEF by BORELLI,DAVID",1
08:41,,,,,"MISS JUMPER by BADMOS,OLADAPO",,,"MISS JUMPER by BADMOS,OLADAPO",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
08:24,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by HARKINS,HAYDEN",,,"REBOUND DEF by HARKINS,HAYDEN",1
08:05,"FOUL  by REPISHTI,BRYAN",,,,,,,"FOUL  by REPISHTI,BRYAN",1
08:05,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
08:05,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
08:05,,,,,"SUB IN by HENDERSON,JUSTIN",,,"SUB IN by HENDERSON,JUSTIN",1
08:05,,,,,"SUB OUT by CESARE,NICK",,,"SUB OUT by CESARE,NICK",1
07:38,,27 (+8),,19,"GOOD JUMPER by DIBBLE,TYLER",ELMIRA 27-19 (+8),,"GOOD JUMPER by DIBBLE,TYLER",1
--,,,,,"ASSIST  by BADMOS,OLADAPO",,,"ASSIST  by BADMOS,OLADAPO",1
07:21,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by BORELLI,DAVID",,,"REBOUND DEF by BORELLI,DAVID",1
07:02,,,,,"TURNOVER  by BADMOS,OLADAPO",,,"TURNOVER  by BADMOS,OLADAPO",1
07:02,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
07:02,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:47,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
06:37,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
06:28,,,,,"FOUL  by HENDERSON,JUSTIN",,,"FOUL  by HENDERSON,JUSTIN",1
06:28,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:28,"GOOD FT by WESLEY,TYLER",28 (+9),,19,,CENTRE_M 28-19 (+9),,"GOOD FT by WESLEY,TYLER",1
06:28,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
06:28,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
06:12,,28 (+7),,21,"GOOD JUMPER by BADMOS,OLADAPO(in the paint)",ELMIRA 28-21 (+7),,"GOOD JUMPER by BADMOS,OLADAPO(in the paint)",1
05:50,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",30 (+9),,21,,CENTRE_M 30-21 (+9),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
05:31,,,,,"MISS JUMPER by BADMOS,OLADAPO",,,"MISS JUMPER by BADMOS,OLADAPO",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:28,,,,,"SUB IN by LEONARDI,GINO",,,"SUB IN by LEONARDI,GINO",1
05:28,,,,,"SUB OUT by BADMOS,OLADAPO",,,"SUB OUT by BADMOS,OLADAPO",1
05:05,,30 (+7),,23,"GOOD LAYUP by BORELLI,DAVID(in the paint)",ELMIRA 30-23 (+7),,"GOOD LAYUP by BORELLI,DAVID(in the paint)",1
--,,,,,"ASSIST  by DIBBLE,TYLER",,,"ASSIST  by DIBBLE,TYLER",1
04:41,"GOOD 3PTR by KARSNER,JOSH",33 (+10),,23,,CENTRE_M 33-23 (+10),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
04:10,,,,,"MISS JUMPER by BORELLI,DAVID",,,"MISS JUMPER by BORELLI,DAVID",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
04:00,"GOOD 3PTR by GEEGAN,MIKE",36 (+13),,23,,CENTRE_M 36-23 (+13),,"GOOD 3PTR by GEEGAN,MIKE",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
03:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:23,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
03:23,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
03:23,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
03:23,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
03:22,,,,,"MISS 3PTR by LEONARDI,GINO",,,"MISS 3PTR by LEONARDI,GINO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:04,"GOOD 3PTR by REPISHTI,BRYAN",39 (+16),,23,,CENTRE_M 39-23 (+16),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
02:41,"FOUL  by GEEGAN,MIKE",,,,,,,"FOUL  by GEEGAN,MIKE",1
02:41,,,,,"MISS FT by HENDERSON,JUSTIN",,,"MISS FT by HENDERSON,JUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:41,,39 (+15),,24,"GOOD FT by HENDERSON,JUSTIN",ELMIRA 39-24 (+15),,"GOOD FT by HENDERSON,JUSTIN",1
02:41,,39 (+14),,25,"GOOD FT by HENDERSON,JUSTIN",ELMIRA 39-25 (+14),,"GOOD FT by HENDERSON,JUSTIN",1
02:41,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
