Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MACM,Game Score,Team Indicator,Play,Period
11:08,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by LONG,BRENT",,,"REBOUND DEF by LONG,BRENT",1
11:06,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
11:06,,,,,"SUB IN by BUHLIG,LANCE",,,"SUB IN by BUHLIG,LANCE",1
11:06,,,,,"SUB OUT by KELTNER,KOLLIN",,,"SUB OUT by KELTNER,KOLLIN",1
10:50,,,,,"MISS 3PTR by SUTTON,HUNTER",,,"MISS 3PTR by SUTTON,HUNTER",1
--,,,,,"REBOUND OFF by WHITLOCK,CLAYTON",,,"REBOUND OFF by WHITLOCK,CLAYTON",1
10:45,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
10:45,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
10:38,,,,,"TURNOVER  by BOTT,ALEX",,,"TURNOVER  by BOTT,ALEX",1
10:36,"STEAL  by BURNS,DREW",,,,,,,"STEAL  by BURNS,DREW",1
10:24,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by LONG,BRENT",,,"REBOUND DEF by LONG,BRENT",1
10:12,,,,,"MISS JUMPER by BUHLIG,LANCE",,,"MISS JUMPER by BUHLIG,LANCE",1
--,,,,,"REBOUND OFF by BOTT,ALEX",,,"REBOUND OFF by BOTT,ALEX",1
10:04,,,,,"MISS 3PTR by BOTT,ALEX",,,"MISS 3PTR by BOTT,ALEX",1
--,,,,,"REBOUND OFF by BUHLIG,LANCE",,,"REBOUND OFF by BUHLIG,LANCE",1
09:59,,,,,"MISS LAYUP by BUHLIG,LANCE",,,"MISS LAYUP by BUHLIG,LANCE",1
09:59,"BLOCK  by BURNS,DREW",,,,,,,"BLOCK  by BURNS,DREW",1
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",1
09:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:52,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:52,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
09:52,,,,,"SUB IN by JOHNSON,DEAVIS",,,"SUB IN by JOHNSON,DEAVIS",1
09:52,,,,,"SUB IN by GUTHRIE,DYLAN",,,"SUB IN by GUTHRIE,DYLAN",1
09:52,,,,,"SUB OUT by BOTT,ALEX",,,"SUB OUT by BOTT,ALEX",1
09:52,,,,,"SUB OUT by LONG,BRENT",,,"SUB OUT by LONG,BRENT",1
09:33,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by WHITLOCK,CLAYTON",,,"REBOUND DEF by WHITLOCK,CLAYTON",1
09:15,,,,,"FOUL  by JOHNSON,DEAVIS",,,"FOUL  by JOHNSON,DEAVIS",1
09:15,,,,,"TURNOVER  by JOHNSON,DEAVIS",,,"TURNOVER  by JOHNSON,DEAVIS",1
09:15,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:15,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
09:15,,,,,"SUB IN by KELTNER,KOLLIN",,,"SUB IN by KELTNER,KOLLIN",1
09:15,,,,,"SUB OUT by JOHNSON,DEAVIS",,,"SUB OUT by JOHNSON,DEAVIS",1
09:13,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",14 (+4),,10,,CCM 14-10 (+4),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
09:04,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",1
09:04,,,,,"SUB IN by WILLIAMS,JAMES",,,"SUB IN by WILLIAMS,JAMES",1
09:04,,,,,"SUB OUT by BUHLIG,LANCE",,,"SUB OUT by BUHLIG,LANCE",1
09:02,,14 (+2),,12,"GOOD JUMPER by SUTTON,HUNTER",MACM 14-12 (+2),,"GOOD JUMPER by SUTTON,HUNTER",1
--,,,,,"ASSIST  by KELTNER,KOLLIN",,,"ASSIST  by KELTNER,KOLLIN",1
08:49,"GOOD 3PTR by KARSNER,JOSH(fastbreak)",17 (+5),,12,,CCM 17-12 (+5),,"GOOD 3PTR by KARSNER,JOSH(fastbreak)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
08:34,,17 (+3),,14,"GOOD JUMPER by SUTTON,HUNTER(in the paint)",MACM 17-14 (+3),,"GOOD JUMPER by SUTTON,HUNTER(in the paint)",1
--,,,,,"ASSIST  by WHITLOCK,CLAYTON",,,"ASSIST  by WHITLOCK,CLAYTON",1
08:10,"GOOD JUMPER by SCINTA,BLAKE",19 (+5),,14,,CCM 19-14 (+5),,"GOOD JUMPER by SCINTA,BLAKE",1
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",1
07:50,,,,,"MISS 3PTR by KELTNER,KOLLIN",,,"MISS 3PTR by KELTNER,KOLLIN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
07:33,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
07:33,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
07:33,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
07:33,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
07:33,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
07:16,,19 (+3),,16,"GOOD JUMPER by WHITLOCK,CLAYTON(in the paint)",MACM 19-16 (+3),,"GOOD JUMPER by WHITLOCK,CLAYTON(in the paint)",1
--,,,,,"ASSIST  by KELTNER,KOLLIN",,,"ASSIST  by KELTNER,KOLLIN",1
06:51,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
06:40,"MISS 3PTR by REPISHTI,BRYAN",,,,,,,"MISS 3PTR by REPISHTI,BRYAN",1
--,,,,,"REBOUND DEF by WHITLOCK,CLAYTON",,,"REBOUND DEF by WHITLOCK,CLAYTON",1
06:18,,19 (+1),,18,"GOOD LAYUP by WHITLOCK,CLAYTON(in the paint)",MACM 19-18 (+1),,"GOOD LAYUP by WHITLOCK,CLAYTON(in the paint)",1
--,,,,,"ASSIST  by SUTTON,HUNTER",,,"ASSIST  by SUTTON,HUNTER",1
06:02,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
06:02,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
06:02,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
06:02,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
06:02,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
06:02,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
06:02,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
06:02,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
06:02,,,,,"SUB IN by LONG,BRENT",,,"SUB IN by LONG,BRENT",1
06:02,,,,,"SUB IN by HUBBLE,CASH",,,"SUB IN by HUBBLE,CASH",1
06:02,,,,,"SUB OUT by WHITLOCK,CLAYTON",,,"SUB OUT by WHITLOCK,CLAYTON",1
06:02,,,,,"SUB OUT by GUTHRIE,DYLAN",,,"SUB OUT by GUTHRIE,DYLAN",1
05:46,,19,,21 (+2),"GOOD 3PTR by WILLIAMS,JAMES",MACM 19-21 (-2),,"GOOD 3PTR by WILLIAMS,JAMES",1
05:27,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",21,,21,,CCM 21-21 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
05:06,,,,,"MISS JUMPER by WILLIAMS,JAMES",,,"MISS JUMPER by WILLIAMS,JAMES",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
04:55,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",1
04:55,,,,,"SUB IN by BOTT,ALEX",,,"SUB IN by BOTT,ALEX",1
04:55,,,,,"SUB OUT by SUTTON,HUNTER",,,"SUB OUT by SUTTON,HUNTER",1
04:35,,,,,"TURNOVER  by WILLIAMS,JAMES",,,"TURNOVER  by WILLIAMS,JAMES",1
04:35,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
04:35,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
04:34,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",23 (+2),,21,,CCM 23-21 (+2),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
04:13,,,,,"TURNOVER  by HUBBLE,CASH",,,"TURNOVER  by HUBBLE,CASH",1
04:13,"STEAL  by GEEGAN,MIKE",,,,,,,"STEAL  by GEEGAN,MIKE",1
04:12,,,,,"FOUL  by HUBBLE,CASH",,,"FOUL  by HUBBLE,CASH",1
04:12,"MISS FT by BURNS,DREW",,,,,,,"MISS FT by BURNS,DREW",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
04:11,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",25 (+4),,21,,CCM 25-21 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
03:56,,,,,"MISS JUMPER by HUBBLE,CASH",,,"MISS JUMPER by HUBBLE,CASH",1
--,,,,,"REBOUND OFF by BOTT,ALEX",,,"REBOUND OFF by BOTT,ALEX",1
03:48,,25 (+1),,24,"GOOD 3PTR by WILLIAMS,JAMES",MACM 25-24 (+1),,"GOOD 3PTR by WILLIAMS,JAMES",1
--,,,,,"ASSIST  by KELTNER,KOLLIN",,,"ASSIST  by KELTNER,KOLLIN",1
03:18,"GOOD 3PTR by GUMP,MATT",28 (+4),,24,,CCM 28-24 (+4),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
02:59,,28 (+2),,26,"GOOD JUMPER by HUBBLE,CASH",MACM 28-26 (+2),,"GOOD JUMPER by HUBBLE,CASH",1
02:48,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by WILLIAMS,JAMES",,,"REBOUND DEF by WILLIAMS,JAMES",1
02:37,,,,,"MISS 3PTR by BOTT,ALEX",,,"MISS 3PTR by BOTT,ALEX",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
02:31,,,,,"FOUL  by LONG,BRENT",,,"FOUL  by LONG,BRENT",1
02:31,"MISS FT by BURNS,DREW",,,,,,,"MISS FT by BURNS,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:31,"MISS FT by BURNS,DREW",,,,,,,"MISS FT by BURNS,DREW",1
--,,,,,"REBOUND DEF by WHITLOCK,CLAYTON",,,"REBOUND DEF by WHITLOCK,CLAYTON",1
02:31,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
02:31,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
02:31,,,,,"SUB IN by WHITLOCK,CLAYTON",,,"SUB IN by WHITLOCK,CLAYTON",1
02:31,,,,,"SUB IN by SNARSKI,BROCK",,,"SUB IN by SNARSKI,BROCK",1
02:31,,,,,"SUB IN by SUTTON,HUNTER",,,"SUB IN by SUTTON,HUNTER",1
02:31,,,,,"SUB OUT by LONG,BRENT",,,"SUB OUT by LONG,BRENT",1
02:31,,,,,"SUB OUT by WILLIAMS,JAMES",,,"SUB OUT by WILLIAMS,JAMES",1
02:31,,,,,"SUB OUT by KELTNER,KOLLIN",,,"SUB OUT by KELTNER,KOLLIN",1
01:59,,,,,"MISS 3PTR by HUBBLE,CASH",,,"MISS 3PTR by HUBBLE,CASH",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
01:54,,,,,"FOUL  by SUTTON,HUNTER",,,"FOUL  by SUTTON,HUNTER",1
01:54,"GOOD FT by SCINTA,BLAKE",29 (+3),,26,,CCM 29-26 (+3),,"GOOD FT by SCINTA,BLAKE",1
01:54,"GOOD FT by SCINTA,BLAKE",30 (+4),,26,,CCM 30-26 (+4),,"GOOD FT by SCINTA,BLAKE",1
01:54,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
01:54,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
01:54,,,,,"SUB IN by GUTHRIE,DYLAN",,,"SUB IN by GUTHRIE,DYLAN",1
01:54,,,,,"SUB OUT by BOTT,ALEX",,,"SUB OUT by BOTT,ALEX",1
01:32,,,,,"MISS JUMPER by SNARSKI,BROCK",,,"MISS JUMPER by SNARSKI,BROCK",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
01:11,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
01:11,,,,,"STEAL  by GUTHRIE,DYLAN",,,"STEAL  by GUTHRIE,DYLAN",1
01:07,,,,,"MISS LAYUP by SNARSKI,BROCK",,,"MISS LAYUP by SNARSKI,BROCK",1
01:07,"BLOCK  by GUMP,MATT",,,,,,,"BLOCK  by GUMP,MATT",1
--,,,,,"REBOUND OFF by SUTTON,HUNTER",,,"REBOUND OFF by SUTTON,HUNTER",1
00:59,,,,,"MISS LAYUP by SUTTON,HUNTER",,,"MISS LAYUP by SUTTON,HUNTER",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
00:56,"GOOD 3PTR by GEEGAN,MIKE(fastbreak)",33 (+7),,26,,CCM 33-26 (+7),,"GOOD 3PTR by GEEGAN,MIKE(fastbreak)",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
00:35,,,,,"MISS LAYUP by SUTTON,HUNTER",,,"MISS LAYUP by SUTTON,HUNTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:35,,,,,"FOUL  by HUBBLE,CASH",,,"FOUL  by HUBBLE,CASH",1
00:35,"GOOD FT by SCINTA,BLAKE",34 (+8),,26,,CCM 34-26 (+8),,"GOOD FT by SCINTA,BLAKE",1
00:35,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by SUTTON,HUNTER",,,"REBOUND DEF by SUTTON,HUNTER",1
00:35,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
00:35,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
00:19,,,,,"TURNOVER  by WHITLOCK,CLAYTON",,,"TURNOVER  by WHITLOCK,CLAYTON",1
00:18,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",1
00:04,"GOOD LAYUP by GUMP,MATT(in the paint)",36 (+10),,26,,CCM 36-26 (+10),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
19:43,"GOOD 3PTR by KARSNER,JOSH",39 (+13),,26,,CCM 39-26 (+13),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
19:11,,,,,"FOUL  by SUTTON,HUNTER",,,"FOUL  by SUTTON,HUNTER",2
19:11,,,,,"TURNOVER  by SUTTON,HUNTER",,,"TURNOVER  by SUTTON,HUNTER",2
19:11,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
19:11,"GOOD FT by KARSNER,JOSH",40 (+14),,26,,CCM 40-26 (+14),,"GOOD FT by KARSNER,JOSH",2
19:11,"GOOD FT by KARSNER,JOSH",41 (+15),,26,,CCM 41-26 (+15),,"GOOD FT by KARSNER,JOSH",2
19:08,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
19:06,,,,,"STEAL  by SUTTON,HUNTER",,,"STEAL  by SUTTON,HUNTER",2
19:03,,,,,"MISS JUMPER by WILLIAMS,JAMES",,,"MISS JUMPER by WILLIAMS,JAMES",2
--,,,,,"REBOUND OFF by WHITLOCK,CLAYTON",,,"REBOUND OFF by WHITLOCK,CLAYTON",2
18:59,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
18:59,,,,,"MISS FT by WHITLOCK,CLAYTON",,,"MISS FT by WHITLOCK,CLAYTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:59,,41 (+14),,27,"GOOD FT by WHITLOCK,CLAYTON",MACM 41-27 (+14),,"GOOD FT by WHITLOCK,CLAYTON",2
18:44,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
18:43,,,,,"STEAL  by WILLIAMS,JAMES",,,"STEAL  by WILLIAMS,JAMES",2
