Time Remaining,FC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,"ASSIST  by SCRUGGS,BRANDON",,,,,,,"ASSIST  by SCRUGGS,BRANDON",1
11:01,"FOUL  by MCCORY,BRETT",,,,,,,"FOUL  by MCCORY,BRETT",1
10:55,"FOUL  by MCCORY,BRETT",,,,,,,"FOUL  by MCCORY,BRETT",1
10:44,,11,,13 (+2),"GOOD FT by SCINTA,BLAKE",CENTRE_M 11-13 (+2),,"GOOD FT by SCINTA,BLAKE",1
10:44,,11,,14 (+3),"GOOD FT by SCINTA,BLAKE",CENTRE_M 11-14 (+3),,"GOOD FT by SCINTA,BLAKE",1
10:44,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",1
10:44,"SUB IN by BOLES,TREY",,,,,,,"SUB IN by BOLES,TREY",1
10:44,"SUB OUT by MCCORY,BRETT",,,,,,,"SUB OUT by MCCORY,BRETT",1
10:44,"SUB OUT by MANN,AARON",,,,,,,"SUB OUT by MANN,AARON",1
10:44,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
10:44,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
10:34,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",13,,14 (+1),,FC 13-14 (+1),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
10:18,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
10:18,"STEAL  by PRATHER,ROBBIE",,,,,,,"STEAL  by PRATHER,ROBBIE",1
10:18,"TURNOVER  by WHITSON,ETHAN",,,,,,,"TURNOVER  by WHITSON,ETHAN",1
10:18,,,,,"STEAL  by STEGGEMAN,ANDREW",,,"STEAL  by STEGGEMAN,ANDREW",1
10:04,"FOUL  by SCRUGGS,BRANDON",,,,,,,"FOUL  by SCRUGGS,BRANDON",1
10:04,,13,,15 (+2),"GOOD FT by KARSNER,JOSH",CENTRE_M 13-15 (+2),,"GOOD FT by KARSNER,JOSH",1
10:04,,13,,16 (+3),"GOOD FT by KARSNER,JOSH",CENTRE_M 13-16 (+3),,"GOOD FT by KARSNER,JOSH",1
10:04,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
10:04,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
10:04,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
10:04,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
09:49,"MISS JUMPER by BEINEKE,JOHN",,,,,,,"MISS JUMPER by BEINEKE,JOHN",1
--,,,,,"REBOUND DEF by BURNS,DREW",,,"REBOUND DEF by BURNS,DREW",1
09:32,,13,,19 (+6),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 13-19 (+6),,"GOOD 3PTR by KARSNER,JOSH",1
09:22,"GOOD 3PTR by PRATHER,ROBBIE",16,,19 (+3),,FC 16-19 (+3),,"GOOD 3PTR by PRATHER,ROBBIE",1
--,"ASSIST  by SCRUGGS,BRANDON",,,,,,,"ASSIST  by SCRUGGS,BRANDON",1
08:47,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",1
08:47,,16,,20 (+4),"GOOD FT by SCINTA,BLAKE",CENTRE_M 16-20 (+4),,"GOOD FT by SCINTA,BLAKE",1
08:47,,16,,21 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE_M 16-21 (+5),,"GOOD FT by SCINTA,BLAKE",1
08:47,"SUB IN by MACE,JIM",,,,,,,"SUB IN by MACE,JIM",1
08:47,"SUB OUT by WHITSON,ETHAN",,,,,,,"SUB OUT by WHITSON,ETHAN",1
08:47,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
08:47,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
08:33,"GOOD JUMPER by MACE,JIM",18,,21 (+3),,FC 18-21 (+3),,"GOOD JUMPER by MACE,JIM",1
08:11,,,,,"MISS 3PTR by ARNETT,MICHAEL",,,"MISS 3PTR by ARNETT,MICHAEL",1
--,"REBOUND DEF by BEINEKE,JOHN",,,,,,,"REBOUND DEF by BEINEKE,JOHN",1
07:45,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
07:41,"MISS JUMPER by BEINEKE,JOHN",,,,,,,"MISS JUMPER by BEINEKE,JOHN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
07:27,"FOUL  by BOLES,TREY",,,,,,,"FOUL  by BOLES,TREY",1
07:27,,18,,22 (+4),"GOOD FT by KARSNER,JOSH",CENTRE_M 18-22 (+4),,"GOOD FT by KARSNER,JOSH",1
07:27,,18,,23 (+5),"GOOD FT by KARSNER,JOSH",CENTRE_M 18-23 (+5),,"GOOD FT by KARSNER,JOSH",1
07:27,"SUB IN by MANN,AARON",,,,,,,"SUB IN by MANN,AARON",1
07:27,"SUB OUT by BOLES,TREY",,,,,,,"SUB OUT by BOLES,TREY",1
07:27,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
07:27,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
07:27,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
07:27,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
06:56,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
06:56,"MISS FT by MACE,JIM",,,,,,,"MISS FT by MACE,JIM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:56,"MISS FT by MACE,JIM",,,,,,,"MISS FT by MACE,JIM",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
06:56,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
06:56,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
06:51,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
06:51,"BLOCK  by MACE,JIM",,,,,,,"BLOCK  by MACE,JIM",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
06:51,,18,,25 (+7),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 18-25 (+7),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
06:41,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",1
--,"REBOUND OFF by BEINEKE,JOHN",,,,,,,"REBOUND OFF by BEINEKE,JOHN",1
06:14,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",20,,25 (+5),,FC 20-25 (+5),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
--,"ASSIST  by MACE,JIM",,,,,,,"ASSIST  by MACE,JIM",1
06:14,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
06:14,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
05:54,,20,,27 (+7),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 20-27 (+7),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
05:38,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",1
05:38,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",1
05:35,,20,,30 (+10),"GOOD 3PTR by GUMP,MATT",CENTRE_M 20-30 (+10),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
05:06,"GOOD LAYUP by MANN,AARON(in the paint)",22,,30 (+8),,FC 22-30 (+8),,"GOOD LAYUP by MANN,AARON(in the paint)",1
04:28,"FOUL  by MACE,JIM",,,,,,,"FOUL  by MACE,JIM",1
04:28,,22,,31 (+9),"GOOD FT by SCINTA,BLAKE",CENTRE_M 22-31 (+9),,"GOOD FT by SCINTA,BLAKE",1
04:28,,22,,32 (+10),"GOOD FT by SCINTA,BLAKE",CENTRE_M 22-32 (+10),,"GOOD FT by SCINTA,BLAKE",1
04:28,"SUB IN by WHITSON,ETHAN",,,,,,,"SUB IN by WHITSON,ETHAN",1
04:28,"SUB IN by NIEHOFF,MATT",,,,,,,"SUB IN by NIEHOFF,MATT",1
04:28,"SUB OUT by MACE,JIM",,,,,,,"SUB OUT by MACE,JIM",1
04:28,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",1
04:28,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
04:28,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
04:28,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
04:28,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
04:22,"MISS LAYUP by WHITSON,ETHAN",,,,,,,"MISS LAYUP by WHITSON,ETHAN",1
--,"REBOUND OFF by WHITSON,ETHAN",,,,,,,"REBOUND OFF by WHITSON,ETHAN",1
04:17,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
04:07,"MISS FT by WHITSON,ETHAN",,,,,,,"MISS FT by WHITSON,ETHAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:32,"MISS FT by WHITSON,ETHAN",,,,,,,"MISS FT by WHITSON,ETHAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
03:16,"FOUL  by WHITSON,ETHAN",,,,,,,"FOUL  by WHITSON,ETHAN",1
03:16,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:16,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
03:16,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
03:16,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
03:16,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
03:16,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
03:15,,22,,35 (+13),"GOOD 3PTR by REPISHTI,BRYAN",CENTRE_M 22-35 (+13),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,,,,,"ASSIST  by GEEGAN,MIKE",,,"ASSIST  by GEEGAN,MIKE",1
03:15,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
03:15,"GOOD FT by WHITSON,ETHAN",23,,35 (+12),,FC 23-35 (+12),,"GOOD FT by WHITSON,ETHAN",1
03:15,"GOOD FT by WHITSON,ETHAN",24,,35 (+11),,FC 24-35 (+11),,"GOOD FT by WHITSON,ETHAN",1
03:15,,24,,38 (+14),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 24-38 (+14),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
03:15,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
03:15,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
02:47,"FOUL  by NIEHOFF,MATT",,,,,,,"FOUL  by NIEHOFF,MATT",1
02:47,"TURNOVER  by NIEHOFF,MATT",,,,,,,"TURNOVER  by NIEHOFF,MATT",1
02:47,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
02:47,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
02:22,,,,,"MISS LAYUP by SCHMUCKER,ZACH",,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,"REBOUND DEF by NIEHOFF,MATT",,,,,,,"REBOUND DEF by NIEHOFF,MATT",1
02:13,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",26,,38 (+12),,FC 26-38 (+12),,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",1
02:13,,26,,40 (+14),"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",CENTRE_M 26-40 (+14),,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",1
02:11,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
01:29,"FOUL  by NIEHOFF,MATT",,,,,,,"FOUL  by NIEHOFF,MATT",1
01:29,,26,,41 (+15),"GOOD FT by KARSNER,JOSH",CENTRE_M 26-41 (+15),,"GOOD FT by KARSNER,JOSH",1
01:29,,26,,42 (+16),"GOOD FT by KARSNER,JOSH",CENTRE_M 26-42 (+16),,"GOOD FT by KARSNER,JOSH",1
01:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:29,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",1
01:29,"SUB OUT by NIEHOFF,MATT",,,,,,,"SUB OUT by NIEHOFF,MATT",1
01:29,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
01:29,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
01:04,,,,,"FOUL  by STEGGEMAN,ANDREW",,,"FOUL  by STEGGEMAN,ANDREW",1
01:04,"GOOD FT by WHITSON,ETHAN",27,,42 (+15),,FC 27-42 (+15),,"GOOD FT by WHITSON,ETHAN",1
01:04,"GOOD FT by WHITSON,ETHAN",28,,42 (+14),,FC 28-42 (+14),,"GOOD FT by WHITSON,ETHAN",1
00:46,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,"REBOUND DEF by BEINEKE,JOHN",,,,,,,"REBOUND DEF by BEINEKE,JOHN",1
00:20,"MISS LAYUP by BEINEKE,JOHN",,,,,,,"MISS LAYUP by BEINEKE,JOHN",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
00:02,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",1
19:43,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
19:43,,28,,45 (+17),"GOOD 3PTR by SCINTA,BLAKE",CENTRE_M 28-45 (+17),,"GOOD 3PTR by SCINTA,BLAKE",2
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",2
19:16,"MISS LAYUP by NIEHOFF,MATT",,,,,,,"MISS LAYUP by NIEHOFF,MATT",2
19:16,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND OFF by MANN,AARON",,,,,,,"REBOUND OFF by MANN,AARON",2
18:48,"MISS JUMPER by MANN,AARON",,,,,,,"MISS JUMPER by MANN,AARON",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
18:43,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",2
18:43,,28,,47 (+19),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 28-47 (+19),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
18:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
18:24,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",30,,47 (+17),,FC 30-47 (+17),,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",2
17:56,,30,,49 (+19),"GOOD JUMPER by GUMP,MATT",CENTRE_M 30-49 (+19),,"GOOD JUMPER by GUMP,MATT",2
17:15,"TURNOVER  by NIEHOFF,MATT",,,,,,,"TURNOVER  by NIEHOFF,MATT",2
17:15,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
17:15,,30,,51 (+21),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 30-51 (+21),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
16:49,"MISS JUMPER by WASHINGTON,TRAE",,,,,,,"MISS JUMPER by WASHINGTON,TRAE",2
--,"REBOUND OFF by MACE,JIM",,,,,,,"REBOUND OFF by MACE,JIM",2
16:34,"GOOD LAYUP by MACE,JIM(in the paint)",32,,51 (+19),,FC 32-51 (+19),,"GOOD LAYUP by MACE,JIM(in the paint)",2
16:11,"FOUL  by NIEHOFF,MATT",,,,,,,"FOUL  by NIEHOFF,MATT",2
16:11,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:11,,32,,52 (+20),"GOOD FT by WESLEY,TYLER",CENTRE_M 32-52 (+20),,"GOOD FT by WESLEY,TYLER",2
16:11,"SUB IN by WHITSON,ETHAN",,,,,,,"SUB IN by WHITSON,ETHAN",2
16:11,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",2
