Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,Period
13:38,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:38,"GOOD FT by SCINTA,BLAKE",53,,53,,CENTRE_M 53-53 (0),,"GOOD FT by SCINTA,BLAKE",2
13:38,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",2
13:38,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
13:10,,,,,"MISS JUMPER by MAYS,DREW",,,"MISS JUMPER by MAYS,DREW",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
13:01,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",55 (+2),,53,,CENTRE_M 55-53 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by REPISHTI,BRYAN",,,,,,,"ASSIST  by REPISHTI,BRYAN",2
12:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:53,,,,,"SUB IN by PIPES,ELIOT",,,"SUB IN by PIPES,ELIOT",2
12:53,,,,,"SUB IN by MANIACCI,LOUIS",,,"SUB IN by MANIACCI,LOUIS",2
12:53,,,,,"SUB OUT by CLARK,JALEN",,,"SUB OUT by CLARK,JALEN",2
12:53,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",2
12:36,,,,,"MISS JUMPER by PIPES,ELIOT",,,"MISS JUMPER by PIPES,ELIOT",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
12:15,,,,,"FOUL  by WILLIAMS,DANIEL",,,"FOUL  by WILLIAMS,DANIEL",2
12:02,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by MUMFORD,DREW",,,"REBOUND DEF by MUMFORD,DREW",2
11:53,,,,,"MISS JUMPER by MUMFORD,DREW",,,"MISS JUMPER by MUMFORD,DREW",2
--,,,,,"REBOUND OFF by MUMFORD,DREW",,,"REBOUND OFF by MUMFORD,DREW",2
11:44,,,,,"TURNOVER  by PIPES,ELIOT",,,"TURNOVER  by PIPES,ELIOT",2
11:41,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
11:26,"GOOD 3PTR by GEEGAN,MIKE",58 (+5),,53,,CENTRE_M 58-53 (+5),,"GOOD 3PTR by GEEGAN,MIKE",2
11:09,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",2
11:09,,58 (+4),,54,"GOOD FT by WILLIAMS,DANIEL",TMC 58-54 (+4),,"GOOD FT by WILLIAMS,DANIEL",2
11:09,,58 (+3),,55,"GOOD FT by WILLIAMS,DANIEL",TMC 58-55 (+3),,"GOOD FT by WILLIAMS,DANIEL",2
11:09,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
11:09,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
11:09,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
11:09,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",2
11:09,,,,,"SUB IN by MCGOVNEY,NATE",,,"SUB IN by MCGOVNEY,NATE",2
11:09,,,,,"SUB OUT by MUMFORD,DREW",,,"SUB OUT by MUMFORD,DREW",2
10:50,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",2
10:50,,,,,"BLOCK  by MANIACCI,LOUIS",,,"BLOCK  by MANIACCI,LOUIS",2
--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",2
10:44,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",2
10:43,,,,,"STEAL  by WILLIAMS,DANIEL",,,"STEAL  by WILLIAMS,DANIEL",2
10:39,,,,,"MISS 3PTR by PIPES,ELIOT",,,"MISS 3PTR by PIPES,ELIOT",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
10:25,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MANIACCI,LOUIS",,,"REBOUND DEF by MANIACCI,LOUIS",2
10:07,,,,,"MISS 3PTR by MCGOVNEY,NATE",,,"MISS 3PTR by MCGOVNEY,NATE",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
09:44,,,,,"FOUL  by MCGOVNEY,NATE",,,"FOUL  by MCGOVNEY,NATE",2
09:44,,,,,"SUB IN by MUMFORD,DREW",,,"SUB IN by MUMFORD,DREW",2
09:44,,,,,"SUB IN by CLARK,JALEN",,,"SUB IN by CLARK,JALEN",2
09:44,,,,,"SUB OUT by MANIACCI,LOUIS",,,"SUB OUT by MANIACCI,LOUIS",2
09:44,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
09:34,"GOOD LAYUP by KARSNER,JOSH(in the paint)",60 (+5),,55,,CENTRE_M 60-55 (+5),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
09:13,,,,,"TURNOVER  by WILLIAMS,DANIEL",,,"TURNOVER  by WILLIAMS,DANIEL",2
09:11,"STEAL  by REPISHTI,BRYAN",,,,,,,"STEAL  by REPISHTI,BRYAN",2
08:54,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
08:52,,,,,"STEAL  by PIPES,ELIOT",,,"STEAL  by PIPES,ELIOT",2
08:48,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
08:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:40,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
08:40,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
08:40,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",2
08:40,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
08:30,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
08:25,"MISS LAYUP by GEEGAN,MIKE",,,,,,,"MISS LAYUP by GEEGAN,MIKE",2
--,,,,,"REBOUND DEF by CLARK,JALEN",,,"REBOUND DEF by CLARK,JALEN",2
08:17,,,,,"MISS LAYUP by MAYS,DREW",,,"MISS LAYUP by MAYS,DREW",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:13,,,,,"TURNOVER  by MAYS,DREW",,,"TURNOVER  by MAYS,DREW",2
08:11,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",2
07:49,,,,,"FOUL  by MUMFORD,DREW",,,"FOUL  by MUMFORD,DREW",2
07:49,"GOOD FT by KARSNER,JOSH",61 (+6),,55,,CENTRE_M 61-55 (+6),,"GOOD FT by KARSNER,JOSH",2
07:49,"GOOD FT by KARSNER,JOSH",62 (+7),,55,,CENTRE_M 62-55 (+7),,"GOOD FT by KARSNER,JOSH",2
07:49,"GOOD FT by KARSNER,JOSH",63 (+8),,55,,CENTRE_M 63-55 (+8),,"GOOD FT by KARSNER,JOSH",2
07:41,,63 (+6),,57,"GOOD JUMPER by MCGOVNEY,NATE",TMC 63-57 (+6),,"GOOD JUMPER by MCGOVNEY,NATE",2
07:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:38,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
07:38,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
07:38,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
07:38,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",2
07:38,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
07:38,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",2
07:30,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
07:19,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
07:19,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:19,"GOOD FT by GUMP,MATT",64 (+7),,57,,CENTRE_M 64-57 (+7),,"GOOD FT by GUMP,MATT",2
07:19,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
07:19,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
07:03,,,,,"MISS LAYUP by PIPES,ELIOT",,,"MISS LAYUP by PIPES,ELIOT",2
--,,,,,"REBOUND OFF by MUMFORD,DREW",,,"REBOUND OFF by MUMFORD,DREW",2
06:59,,64 (+5),,59,"GOOD LAYUP by MUMFORD,DREW(in the paint)",TMC 64-59 (+5),,"GOOD LAYUP by MUMFORD,DREW(in the paint)",2
06:41,"GOOD 3PTR by GUMP,MATT",67 (+8),,59,,CENTRE_M 67-59 (+8),,"GOOD 3PTR by GUMP,MATT",2
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",2
06:27,,,,,"MISS JUMPER by MCGOVNEY,NATE",,,"MISS JUMPER by MCGOVNEY,NATE",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
06:16,,,,,"FOUL  by MUMFORD,DREW",,,"FOUL  by MUMFORD,DREW",2
06:16,"GOOD FT by WESLEY,TYLER",68 (+9),,59,,CENTRE_M 68-59 (+9),,"GOOD FT by WESLEY,TYLER",2
06:16,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by MUMFORD,DREW",,,"REBOUND DEF by MUMFORD,DREW",2
06:05,,,,,"MISS 3PTR by CLARK,JALEN",,,"MISS 3PTR by CLARK,JALEN",2
--,,,,,"REBOUND OFF by MCGOVNEY,NATE",,,"REBOUND OFF by MCGOVNEY,NATE",2
05:59,,,,,"MISS LAYUP by MUMFORD,DREW",,,"MISS LAYUP by MUMFORD,DREW",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
05:37,"GOOD 3PTR by KARSNER,JOSH",71 (+12),,59,,CENTRE_M 71-59 (+12),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
05:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:33,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",2
05:33,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
05:10,,,,,"TURNOVER  by MCGOVNEY,NATE",,,"TURNOVER  by MCGOVNEY,NATE",2
05:08,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
04:57,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
04:36,,,,,"MISS LAYUP by PIPES,ELIOT",,,"MISS LAYUP by PIPES,ELIOT",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
04:25,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
04:24,,,,,"STEAL  by MAYS,DREW",,,"STEAL  by MAYS,DREW",2
04:23,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
04:23,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",2
04:23,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
04:14,,,,,"MISS JUMPER by MAYS,DREW",,,"MISS JUMPER by MAYS,DREW",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
03:55,"GOOD LAYUP by GEEGAN,MIKE(in the paint)",73 (+14),,59,,CENTRE_M 73-59 (+14),,"GOOD LAYUP by GEEGAN,MIKE(in the paint)",2
03:26,,73 (+11),,62,"GOOD 3PTR by PIPES,ELIOT",TMC 73-62 (+11),,"GOOD 3PTR by PIPES,ELIOT",2
--,,,,,"ASSIST  by MUMFORD,DREW",,,"ASSIST  by MUMFORD,DREW",2
03:03,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
03:03,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
03:03,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
03:03,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
03:03,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
03:03,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",2
02:52,,,,,"MISS LAYUP by MUMFORD,DREW",,,"MISS LAYUP by MUMFORD,DREW",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
02:40,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
02:38,,,,,"STEAL  by MCGOVNEY,NATE",,,"STEAL  by MCGOVNEY,NATE",2
02:35,,73 (+9),,64,"GOOD LAYUP by MCGOVNEY,NATE(fastbreak)(in the paint)",TMC 73-64 (+9),,"GOOD LAYUP by MCGOVNEY,NATE(fastbreak)(in the paint)",2
02:22,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
02:21,,,,,"STEAL  by PIPES,ELIOT",,,"STEAL  by PIPES,ELIOT",2
02:21,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
02:21,,,,,"MISS FT by PIPES,ELIOT",,,"MISS FT by PIPES,ELIOT",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
02:21,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
02:21,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
02:21,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
02:21,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
02:03,,,,,"FOUL  by MCGOVNEY,NATE",,,"FOUL  by MCGOVNEY,NATE",2
02:03,"GOOD FT by GUMP,MATT",74 (+10),,64,,CENTRE_M 74-64 (+10),,"GOOD FT by GUMP,MATT",2
02:03,"GOOD FT by GUMP,MATT",75 (+11),,64,,CENTRE_M 75-64 (+11),,"GOOD FT by GUMP,MATT",2
02:03,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
02:03,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
02:03,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",2
02:03,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
02:03,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",2
02:03,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
01:56,,75 (+8),,67,"GOOD 3PTR by MCGOVNEY,NATE",TMC 75-67 (+8),,"GOOD 3PTR by MCGOVNEY,NATE",2
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",2
01:55,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
01:55,,75 (+7),,68,"GOOD FT by MCGOVNEY,NATE",TMC 75-68 (+7),,"GOOD FT by MCGOVNEY,NATE",2
01:55,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
01:55,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
01:55,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
01:55,,,,,"SUB IN by PIPES,ELIOT",,,"SUB IN by PIPES,ELIOT",2
01:55,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",2
01:55,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
01:52,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
01:52,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
01:52,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
01:52,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",2
01:52,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
01:52,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
01:52,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",2
01:41,,75 (+5),,70,"GOOD LAYUP by MAYS,DREW(in the paint)",TMC 75-70 (+5),,"GOOD LAYUP by MAYS,DREW(in the paint)",2
01:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:35,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
01:35,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
01:35,,,,,"SUB IN by PIPES,ELIOT",,,"SUB IN by PIPES,ELIOT",2
01:35,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
01:35,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",2
01:35,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
01:21,"GOOD DUNK by WESLEY,TYLER(in the paint)",77 (+7),,70,,CENTRE_M 77-70 (+7),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
01:07,,,,,"MISS LAYUP by MCGOVNEY,NATE",,,"MISS LAYUP by MCGOVNEY,NATE",2
01:07,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:07,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
01:07,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",2
01:07,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",2
01:07,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
01:02,,,,,"TURNOVER  by MAYS,DREW",,,"TURNOVER  by MAYS,DREW",2
01:02,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
01:02,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
01:02,,,,,"SUB IN by WALSH,BRYSON",,,"SUB IN by WALSH,BRYSON",2
01:02,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
01:02,,,,,"SUB IN by YOUNG,AUSTIN",,,"SUB IN by YOUNG,AUSTIN",2
01:02,,,,,"SUB IN by PIPES,ELIOT",,,"SUB IN by PIPES,ELIOT",2
01:02,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",2
01:02,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",2
00:50,,,,,"FOUL  by MCGOVNEY,NATE",,,"FOUL  by MCGOVNEY,NATE",2
00:50,"GOOD FT by KARSNER,JOSH",78 (+8),,70,,CENTRE_M 78-70 (+8),,"GOOD FT by KARSNER,JOSH",2
00:50,"GOOD FT by KARSNER,JOSH",79 (+9),,70,,CENTRE_M 79-70 (+9),,"GOOD FT by KARSNER,JOSH",2
00:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:50,,,,,"SUB OUT by WALSH,BRYSON",,,"SUB OUT by WALSH,BRYSON",2
00:50,,,,,"SUB OUT by YOUNG,AUSTIN",,,"SUB OUT by YOUNG,AUSTIN",2
00:41,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",2
--,,,,,"REBOUND DEF by YOUNG,AUSTIN",,,"REBOUND DEF by YOUNG,AUSTIN",2
00:38,,,,,"FOUL  by CLARK,JALEN",,,"FOUL  by CLARK,JALEN",2
00:38,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:38,"GOOD FT by WESLEY,TYLER",80 (+10),,70,,CENTRE_M 80-70 (+10),,"GOOD FT by WESLEY,TYLER",2
00:38,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",2
00:38,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
00:38,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",2
00:38,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",2
00:30,,80 (+7),,73,"GOOD 3PTR by CLARK,JALEN",TMC 80-73 (+7),,"GOOD 3PTR by CLARK,JALEN",2
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",2
00:29,,,,,"FOUL  by MUMFORD,DREW",,,"FOUL  by MUMFORD,DREW",2
00:27,"GOOD FT by GUMP,MATT",81 (+8),,73,,CENTRE_M 81-73 (+8),,"GOOD FT by GUMP,MATT",2
00:27,"GOOD FT by GUMP,MATT",82 (+9),,73,,CENTRE_M 82-73 (+9),,"GOOD FT by GUMP,MATT",2
00:21,,82 (+7),,75,"GOOD JUMPER by MAYS,DREW",TMC 82-75 (+7),,"GOOD JUMPER by MAYS,DREW",2
00:18,,,,,"FOUL  by MAYS,DREW",,,"FOUL  by MAYS,DREW",2
00:18,"GOOD FT by GUMP,MATT",83 (+8),,75,,CENTRE_M 83-75 (+8),,"GOOD FT by GUMP,MATT",2
00:18,"GOOD FT by GUMP,MATT",84 (+9),,75,,CENTRE_M 84-75 (+9),,"GOOD FT by GUMP,MATT",2
00:13,,,,,"MISS 3PTR by CLARK,JALEN",,,"MISS 3PTR by CLARK,JALEN",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
