Time Remaining,HDNM,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
13:12,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
12:57,,11,,14 (+3),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CCM 11-14 (+3),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
12:40,"GOOD JUMPER by ASHLEY,ANDRE(in the paint)",13,,14 (+1),,HDNM 13-14 (+1),,"GOOD JUMPER by ASHLEY,ANDRE(in the paint)",1
--,"ASSIST  by POPOVICH,WYATT",,,,,,,"ASSIST  by POPOVICH,WYATT",1
12:20,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by LAYSON,ALEX",,,,,,,"REBOUND DEF by LAYSON,ALEX",1
11:58,"MISS 3PTR by JONES,RJ",,,,,,,"MISS 3PTR by JONES,RJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:55,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",1
11:55,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
11:55,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
11:55,"SUB IN by DAVIS,JEROME",,,,,,,"SUB IN by DAVIS,JEROME",1
11:55,"SUB OUT by HUGHES,TAYLOR",,,,,,,"SUB OUT by HUGHES,TAYLOR",1
11:55,"SUB OUT by JONES,RJ",,,,,,,"SUB OUT by JONES,RJ",1
11:55,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
11:36,,13,,17 (+4),"GOOD 3PTR by KARSNER,JOSH",CCM 13-17 (+4),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by REPISHTI,BRYAN",,,"ASSIST  by REPISHTI,BRYAN",1
10:59,,,,,"FOUL  by ARNETT,MICHAEL",,,"FOUL  by ARNETT,MICHAEL",1
10:59,"GOOD FT by DAVIS,JEROME",14,,17 (+3),,HDNM 14-17 (+3),,"GOOD FT by DAVIS,JEROME",1
10:59,"GOOD FT by DAVIS,JEROME",15,,17 (+2),,HDNM 15-17 (+2),,"GOOD FT by DAVIS,JEROME",1
10:59,"GOOD FT by DAVIS,JEROME",16,,17 (+1),,HDNM 16-17 (+1),,"GOOD FT by DAVIS,JEROME",1
10:10,,16,,20 (+4),"GOOD 3PTR by KARSNER,JOSH",CCM 16-20 (+4),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
09:59,"MISS 3PTR by LAYSON,ALEX",,,,,,,"MISS 3PTR by LAYSON,ALEX",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
09:37,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by ARNETT,MICHAEL",,,"REBOUND OFF by ARNETT,MICHAEL",1
09:36,"FOUL  by WASHINGTON,DANTAVIUS",,,,,,,"FOUL  by WASHINGTON,DANTAVIUS",1
09:36,,,,,"MISS FT by ARNETT,MICHAEL",,,"MISS FT by ARNETT,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:36,,16,,21 (+5),"GOOD FT by ARNETT,MICHAEL",CCM 16-21 (+5),,"GOOD FT by ARNETT,MICHAEL",1
09:36,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
09:36,"SUB OUT by POPOVICH,WYATT",,,,,,,"SUB OUT by POPOVICH,WYATT",1
09:36,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
09:36,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
09:35,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
09:33,,16,,24 (+8),"GOOD 3PTR by KARSNER,JOSH",CCM 16-24 (+8),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
09:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:32,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
09:32,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
09:12,"GOOD LAYUP by BERRY,RAHEEM(in the paint)",18,,24 (+6),,HDNM 18-24 (+6),,"GOOD LAYUP by BERRY,RAHEEM(in the paint)",1
09:11,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
09:11,"MISS FT by BERRY,RAHEEM",,,,,,,"MISS FT by BERRY,RAHEEM",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
08:57,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by LAYSON,ALEX",,,,,,,"REBOUND DEF by LAYSON,ALEX",1
08:47,"FOUL  by LAYSON,ALEX",,,,,,,"FOUL  by LAYSON,ALEX",1
08:47,"TURNOVER  by LAYSON,ALEX",,,,,,,"TURNOVER  by LAYSON,ALEX",1
08:47,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
08:47,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
08:29,,18,,26 (+8),"GOOD JUMPER by SCINTA,BLAKE",CCM 18-26 (+8),,"GOOD JUMPER by SCINTA,BLAKE",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
