Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
12:01,,,,,"FOUL  by STEINHART,JACOB",,,"FOUL  by STEINHART,JACOB",1
12:01,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
12:01,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
12:01,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
12:01,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
12:01,,,,,"SUB IN by BINGHAM,EVAN",,,"SUB IN by BINGHAM,EVAN",1
12:01,,,,,"SUB OUT by STEINHART,JACOB",,,"SUB OUT by STEINHART,JACOB",1
11:50,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:50,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
11:38,,10,,12 (+2),"GOOD 3PTR by KLEUNEN,MICHAEL VAN",HANOVER 10-12 (-2),,"GOOD 3PTR by KLEUNEN,MICHAEL VAN",1
--,,,,,"ASSIST  by BINGHAM,EVAN",,,"ASSIST  by BINGHAM,EVAN",1
11:23,"GOOD JUMPER by KARSNER,JOSH",12,,12,,CENTRE 12-12 (0),,"GOOD JUMPER by KARSNER,JOSH",1
11:06,,,,,"MISS JUMPER by BINGHAM,EVAN",,,"MISS JUMPER by BINGHAM,EVAN",1
--,"REBOUND DEF by REPISHTI,BRYAN",,,,,,,"REBOUND DEF by REPISHTI,BRYAN",1
10:51,,,,,"FOUL  by BUCK,LEVI",,,"FOUL  by BUCK,LEVI",1
10:51,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
