Time Remaining,WESM1415,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
18:26,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",2
18:18,"GOOD 3PTR by MACKEY,JACK",51 (+16),,35,,WESM1415 51-35 (-16),,"GOOD 3PTR by MACKEY,JACK",2
--,"ASSIST  by DAVIS,BJ",,,,,,,"ASSIST  by DAVIS,BJ",2
18:05,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",2
18:05,"BLOCK  by EPPS,RASHID",,,,,,,"BLOCK  by EPPS,RASHID",2
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",2
17:52,"MISS LAYUP by KUO,JOSEPH",,,,,,,"MISS LAYUP by KUO,JOSEPH",2
--,"REBOUND OFF by KUO,JOSEPH",,,,,,,"REBOUND OFF by KUO,JOSEPH",2
17:44,"TURNOVER  by KUO,JOSEPH",,,,,,,"TURNOVER  by KUO,JOSEPH",2
17:43,,,,,"STEAL  by GALFSKY,ANDER",,,"STEAL  by GALFSKY,ANDER",2
17:40,,51 (+13),,38,"GOOD 3PTR by WELCH,ROSS",BSC 51-38 (-13),,"GOOD 3PTR by WELCH,ROSS",2
--,,,,,"ASSIST  by GALFSKY,ANDER",,,"ASSIST  by GALFSKY,ANDER",2
17:12,"MISS JUMPER by EPPS,RASHID",,,,,,,"MISS JUMPER by EPPS,RASHID",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
16:58,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",2
--,"REBOUND DEF by RAFFERTY,HARRY",,,,,,,"REBOUND DEF by RAFFERTY,HARRY",2
16:49,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
16:49,"MISS FT by RAFFERTY,HARRY",,,,,,,"MISS FT by RAFFERTY,HARRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:49,"GOOD FT by RAFFERTY,HARRY",52 (+14),,38,,WESM1415 52-38 (-14),,"GOOD FT by RAFFERTY,HARRY",2
16:49,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",2
16:49,"SUB OUT by KUO,JOSEPH",,,,,,,"SUB OUT by KUO,JOSEPH",2
16:49,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",2
16:49,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
16:32,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND OFF by MACKEY,JACK",,,,,,,"REBOUND OFF by MACKEY,JACK",2
16:04,"GOOD LAYUP by EPPS,RASHID(in the paint)",54 (+16),,38,,WESM1415 54-38 (-16),,"GOOD LAYUP by EPPS,RASHID(in the paint)",2
15:52,,54 (+14),,40,"GOOD LAYUP by WELCH,ROSS(in the paint)",BSC 54-40 (-14),,"GOOD LAYUP by WELCH,ROSS(in the paint)",2
15:38,"TURNOVER  by MACKEY,JACK",,,,,,,"TURNOVER  by MACKEY,JACK",2
15:26,,,,,"MISS 3PTR by AVERY,ALEX",,,"MISS 3PTR by AVERY,ALEX",2
15:16,,,,,"MISS 3PTR by AVERY,ALEX",,,"MISS 3PTR by AVERY,ALEX",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:02,"SUB IN by EDMONDS,JOE",,,,,,,"SUB IN by EDMONDS,JOE",2
15:02,"SUB OUT by RAFFERTY,HARRY",,,,,,,"SUB OUT by RAFFERTY,HARRY",2
15:01,,54 (+12),,42,"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 54-42 (-12),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
14:46,"GOOD LAYUP by DAVIS,BJ(in the paint)",56 (+14),,42,,WESM1415 56-42 (-14),,"GOOD LAYUP by DAVIS,BJ(in the paint)",2
--,"ASSIST  by MACKEY,JACK",,,,,,,"ASSIST  by MACKEY,JACK",2
14:19,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",2
13:55,"MISS JUMPER by EPPS,RASHID",,,,,,,"MISS JUMPER by EPPS,RASHID",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
13:43,"FOUL  by EPPS,RASHID",,,,,,,"FOUL  by EPPS,RASHID",2
13:43,,,,,"MISS FT by GALFSKY,ANDER",,,"MISS FT by GALFSKY,ANDER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:43,,56 (+13),,43,"GOOD FT by GALFSKY,ANDER",BSC 56-43 (-13),,"GOOD FT by GALFSKY,ANDER",2
13:43,"SUB IN by GALLIVAN,TIM",,,,,,,"SUB IN by GALLIVAN,TIM",2
13:43,"SUB IN by RAFFERTY,HARRY",,,,,,,"SUB IN by RAFFERTY,HARRY",2
13:43,"SUB IN by KUO,JOSEPH",,,,,,,"SUB IN by KUO,JOSEPH",2
13:43,"SUB OUT by EPPS,RASHID",,,,,,,"SUB OUT by EPPS,RASHID",2
13:43,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",2
13:43,"SUB OUT by DAVIS,BJ",,,,,,,"SUB OUT by DAVIS,BJ",2
13:43,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
13:43,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",2
13:43,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
13:43,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
13:43,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",2
13:43,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
13:43,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",2
13:43,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
13:26,"MISS LAYUP by KUO,JOSEPH",,,,,,,"MISS LAYUP by KUO,JOSEPH",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
13:09,"FOUL  by EDMONDS,JOE",,,,,,,"FOUL  by EDMONDS,JOE",2
12:47,,,,,"TURNOVER  by HARDIMAN,BEN",,,"TURNOVER  by HARDIMAN,BEN",2
12:46,"STEAL  by RAFFERTY,HARRY",,,,,,,"STEAL  by RAFFERTY,HARRY",2
12:27,"MISS LAYUP by KUO,JOSEPH",,,,,,,"MISS LAYUP by KUO,JOSEPH",2
--,"REBOUND OFF by KUO,JOSEPH",,,,,,,"REBOUND OFF by KUO,JOSEPH",2
12:22,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
12:22,"MISS FT by KUO,JOSEPH",,,,,,,"MISS FT by KUO,JOSEPH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:22,"GOOD FT by KUO,JOSEPH",57 (+14),,43,,WESM1415 57-43 (-14),,"GOOD FT by KUO,JOSEPH",2
12:14,"FOUL  by KUO,JOSEPH",,,,,,,"FOUL  by KUO,JOSEPH",2
11:55,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",2
--,"REBOUND DEF by GALLIVAN,TIM",,,,,,,"REBOUND DEF by GALLIVAN,TIM",2
11:44,"MISS LAYUP by KUO,JOSEPH",,,,,,,"MISS LAYUP by KUO,JOSEPH",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
11:38,,57 (+12),,45,"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 57-45 (-12),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
11:19,,,,,"FOUL  by HARDIMAN,BEN",,,"FOUL  by HARDIMAN,BEN",2
11:19,"GOOD FT by RAFFERTY,HARRY",58 (+13),,45,,WESM1415 58-45 (-13),,"GOOD FT by RAFFERTY,HARRY",2
11:19,"GOOD FT by RAFFERTY,HARRY",59 (+14),,45,,WESM1415 59-45 (-14),,"GOOD FT by RAFFERTY,HARRY",2
11:19,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",2
11:19,"SUB IN by SEARS,JORDAN",,,,,,,"SUB IN by SEARS,JORDAN",2
11:19,"SUB IN by DAVIS,BJ",,,,,,,"SUB IN by DAVIS,BJ",2
11:19,"SUB IN by EPPS,RASHID",,,,,,,"SUB IN by EPPS,RASHID",2
11:19,"SUB OUT by GALLIVAN,TIM",,,,,,,"SUB OUT by GALLIVAN,TIM",2
11:19,"SUB OUT by EDMONDS,JOE",,,,,,,"SUB OUT by EDMONDS,JOE",2
11:19,"SUB OUT by MACKEY,JACK",,,,,,,"SUB OUT by MACKEY,JACK",2
11:19,"SUB OUT by KUO,JOSEPH",,,,,,,"SUB OUT by KUO,JOSEPH",2
11:19,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",2
11:19,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
11:15,"FOUL  by RAFFERTY,HARRY",,,,,,,"FOUL  by RAFFERTY,HARRY",2
11:10,,59 (+11),,48,"GOOD 3PTR by CRAIN,JOHN",BSC 59-48 (-11),,"GOOD 3PTR by CRAIN,JOHN",2
--,,,,,"ASSIST  by HOLLE,MASON",,,"ASSIST  by HOLLE,MASON",2
10:45,,,,,"FOUL  by HARDIMAN,BEN",,,"FOUL  by HARDIMAN,BEN",2
10:45,"GOOD FT by SEARS,JORDAN",60 (+12),,48,,WESM1415 60-48 (-12),,"GOOD FT by SEARS,JORDAN",2
10:45,"GOOD FT by SEARS,JORDAN",61 (+13),,48,,WESM1415 61-48 (-13),,"GOOD FT by SEARS,JORDAN",2
10:26,,61 (+11),,50,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 61-50 (-11),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
10:13,"GOOD LAYUP by EPPS,RASHID(in the paint)",63 (+13),,50,,WESM1415 63-50 (-13),,"GOOD LAYUP by EPPS,RASHID(in the paint)",2
--,"ASSIST  by RAFFERTY,HARRY",,,,,,,"ASSIST  by RAFFERTY,HARRY",2
10:07,,,,,"MISS LAYUP by HARDIMAN,BEN",,,"MISS LAYUP by HARDIMAN,BEN",2
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",2
09:53,"GOOD 3PTR by RAFFERTY,HARRY",66 (+16),,50,,WESM1415 66-50 (-16),,"GOOD 3PTR by RAFFERTY,HARRY",2
--,"ASSIST  by DAVIS,BJ",,,,,,,"ASSIST  by DAVIS,BJ",2
09:33,,,,,"MISS 3PTR by HOLLE,MASON",,,"MISS 3PTR by HOLLE,MASON",2
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",2
09:01,"MISS 3PTR by RAFFERTY,HARRY",,,,,,,"MISS 3PTR by RAFFERTY,HARRY",2
--,"REBOUND OFF by EPPS,RASHID",,,,,,,"REBOUND OFF by EPPS,RASHID",2
08:57,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
08:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:57,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
08:57,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",2
08:57,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
08:57,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
08:57,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",2
08:57,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",2
08:57,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
08:57,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",2
08:57,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
08:57,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
08:52,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",2
08:52,"GOOD FT by EDMONDS,JOE",67 (+17),,50,,WESM1415 67-50 (-17),,"GOOD FT by EDMONDS,JOE",2
08:52,"GOOD FT by EDMONDS,JOE",68 (+18),,50,,WESM1415 68-50 (-18),,"GOOD FT by EDMONDS,JOE",2
08:52,"SUB IN by EDMONDS,JOE",,,,,,,"SUB IN by EDMONDS,JOE",2
08:52,"SUB IN by MACKEY,JACK",,,,,,,"SUB IN by MACKEY,JACK",2
08:52,"SUB IN by KUO,JOSEPH",,,,,,,"SUB IN by KUO,JOSEPH",2
08:52,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",2
08:52,"SUB OUT by RAFFERTY,HARRY",,,,,,,"SUB OUT by RAFFERTY,HARRY",2
08:52,"SUB OUT by SEARS,JORDAN",,,,,,,"SUB OUT by SEARS,JORDAN",2
08:39,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,,,,,"REBOUND OFF by GALFSKY,ANDER",,,"REBOUND OFF by GALFSKY,ANDER",2
08:35,"FOUL  by EDMONDS,JOE",,,,,,,"FOUL  by EDMONDS,JOE",2
08:35,,,,,"MISS FT by GALFSKY,ANDER",,,"MISS FT by GALFSKY,ANDER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:35,,68 (+17),,51,"GOOD FT by GALFSKY,ANDER",BSC 68-51 (-17),,"GOOD FT by GALFSKY,ANDER",2
08:29,"MISS JUMPER by DAVIS,BJ",,,,,,,"MISS JUMPER by DAVIS,BJ",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
08:06,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by EDMONDS,JOE",,,,,,,"REBOUND DEF by EDMONDS,JOE",2
08:02,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",2
08:02,"GOOD FT by EDMONDS,JOE",69 (+18),,51,,WESM1415 69-51 (-18),,"GOOD FT by EDMONDS,JOE",2
08:02,"GOOD FT by EDMONDS,JOE",70 (+19),,51,,WESM1415 70-51 (-19),,"GOOD FT by EDMONDS,JOE",2
08:02,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",2
08:02,"SUB OUT by KUO,JOSEPH",,,,,,,"SUB OUT by KUO,JOSEPH",2
08:02,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
08:02,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
08:02,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",2
08:02,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
07:52,,70 (+17),,53,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 70-53 (-17),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",2
07:23,"TURNOVER  by EDMONDS,JOE",,,,,,,"TURNOVER  by EDMONDS,JOE",2
07:10,,70 (+15),,55,"GOOD JUMPER by WELCH,ROSS",BSC 70-55 (-15),,"GOOD JUMPER by WELCH,ROSS",2
06:56,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
06:42,"TURNOVER  by DAVIS,BJ",,,,,,,"TURNOVER  by DAVIS,BJ",2
06:42,"SUB IN by RAFFERTY,HARRY",,,,,,,"SUB IN by RAFFERTY,HARRY",2
06:42,"SUB IN by SEARS,JORDAN",,,,,,,"SUB IN by SEARS,JORDAN",2
06:42,"SUB IN by KUO,JOSEPH",,,,,,,"SUB IN by KUO,JOSEPH",2
06:42,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",2
06:42,"SUB OUT by EDMONDS,JOE",,,,,,,"SUB OUT by EDMONDS,JOE",2
06:42,"SUB OUT by DAVIS,BJ",,,,,,,"SUB OUT by DAVIS,BJ",2
06:20,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",2
06:18,"STEAL  by EPPS,RASHID",,,,,,,"STEAL  by EPPS,RASHID",2
06:08,"GOOD 3PTR by MACKEY,JACK",73 (+18),,55,,WESM1415 73-55 (-18),,"GOOD 3PTR by MACKEY,JACK",2
05:58,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
05:58,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
05:42,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
05:42,"GOOD FT by KUO,JOSEPH",74 (+19),,55,,WESM1415 74-55 (-19),,"GOOD FT by KUO,JOSEPH",2
05:42,"MISS FT by KUO,JOSEPH",,,,,,,"MISS FT by KUO,JOSEPH",2
--,"REBOUND OFF by EPPS,RASHID",,,,,,,"REBOUND OFF by EPPS,RASHID",2
05:39,"MISS LAYUP by EPPS,RASHID",,,,,,,"MISS LAYUP by EPPS,RASHID",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
05:33,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
05:33,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",2
05:33,"SUB IN by GALLIVAN,TIM",,,,,,,"SUB IN by GALLIVAN,TIM",2
05:33,"SUB IN by DAVIS,BJ",,,,,,,"SUB IN by DAVIS,BJ",2
05:33,"SUB OUT by EPPS,RASHID",,,,,,,"SUB OUT by EPPS,RASHID",2
05:33,"SUB OUT by SEARS,JORDAN",,,,,,,"SUB OUT by SEARS,JORDAN",2
05:28,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",2
05:28,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
05:28,,,,,"SUB IN by HAYES,CONNER",,,"SUB IN by HAYES,CONNER",2
05:28,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
05:28,,,,,"SUB IN by MCKINLEY,CONNOR",,,"SUB IN by MCKINLEY,CONNOR",2
05:28,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
05:28,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
05:28,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
05:28,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
05:28,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
05:10,"MISS 3PTR by MACKEY,JACK",,,,,,,"MISS 3PTR by MACKEY,JACK",2
--,,,,,"REBOUND DEF by HAYES,CONNER",,,"REBOUND DEF by HAYES,CONNER",2
--,,,,,"REBOUND OFF by MCKINLEY,CONNOR",,,"REBOUND OFF by MCKINLEY,CONNOR",2
04:45,,,,,"STEAL  by HOLLE,MASON",,,"STEAL  by HOLLE,MASON",2
04:41,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
04:40,"STEAL  by GALVIN,BRYAN",,,,,,,"STEAL  by GALVIN,BRYAN",2
04:36,"TURNOVER  by GALVIN,BRYAN",,,,,,,"TURNOVER  by GALVIN,BRYAN",2
04:35,"STEAL  by DAVIS,BJ",,,,,,,"STEAL  by DAVIS,BJ",2
04:32,"GOOD LAYUP by RAFFERTY,HARRY(in the paint)",76 (+21),,55,,WESM1415 76-55 (-21),,"GOOD LAYUP by RAFFERTY,HARRY(in the paint)",2
04:10,"FOUL  by DAVIS,BJ",,,,,,,"FOUL  by DAVIS,BJ",2
04:10,"SUB IN by SEARS,JORDAN",,,,,,,"SUB IN by SEARS,JORDAN",2
04:10,"SUB OUT by MACKEY,JACK",,,,,,,"SUB OUT by MACKEY,JACK",2
04:01,,,,,"MISS JUMPER by BARRON,MAC",,,"MISS JUMPER by BARRON,MAC",2
04:01,"BLOCK  by KUO,JOSEPH",,,,,,,"BLOCK  by KUO,JOSEPH",2
--,"REBOUND DEF by KUO,JOSEPH",,,,,,,"REBOUND DEF by KUO,JOSEPH",2
03:31,"MISS LAYUP by KUO,JOSEPH",,,,,,,"MISS LAYUP by KUO,JOSEPH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:14,"FOUL  by KUO,JOSEPH",,,,,,,"FOUL  by KUO,JOSEPH",2
03:14,,76 (+20),,56,"GOOD FT by BARRON,MAC",BSC 76-56 (-20),,"GOOD FT by BARRON,MAC",2
03:14,,,,,"MISS FT by BARRON,MAC",,,"MISS FT by BARRON,MAC",2
--,"REBOUND DEF by MACKEY,JACK",,,,,,,"REBOUND DEF by MACKEY,JACK",2
03:14,"SUB IN by EDMONDS,JOE",,,,,,,"SUB IN by EDMONDS,JOE",2
03:14,"SUB IN by MACKEY,JACK",,,,,,,"SUB IN by MACKEY,JACK",2
03:14,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",2
03:14,"SUB OUT by RAFFERTY,HARRY",,,,,,,"SUB OUT by RAFFERTY,HARRY",2
03:14,"SUB OUT by SEARS,JORDAN",,,,,,,"SUB OUT by SEARS,JORDAN",2
03:14,"SUB OUT by KUO,JOSEPH",,,,,,,"SUB OUT by KUO,JOSEPH",2
02:48,"MISS 3PTR by EDMONDS,JOE",,,,,,,"MISS 3PTR by EDMONDS,JOE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:43,"SUB IN by GALVIN,BRYAN",,,,,,,"SUB IN by GALVIN,BRYAN",2
02:43,"SUB IN by REED,PJ",,,,,,,"SUB IN by REED,PJ",2
02:43,"SUB IN by REID,DAVIS",,,,,,,"SUB IN by REID,DAVIS",2
02:43,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",2
02:43,"SUB OUT by MACKEY,JACK",,,,,,,"SUB OUT by MACKEY,JACK",2
02:43,"SUB OUT by DAVIS,BJ",,,,,,,"SUB OUT by DAVIS,BJ",2
02:27,,,,,"TURNOVER  by MCKINLEY,CONNOR",,,"TURNOVER  by MCKINLEY,CONNOR",2
02:27,"SUB IN by SEARS,JORDAN",,,,,,,"SUB IN by SEARS,JORDAN",2
02:27,"SUB OUT by EDMONDS,JOE",,,,,,,"SUB OUT by EDMONDS,JOE",2
02:19,"TURNOVER  by GALVIN,BRYAN",,,,,,,"TURNOVER  by GALVIN,BRYAN",2
02:17,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",2
02:15,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by MCKINLEY,CONNOR",,,"REBOUND OFF by MCKINLEY,CONNOR",2
02:11,,,,,"MISS LAYUP by MCKINLEY,CONNOR",,,"MISS LAYUP by MCKINLEY,CONNOR",2
--,"REBOUND DEF by REID,DAVIS",,,,,,,"REBOUND DEF by REID,DAVIS",2
01:55,"GOOD JUMPER by REED,PJ",78 (+22),,56,,WESM1415 78-56 (-22),,"GOOD JUMPER by REED,PJ",2
01:42,"FOUL  by REED,PJ",,,,,,,"FOUL  by REED,PJ",2
01:42,,78 (+21),,57,"GOOD FT by BARRON,MAC",BSC 78-57 (-21),,"GOOD FT by BARRON,MAC",2
01:42,,,,,"MISS FT by BARRON,MAC",,,"MISS FT by BARRON,MAC",2
--,"REBOUND DEF by GALLIVAN,TIM",,,,,,,"REBOUND DEF by GALLIVAN,TIM",2
01:28,"MISS 3PTR by GALVIN,BRYAN",,,,,,,"MISS 3PTR by GALVIN,BRYAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:21,"MISS 3PTR by REID,DAVIS",,,,,,,"MISS 3PTR by REID,DAVIS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:16,"MISS 3PTR by REID,DAVIS",,,,,,,"MISS 3PTR by REID,DAVIS",2
--,,,,,"REBOUND DEF by HAYES,CONNER",,,"REBOUND DEF by HAYES,CONNER",2
01:07,,78 (+18),,60,"GOOD 3PTR by DENEKA,HARRISON",BSC 78-60 (-18),,"GOOD 3PTR by DENEKA,HARRISON",2
--,,,,,"ASSIST  by MCKINLEY,CONNOR",,,"ASSIST  by MCKINLEY,CONNOR",2
00:46,"GOOD LAYUP by REED,PJ(in the paint)",80 (+20),,60,,WESM1415 80-60 (-20),,"GOOD LAYUP by REED,PJ(in the paint)",2
--,"ASSIST  by GALVIN,BRYAN",,,,,,,"ASSIST  by GALVIN,BRYAN",2
00:39,,80 (+18),,62,"GOOD JUMPER by HAYES,CONNER",BSC 80-62 (-18),,"GOOD JUMPER by HAYES,CONNER",2
--,,,,,"ASSIST  by MCKINLEY,CONNOR",,,"ASSIST  by MCKINLEY,CONNOR",2
00:19,"MISS 3PTR by GALVIN,BRYAN",,,,,,,"MISS 3PTR by GALVIN,BRYAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:04,,,,,"MISS JUMPER by BARRON,MAC",,,"MISS JUMPER by BARRON,MAC",2
--,"REBOUND DEF by SEARS,JORDAN",,,,,,,"REBOUND DEF by SEARS,JORDAN",2
