Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SUMB14,Game Score,Team Indicator,Play,Period
17:43,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2,,6 (+4),,BSC 2-6 (-4),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
17:15,,,,,"TURNOVER  by ABRAMS,JAMES",,,"TURNOVER  by ABRAMS,JAMES",1
17:15,,,,,"SUB IN by LAVENDAR,JOVANTE",,,"SUB IN by LAVENDAR,JOVANTE",1
17:15,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
17:06,"GOOD LAYUP by THOM,IAN(in the paint)",4,,6 (+2),,BSC 4-6 (-2),,"GOOD LAYUP by THOM,IAN(in the paint)",1
16:52,,,,,"FOUL  by LAVENDAR,JOVANTE",,,"FOUL  by LAVENDAR,JOVANTE",1
16:33,"GOOD JUMPER by AVERY,ALEX",6,,6,,BSC 6-6 (0),,"GOOD JUMPER by AVERY,ALEX",1
16:12,,,,,"MISS JUMPER by GOEING,BRANDON",,,"MISS JUMPER by GOEING,BRANDON",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
15:57,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
15:48,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by GABRIEL,BRANDON",,,"REBOUND DEF by GABRIEL,BRANDON",1
15:30,,,,,"TURNOVER  by LAVENDAR,JOVANTE",,,"TURNOVER  by LAVENDAR,JOVANTE",1
15:30,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
15:30,,,,,"SUB OUT by LAVENDAR,JOVANTE",,,"SUB OUT by LAVENDAR,JOVANTE",1
15:23,"GOOD LAYUP by WELCH,ROSS(in the paint)",8 (+2),,6,,BSC 8-6 (+2),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
15:15,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
14:50,,8,,8,"GOOD JUMPER by MOORE,RENALDO",SUMB14 8-8 (0),,"GOOD JUMPER by MOORE,RENALDO",1
14:42,,,,,"FOUL  by GABRIEL,BRANDON",,,"FOUL  by GABRIEL,BRANDON",1
14:42,"GOOD FT by WELCH,ROSS",9 (+1),,8,,BSC 9-8 (+1),,"GOOD FT by WELCH,ROSS",1
14:42,"GOOD FT by WELCH,ROSS",10 (+2),,8,,BSC 10-8 (+2),,"GOOD FT by WELCH,ROSS",1
14:42,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
14:42,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
14:42,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
14:42,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
14:42,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
14:42,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
14:42,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
14:42,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
14:42,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
14:42,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
14:42,,,,,"SUB IN by SELLARS,CHAD",,,"SUB IN by SELLARS,CHAD",1
14:42,,,,,"SUB IN by COSBY,VICTOR",,,"SUB IN by COSBY,VICTOR",1
14:42,,,,,"SUB IN by LEWIS,DONNIE",,,"SUB IN by LEWIS,DONNIE",1
14:42,,,,,"SUB OUT by ABRAMS,JAMES",,,"SUB OUT by ABRAMS,JAMES",1
14:42,,,,,"SUB OUT by GABRIEL,BRANDON",,,"SUB OUT by GABRIEL,BRANDON",1
14:42,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
14:08,"FOUL  by HARDIMAN,BEN",,,,,,,"FOUL  by HARDIMAN,BEN",1
14:08,,10 (+1),,9,"GOOD FT by MOORE,RENALDO",SUMB14 10-9 (+1),,"GOOD FT by MOORE,RENALDO",1
14:08,,,,,"MISS FT by MOORE,RENALDO",,,"MISS FT by MOORE,RENALDO",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
13:46,"MISS 3PTR by HOLLE,MASON",,,,,,,"MISS 3PTR by HOLLE,MASON",1
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",1
13:26,"MISS 3PTR by HOLLE,MASON",,,,,,,"MISS 3PTR by HOLLE,MASON",1
--,,,,,"REBOUND DEF by COSBY,VICTOR",,,"REBOUND DEF by COSBY,VICTOR",1
13:04,,,,,"MISS JUMPER by TURNER,JAMES",,,"MISS JUMPER by TURNER,JAMES",1
--,"REBOUND DEF by HOLLE,MASON",,,,,,,"REBOUND DEF by HOLLE,MASON",1
12:50,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",1
12:49,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
12:42,,10,,11 (+1),"GOOD LAYUP by TURNER,JAMES(fastbreak)(in the paint)",SUMB14 10-11 (-1),,"GOOD LAYUP by TURNER,JAMES(fastbreak)(in the paint)",1
12:42,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",1
12:42,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
12:28,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:24,,,,,"FOUL  by COSBY,VICTOR",,,"FOUL  by COSBY,VICTOR",1
12:24,,,,,"SUB IN by GABRIEL,BRANDON",,,"SUB IN by GABRIEL,BRANDON",1
12:24,,,,,"SUB IN by GOEING,BRANDON",,,"SUB IN by GOEING,BRANDON",1
12:24,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
12:24,,,,,"SUB OUT by LEWIS,DONNIE",,,"SUB OUT by LEWIS,DONNIE",1
12:16,"GOOD 3PTR by CRAIN,JOHN",13 (+2),,11,,BSC 13-11 (+2),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by HARDIMAN,BEN",,,,,,,"ASSIST  by HARDIMAN,BEN",1
12:01,,,,,"TURNOVER  by COSBY,VICTOR",,,"TURNOVER  by COSBY,VICTOR",1
11:38,,,,,"SUB IN by LEWIS,DONNIE",,,"SUB IN by LEWIS,DONNIE",1
11:38,,,,,"SUB OUT by COSBY,VICTOR",,,"SUB OUT by COSBY,VICTOR",1
11:35,"MISS JUMPER by HARDIMAN,BEN",,,,,,,"MISS JUMPER by HARDIMAN,BEN",1
--,,,,,"REBOUND DEF by SELLARS,CHAD",,,"REBOUND DEF by SELLARS,CHAD",1
11:22,,,,,"MISS JUMPER by MOORE,RENALDO",,,"MISS JUMPER by MOORE,RENALDO",1
11:22,"BLOCK  by HARDIMAN,BEN",,,,,,,"BLOCK  by HARDIMAN,BEN",1
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",1
11:14,,,,,"FOUL  by LEWIS,DONNIE",,,"FOUL  by LEWIS,DONNIE",1
11:05,"GOOD JUMPER by MCLEAN,JAMES",15 (+4),,11,,BSC 15-11 (+4),,"GOOD JUMPER by MCLEAN,JAMES",1
11:05,,,,,"FOUL  by SELLARS,CHAD",,,"FOUL  by SELLARS,CHAD",1
11:05,"GOOD FT by MCLEAN,JAMES",16 (+5),,11,,BSC 16-11 (+5),,"GOOD FT by MCLEAN,JAMES",1
10:46,,,,,"FOUL  by GABRIEL,BRANDON",,,"FOUL  by GABRIEL,BRANDON",1
10:46,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
10:46,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",1
10:46,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
10:46,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:46,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
10:46,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
10:46,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
10:46,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
10:46,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
10:46,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
10:39,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
10:37,,,,,"STEAL  by MOORE,RENALDO",,,"STEAL  by MOORE,RENALDO",1
10:34,,,,,"TURNOVER  by MOORE,RENALDO",,,"TURNOVER  by MOORE,RENALDO",1
10:30,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
10:26,"TURNOVER  by BARRON,MAC",,,,,,,"TURNOVER  by BARRON,MAC",1
10:26,,,,,"SUB IN by LAVENDAR,JOVANTE",,,"SUB IN by LAVENDAR,JOVANTE",1
10:26,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
10:26,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
10:26,,,,,"SUB OUT by GABRIEL,BRANDON",,,"SUB OUT by GABRIEL,BRANDON",1
10:12,,,,,"TURNOVER  by SELLARS,CHAD",,,"TURNOVER  by SELLARS,CHAD",1
10:00,"GOOD LAYUP by BARRON,MAC(in the paint)",18 (+7),,11,,BSC 18-11 (+7),,"GOOD LAYUP by BARRON,MAC(in the paint)",1
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",1
09:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:59,,,,,"SUB IN by ABRAMS,JAMES",,,"SUB IN by ABRAMS,JAMES",1
09:59,,,,,"SUB OUT by MOORE,RENALDO",,,"SUB OUT by MOORE,RENALDO",1
09:44,,,,,"TURNOVER  by LAVENDAR,JOVANTE",,,"TURNOVER  by LAVENDAR,JOVANTE",1
09:34,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:32,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",1
09:20,,,,,"MISS 3PTR by LEWIS,DONNIE",,,"MISS 3PTR by LEWIS,DONNIE",1
--,"REBOUND DEF by BARRON,MAC",,,,,,,"REBOUND DEF by BARRON,MAC",1
09:02,"TURNOVER  by BARRON,MAC",,,,,,,"TURNOVER  by BARRON,MAC",1
09:00,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
08:59,"FOUL  by HAYES,CONNER",,,,,,,"FOUL  by HAYES,CONNER",1
08:59,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:59,,18 (+6),,12,"GOOD FT by TURNER,JAMES",SUMB14 18-12 (+6),,"GOOD FT by TURNER,JAMES",1
08:59,,,,,"SUB IN by GOEING,BRANDON",,,"SUB IN by GOEING,BRANDON",1
08:59,,,,,"SUB OUT by LEWIS,DONNIE",,,"SUB OUT by LEWIS,DONNIE",1
08:47,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND DEF by HAYES,CONNER",,,,,,,"REBOUND DEF by HAYES,CONNER",1
08:29,"MISS JUMPER by BARRON,MAC",,,,,,,"MISS JUMPER by BARRON,MAC",1
--,"REBOUND OFF by BARRON,MAC",,,,,,,"REBOUND OFF by BARRON,MAC",1
08:21,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
08:21,"MISS FT by MARTIN,SAM",,,,,,,"MISS FT by MARTIN,SAM",1
--,,,,,"REBOUND DEF by LAVENDAR,JOVANTE",,,"REBOUND DEF by LAVENDAR,JOVANTE",1
08:21,,,,,"SUB IN by MOORE,RENALDO",,,"SUB IN by MOORE,RENALDO",1
08:21,,,,,"SUB OUT by SELLARS,CHAD",,,"SUB OUT by SELLARS,CHAD",1
08:06,,,,,"TURNOVER  by LAVENDAR,JOVANTE",,,"TURNOVER  by LAVENDAR,JOVANTE",1
08:03,"STEAL  by HAYES,CONNER",,,,,,,"STEAL  by HAYES,CONNER",1
08:01,"TURNOVER  by HAYES,CONNER",,,,,,,"TURNOVER  by HAYES,CONNER",1
07:59,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
07:57,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
07:56,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",1
07:55,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
07:53,"GOOD FT by THOMAS,LARRY",19 (+7),,12,,BSC 19-12 (+7),,"GOOD FT by THOMAS,LARRY",1
07:53,"GOOD FT by THOMAS,LARRY",20 (+8),,12,,BSC 20-12 (+8),,"GOOD FT by THOMAS,LARRY",1
07:53,,,,,"SUB IN by LEON,CHRIS",,,"SUB IN by LEON,CHRIS",1
07:53,,,,,"SUB IN by GABRIEL,BRANDON",,,"SUB IN by GABRIEL,BRANDON",1
07:53,,,,,"SUB OUT by ABRAMS,JAMES",,,"SUB OUT by ABRAMS,JAMES",1
07:53,,,,,"SUB OUT by LAVENDAR,JOVANTE",,,"SUB OUT by LAVENDAR,JOVANTE",1
07:35,,20 (+6),,14,"GOOD JUMPER by GOEING,BRANDON",SUMB14 20-14 (+6),,"GOOD JUMPER by GOEING,BRANDON",1
07:32,,,,,SUB IN by 0,,,SUB IN by 0,1
07:32,,,,,"SUB OUT by LEON,CHRIS",,,"SUB OUT by LEON,CHRIS",1
07:28,"GOOD 3PTR by THOMAS,LARRY",23 (+9),,14,,BSC 23-14 (+9),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
07:12,,23 (+6),,17,"GOOD 3PTR by GOEING,BRANDON",SUMB14 23-17 (+6),,"GOOD 3PTR by GOEING,BRANDON",1
--,,,,,"ASSIST  by ABRAMS,JAMES",,,"ASSIST  by ABRAMS,JAMES",1
07:00,"GOOD LAYUP by THOMAS,LARRY(in the paint)",25 (+8),,17,,BSC 25-17 (+8),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
06:33,,,,,"TURNOVER  by GABRIEL,BRANDON",,,"TURNOVER  by GABRIEL,BRANDON",1
06:31,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
06:29,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",27 (+10),,17,,BSC 27-17 (+10),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",1
06:06,,27 (+8),,19,"GOOD JUMPER by TURNER,JAMES",SUMB14 27-19 (+8),,"GOOD JUMPER by TURNER,JAMES",1
--,,,,,"ASSIST  by GOEING,BRANDON",,,"ASSIST  by GOEING,BRANDON",1
05:50,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",1
05:16,,,,,"FOUL  by MOORE,RENALDO",,,"FOUL  by MOORE,RENALDO",1
05:16,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
05:16,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
05:16,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
05:16,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
05:16,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
05:16,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
05:16,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",1
05:16,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
05:16,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",1
05:16,,,,,"SUB IN by SELLARS,CHAD",,,"SUB IN by SELLARS,CHAD",1
05:16,,,,,"SUB IN by COSBY,VICTOR",,,"SUB IN by COSBY,VICTOR",1
05:16,,,,,"SUB IN by LEWIS,DONNIE",,,"SUB IN by LEWIS,DONNIE",1
05:16,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
05:16,,,,,"SUB OUT by GABRIEL,BRANDON",,,"SUB OUT by GABRIEL,BRANDON",1
05:16,,,,,SUB OUT by 0,,,SUB OUT by 0,1
05:12,,27 (+5),,22,"GOOD 3PTR by GOEING,BRANDON",SUMB14 27-22 (+5),,"GOOD 3PTR by GOEING,BRANDON",1
05:04,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",1
04:57,"GOOD JUMPER by AVERY,ALEX",29 (+7),,22,,BSC 29-22 (+7),,"GOOD JUMPER by AVERY,ALEX",1
04:52,,,,,"SUB IN by LEON,CHRIS",,,"SUB IN by LEON,CHRIS",1
04:52,,,,,"SUB OUT by SELLARS,CHAD",,,"SUB OUT by SELLARS,CHAD",1
04:42,,,,,"MISS JUMPER by MOORE,RENALDO",,,"MISS JUMPER by MOORE,RENALDO",1
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
04:28,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",1
04:15,"GOOD 3PTR by THOMAS,LARRY",32 (+10),,22,,BSC 32-22 (+10),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
03:58,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
03:47,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",1
03:20,,,,,"MISS JUMPER by COSBY,VICTOR",,,"MISS JUMPER by COSBY,VICTOR",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
03:08,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
03:08,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
03:08,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
03:08,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
03:08,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
03:08,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
03:08,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:08,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
03:08,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
03:08,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
03:08,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
02:42,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",1
02:32,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
02:12,"MISS JUMPER by HARDIMAN,BEN",,,,,,,"MISS JUMPER by HARDIMAN,BEN",1
02:12,,,,,"BLOCK  by GOEING,BRANDON",,,"BLOCK  by GOEING,BRANDON",1
--,,,,,"REBOUND DEF by MOORE,RENALDO",,,"REBOUND DEF by MOORE,RENALDO",1
02:00,,,,,"MISS JUMPER by MOORE,RENALDO",,,"MISS JUMPER by MOORE,RENALDO",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
01:54,"MISS 3PTR by HOLLE,MASON",,,,,,,"MISS 3PTR by HOLLE,MASON",1
--,,,,,"REBOUND DEF by GOEING,BRANDON",,,"REBOUND DEF by GOEING,BRANDON",1
01:50,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
01:50,,32 (+9),,23,"GOOD FT by GOEING,BRANDON",SUMB14 32-23 (+9),,"GOOD FT by GOEING,BRANDON",1
01:50,,32 (+8),,24,"GOOD FT by GOEING,BRANDON",SUMB14 32-24 (+8),,"GOOD FT by GOEING,BRANDON",1
01:50,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
01:50,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
01:50,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
01:50,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
01:50,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
01:50,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
01:50,,,,,SUB IN by 0,,,SUB IN by 0,1
01:50,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
01:37,"GOOD 3PTR by THOMAS,LARRY",35 (+11),,24,,BSC 35-24 (+11),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
01:17,,35 (+9),,26,"GOOD JUMPER by MOORE,RENALDO",SUMB14 35-26 (+9),,"GOOD JUMPER by MOORE,RENALDO",1
01:02,"GOOD 3PTR by CRAIN,JOHN",38 (+12),,26,,BSC 38-26 (+12),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
00:25,,38 (+10),,28,"GOOD JUMPER by COSBY,VICTOR",SUMB14 38-28 (+10),,"GOOD JUMPER by COSBY,VICTOR",1
--,,,,,"ASSIST  by LEWIS,DONNIE",,,"ASSIST  by LEWIS,DONNIE",1
00:07,"GOOD 3PTR by CRAIN,JOHN",41 (+13),,28,,BSC 41-28 (+13),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
00:00,,,,,"MISS 3PTR by MOORE,RENALDO",,,"MISS 3PTR by MOORE,RENALDO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:36,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
19:10,"GOOD JUMPER by AVERY,ALEX",43 (+15),,28,,BSC 43-28 (+15),,"GOOD JUMPER by AVERY,ALEX",2
18:53,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",2
18:34,,,,,"TURNOVER  by MOORE,RENALDO",,,"TURNOVER  by MOORE,RENALDO",2
18:31,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
18:18,"GOOD JUMPER by AVERY,ALEX",45 (+17),,28,,BSC 45-28 (+17),,"GOOD JUMPER by AVERY,ALEX",2
--,"ASSIST  by GALFSKY,ANDER",,,,,,,"ASSIST  by GALFSKY,ANDER",2
17:55,,45 (+15),,30,"GOOD LAYUP by TURNER,JAMES(in the paint)",SUMB14 45-30 (+15),,"GOOD LAYUP by TURNER,JAMES(in the paint)",2
17:39,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by MOORE,RENALDO",,,"REBOUND DEF by MOORE,RENALDO",2
