Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
02:12,,64,,64,"GOOD 3PTR by SHOFFNER,SPENCER",MVCM 64-64 (0),,"GOOD 3PTR by SHOFFNER,SPENCER",3
--,,,,,"ASSIST  by BREWER,LOGAN",,,"ASSIST  by BREWER,LOGAN",3
02:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
02:07,,,,,"SUB IN by BYRD,JAUMONEE",,,"SUB IN by BYRD,JAUMONEE",3
02:07,,,,,"SUB OUT by BREWER,LOGAN",,,"SUB OUT by BREWER,LOGAN",3
01:59,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",3
01:58,,,,,"STEAL  by BOWYER,JAYLEN",,,"STEAL  by BOWYER,JAYLEN",3
01:54,,,,,"SUB IN by BOWYER,JAYLEN",,,"SUB IN by BOWYER,JAYLEN",3
01:54,,,,,"SUB OUT by FORD,CHRISTIAN",,,"SUB OUT by FORD,CHRISTIAN",3
01:40,,,,,"MISS 3PTR by BUTLER,OSCAR",,,"MISS 3PTR by BUTLER,OSCAR",3
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",3
01:16,"GOOD 3PTR by THOMAS,LARRY",67 (+3),,64,,BSC 67-64 (+3),,"GOOD 3PTR by THOMAS,LARRY",3
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",3
00:55,,67 (+1),,66,"GOOD JUMPER by BUTLER,OSCAR",MVCM 67-66 (+1),,"GOOD JUMPER by BUTLER,OSCAR",3
00:25,"GOOD 3PTR by THOMAS,LARRY",70 (+4),,66,,BSC 70-66 (+4),,"GOOD 3PTR by THOMAS,LARRY",3
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",3
00:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:23,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",3
00:23,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",3
00:23,,,,,"SUB IN by FORD,CHRISTIAN",,,"SUB IN by FORD,CHRISTIAN",3
00:23,,,,,"SUB OUT by BOWYER,JAYLEN",,,"SUB OUT by BOWYER,JAYLEN",3
00:09,,,,,"MISS JUMPER by FORD,CHRISTIAN",,,"MISS JUMPER by FORD,CHRISTIAN",3
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",3
00:07,,,,,"FOUL  by TORRES,TANNER",,,"FOUL  by TORRES,TANNER",3
00:07,"GOOD FT by THOMAS,LARRY",71 (+5),,66,,BSC 71-66 (+5),,"GOOD FT by THOMAS,LARRY",3
00:07,"GOOD FT by THOMAS,LARRY",72 (+6),,66,,BSC 72-66 (+6),,"GOOD FT by THOMAS,LARRY",3
00:04,,,,,"MISS 3PTR by TORRES,TANNER",,,"MISS 3PTR by TORRES,TANNER",3
--,,,,,"REBOUND OFF by BUTLER,OSCAR",,,"REBOUND OFF by BUTLER,OSCAR",3
00:00,,72 (+4),,68,"GOOD JUMPER by BUTLER,OSCAR(in the paint)",MVCM 72-68 (+4),,"GOOD JUMPER by BUTLER,OSCAR(in the paint)",3
