Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
13:09,,7,,18 (+11),"GOOD FT by HOLLAND,MICHAEL",ACM 7-18 (-11),,"GOOD FT by HOLLAND,MICHAEL",1
12:55,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",9,,18 (+9),,MIL 9-18 (-9),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
12:52,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:50,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",1
12:40,,,,,"MISS 3PTR by ROLAND,DEVIN",,,"MISS 3PTR by ROLAND,DEVIN",1
--,"REBOUND DEF by CARVELLI,CAMERON",,,,,,,"REBOUND DEF by CARVELLI,CAMERON",1
12:32,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
12:32,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
12:27,"GOOD 3PTR by BURNETT,DREW",12,,18 (+6),,MIL 12-18 (-6),,"GOOD 3PTR by BURNETT,DREW",1
--,"ASSIST ASSIST by CARVELLI,CAMERON",,,,,,,"ASSIST ASSIST by CARVELLI,CAMERON",1
12:16,,,,,TIMEOUT 30s by TEAM,,,TIMEOUT 30s by TEAM,1
12:16,,,,,"SUB IN by CLEAMONS,JAYLYN",,,"SUB IN by CLEAMONS,JAYLYN",1
12:16,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
12:13,,,,,"TURNOVER  by ROLAND,DEVIN",,,"TURNOVER  by ROLAND,DEVIN",1
12:13,"STEAL  by BECKER,SAXTON",,,,,,,"STEAL  by BECKER,SAXTON",1
12:13,,,,,"FOUL  by ROLAND,DEVIN",,,"FOUL  by ROLAND,DEVIN",1
12:13,"GOOD FT by BECKER,SAXTON",13,,18 (+5),,MIL 13-18 (-5),,"GOOD FT by BECKER,SAXTON",1
12:13,"GOOD FT by BECKER,SAXTON",14,,18 (+4),,MIL 14-18 (-4),,"GOOD FT by BECKER,SAXTON",1
12:04,,,,,"MISS JUMPER by ROLAND,DEVIN",,,"MISS JUMPER by ROLAND,DEVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:01,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",1
