Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
00:02,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
00:02,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
00:00,,,,,"FOUL  by DURHAM,JONATHAN",,,"FOUL  by DURHAM,JONATHAN",1
00:00,"GOOD FT by MEADS,TYSIN",30,,31 (+1),,MIL 30-31 (-1),,"GOOD FT by MEADS,TYSIN",1
00:00,"MISS FT by MEADS,TYSIN",,,,,,,"MISS FT by MEADS,TYSIN",1
--,"REBOUND OFF by MEADS,TYSIN",,,,,,,"REBOUND OFF by MEADS,TYSIN",1
19:47,,30,,34 (+4),"GOOD 3PTR by ROBERTS,JOSHUA",BU 30-34 (-4),,"GOOD 3PTR by ROBERTS,JOSHUA",2
--,,,,,"ASSIST  by JONES,JOSEPH",,,"ASSIST  by JONES,JOSEPH",2
19:32,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",2
19:11,,,,,"MISS JUMPER by WORKS,JOHN",,,"MISS JUMPER by WORKS,JOHN",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
19:11,"BLOCK  by GILLIHAN,NEWLON",,,,,,,"BLOCK  by GILLIHAN,NEWLON",2
18:37,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",2
18:25,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",2
18:25,,,,,"MISS FT by JONES,JOSEPH",,,"MISS FT by JONES,JOSEPH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:25,,30,,35 (+5),"GOOD FT by JONES,JOSEPH",BU 30-35 (-5),,"GOOD FT by JONES,JOSEPH",2
18:19,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by WORKS,JOHN",,,"REBOUND DEF by WORKS,JOHN",2
18:03,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",2
18:03,,30,,36 (+6),"GOOD FT by WORKS,JOHN",BU 30-36 (-6),,"GOOD FT by WORKS,JOHN",2
18:03,,30,,37 (+7),"GOOD FT by WORKS,JOHN",BU 30-37 (-7),,"GOOD FT by WORKS,JOHN",2
18:03,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
18:03,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",2
17:58,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",2
17:58,,,,,"STEAL  by JONES,JOSEPH",,,"STEAL  by JONES,JOSEPH",2
17:49,,30,,39 (+9),"GOOD LAYUP by JONES,JOSEPH(in the paint)",BU 30-39 (-9),,"GOOD LAYUP by JONES,JOSEPH(in the paint)",2
17:01,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
17:01,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
17:01,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
17:01,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
17:01,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
17:01,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
17:01,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
17:01,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
16:59,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:50,,,,,"TURNOVER  by ROBERTS,JOSHUA",,,"TURNOVER  by ROBERTS,JOSHUA",2
16:31,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",2
--,,,,,"REBOUND DEF by ROBERTS,JOSHUA",,,"REBOUND DEF by ROBERTS,JOSHUA",2
16:28,,,,,"MISS JUMPER by JONES,JOSEPH",,,"MISS JUMPER by JONES,JOSEPH",2
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",2
16:11,"GOOD 3PTR by BURNETT,DREW(fastbreak)",33,,39 (+6),,MIL 33-39 (-6),,"GOOD 3PTR by BURNETT,DREW(fastbreak)",2
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",2
15:58,,33,,42 (+9),"GOOD 3PTR by WORKS,JOHN",BU 33-42 (-9),,"GOOD 3PTR by WORKS,JOHN",2
--,,,,,"ASSIST  by JONES,JOSEPH",,,"ASSIST  by JONES,JOSEPH",2
15:51,"TURNOVER  by OWENS,MATT",,,,,,,"TURNOVER  by OWENS,MATT",2
15:46,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
15:46,,33,,43 (+10),"GOOD FT by JONES,JOSEPH(fastbreak)",BU 33-43 (-10),,"GOOD FT by JONES,JOSEPH(fastbreak)",2
15:46,,33,,44 (+11),"GOOD FT by JONES,JOSEPH(fastbreak)",BU 33-44 (-11),,"GOOD FT by JONES,JOSEPH(fastbreak)",2
15:42,"GOOD LAYUP by BECKER,SAXTON(in the paint)",35,,44 (+9),,MIL 35-44 (-9),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",2
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",2
15:42,,,,,"MISS 3PTR by JONES,JUSTIN",,,"MISS 3PTR by JONES,JUSTIN",2
--,,,,,"REBOUND OFF by WORKS,JOHN",,,"REBOUND OFF by WORKS,JOHN",2
15:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:42,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",2
15:42,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
15:42,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",2
15:42,,,,,"SUB IN by REED,AUSTIN",,,"SUB IN by REED,AUSTIN",2
15:42,,,,,"SUB IN by LONG,LARAMIE",,,"SUB IN by LONG,LARAMIE",2
15:42,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",2
15:42,,,,,"SUB IN by PRUITT,KELVIN",,,"SUB IN by PRUITT,KELVIN",2
15:42,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",2
15:42,,,,,"SUB OUT by WORKS,JOHN",,,"SUB OUT by WORKS,JOHN",2
15:42,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",2
15:42,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",2
15:42,,,,,"SUB OUT by COOKS,BROSNAN",,,"SUB OUT by COOKS,BROSNAN",2
15:37,,,,,"MISS JUMPER by HODUM,RICK",,,"MISS JUMPER by HODUM,RICK",2
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",2
15:31,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",2
15:14,,35,,46 (+11),"GOOD LAYUP by PRUITT,KELVIN(in the paint)",BU 35-46 (-11),,"GOOD LAYUP by PRUITT,KELVIN(in the paint)",2
--,,,,,"ASSIST  by LONG,LARAMIE",,,"ASSIST  by LONG,LARAMIE",2
15:00,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",2
15:00,,,,,"STEAL  by PRUITT,KELVIN",,,"STEAL  by PRUITT,KELVIN",2
14:54,,35,,48 (+13),"GOOD LAYUP by PRUITT,KELVIN(fastbreak)(in the paint)",BU 35-48 (-13),,"GOOD LAYUP by PRUITT,KELVIN(fastbreak)(in the paint)",2
14:38,,,,,"FOUL  by REED,AUSTIN",,,"FOUL  by REED,AUSTIN",2
14:38,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",2
14:38,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",2
14:34,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",2
--,,,,,"REBOUND DEF by PRUITT,KELVIN",,,"REBOUND DEF by PRUITT,KELVIN",2
14:27,,,,,"MISS JUMPER by MCCOY,TOMMY",,,"MISS JUMPER by MCCOY,TOMMY",2
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",2
14:15,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",2
14:15,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
14:15,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
14:03,,,,,"FOUL  by REED,AUSTIN",,,"FOUL  by REED,AUSTIN",2
14:03,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
14:03,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",2
14:03,,,,,"SUB IN by COOKS,BROSNAN",,,"SUB IN by COOKS,BROSNAN",2
14:03,,,,,"SUB OUT by REED,AUSTIN",,,"SUB OUT by REED,AUSTIN",2
13:42,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by COOKS,BROSNAN",,,"REBOUND DEF by COOKS,BROSNAN",2
13:24,,,,,"TURNOVER  by COOKS,BROSNAN",,,"TURNOVER  by COOKS,BROSNAN",2
12:50,,,,,"FOUL  by LONG,LARAMIE",,,"FOUL  by LONG,LARAMIE",2
12:50,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",2
12:50,,,,,"SUB OUT by LONG,LARAMIE",,,"SUB OUT by LONG,LARAMIE",2
12:40,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",2
12:23,,,,,"TURNOVER  by MCCOY,TOMMY",,,"TURNOVER  by MCCOY,TOMMY",2
11:57,,,,,"FOUL  by HODUM,RICK",,,"FOUL  by HODUM,RICK",2
11:57,"GOOD FT by TULLOS,ZACHARY",36,,48 (+12),,MIL 36-48 (-12),,"GOOD FT by TULLOS,ZACHARY",2
11:57,"MISS FT by TULLOS,ZACHARY",,,,,,,"MISS FT by TULLOS,ZACHARY",2
--,,,,,"REBOUND DEF by COOKS,BROSNAN",,,"REBOUND DEF by COOKS,BROSNAN",2
11:31,,,,,"FOUL  by PRUITT,KELVIN",,,"FOUL  by PRUITT,KELVIN",2
11:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:26,,,,,"SUB IN by JONES,JOSEPH",,,"SUB IN by JONES,JOSEPH",2
11:26,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",2
11:26,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",2
11:26,,,,,"SUB OUT by MCCOY,TOMMY",,,"SUB OUT by MCCOY,TOMMY",2
11:26,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",2
11:26,,,,,"SUB OUT by PRUITT,KELVIN",,,"SUB OUT by PRUITT,KELVIN",2
11:12,"GOOD 3PTR by BECKER,SAXTON",39,,48 (+9),,MIL 39-48 (-9),,"GOOD 3PTR by BECKER,SAXTON",2
10:56,,,,,"MISS 3PTR by JONES,JOSEPH",,,"MISS 3PTR by JONES,JOSEPH",2
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",2
10:45,"MISS JUMPER by CARVELLI,CAMERON",,,,,,,"MISS JUMPER by CARVELLI,CAMERON",2
--,,,,,"REBOUND DEF by WORKS,JOHN",,,"REBOUND DEF by WORKS,JOHN",2
10:17,"FOUL  by CARVELLI,CAMERON",,,,,,,"FOUL  by CARVELLI,CAMERON",2
10:12,,,,,"MISS 3PTR by COOKS,BROSNAN",,,"MISS 3PTR by COOKS,BROSNAN",2
--,,,,,"REBOUND OFF by COOKS,BROSNAN",,,"REBOUND OFF by COOKS,BROSNAN",2
10:03,,,,,"MISS LAYUP by JONES,JUSTIN",,,"MISS LAYUP by JONES,JUSTIN",2
10:03,"BLOCK  by TULLOS,ZACHARY",,,,,,,"BLOCK  by TULLOS,ZACHARY",2
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",2
09:51,,,,,"FOUL  by JONES,JOSEPH",,,"FOUL  by JONES,JOSEPH",2
09:44,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",2
09:40,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",2
09:40,"GOOD FT by TULLOS,ZACHARY",40,,48 (+8),,MIL 40-48 (-8),,"GOOD FT by TULLOS,ZACHARY",2
09:40,"MISS FT by TULLOS,ZACHARY",,,,,,,"MISS FT by TULLOS,ZACHARY",2
--,,,,,"REBOUND DEF by ROBERTS,JOSHUA",,,"REBOUND DEF by ROBERTS,JOSHUA",2
09:22,,,,,"MISS 3PTR by JONES,JOSEPH",,,"MISS 3PTR by JONES,JOSEPH",2
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",2
09:16,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",2
09:16,,,,,"STEAL  by WORKS,JOHN",,,"STEAL  by WORKS,JOHN",2
09:08,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
09:08,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
09:08,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",2
09:08,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",2
08:58,,,,,"MISS 3PTR by HODUM,RICK",,,"MISS 3PTR by HODUM,RICK",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
08:52,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",2
08:52,"MISS FT by GILLIHAN,NEWLON",,,,,,,"MISS FT by GILLIHAN,NEWLON",2
--,,,,,"REBOUND DEF by HODUM,RICK",,,"REBOUND DEF by HODUM,RICK",2
08:38,,40,,50 (+10),"GOOD JUMPER by HODUM,RICK",BU 40-50 (-10),,"GOOD JUMPER by HODUM,RICK",2
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",2
08:24,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",42,,50 (+8),,MIL 42-50 (-8),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",2
--,"ASSIST  by MEADS,TYSIN",,,,,,,"ASSIST  by MEADS,TYSIN",2
08:10,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",2
08:10,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",2
08:10,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",2
08:10,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
07:39,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",2
--,"REBOUND OFF by MEADS,TYSIN",,,,,,,"REBOUND OFF by MEADS,TYSIN",2
07:34,"MISS LAYUP by MEADS,TYSIN",,,,,,,"MISS LAYUP by MEADS,TYSIN",2
--,"REBOUND OFF by MEADS,TYSIN",,,,,,,"REBOUND OFF by MEADS,TYSIN",2
07:30,"TURNOVER  by MEADS,TYSIN",,,,,,,"TURNOVER  by MEADS,TYSIN",2
07:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:13,,,,,"MISS LAYUP by COOKS,BROSNAN",,,"MISS LAYUP by COOKS,BROSNAN",2
07:13,"BLOCK  by MEADS,TYSIN",,,,,,,"BLOCK  by MEADS,TYSIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:11,,,,,"TURNOVER  by COOKS,BROSNAN",,,"TURNOVER  by COOKS,BROSNAN",2
07:11,"STEAL  by SULLIVAN,MICHAEL",,,,,,,"STEAL  by SULLIVAN,MICHAEL",2
06:56,,,,,"FOUL  by COOKS,BROSNAN",,,"FOUL  by COOKS,BROSNAN",2
06:56,"MISS FT by GILLIHAN,NEWLON",,,,,,,"MISS FT by GILLIHAN,NEWLON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:56,"MISS FT by GILLIHAN,NEWLON",,,,,,,"MISS FT by GILLIHAN,NEWLON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:46,,,,,"TURNOVER  by JONES,JUSTIN",,,"TURNOVER  by JONES,JUSTIN",2
06:46,"STEAL  by MEADS,TYSIN",,,,,,,"STEAL  by MEADS,TYSIN",2
06:39,"GOOD LAYUP by MEADS,TYSIN(fastbreak)(in the paint)",44,,50 (+6),,MIL 44-50 (-6),,"GOOD LAYUP by MEADS,TYSIN(fastbreak)(in the paint)",2
06:30,,44,,53 (+9),"GOOD 3PTR by HODUM,RICK",BU 44-53 (-9),,"GOOD 3PTR by HODUM,RICK",2
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",2
06:19,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",2
06:01,,,,,"TURNOVER  by JONES,JUSTIN",,,"TURNOVER  by JONES,JUSTIN",2
06:01,"STEAL  by MCLAURIN,RYAN",,,,,,,"STEAL  by MCLAURIN,RYAN",2
05:56,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",2
--,,,,,"REBOUND DEF by ROBERTS,JOSHUA",,,"REBOUND DEF by ROBERTS,JOSHUA",2
05:50,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",2
05:50,,44,,54 (+10),"GOOD FT by ROBERTS,JOSHUA(fastbreak)",BU 44-54 (-10),,"GOOD FT by ROBERTS,JOSHUA(fastbreak)",2
05:50,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
05:50,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
05:50,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
05:50,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
05:47,,44,,55 (+11),"GOOD FT by ROBERTS,JOSHUA(fastbreak)",BU 44-55 (-11),,"GOOD FT by ROBERTS,JOSHUA(fastbreak)",2
05:33,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",46,,55 (+9),,MIL 46-55 (-9),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
05:05,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",2
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",2
04:58,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
04:58,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",2
04:58,,,,,"SUB IN by PRUITT,KELVIN",,,"SUB IN by PRUITT,KELVIN",2
04:58,,,,,"SUB IN by LONG,LARAMIE",,,"SUB IN by LONG,LARAMIE",2
04:58,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",2
04:58,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",2
04:44,,,,,"TURNOVER  by COOKS,BROSNAN",,,"TURNOVER  by COOKS,BROSNAN",2
04:44,"STEAL  by SULLIVAN,MICHAEL",,,,,,,"STEAL  by SULLIVAN,MICHAEL",2
04:37,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",2
04:37,,,,,"STEAL  by WORKS,JOHN",,,"STEAL  by WORKS,JOHN",2
04:29,,46,,57 (+11),"GOOD LAYUP by WORKS,JOHN(fastbreak)(in the paint)",BU 46-57 (-11),,"GOOD LAYUP by WORKS,JOHN(fastbreak)(in the paint)",2
04:19,,,,,"SUB IN by REED,AUSTIN",,,"SUB IN by REED,AUSTIN",2
04:19,,,,,"SUB OUT by COOKS,BROSNAN",,,"SUB OUT by COOKS,BROSNAN",2
04:15,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",48,,57 (+9),,MIL 48-57 (-9),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",2
03:49,,48,,59 (+11),"GOOD JUMPER by REED,AUSTIN",BU 48-59 (-11),,"GOOD JUMPER by REED,AUSTIN",2
--,,,,,"ASSIST  by PRUITT,KELVIN",,,"ASSIST  by PRUITT,KELVIN",2
03:38,"GOOD 3PTR by SULLIVAN,MICHAEL",51,,59 (+8),,MIL 51-59 (-8),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
03:14,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
03:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:14,,,,,"MISS FT by PRUITT,KELVIN",,,"MISS FT by PRUITT,KELVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:14,,51,,60 (+9),"GOOD FT by PRUITT,KELVIN",BU 51-60 (-9),,"GOOD FT by PRUITT,KELVIN",2
03:05,"GOOD 3PTR by SULLIVAN,MICHAEL",54,,60 (+6),,MIL 54-60 (-6),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
02:31,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
02:31,,,,,"MISS FT by WORKS,JOHN",,,"MISS FT by WORKS,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:31,,54,,61 (+7),"GOOD FT by WORKS,JOHN",BU 54-61 (-7),,"GOOD FT by WORKS,JOHN",2
02:31,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",2
02:31,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
02:31,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
02:31,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
02:31,,,,,"SUB IN by COOKS,BROSNAN",,,"SUB IN by COOKS,BROSNAN",2
02:31,,,,,"SUB OUT by REED,AUSTIN",,,"SUB OUT by REED,AUSTIN",2
02:27,"MISS JUMPER by BECKER,SAXTON",,,,,,,"MISS JUMPER by BECKER,SAXTON",2
--,,,,,"REBOUND DEF by COOKS,BROSNAN",,,"REBOUND DEF by COOKS,BROSNAN",2
02:18,,54,,63 (+9),"GOOD DUNK by PRUITT,KELVIN(fastbreak)(in the paint)",BU 54-63 (-9),,"GOOD DUNK by PRUITT,KELVIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by COOKS,BROSNAN",,,"ASSIST  by COOKS,BROSNAN",2
01:57,"GOOD 3PTR by SULLIVAN,MICHAEL",57,,63 (+6),,MIL 57-63 (-6),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
01:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
01:56,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
01:56,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",2
01:56,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
01:56,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
01:37,,,,,"MISS JUMPER by LONG,LARAMIE",,,"MISS JUMPER by LONG,LARAMIE",2
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",2
01:33,,,,,"FOUL  by LONG,LARAMIE",,,"FOUL  by LONG,LARAMIE",2
01:33,"GOOD FT by SULLIVAN,MICHAEL(fastbreak)",58,,63 (+5),,MIL 58-63 (-5),,"GOOD FT by SULLIVAN,MICHAEL(fastbreak)",2
01:33,"GOOD FT by SULLIVAN,MICHAEL(fastbreak)",59,,63 (+4),,MIL 59-63 (-4),,"GOOD FT by SULLIVAN,MICHAEL(fastbreak)",2
01:33,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",2
01:33,,,,,"SUB OUT by LONG,LARAMIE",,,"SUB OUT by LONG,LARAMIE",2
01:06,,,,,"TURNOVER  by COOKS,BROSNAN",,,"TURNOVER  by COOKS,BROSNAN",2
01:06,"STEAL  by MCLAURIN,RYAN",,,,,,,"STEAL  by MCLAURIN,RYAN",2
00:58,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:58,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",61,,63 (+2),,MIL 61-63 (-2),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
00:58,,,,,"BLOCK  by PRUITT,KELVIN",,,"BLOCK  by PRUITT,KELVIN",2
00:57,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
00:57,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
00:57,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
00:57,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",2
00:57,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
00:57,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",2
00:52,,,,,"TURNOVER  by ROBERTS,JOSHUA",,,"TURNOVER  by ROBERTS,JOSHUA",2
00:46,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
00:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
