Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by ROLAND,DEVIN",,,,,,,"REBOUND OFF by ROLAND,DEVIN",1
03:22,"GOOD LAYUP by HOGAN,KAM(in the paint)",36 (+5),,31,,ACM 36-31 (-5),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
03:07,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by FEIDER,JP",,,,,,,"REBOUND DEF by FEIDER,JP",1
02:58,"TURNOVER  by ROLAND,DEVIN",,,,,,,"TURNOVER  by ROLAND,DEVIN",1
02:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:35,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1
02:19,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:57,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by SULLIVAN,MICHAEL",,,"REBOUND OFF by SULLIVAN,MICHAEL",1
01:55,,36 (+3),,33,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",MIL 36-33 (-3),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",1
01:55,"FOUL  by HOGAN,KAM",,,,,,,"FOUL  by HOGAN,KAM",1
01:55,,36 (+2),,34,"GOOD FT by SULLIVAN,MICHAEL",MIL 36-34 (-2),,"GOOD FT by SULLIVAN,MICHAEL",1
01:49,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",1
01:49,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
01:49,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
01:45,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",1
01:43,,,,,"STEAL  by SULLIVAN,MICHAEL",,,"STEAL  by SULLIVAN,MICHAEL",1
01:36,,36 (+1),,35,"GOOD FT by SULLIVAN,MICHAEL",MIL 36-35 (-1),,"GOOD FT by SULLIVAN,MICHAEL",1
01:36,,36,,36,"GOOD FT by SULLIVAN,MICHAEL",MIL 36-36 (0),,"GOOD FT by SULLIVAN,MICHAEL",1
01:36,,36,,37 (+1),"GOOD FT by SULLIVAN,MICHAEL",MIL 36-37 (+1),,"GOOD FT by SULLIVAN,MICHAEL",1
01:36,"SUB IN by MATTICH,BLAKE",,,,,,,"SUB IN by MATTICH,BLAKE",1
01:36,"SUB OUT by ROLAND,DEVIN",,,,,,,"SUB OUT by ROLAND,DEVIN",1
01:35,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
01:06,"GOOD FT by MERCADEL,JUSTICE",37,,37,,ACM 37-37 (0),,"GOOD FT by MERCADEL,JUSTICE",1
01:06,"MISS FT by MERCADEL,JUSTICE",,,,,,,"MISS FT by MERCADEL,JUSTICE",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
01:06,"FOUL  by FEIDER,JP",,,,,,,"FOUL  by FEIDER,JP",1
01:06,,37,,38 (+1),"GOOD FT by MCLAURIN,RYAN",MIL 37-38 (+1),,"GOOD FT by MCLAURIN,RYAN",1
01:06,,37,,39 (+2),"GOOD FT by MCLAURIN,RYAN",MIL 37-39 (+2),,"GOOD FT by MCLAURIN,RYAN",1
00:52,"GOOD 3PTR by HILL,KAMERON",40 (+1),,39,,ACM 40-39 (-1),,"GOOD 3PTR by HILL,KAMERON",1
--,"ASSIST  by FEIDER,JP",,,,,,,"ASSIST  by FEIDER,JP",1
00:35,,40,,42 (+2),"GOOD 3PTR by SULLIVAN,MICHAEL",MIL 40-42 (+2),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
00:20,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
00:13,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
00:08,,40,,45 (+5),"GOOD 3PTR by BLANZ,BUCK",MIL 40-45 (+5),,"GOOD 3PTR by BLANZ,BUCK",1
19:44,,40,,48 (+8),"GOOD 3PTR by TURNER,JAMES",MIL 40-48 (+8),,"GOOD 3PTR by TURNER,JAMES",2
19:13,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",2
19:13,"GOOD FT by HOGAN,KAM",41,,48 (+7),,ACM 41-48 (+7),,"GOOD FT by HOGAN,KAM",2
19:13,"GOOD FT by HOGAN,KAM",42,,48 (+6),,ACM 42-48 (+6),,"GOOD FT by HOGAN,KAM",2
19:13,,42,,50 (+8),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 42-50 (+8),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",2
19:13,"TURNOVER  by ROLAND,DEVIN",,,,,,,"TURNOVER  by ROLAND,DEVIN",2
19:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
19:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
18:58,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",2
18:46,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",2
18:14,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",2
--,"REBOUND DEF by HOGAN,KAM",,,,,,,"REBOUND DEF by HOGAN,KAM",2
17:58,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",2
17:56,,,,,"STEAL  by VAN PELT,JUSTIN",,,"STEAL  by VAN PELT,JUSTIN",2
17:52,,42,,52 (+10),"GOOD LAYUP by MILLER,JOSHUA(in the paint)",MIL 42-52 (+10),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",2
17:51,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",2
17:51,"GOOD FT by ROLAND,DEVIN",43,,52 (+9),,ACM 43-52 (+9),,"GOOD FT by ROLAND,DEVIN",2
17:51,"GOOD FT by ROLAND,DEVIN",44,,52 (+8),,ACM 44-52 (+8),,"GOOD FT by ROLAND,DEVIN",2
17:41,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",2
17:41,"STEAL  by HOLLAND,MICHAEL",,,,,,,"STEAL  by HOLLAND,MICHAEL",2
17:29,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",2
17:29,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",2
17:29,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",46,,52 (+6),,ACM 46-52 (+6),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",2
16:56,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",2
16:36,"MISS 3PTR by MERCADEL,JUSTICE",,,,,,,"MISS 3PTR by MERCADEL,JUSTICE",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
16:29,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",2
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",2
16:21,"FOUL  by FEIDER,JP",,,,,,,"FOUL  by FEIDER,JP",2
16:21,,46,,53 (+7),"GOOD FT by MILLER,JOSHUA",MIL 46-53 (+7),,"GOOD FT by MILLER,JOSHUA",2
16:21,,46,,54 (+8),"GOOD FT by MILLER,JOSHUA",MIL 46-54 (+8),,"GOOD FT by MILLER,JOSHUA",2
16:21,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",2
16:21,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",2
16:15,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",2
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",2
15:57,,46,,56 (+10),"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",MIL 46-56 (+10),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",2
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",2
15:45,"MISS LAYUP by HOLLAND,MICHAEL",,,,,,,"MISS LAYUP by HOLLAND,MICHAEL",2
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",2
15:32,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",2
15:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:20,"MISS LAYUP by HOLLAND,MICHAEL",,,,,,,"MISS LAYUP by HOLLAND,MICHAEL",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
14:56,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",2
--,"REBOUND DEF by ROLAND,DEVIN",,,,,,,"REBOUND DEF by ROLAND,DEVIN",2
14:50,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",2
14:45,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",2
14:42,"FOUL  by ROLAND,DEVIN",,,,,,,"FOUL  by ROLAND,DEVIN",2
14:42,,,,,"MISS FT by SPIKES,KALVIN",,,"MISS FT by SPIKES,KALVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:42,,46,,57 (+11),"GOOD FT by SPIKES,KALVIN",MIL 46-57 (+11),,"GOOD FT by SPIKES,KALVIN",2
14:04,"MISS 3PTR by HOLLAND,MICHAEL",,,,,,,"MISS 3PTR by HOLLAND,MICHAEL",2
--,"REBOUND OFF by BERRYMAN,JACE",,,,,,,"REBOUND OFF by BERRYMAN,JACE",2
14:01,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
13:55,"MISS LAYUP by HILL,KAMERON",,,,,,,"MISS LAYUP by HILL,KAMERON",2
--,"REBOUND OFF by MERCADEL,JUSTICE",,,,,,,"REBOUND OFF by MERCADEL,JUSTICE",2
13:50,"MISS 3PTR by HOGAN,KAM",,,,,,,"MISS 3PTR by HOGAN,KAM",2
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",2
13:41,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",2
13:34,"MISS LAYUP by HOGAN,KAM",,,,,,,"MISS LAYUP by HOGAN,KAM",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
13:28,,46,,59 (+13),"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",MIL 46-59 (+13),,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",2
13:06,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
12:58,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",48,,59 (+11),,ACM 48-59 (+11),,"GOOD LAYUP by MERCADEL,JUSTICE(in the paint)",2
12:58,,,,,"MISS 3PTR by BURNETT,DREW",,,"MISS 3PTR by BURNETT,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:58,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",2
12:58,,48,,62 (+14),"GOOD 3PTR by BECKER,SAXTON",MIL 48-62 (+14),,"GOOD 3PTR by BECKER,SAXTON",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
12:58,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",2
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",2
12:58,,48,,64 (+16),"GOOD LAYUP by GRANT,SHE'CHEM(fastbreak)(in the paint)",MIL 48-64 (+16),,"GOOD LAYUP by GRANT,SHE'CHEM(fastbreak)(in the paint)",2
12:58,"SUB IN by BERRYMAN,JACE",,,,,,,"SUB IN by BERRYMAN,JACE",2
12:58,"SUB OUT by ROLAND,DEVIN",,,,,,,"SUB OUT by ROLAND,DEVIN",2
12:58,,,,,"SUB IN by DEVALL,ANDREW",,,"SUB IN by DEVALL,ANDREW",2
12:58,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
12:58,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",2
12:58,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
12:58,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
12:58,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
12:58,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",2
12:58,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
12:55,"FOUL  by FEIDER,JP",,,,,,,"FOUL  by FEIDER,JP",2
12:53,"TURNOVER  by FEIDER,JP",,,,,,,"TURNOVER  by FEIDER,JP",2
11:59,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",2
11:59,"SUB IN by LOCKMAN,DEREK",,,,,,,"SUB IN by LOCKMAN,DEREK",2
11:59,"SUB IN by ROLAND,DEVIN",,,,,,,"SUB IN by ROLAND,DEVIN",2
11:59,"SUB OUT by BERRYMAN,JACE",,,,,,,"SUB OUT by BERRYMAN,JACE",2
11:59,"SUB OUT by HILL,KAMERON",,,,,,,"SUB OUT by HILL,KAMERON",2
11:59,"SUB OUT by FEIDER,JP",,,,,,,"SUB OUT by FEIDER,JP",2
11:59,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
11:59,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",2
11:59,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",2
11:59,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
11:59,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
11:59,,,,,"SUB OUT by DEVALL,ANDREW",,,"SUB OUT by DEVALL,ANDREW",2
11:59,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
11:59,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
11:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:42,,48,,67 (+19),"GOOD 3PTR by BECKER,SAXTON",MIL 48-67 (+19),,"GOOD 3PTR by BECKER,SAXTON",2
--,,,,,"ASSIST  by CARVELLI,CAMERON",,,"ASSIST  by CARVELLI,CAMERON",2
11:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:28,"TURNOVER  by HOGAN,KAM",,,,,,,"TURNOVER  by HOGAN,KAM",2
11:14,,,,,"MISS LAYUP by CARVELLI,CAMERON",,,"MISS LAYUP by CARVELLI,CAMERON",2
11:14,"BLOCK  by MERCADEL,JUSTICE",,,,,,,"BLOCK  by MERCADEL,JUSTICE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:09,"SUB IN by FEIDER,JP",,,,,,,"SUB IN by FEIDER,JP",2
11:09,"SUB OUT by LOCKMAN,DEREK",,,,,,,"SUB OUT by LOCKMAN,DEREK",2
11:05,,,,,"TURNOVER  by OWENS,MATT",,,"TURNOVER  by OWENS,MATT",2
11:03,"STEAL  by HOLLAND,MICHAEL",,,,,,,"STEAL  by HOLLAND,MICHAEL",2
10:53,"GOOD LAYUP by FEIDER,JP(in the paint)",50,,67 (+17),,ACM 50-67 (+17),,"GOOD LAYUP by FEIDER,JP(in the paint)",2
--,"ASSIST  by MERCADEL,JUSTICE",,,,,,,"ASSIST  by MERCADEL,JUSTICE",2
10:53,,,,,"MISS LAYUP by MCLAURIN,RYAN",,,"MISS LAYUP by MCLAURIN,RYAN",2
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",2
10:51,"FOUL  by FEIDER,JP",,,,,,,"FOUL  by FEIDER,JP",2
10:47,,50,,68 (+18),"GOOD FT by OWENS,MATT",MIL 50-68 (+18),,"GOOD FT by OWENS,MATT",2
10:27,,50,,69 (+19),"GOOD FT by OWENS,MATT",MIL 50-69 (+19),,"GOOD FT by OWENS,MATT",2
10:20,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
10:20,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",2
10:11,"GOOD DUNK by ROLAND,DEVIN(in the paint)",52,,69 (+17),,ACM 52-69 (+17),,"GOOD DUNK by ROLAND,DEVIN(in the paint)",2
09:55,,52,,71 (+19),"GOOD LAYUP by OWENS,MATT(in the paint)",MIL 52-71 (+19),,"GOOD LAYUP by OWENS,MATT(in the paint)",2
09:33,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",2
09:28,,,,,"STEAL  by BURNETT,DREW",,,"STEAL  by BURNETT,DREW",2
09:26,,52,,73 (+21),"GOOD LAYUP by OWENS,MATT(in the paint)",MIL 52-73 (+21),,"GOOD LAYUP by OWENS,MATT(in the paint)",2
09:18,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",2
09:18,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",2
09:13,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",2
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",2
09:04,,,,,"MISS 3PTR by CARVELLI,CAMERON",,,"MISS 3PTR by CARVELLI,CAMERON",2
--,"REBOUND DEF by FEIDER,JP",,,,,,,"REBOUND DEF by FEIDER,JP",2
08:53,"MISS LAYUP by ROLAND,DEVIN",,,,,,,"MISS LAYUP by ROLAND,DEVIN",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
08:34,,52,,75 (+23),"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",MIL 52-75 (+23),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
08:21,"GOOD DUNK by FEIDER,JP(in the paint)",54,,75 (+21),,ACM 54-75 (+21),,"GOOD DUNK by FEIDER,JP(in the paint)",2
--,"ASSIST  by MERCADEL,JUSTICE",,,,,,,"ASSIST  by MERCADEL,JUSTICE",2
08:10,"FOUL  by ROLAND,DEVIN",,,,,,,"FOUL  by ROLAND,DEVIN",2
08:10,,54,,76 (+22),"GOOD FT by BECKER,SAXTON",MIL 54-76 (+22),,"GOOD FT by BECKER,SAXTON",2
08:10,,54,,77 (+23),"GOOD FT by BECKER,SAXTON",MIL 54-77 (+23),,"GOOD FT by BECKER,SAXTON",2
08:10,"SUB IN by MCKENZIE,NATHAN",,,,,,,"SUB IN by MCKENZIE,NATHAN",2
08:10,"SUB IN by TABOR,QUINTEN",,,,,,,"SUB IN by TABOR,QUINTEN",2
08:10,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",2
08:10,"SUB OUT by HOGAN,KAM",,,,,,,"SUB OUT by HOGAN,KAM",2
08:10,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",2
08:10,"SUB OUT by FEIDER,JP",,,,,,,"SUB OUT by FEIDER,JP",2
07:57,"MISS 3PTR by TABOR,QUINTEN",,,,,,,"MISS 3PTR by TABOR,QUINTEN",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
07:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:29,,,,,"MISS LAYUP by GILLIHAN,NEWLON",,,"MISS LAYUP by GILLIHAN,NEWLON",2
07:29,"BLOCK  by ROLAND,DEVIN",,,,,,,"BLOCK  by ROLAND,DEVIN",2
--,"REBOUND DEF by ROLAND,DEVIN",,,,,,,"REBOUND DEF by ROLAND,DEVIN",2
07:19,"GOOD JUMPER by MCKENZIE,NATHAN",56,,77 (+21),,ACM 56-77 (+21),,"GOOD JUMPER by MCKENZIE,NATHAN",2
06:55,,56,,79 (+23),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",MIL 56-79 (+23),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",2
06:21,"GOOD 3PTR by HILL,KAMERON",59,,79 (+20),,ACM 59-79 (+20),,"GOOD 3PTR by HILL,KAMERON",2
06:03,,59,,81 (+22),"GOOD JUMPER by TULLOS,ZACHARY",MIL 59-81 (+22),,"GOOD JUMPER by TULLOS,ZACHARY",2
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",2
05:42,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",2
--,"REBOUND OFF by HOLLAND,MICHAEL",,,,,,,"REBOUND OFF by HOLLAND,MICHAEL",2
05:35,"MISS JUMPER by TABOR,QUINTEN",,,,,,,"MISS JUMPER by TABOR,QUINTEN",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
05:06,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",2
05:06,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
05:06,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",2
05:06,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
05:06,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",2
05:06,,,,,"SUB IN by DEVALL,ANDREW",,,"SUB IN by DEVALL,ANDREW",2
05:06,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
05:06,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",2
05:06,,,,,"SUB OUT by CARVELLI,CAMERON",,,"SUB OUT by CARVELLI,CAMERON",2
05:06,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
05:06,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
05:02,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",2
05:02,"MISS FT by HILL,KAMERON",,,,,,,"MISS FT by HILL,KAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:02,"GOOD FT by HILL,KAMERON",60,,81 (+21),,ACM 60-81 (+21),,"GOOD FT by HILL,KAMERON",2
04:52,,,,,"MISS LAYUP by TULLOS,ZACHARY",,,"MISS LAYUP by TULLOS,ZACHARY",2
04:52,"BLOCK  by MCKENZIE,NATHAN",,,,,,,"BLOCK  by MCKENZIE,NATHAN",2
--,"REBOUND DEF by MCKENZIE,NATHAN",,,,,,,"REBOUND DEF by MCKENZIE,NATHAN",2
04:32,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",2
04:29,"MISS FT by MERCADEL,JUSTICE",,,,,,,"MISS FT by MERCADEL,JUSTICE",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
04:21,,60,,84 (+24),"GOOD 3PTR by MANNING,JOHNATHAN",MIL 60-84 (+24),,"GOOD 3PTR by MANNING,JOHNATHAN",2
--,,,,,"REBOUND OFF by MANNING,JOHNATHAN",,,"REBOUND OFF by MANNING,JOHNATHAN",2
04:03,,60,,86 (+26),"GOOD LAYUP by DEVALL,ANDREW(in the paint)",MIL 60-86 (+26),,"GOOD LAYUP by DEVALL,ANDREW(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",2
04:03,"MISS JUMPER by TABOR,QUINTEN",,,,,,,"MISS JUMPER by TABOR,QUINTEN",2
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",2
03:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:59,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",2
03:59,"GOOD FT by MCKENZIE,NATHAN",61,,86 (+25),,ACM 61-86 (+25),,"GOOD FT by MCKENZIE,NATHAN",2
03:59,"GOOD FT by MCKENZIE,NATHAN",62,,86 (+24),,ACM 62-86 (+24),,"GOOD FT by MCKENZIE,NATHAN",2
03:38,,62,,88 (+26),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",MIL 62-88 (+26),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
03:34,"GOOD 3PTR by LOCKMAN,DEREK",65,,88 (+23),,ACM 65-88 (+23),,"GOOD 3PTR by LOCKMAN,DEREK",2
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",2
03:19,,65,,90 (+25),"GOOD LAYUP by COLEMAN,DANIEL(in the paint)",MIL 65-90 (+25),,"GOOD LAYUP by COLEMAN,DANIEL(in the paint)",2
03:19,"FOUL  by LOCKMAN,DEREK",,,,,,,"FOUL  by LOCKMAN,DEREK",2
03:19,,65,,91 (+26),"GOOD FT by COLEMAN,DANIEL",MIL 65-91 (+26),,"GOOD FT by COLEMAN,DANIEL",2
