Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
17:29,,2,,10 (+8),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 2-10 (+8),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",1
17:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:23,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
17:09,"MISS 3PTR by BARSTOW,TREY",,,,,,,"MISS 3PTR by BARSTOW,TREY",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
16:46,"FOUL  by TARANTOLO,MITCHELL",,,,,,,"FOUL  by TARANTOLO,MITCHELL",1
16:30,,2,,12 (+10),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 2-12 (+10),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",1
16:30,"GOOD 3PTR by MATTHEWS,TREYLAN",5,,12 (+7),,CENTMB 5-12 (+7),,"GOOD 3PTR by MATTHEWS,TREYLAN",1
--,"ASSIST  by MINGO,KILE",,,,,,,"ASSIST  by MINGO,KILE",1
16:25,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
16:25,"SUB IN by TARANTOLO,MITCHELL",,,,,,,"SUB IN by TARANTOLO,MITCHELL",1
16:25,"SUB OUT by RAY,RICKY",,,,,,,"SUB OUT by RAY,RICKY",1
16:15,"MISS LAYUP by BARSTOW,TREY",,,,,,,"MISS LAYUP by BARSTOW,TREY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:12,"SUB IN by RAY,RICKY",,,,,,,"SUB IN by RAY,RICKY",1
16:12,"SUB OUT by BARSTOW,TREY",,,,,,,"SUB OUT by BARSTOW,TREY",1
16:05,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
16:05,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
16:05,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
16:00,"TURNOVER  by TARANTOLO,MITCHELL",,,,,,,"TURNOVER  by TARANTOLO,MITCHELL",1
16:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:40,,5,,14 (+9),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 5-14 (+9),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
15:24,"GOOD LAYUP by RAY,RICKY(in the paint)",7,,14 (+7),,CENTMB 7-14 (+7),,"GOOD LAYUP by RAY,RICKY(in the paint)",1
15:24,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",1
15:24,"GOOD FT by CARTER,KAHARRI",8,,14 (+6),,CENTMB 8-14 (+6),,"GOOD FT by CARTER,KAHARRI",1
15:24,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by RAY,RICKY",,,,,,,"REBOUND DEF by RAY,RICKY",1
15:24,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
15:24,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
15:24,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
15:24,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
15:24,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
15:24,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
15:14,"MISS JUMPER by MATTHEWS,TREYLAN",,,,,,,"MISS JUMPER by MATTHEWS,TREYLAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:12,"SUB IN by MINGO,KILE",,,,,,,"SUB IN by MINGO,KILE",1
15:12,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
15:12,"SUB OUT by PRINCE,TY",,,,,,,"SUB OUT by PRINCE,TY",1
15:12,"SUB OUT by SMITH,DAKOTA",,,,,,,"SUB OUT by SMITH,DAKOTA",1
15:08,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",1
15:08,"BLOCK  by CARTER,KAHARRI",,,,,,,"BLOCK  by CARTER,KAHARRI",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:55,,,,,"MISS JUMPER by GRANT,SHE'CHEM",,,"MISS JUMPER by GRANT,SHE'CHEM",1
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",1
14:47,"MISS JUMPER by MINGO,KILE",,,,,,,"MISS JUMPER by MINGO,KILE",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
14:38,,8,,16 (+8),"GOOD LAYUP by MILLER,JOSHUA(in the paint)",MIL 8-16 (+8),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
14:13,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
14:02,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by GRANT,SHE'CHEM",,,"REBOUND OFF by GRANT,SHE'CHEM",1
13:57,,8,,18 (+10),"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",MIL 8-18 (+10),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",1
13:41,"MISS JUMPER by TARANTOLO,MITCHELL",,,,,,,"MISS JUMPER by TARANTOLO,MITCHELL",1
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",1
13:35,"SUB IN by PRINCE,TY",,,,,,,"SUB IN by PRINCE,TY",1
13:35,"SUB IN by SMITH,DAKOTA",,,,,,,"SUB IN by SMITH,DAKOTA",1
13:35,"SUB IN by JOHNSON,XAVIER",,,,,,,"SUB IN by JOHNSON,XAVIER",1
13:35,"SUB OUT by TARANTOLO,MITCHELL",,,,,,,"SUB OUT by TARANTOLO,MITCHELL",1
13:35,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",1
13:35,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",1
13:35,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
13:35,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
13:35,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
13:35,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",1
13:34,"MISS 3PTR by MINGO,KILE",,,,,,,"MISS 3PTR by MINGO,KILE",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
13:15,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
13:15,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
13:15,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
13:15,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
13:00,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by SMITH,DAKOTA",,,,,,,"REBOUND DEF by SMITH,DAKOTA",1
12:58,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
12:52,"MISS LAYUP by SMITH,DAKOTA",,,,,,,"MISS LAYUP by SMITH,DAKOTA",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
12:44,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
12:44,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
12:43,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",1
12:43,"SUB OUT by SMITH,DAKOTA",,,,,,,"SUB OUT by SMITH,DAKOTA",1
12:32,"MISS 3PTR by MINGO,KILE",,,,,,,"MISS 3PTR by MINGO,KILE",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
12:22,"FOUL  by JOHNSON,XAVIER",,,,,,,"FOUL  by JOHNSON,XAVIER",1
12:22,,8,,19 (+11),"GOOD FT by SPIKES,KALVIN",MIL 8-19 (+11),,"GOOD FT by SPIKES,KALVIN",1
12:22,,,,,"MISS FT by SPIKES,KALVIN",,,"MISS FT by SPIKES,KALVIN",1
--,"REBOUND DEF by JOHNSON,XAVIER",,,,,,,"REBOUND DEF by JOHNSON,XAVIER",1
12:00,"MISS JUMPER by PRINCE,TY",,,,,,,"MISS JUMPER by PRINCE,TY",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
11:55,"FOUL  by MINGO,KILE",,,,,,,"FOUL  by MINGO,KILE",1
11:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:55,"SUB IN by GRAY,JERICHO",,,,,,,"SUB IN by GRAY,JERICHO",1
11:55,"SUB OUT by MINGO,KILE",,,,,,,"SUB OUT by MINGO,KILE",1
11:33,,8,,22 (+14),"GOOD 3PTR by SULLIVAN,MICHAEL",MIL 8-22 (+14),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
11:11,"MISS 3PTR by MATTHEWS,TREYLAN",,,,,,,"MISS 3PTR by MATTHEWS,TREYLAN",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
11:01,"FOUL  by JOHNSON,XAVIER",,,,,,,"FOUL  by JOHNSON,XAVIER",1
11:01,,8,,23 (+15),"GOOD FT by MCLAURIN,RYAN",MIL 8-23 (+15),,"GOOD FT by MCLAURIN,RYAN",1
11:01,,8,,24 (+16),"GOOD FT by MCLAURIN,RYAN",MIL 8-24 (+16),,"GOOD FT by MCLAURIN,RYAN",1
11:01,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
11:01,"SUB OUT by JOHNSON,XAVIER",,,,,,,"SUB OUT by JOHNSON,XAVIER",1
11:01,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
11:01,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
11:01,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",1
11:01,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
10:54,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",1
10:53,,,,,"STEAL  by MCLAURIN,RYAN",,,"STEAL  by MCLAURIN,RYAN",1
10:50,,8,,26 (+18),"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",MIL 8-26 (+18),,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",1
10:48,"TURNOVER  by PRINCE,TY",,,,,,,"TURNOVER  by PRINCE,TY",1
10:46,,,,,"STEAL  by MCLAURIN,RYAN",,,"STEAL  by MCLAURIN,RYAN",1
10:41,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
10:41,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
10:39,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
10:39,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
10:21,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
10:15,"FOUL  by RAY,RICKY",,,,,,,"FOUL  by RAY,RICKY",1
10:11,,8,,28 (+20),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",MIL 8-28 (+20),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
09:54,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",10,,28 (+18),,CENTMB 10-28 (+18),,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",1
09:35,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
09:35,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
09:35,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
09:35,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
09:32,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
09:18,"MISS LAYUP by MATTHEWS,TREYLAN",,,,,,,"MISS LAYUP by MATTHEWS,TREYLAN",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
09:05,,,,,"MISS LAYUP by GRANT,SHE'CHEM",,,"MISS LAYUP by GRANT,SHE'CHEM",1
09:05,"BLOCK  by PRINCE,TY",,,,,,,"BLOCK  by PRINCE,TY",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
08:59,,,,,"MISS LAYUP by VAN PELT,JUSTIN",,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,"REBOUND DEF by CARTER,KAHARRI",,,,,,,"REBOUND DEF by CARTER,KAHARRI",1
08:53,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
08:51,"MISS FT by PRINCE,TY",,,,,,,"MISS FT by PRINCE,TY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:48,"GOOD FT by PRINCE,TY",11,,28 (+17),,CENTMB 11-28 (+17),,"GOOD FT by PRINCE,TY",1
08:48,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
08:48,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
08:27,,11,,30 (+19),"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",MIL 11-30 (+19),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
08:16,"GOOD 3PTR by CARTER,KAHARRI",14,,30 (+16),,CENTMB 14-30 (+16),,"GOOD 3PTR by CARTER,KAHARRI",1
--,"ASSIST  by GRAY,JERICHO",,,,,,,"ASSIST  by GRAY,JERICHO",1
07:52,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
07:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:52,"SUB IN by WASHINGTON,PRENTIS",,,,,,,"SUB IN by WASHINGTON,PRENTIS",1
07:52,"SUB OUT by GRAY,JERICHO",,,,,,,"SUB OUT by GRAY,JERICHO",1
07:52,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
07:52,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
07:52,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
07:52,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
07:34,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",1
07:26,"FOUL  by WASHINGTON,PRENTIS",,,,,,,"FOUL  by WASHINGTON,PRENTIS",1
07:26,,14,,31 (+17),"GOOD FT by MILLER,JOSHUA",MIL 14-31 (+17),,"GOOD FT by MILLER,JOSHUA",1
07:26,,14,,32 (+18),"GOOD FT by MILLER,JOSHUA",MIL 14-32 (+18),,"GOOD FT by MILLER,JOSHUA",1
07:18,"GOOD LAYUP by WASHINGTON,PRENTIS(in the paint)",16,,32 (+16),,CENTMB 16-32 (+16),,"GOOD LAYUP by WASHINGTON,PRENTIS(in the paint)",1
07:18,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
07:18,"MISS FT by WASHINGTON,PRENTIS",,,,,,,"MISS FT by WASHINGTON,PRENTIS",1
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",1
07:18,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
07:18,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
07:14,"GOOD LAYUP by PRINCE,TY(in the paint)",18,,32 (+14),,CENTMB 18-32 (+14),,"GOOD LAYUP by PRINCE,TY(in the paint)",1
--,"ASSIST  by WASHINGTON,PRENTIS",,,,,,,"ASSIST  by WASHINGTON,PRENTIS",1
06:33,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",1
06:33,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1
06:33,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
06:33,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
06:33,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
06:33,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
06:20,"TURNOVER  by RAY,RICKY",,,,,,,"TURNOVER  by RAY,RICKY",1
06:20,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",1
06:20,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",1
06:20,,18,,33 (+15),"GOOD FT by MCLAURIN,RYAN",MIL 18-33 (+15),,"GOOD FT by MCLAURIN,RYAN",1
06:20,,18,,34 (+16),"GOOD FT by MCLAURIN,RYAN",MIL 18-34 (+16),,"GOOD FT by MCLAURIN,RYAN",1
06:07,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",1
06:07,"BLOCK  by MATTHEWS,TREYLAN",,,,,,,"BLOCK  by MATTHEWS,TREYLAN",1
--,"REBOUND DEF by RAY,RICKY",,,,,,,"REBOUND DEF by RAY,RICKY",1
05:57,"TURNOVER  by PRINCE,TY",,,,,,,"TURNOVER  by PRINCE,TY",1
05:56,,,,,"STEAL  by BLANZ,BUCK",,,"STEAL  by BLANZ,BUCK",1
05:50,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:44,"SUB IN by GRAY,JERICHO",,,,,,,"SUB IN by GRAY,JERICHO",1
05:44,"SUB OUT by WASHINGTON,PRENTIS",,,,,,,"SUB OUT by WASHINGTON,PRENTIS",1
05:36,"TURNOVER  by WASHINGTON,PRENTIS",,,,,,,"TURNOVER  by WASHINGTON,PRENTIS",1
05:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
05:36,"SUB IN by WASHINGTON,PRENTIS",,,,,,,"SUB IN by WASHINGTON,PRENTIS",1
05:36,"SUB OUT by PRINCE,TY",,,,,,,"SUB OUT by PRINCE,TY",1
05:36,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
05:36,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
05:36,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
05:36,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
05:11,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
05:02,"MISS LAYUP by WASHINGTON,PRENTIS",,,,,,,"MISS LAYUP by WASHINGTON,PRENTIS",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
04:55,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
04:55,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
04:55,"SUB IN by MINGO,KILE",,,,,,,"SUB IN by MINGO,KILE",1
04:55,"SUB IN by PRINCE,TY",,,,,,,"SUB IN by PRINCE,TY",1
04:55,"SUB OUT by WASHINGTON,PRENTIS",,,,,,,"SUB OUT by WASHINGTON,PRENTIS",1
04:55,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",1
04:55,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
04:55,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
04:45,"GOOD 3PTR by PRINCE,TY",21,,34 (+13),,CENTMB 21-34 (+13),,"GOOD 3PTR by PRINCE,TY",1
--,"ASSIST  by MINGO,KILE",,,,,,,"ASSIST  by MINGO,KILE",1
04:29,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
04:27,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
04:27,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
04:15,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
04:04,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",1
04:04,,,,,"TURNOVER  by OWENS,MATT",,,"TURNOVER  by OWENS,MATT",1
04:04,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
04:04,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
03:48,"MISS 3PTR by GRAY,JERICHO",,,,,,,"MISS 3PTR by GRAY,JERICHO",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
03:45,"FOUL  by MINGO,KILE",,,,,,,"FOUL  by MINGO,KILE",1
03:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:45,,21,,35 (+14),"GOOD FT by TURNER,JAMES",MIL 21-35 (+14),,"GOOD FT by TURNER,JAMES",1
03:45,,21,,36 (+15),"GOOD FT by TURNER,JAMES",MIL 21-36 (+15),,"GOOD FT by TURNER,JAMES",1
03:32,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
03:16,,,,,"MISS 3PTR by BURNETT,DREW",,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",1
03:12,,21,,38 (+17),"GOOD LAYUP by OWENS,MATT(in the paint)",MIL 21-38 (+17),,"GOOD LAYUP by OWENS,MATT(in the paint)",1
02:57,"MISS 3PTR by MINGO,KILE",,,,,,,"MISS 3PTR by MINGO,KILE",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
02:40,,,,,"MISS LAYUP by GRANT,SHE'CHEM",,,"MISS LAYUP by GRANT,SHE'CHEM",1
--,"REBOUND DEF by RAY,RICKY",,,,,,,"REBOUND DEF by RAY,RICKY",1
02:36,"TURNOVER  by RAY,RICKY",,,,,,,"TURNOVER  by RAY,RICKY",1
02:35,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
