Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
10:53,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",1
10:53,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",1
10:53,,,,,"SUB OUT by REDDICK,JAVONTE",,,"SUB OUT by REDDICK,JAVONTE",1
10:34,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
10:33,,8,,25 (+17),"GOOD LAYUP by KATOWITZ,JOSH(in the paint)",HSC 8-25 (-17),,"GOOD LAYUP by KATOWITZ,JOSH(in the paint)",1
--,,,,,"ASSIST  by SAMUELS,LOGAN",,,"ASSIST  by SAMUELS,LOGAN",1
10:15,"MISS LAYUP by CRAIN,JOHN",,,,,,,"MISS LAYUP by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by OWENS,MITCH",,,"REBOUND DEF by OWENS,MITCH",1
10:08,,8,,27 (+19),"GOOD JUMPER by EVANS,ANDREW",HSC 8-27 (-19),,"GOOD JUMPER by EVANS,ANDREW",1
09:51,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND DEF by SAMUELS,LOGAN",,,"REBOUND DEF by SAMUELS,LOGAN",1
09:41,,8,,29 (+21),"GOOD JUMPER by OWENS,MITCH",HSC 8-29 (-21),,"GOOD JUMPER by OWENS,MITCH",1
--,,,,,"ASSIST  by EVANS,ANDREW",,,"ASSIST  by EVANS,ANDREW",1
09:22,"GOOD JUMPER by AVERY,ALEX(in the paint)",10,,29 (+19),,BSC 10-29 (-19),,"GOOD JUMPER by AVERY,ALEX(in the paint)",1
09:03,,10,,31 (+21),"GOOD JUMPER by EVANS,ANDREW",HSC 10-31 (-21),,"GOOD JUMPER by EVANS,ANDREW",1
--,,,,,"ASSIST  by SAMUELS,LOGAN",,,"ASSIST  by SAMUELS,LOGAN",1
08:41,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,"REBOUND DEF by EVANS,ANDREW",,,"REBOUND DEF by EVANS,ANDREW",1
08:32,,,,,"MISS LAYUP by SAMUELS,LOGAN",,,"MISS LAYUP by SAMUELS,LOGAN",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
08:12,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
08:08,"GOOD JUMPER by THOM,IAN(in the paint)",12,,31 (+19),,BSC 12-31 (-19),,"GOOD JUMPER by THOM,IAN(in the paint)",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
08:08,,,,,"FOUL  by EVANS,ANDREW",,,"FOUL  by EVANS,ANDREW",1
08:08,"GOOD FT by THOM,IAN",13,,31 (+18),,BSC 13-31 (-18),,"GOOD FT by THOM,IAN",1
08:08,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
08:08,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
08:08,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
08:08,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
08:08,,,,,"SUB IN by GUIMARAES,GUILHERME",,,"SUB IN by GUIMARAES,GUILHERME",1
08:08,,,,,"SUB OUT by OWENS,MITCH",,,"SUB OUT by OWENS,MITCH",1
07:47,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",1
--,,,,,"REBOUND OFF by SAMUELS,LOGAN",,,"REBOUND OFF by SAMUELS,LOGAN",1
07:35,,,,,"MISS JUMPER by KATOWITZ,JOSH",,,"MISS JUMPER by KATOWITZ,JOSH",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
07:34,,,,,"FOUL  by EVANS,ANDREW",,,"FOUL  by EVANS,ANDREW",1
07:34,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
07:34,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
07:34,,,,,"SUB IN by REDDICK,JAVONTE",,,"SUB IN by REDDICK,JAVONTE",1
07:34,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
07:23,,,,,"FOUL  by REDDICK,JAVONTE",,,"FOUL  by REDDICK,JAVONTE",1
07:23,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:23,"GOOD FT by MCLEAN,JAMES",14,,31 (+17),,BSC 14-31 (-17),,"GOOD FT by MCLEAN,JAMES",1
07:23,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",1
07:23,,,,,"SUB OUT by SAMUELS,LOGAN",,,"SUB OUT by SAMUELS,LOGAN",1
07:05,,,,,"MISS JUMPER by KATOWITZ,JOSH",,,"MISS JUMPER by KATOWITZ,JOSH",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
06:53,,,,,"FOUL  by KATOWITZ,JOSH",,,"FOUL  by KATOWITZ,JOSH",1
06:53,"GOOD FT by RUDAK,MATTY",15,,31 (+16),,BSC 15-31 (-16),,"GOOD FT by RUDAK,MATTY",1
06:53,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by OWENS,MITCH",,,"REBOUND DEF by OWENS,MITCH",1
06:53,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
06:53,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
06:53,,,,,"SUB IN by OWENS,MITCH",,,"SUB IN by OWENS,MITCH",1
06:53,,,,,"SUB OUT by KATOWITZ,JOSH",,,"SUB OUT by KATOWITZ,JOSH",1
06:34,,,,,"MISS JUMPER by REDDICK,JAVONTE",,,"MISS JUMPER by REDDICK,JAVONTE",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
06:20,"GOOD JUMPER by RUDAK,MATTY(in the paint)",17,,31 (+14),,BSC 17-31 (-14),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",1
06:11,,,,,"TURNOVER  by MURRAY,MIKE",,,"TURNOVER  by MURRAY,MIKE",1
05:42,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND DEF by DUNCAN,JAKE",,,"REBOUND DEF by DUNCAN,JAKE",1
05:36,,17,,33 (+16),"GOOD LAYUP by MURRAY,MIKE(fastbreak)(in the paint)",HSC 17-33 (-16),,"GOOD LAYUP by MURRAY,MIKE(fastbreak)(in the paint)",1
05:36,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
05:36,,17,,34 (+17),"GOOD FT by MURRAY,MIKE",HSC 17-34 (-17),,"GOOD FT by MURRAY,MIKE",1
05:36,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
05:36,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
05:13,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",19,,34 (+15),,BSC 19-34 (-15),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
04:58,,,,,"MISS LAYUP by MURRAY,MIKE",,,"MISS LAYUP by MURRAY,MIKE",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
04:53,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by OWENS,MITCH",,,"REBOUND DEF by OWENS,MITCH",1
04:27,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
04:27,,,,,"MISS FT by DUNCAN,JAKE",,,"MISS FT by DUNCAN,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:27,,,,,"MISS FT by DUNCAN,JAKE",,,"MISS FT by DUNCAN,JAKE",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
04:27,,,,,"SUB IN by CHEERS,GRAY",,,"SUB IN by CHEERS,GRAY",1
04:27,,,,,"SUB OUT by REDDICK,JAVONTE",,,"SUB OUT by REDDICK,JAVONTE",1
04:08,"MISS LAYUP by MCLEAN,JAMES",,,,,,,"MISS LAYUP by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",1
04:02,,19,,36 (+17),"GOOD LAYUP by CHEERS,GRAY(fastbreak)(in the paint)",HSC 19-36 (-17),,"GOOD LAYUP by CHEERS,GRAY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
03:39,"GOOD LAYUP by THOM,IAN(in the paint)",21,,36 (+15),,BSC 21-36 (-15),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",1
03:26,,21,,38 (+17),"GOOD JUMPER by GUIMARAES,GUILHERME(in the paint)",HSC 21-38 (-17),,"GOOD JUMPER by GUIMARAES,GUILHERME(in the paint)",1
03:12,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",1
03:04,,,,,"MISS LAYUP by MURRAY,MIKE",,,"MISS LAYUP by MURRAY,MIKE",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
03:00,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",1
02:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:54,,,,,"SUB IN by REID,JUSTIN",,,"SUB IN by REID,JUSTIN",1
02:54,,,,,"SUB OUT by DUNCAN,JAKE",,,"SUB OUT by DUNCAN,JAKE",1
02:44,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
02:44,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
02:44,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
02:44,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
02:33,,,,,"MISS JUMPER by CHEERS,GRAY",,,"MISS JUMPER by CHEERS,GRAY",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
02:26,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by CHEERS,GRAY",,,"REBOUND DEF by CHEERS,GRAY",1
02:07,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
02:07,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
01:50,,21,,41 (+20),"GOOD 3PTR by CHEERS,GRAY",HSC 21-41 (-20),,"GOOD 3PTR by CHEERS,GRAY",1
--,,,,,"ASSIST  by GUIMARAES,GUILHERME",,,"ASSIST  by GUIMARAES,GUILHERME",1
01:28,"MISS JUMPER by CRAIN,JOHN",,,,,,,"MISS JUMPER by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by REID,JUSTIN",,,"REBOUND DEF by REID,JUSTIN",1
01:21,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
01:21,,,,,"MISS FT by OWENS,MITCH",,,"MISS FT by OWENS,MITCH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:21,,,,,"MISS FT by OWENS,MITCH",,,"MISS FT by OWENS,MITCH",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
01:21,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
01:21,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
01:21,,,,,"SUB IN by SAMUELS,LOGAN",,,"SUB IN by SAMUELS,LOGAN",1
01:21,,,,,"SUB OUT by MURRAY,MIKE",,,"SUB OUT by MURRAY,MIKE",1
01:08,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
01:08,"TURNOVER  by CRAIN,JOHN",,,,,,,"TURNOVER  by CRAIN,JOHN",1
01:08,,,,,"SUB IN by DUNCAN,JAKE",,,"SUB IN by DUNCAN,JAKE",1
01:08,,,,,"SUB IN by KUEHN,HUNTER",,,"SUB IN by KUEHN,HUNTER",1
01:08,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",1
01:08,,,,,"SUB OUT by OWENS,MITCH",,,"SUB OUT by OWENS,MITCH",1
00:46,,21,,43 (+22),"GOOD JUMPER by KUEHN,HUNTER",HSC 21-43 (-22),,"GOOD JUMPER by KUEHN,HUNTER",1
--,,,,,"ASSIST  by SAMUELS,LOGAN",,,"ASSIST  by SAMUELS,LOGAN",1
00:33,,,,,"FOUL  by GUIMARAES,GUILHERME",,,"FOUL  by GUIMARAES,GUILHERME",1
00:33,"GOOD FT by AVERY,ALEX",22,,43 (+21),,BSC 22-43 (-21),,"GOOD FT by AVERY,ALEX",1
00:33,"GOOD FT by AVERY,ALEX",23,,43 (+20),,BSC 23-43 (-20),,"GOOD FT by AVERY,ALEX",1
00:33,,,,,"SUB IN by OWENS,MITCH",,,"SUB IN by OWENS,MITCH",1
00:33,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",1
00:09,,,,,"MISS LAYUP by SAMUELS,LOGAN",,,"MISS LAYUP by SAMUELS,LOGAN",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
00:03,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
00:01,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
00:00,,,,,"MISS 3PTR by SAMUELS,LOGAN",,,"MISS 3PTR by SAMUELS,LOGAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:51,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",2
19:49,,,,,"STEAL  by EVANS,ANDREW",,,"STEAL  by EVANS,ANDREW",2
19:43,,23,,45 (+22),"GOOD LAYUP by GUIMARAES,GUILHERME(fastbreak)(in the paint)",HSC 23-45 (-22),,"GOOD LAYUP by GUIMARAES,GUILHERME(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",2
19:27,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
19:26,,,,,"STEAL  by EVANS,ANDREW",,,"STEAL  by EVANS,ANDREW",2
19:14,,,,,"MISS JUMPER by EVANS,ANDREW",,,"MISS JUMPER by EVANS,ANDREW",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
18:58,"GOOD JUMPER by AVERY,ALEX(in the paint)",25,,45 (+20),,BSC 25-45 (-20),,"GOOD JUMPER by AVERY,ALEX(in the paint)",2
18:33,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
18:33,,,,,"MISS FT by GUIMARAES,GUILHERME",,,"MISS FT by GUIMARAES,GUILHERME",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:33,,,,,"MISS FT by GUIMARAES,GUILHERME",,,"MISS FT by GUIMARAES,GUILHERME",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
18:14,"GOOD 3PTR by WELCH,ROSS",28,,45 (+17),,BSC 28-45 (-17),,"GOOD 3PTR by WELCH,ROSS",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
