Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
11:04,"GOOD FT by LEWIS,EVAN",16,,17 (+1),,BSCM 16-17 (-1),,"GOOD FT by LEWIS,EVAN",1
11:04,,,,,"SUB IN by COLES,JONATHAN",,,"SUB IN by COLES,JONATHAN",1
11:04,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
11:04,,,,,"SUB IN by GIGAX,ADAM",,,"SUB IN by GIGAX,ADAM",1
11:04,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
11:04,,,,,"SUB OUT by TERRY,JONATHAN",,,"SUB OUT by TERRY,JONATHAN",1
11:04,,,,,"SUB OUT by RAPP,WHIT",,,"SUB OUT by RAPP,WHIT",1
10:47,,16,,19 (+3),"GOOD JUMPER by RAO,DAVIS",EUM 16-19 (-3),,"GOOD JUMPER by RAO,DAVIS",1
10:15,,,,,"FOUL  by COLES,JONATHAN",,,"FOUL  by COLES,JONATHAN",1
10:15,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:15,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",1
--,,,,,"REBOUND DEF by GIGAX,ADAM",,,"REBOUND DEF by GIGAX,ADAM",1
10:07,,,,,"MISS 3PTR by GIGAX,ADAM",,,"MISS 3PTR by GIGAX,ADAM",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
09:49,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
09:48,,,,,"STEAL  by COLES,JONATHAN",,,"STEAL  by COLES,JONATHAN",1
09:41,,,,,"MISS 3PTR by GORDON,JIM",,,"MISS 3PTR by GORDON,JIM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:26,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
09:18,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
09:18,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
09:18,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
09:11,,16,,22 (+6),"GOOD 3PTR by RAO,DAVIS",EUM 16-22 (-6),,"GOOD 3PTR by RAO,DAVIS",1
--,,,,,"ASSIST  by GORDON,JIM",,,"ASSIST  by GORDON,JIM",1
09:04,,,,,"FOUL  by COLES,JONATHAN",,,"FOUL  by COLES,JONATHAN",1
09:04,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
