Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
17:09,,34,,40 (+6),"GOOD FT by LITTLEFIELD,GEAREN",HC 34-40 (-6),,"GOOD FT by LITTLEFIELD,GEAREN",2
17:09,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
17:09,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
16:42,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
16:21,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
16:13,,34,,42 (+8),"GOOD JUMPER by SMITH,PRESTON",HC 34-42 (-8),,"GOOD JUMPER by SMITH,PRESTON",2
16:12,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
16:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:12,,34,,43 (+9),"GOOD FT by SMITH,PRESTON",HC 34-43 (-9),,"GOOD FT by SMITH,PRESTON",2
16:02,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
16:00,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
15:44,"MISS JUMPER by LEWIS,EVAN",,,,,,,"MISS JUMPER by LEWIS,EVAN",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
15:42,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
15:42,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
15:42,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
15:27,"GOOD 3PTR by DENEKA,HARRISON",37,,43 (+6),,BSCM 37-43 (-6),,"GOOD 3PTR by DENEKA,HARRISON",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
15:10,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
15:10,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",2
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",2
14:59,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
14:51,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
14:50,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",2
14:40,"MISS LAYUP by MCLEAN,JAMES",,,,,,,"MISS LAYUP by MCLEAN,JAMES",2
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",2
14:26,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
14:25,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
14:13,,37,,45 (+8),"GOOD JUMPER by BATCHELOR,BRYCE",HC 37-45 (-8),,"GOOD JUMPER by BATCHELOR,BRYCE",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
14:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:07,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
14:07,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
14:07,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
14:07,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
14:07,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
14:07,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
14:07,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
14:07,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
14:07,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
14:07,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
13:57,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
13:40,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",39,,45 (+6),,BSCM 39-45 (-6),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
13:40,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
13:40,"GOOD FT by MCLEAN,JAMES",40,,45 (+5),,BSCM 40-45 (-5),,"GOOD FT by MCLEAN,JAMES",2
13:32,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",2
13:06,"GOOD JUMPER by RUDAK,MATTY(in the paint)",42,,45 (+3),,BSCM 42-45 (-3),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",2
12:46,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
12:46,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
12:46,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
12:46,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
12:46,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
12:46,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
12:46,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
12:46,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
12:46,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
12:46,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
12:46,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
12:46,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
12:46,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
12:46,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
12:46,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
12:46,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
12:46,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
12:46,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
12:46,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
12:46,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
12:46,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
12:46,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
12:32,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:22,,42,,47 (+5),"GOOD JUMPER by SMITH,PRESTON(in the paint)",HC 42-47 (-5),,"GOOD JUMPER by SMITH,PRESTON(in the paint)",2
12:07,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",2
--,"REBOUND OFF by CRAIN,JOHN",,,,,,,"REBOUND OFF by CRAIN,JOHN",2
11:54,"MISS 3PTR by MURPHY,JUWAN",,,,,,,"MISS 3PTR by MURPHY,JUWAN",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
11:41,,42,,50 (+8),"GOOD 3PTR by GARRETT,TRAVIS",HC 42-50 (-8),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
11:23,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
11:23,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
11:23,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
11:23,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
11:23,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
11:23,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
11:23,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
11:10,"GOOD JUMPER by AVERY,ALEX(in the paint)",44,,50 (+6),,BSCM 44-50 (-6),,"GOOD JUMPER by AVERY,ALEX(in the paint)",2
10:47,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",2
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",2
10:37,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
10:37,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
10:37,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
10:26,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",2
10:14,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
10:14,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",2
10:14,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
10:14,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
10:14,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
10:10,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
10:02,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
10:02,,44,,51 (+7),"GOOD FT by OGLE,JOHN",HC 44-51 (-7),,"GOOD FT by OGLE,JOHN",2
10:02,,44,,52 (+8),"GOOD FT by OGLE,JOHN",HC 44-52 (-8),,"GOOD FT by OGLE,JOHN",2
10:02,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
10:02,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
10:02,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
10:02,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
09:51,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
09:51,"GOOD FT by MCLEAN,JAMES",45,,52 (+7),,BSCM 45-52 (-7),,"GOOD FT by MCLEAN,JAMES",2
09:51,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
09:26,,45,,54 (+9),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 45-54 (-9),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
--,,,,,"ASSIST  by NOTLEY,CHANDLER",,,"ASSIST  by NOTLEY,CHANDLER",2
09:09,"MISS LAYUP by MCLEAN,JAMES",,,,,,,"MISS LAYUP by MCLEAN,JAMES",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
09:05,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",47,,54 (+7),,BSCM 47-54 (-7),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
08:44,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
08:44,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
08:36,"GOOD 3PTR by WELCH,ROSS(fastbreak)",50,,54 (+4),,BSCM 50-54 (-4),,"GOOD 3PTR by WELCH,ROSS(fastbreak)",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
08:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:15,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
08:14,"STEAL  by MCLEAN,JAMES",,,,,,,"STEAL  by MCLEAN,JAMES",2
07:53,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND OFF by LEWIS,EVAN",,,,,,,"REBOUND OFF by LEWIS,EVAN",2
07:48,"MISS JUMPER by LEWIS,EVAN",,,,,,,"MISS JUMPER by LEWIS,EVAN",2
--,"REBOUND OFF by BARRON,MAC",,,,,,,"REBOUND OFF by BARRON,MAC",2
07:46,"MISS LAYUP by BARRON,MAC",,,,,,,"MISS LAYUP by BARRON,MAC",2
--,"REBOUND OFF by MCLEAN,JAMES",,,,,,,"REBOUND OFF by MCLEAN,JAMES",2
07:43,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
07:43,"GOOD FT by MCLEAN,JAMES",51,,54 (+3),,BSCM 51-54 (-3),,"GOOD FT by MCLEAN,JAMES",2
07:43,"GOOD FT by MCLEAN,JAMES",52,,54 (+2),,BSCM 52-54 (-2),,"GOOD FT by MCLEAN,JAMES",2
07:43,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
07:43,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",2
07:43,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
07:43,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
07:16,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
07:02,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
07:02,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
07:02,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
07:02,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
07:02,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
07:02,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
07:02,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
07:02,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
06:41,,,,,"TURNOVER  by NOTLEY,CHANDLER",,,"TURNOVER  by NOTLEY,CHANDLER",2
06:41,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",2
06:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
06:41,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
06:41,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
06:41,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
06:41,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
06:41,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
06:41,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
06:41,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
06:41,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
06:41,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
06:41,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
06:41,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
06:41,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
06:41,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
06:41,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
06:41,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
06:41,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
06:41,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
06:41,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
06:41,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
06:41,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
06:26,"GOOD LAYUP by WELCH,ROSS(in the paint)",54,,54,,BSCM 54-54 (0),,"GOOD LAYUP by WELCH,ROSS(in the paint)",2
06:12,,54,,57 (+3),"GOOD 3PTR by NIKOLOVSKI,DREW",HC 54-57 (-3),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
06:08,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
05:53,,54,,60 (+6),"GOOD 3PTR by GARRETT,TRAVIS",HC 54-60 (-6),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",2
05:30,"GOOD 3PTR by DENEKA,HARRISON",57,,60 (+3),,BSCM 57-60 (-3),,"GOOD 3PTR by DENEKA,HARRISON",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
05:09,,,,,"MISS JUMPER by BATCHELOR,BRYCE",,,"MISS JUMPER by BATCHELOR,BRYCE",2
05:09,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:02,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:55,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
04:55,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
04:53,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",2
04:46,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by NOTLEY,CHANDLER",,,"REBOUND OFF by NOTLEY,CHANDLER",2
04:42,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
04:42,,57,,61 (+4),"GOOD FT by NOTLEY,CHANDLER",HC 57-61 (-4),,"GOOD FT by NOTLEY,CHANDLER",2
04:42,,,,,"MISS FT by NOTLEY,CHANDLER",,,"MISS FT by NOTLEY,CHANDLER",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
04:42,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
04:42,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
04:18,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
04:01,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
03:51,"GOOD LAYUP by AVERY,ALEX(fastbreak)(in the paint)",59,,61 (+2),,BSCM 59-61 (-2),,"GOOD LAYUP by AVERY,ALEX(fastbreak)(in the paint)",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
03:22,,59,,64 (+5),"GOOD 3PTR by NIKOLOVSKI,DREW",HC 59-64 (-5),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
03:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:22,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
03:22,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",2
03:13,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
02:52,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
02:51,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
02:48,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
02:48,"GOOD FT by LEWIS,EVAN",60,,64 (+4),,BSCM 60-64 (-4),,"GOOD FT by LEWIS,EVAN",2
02:48,"GOOD FT by LEWIS,EVAN",61,,64 (+3),,BSCM 61-64 (-3),,"GOOD FT by LEWIS,EVAN",2
02:35,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
02:35,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
02:20,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
02:12,"GOOD LAYUP by MCLEAN,JAMES(fastbreak)(in the paint)",63,,64 (+1),,BSCM 63-64 (-1),,"GOOD LAYUP by MCLEAN,JAMES(fastbreak)(in the paint)",2
02:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:01,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
02:00,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",2
01:58,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:40,"GOOD JUMPER by WELCH,ROSS(in the paint)",65 (+1),,64,,BSCM 65-64 (+1),,"GOOD JUMPER by WELCH,ROSS(in the paint)",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
01:25,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
01:24,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",2
01:10,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",67 (+3),,64,,BSCM 67-64 (+3),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
01:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:54,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
00:54,"BLOCK  by MCLEAN,JAMES",,,,,,,"BLOCK  by MCLEAN,JAMES",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
00:26,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
00:26,"GOOD FT by MCLEAN,JAMES",68 (+4),,64,,BSCM 68-64 (+4),,"GOOD FT by MCLEAN,JAMES",2
00:26,"GOOD FT by MCLEAN,JAMES",69 (+5),,64,,BSCM 69-64 (+5),,"GOOD FT by MCLEAN,JAMES",2
00:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:26,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
00:26,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
00:16,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",2
00:10,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
00:10,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
00:08,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:03,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
00:03,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:03,"GOOD FT by THOM,IAN",70 (+6),,64,,BSCM 70-64 (+6),,"GOOD FT by THOM,IAN",2
