Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
08:05,,26 (+3),,23,"GOOD 3PTR by WELCH,ROSS",BSC 26-23 (-3),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
08:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:48,,,,,"SUB IN by PIETRI,JORDAN",,,"SUB IN by PIETRI,JORDAN",1
07:45,,,,,"SUB OUT by PIETRI,JORDAN",,,"SUB OUT by PIETRI,JORDAN",1
07:42,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:40,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
07:40,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
07:38,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",28 (+5),,23,,MILLMBB 28-23 (-5),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",1
07:23,,28 (+2),,26,"GOOD 3PTR by WELCH,ROSS",BSC 28-26 (-2),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",1
06:53,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",30 (+4),,26,,MILLMBB 30-26 (-4),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
06:40,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
06:40,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
06:25,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
06:09,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",32 (+6),,26,,MILLMBB 32-26 (-6),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",1
05:55,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:55,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
05:55,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
05:55,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
05:55,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
05:46,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
05:46,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
05:46,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",1
05:46,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
05:46,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
05:28,,32 (+4),,28,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 32-28 (-4),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
05:18,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
05:12,"FOUL  by JONES,BLAKE",,,,,,,"FOUL  by JONES,BLAKE",1
05:12,,32 (+3),,29,"GOOD FT by THOM,IAN",BSC 32-29 (-3),,"GOOD FT by THOM,IAN",1
05:12,,32 (+2),,30,"GOOD FT by THOM,IAN",BSC 32-30 (-2),,"GOOD FT by THOM,IAN",1
