Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
07:26,"GOOD FT by CARTER,KESHONN",9,,24 (+15),,SEWANEE 9-24 (-15),,"GOOD FT by CARTER,KESHONN",1
07:26,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
07:26,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
07:26,,,,,"SUB IN by GUIMARAES,GUILHERME",,,"SUB IN by GUIMARAES,GUILHERME",1
07:26,,,,,"SUB IN by DUNCAN,JAKE",,,"SUB IN by DUNCAN,JAKE",1
07:26,,,,,"SUB OUT by HARGROVE,LEON",,,"SUB OUT by HARGROVE,LEON",1
07:26,,,,,"SUB OUT by KATOWITZ,JOSH",,,"SUB OUT by KATOWITZ,JOSH",1
07:14,,,,,"FOUL  by OWENS,MITCH",,,"FOUL  by OWENS,MITCH",1
07:14,,,,,"TURNOVER  by OWENS,MITCH",,,"TURNOVER  by OWENS,MITCH",1
06:59,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by CALDWELL,MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",1
06:44,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",1
06:31,,,,,"MISS LAYUP by GUIMARAES,GUILHERME",,,"MISS LAYUP by GUIMARAES,GUILHERME",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
06:21,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:18,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
06:18,,,,,"SUB IN by CHASE,NICK",,,"SUB IN by CHASE,NICK",1
06:18,,,,,"SUB OUT by OWENS,MITCH",,,"SUB OUT by OWENS,MITCH",1
06:03,,,,,"TURNOVER  by GUIMARAES,GUILHERME",,,"TURNOVER  by GUIMARAES,GUILHERME",1
