Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,VU,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",1
16:33,,,,,"MISS 3PTR by ROBERSON,JEFF",,,"MISS 3PTR by ROBERSON,JEFF",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
16:30,,,,,"FOUL  by JONES,DAMIAN",,,"FOUL  by JONES,DAMIAN",1
16:08,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by JONES,DAMIAN",,,"REBOUND DEF by JONES,DAMIAN",1
15:52,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",1
--,,,,,"REBOUND OFF by ROBERSON,JEFF",,,"REBOUND OFF by ROBERSON,JEFF",1
15:39,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:38,,,,,"TURNOVER  by MITCHELL,SHELTON",,,"TURNOVER  by MITCHELL,SHELTON",1
15:37,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",1
15:25,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:06,,,,,"MISS LAYUP by JONES,DAMIAN",,,"MISS LAYUP by JONES,DAMIAN",1
15:06,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
14:56,"GOOD JUMPER by CARTER,KESHONN(in the paint)",4,,8 (+4),,SEWANEE 4-8 (-4),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
14:38,,,,,"MISS JUMPER by MITCHELL,SHELTON",,,"MISS JUMPER by MITCHELL,SHELTON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
14:27,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by LACHANCE,RILEY",,,"REBOUND DEF by LACHANCE,RILEY",1
14:13,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
14:13,,4,,9 (+5),"GOOD FT by JONES,DAMIAN",VU 4-9 (-5),,"GOOD FT by JONES,DAMIAN",1
14:13,,,,,"MISS FT by JONES,DAMIAN",,,"MISS FT by JONES,DAMIAN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
14:13,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
14:13,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
14:13,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
14:13,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
14:13,,,,,"SUB IN by MOATS,SHELBY",,,"SUB IN by MOATS,SHELBY",1
14:13,,,,,"SUB IN by BALDWIN IV,WADE",,,"SUB IN by BALDWIN IV,WADE",1
14:13,,,,,"SUB OUT by KORNET,LUKE",,,"SUB OUT by KORNET,LUKE",1
14:13,,,,,"SUB OUT by MITCHELL,SHELTON",,,"SUB OUT by MITCHELL,SHELTON",1
13:55,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by JONES,DAMIAN",,,"REBOUND DEF by JONES,DAMIAN",1
13:45,,,,,"MISS 3PTR by LACHANCE,RILEY",,,"MISS 3PTR by LACHANCE,RILEY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:44,,,,,"SUB IN by HENDERSON,JOSH",,,"SUB IN by HENDERSON,JOSH",1
13:44,,,,,"SUB OUT by JONES,DAMIAN",,,"SUB OUT by JONES,DAMIAN",1
13:25,,,,,"FOUL  by ROBERSON,JEFF",,,"FOUL  by ROBERSON,JEFF",1
13:25,"MISS FT by BROWN,SETH",,,,,,,"MISS FT by BROWN,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:25,"GOOD FT by BROWN,SETH",5,,9 (+4),,SEWANEE 5-9 (-4),,"GOOD FT by BROWN,SETH",1
13:25,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
13:25,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
13:25,,,,,"SUB IN by WATKINS,NATHAN",,,"SUB IN by WATKINS,NATHAN",1
13:25,,,,,"SUB OUT by ROBERSON,JEFF",,,"SUB OUT by ROBERSON,JEFF",1
13:20,,,,,"MISS 3PTR by LACHANCE,RILEY",,,"MISS 3PTR by LACHANCE,RILEY",1
--,,,,,"REBOUND OFF by HENDERSON,JOSH",,,"REBOUND OFF by HENDERSON,JOSH",1
13:07,,,,,"MISS LAYUP by MOATS,SHELBY",,,"MISS LAYUP by MOATS,SHELBY",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
12:57,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by LACHANCE,RILEY",,,"REBOUND DEF by LACHANCE,RILEY",1
12:39,,,,,"MISS 3PTR by BALDWIN IV,WADE",,,"MISS 3PTR by BALDWIN IV,WADE",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
12:24,"GOOD JUMPER by MCCULLOUGH,JACOB",7,,9 (+2),,SEWANEE 7-9 (-2),,"GOOD JUMPER by MCCULLOUGH,JACOB",1
12:10,,,,,"TURNOVER  by WATKINS,NATHAN",,,"TURNOVER  by WATKINS,NATHAN",1
12:10,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",1
12:03,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by HENDERSON,JOSH",,,"REBOUND DEF by HENDERSON,JOSH",1
11:43,,7,,11 (+4),"GOOD JUMPER by HENDERSON,JOSH(in the paint)",VU 7-11 (-4),,"GOOD JUMPER by HENDERSON,JOSH(in the paint)",1
--,,,,,"ASSIST  by BALDWIN IV,WADE",,,"ASSIST  by BALDWIN IV,WADE",1
11:20,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
11:19,,,,,"STEAL  by MOATS,SHELBY",,,"STEAL  by MOATS,SHELBY",1
11:14,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
11:14,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:14,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
11:14,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
11:14,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
11:14,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
11:14,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
11:14,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
11:14,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
11:14,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
11:14,,,,,"SUB IN by MITCHELL,SHELTON",,,"SUB IN by MITCHELL,SHELTON",1
11:14,,,,,"SUB OUT by LACHANCE,RILEY",,,"SUB OUT by LACHANCE,RILEY",1
10:51,,,,,"MISS JUMPER by HENDERSON,JOSH",,,"MISS JUMPER by HENDERSON,JOSH",1
--,,,,,"REBOUND OFF by MITCHELL,SHELTON",,,"REBOUND OFF by MITCHELL,SHELTON",1
10:48,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
10:48,,,,,"MISS FT by MITCHELL,SHELTON",,,"MISS FT by MITCHELL,SHELTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:48,,,,,"MISS FT by MITCHELL,SHELTON",,,"MISS FT by MITCHELL,SHELTON",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
10:48,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
10:26,,,,,"MISS 3PTR by MOATS,SHELBY",,,"MISS 3PTR by MOATS,SHELBY",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
10:04,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:02,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
10:02,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
10:02,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
10:02,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
10:02,,,,,"SUB IN by JONES,DAMIAN",,,"SUB IN by JONES,DAMIAN",1
10:02,,,,,"SUB IN by LACHANCE,RILEY",,,"SUB IN by LACHANCE,RILEY",1
10:02,,,,,"SUB IN by BALDWIN IV,WADE",,,"SUB IN by BALDWIN IV,WADE",1
10:02,,,,,"SUB IN by MITCHELL,SHELTON",,,"SUB IN by MITCHELL,SHELTON",1
10:02,,,,,"SUB IN by KORNET,LUKE",,,"SUB IN by KORNET,LUKE",1
10:02,,,,,"SUB OUT by WATKINS,NATHAN",,,"SUB OUT by WATKINS,NATHAN",1
10:02,,,,,"SUB OUT by HENDERSON,JOSH",,,"SUB OUT by HENDERSON,JOSH",1
10:02,,,,,"SUB OUT by MOATS,SHELBY",,,"SUB OUT by MOATS,SHELBY",1
10:02,,,,,"SUB OUT by BALDWIN IV,WADE",,,"SUB OUT by BALDWIN IV,WADE",1
10:02,,,,,"SUB OUT by MITCHELL,SHELTON",,,"SUB OUT by MITCHELL,SHELTON",1
10:01,,,,,"MISS JUMPER by JONES,DAMIAN",,,"MISS JUMPER by JONES,DAMIAN",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
09:36,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by JONES,DAMIAN",,,"REBOUND DEF by JONES,DAMIAN",1
09:33,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
09:33,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
09:33,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
09:20,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
09:20,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
09:20,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
09:13,,,,,"MISS LAYUP by JONES,DAMIAN",,,"MISS LAYUP by JONES,DAMIAN",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
09:04,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",1
08:57,,,,,"TURNOVER  by BALDWIN IV,WADE",,,"TURNOVER  by BALDWIN IV,WADE",1
08:57,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
08:37,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND DEF by KORNET,LUKE",,,"REBOUND DEF by KORNET,LUKE",1
08:31,,7,,13 (+6),"GOOD LAYUP by MITCHELL,SHELTON(fastbreak)(in the paint)",VU 7-13 (-6),,"GOOD LAYUP by MITCHELL,SHELTON(fastbreak)(in the paint)",1
08:00,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by JONES,DAMIAN",,,"REBOUND DEF by JONES,DAMIAN",1
07:42,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
07:30,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
07:30,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
07:03,,,,,"MISS DUNK by JONES,DAMIAN",,,"MISS DUNK by JONES,DAMIAN",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
06:38,,,,,"FOUL  by LACHANCE,RILEY",,,"FOUL  by LACHANCE,RILEY",1
06:25,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
06:12,,,,,"MISS 3PTR by LACHANCE,RILEY",,,"MISS 3PTR by LACHANCE,RILEY",1
--,,,,,"REBOUND OFF by JONES,DAMIAN",,,"REBOUND OFF by JONES,DAMIAN",1
06:10,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
06:10,,7,,14 (+7),"GOOD FT by JONES,DAMIAN",VU 7-14 (-7),,"GOOD FT by JONES,DAMIAN",1
06:10,,,,,"MISS FT by JONES,DAMIAN",,,"MISS FT by JONES,DAMIAN",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
06:10,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
06:10,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
06:10,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
06:10,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
06:10,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
06:10,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
05:53,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
05:53,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
05:53,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
05:53,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
05:42,,7,,17 (+10),"GOOD 3PTR by BALDWIN IV,WADE",VU 7-17 (-10),,"GOOD 3PTR by BALDWIN IV,WADE",1
--,,,,,"ASSIST  by MITCHELL,SHELTON",,,"ASSIST  by MITCHELL,SHELTON",1
05:30,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:17,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
05:16,,,,,"STEAL  by BALDWIN IV,WADE",,,"STEAL  by BALDWIN IV,WADE",1
05:08,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",1
--,,,,,"REBOUND OFF by JONES,DAMIAN",,,"REBOUND OFF by JONES,DAMIAN",1
05:04,,7,,19 (+12),"GOOD LAYUP by JONES,DAMIAN(in the paint)",VU 7-19 (-12),,"GOOD LAYUP by JONES,DAMIAN(in the paint)",1
04:37,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
04:37,"TURNOVER  by VEAL,ROBERT",,,,,,,"TURNOVER  by VEAL,ROBERT",1
04:22,,7,,21 (+14),"GOOD DUNK by JONES,DAMIAN(in the paint)",VU 7-21 (-14),,"GOOD DUNK by JONES,DAMIAN(in the paint)",1
--,,,,,"ASSIST  by MITCHELL,SHELTON",,,"ASSIST  by MITCHELL,SHELTON",1
04:22,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
04:22,,7,,22 (+15),"GOOD FT by JONES,DAMIAN",VU 7-22 (-15),,"GOOD FT by JONES,DAMIAN",1
04:22,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
04:22,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
04:22,,,,,"SUB IN by JOSEPHS,CARTER",,,"SUB IN by JOSEPHS,CARTER",1
04:22,,,,,"SUB OUT by BALDWIN IV,WADE",,,"SUB OUT by BALDWIN IV,WADE",1
04:13,,,,,"FOUL  by JOSEPHS,CARTER",,,"FOUL  by JOSEPHS,CARTER",1
04:13,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by JOSEPHS,CARTER",,,"REBOUND DEF by JOSEPHS,CARTER",1
04:13,,,,,"SUB IN by HENDERSON,JOSH",,,"SUB IN by HENDERSON,JOSH",1
04:13,,,,,"SUB OUT by JONES,DAMIAN",,,"SUB OUT by JONES,DAMIAN",1
03:53,,7,,25 (+18),"GOOD 3PTR by LACHANCE,RILEY",VU 7-25 (-18),,"GOOD 3PTR by LACHANCE,RILEY",1
--,,,,,"ASSIST  by JOSEPHS,CARTER",,,"ASSIST  by JOSEPHS,CARTER",1
03:25,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:22,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:22,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
03:22,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
03:22,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
03:22,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",1
03:22,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
03:22,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
03:22,,,,,"SUB IN by BALDWIN IV,WADE",,,"SUB IN by BALDWIN IV,WADE",1
03:22,,,,,"SUB OUT by JOSEPHS,CARTER",,,"SUB OUT by JOSEPHS,CARTER",1
03:13,,,,,"MISS 3PTR by KORNET,LUKE",,,"MISS 3PTR by KORNET,LUKE",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
02:41,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",1
02:35,,7,,27 (+20),"GOOD LAYUP by BALDWIN IV,WADE(fastbreak)(in the paint)",VU 7-27 (-20),,"GOOD LAYUP by BALDWIN IV,WADE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MITCHELL,SHELTON",,,"ASSIST  by MITCHELL,SHELTON",1
02:17,"GOOD JUMPER by STONE,BRODY",9,,27 (+18),,SEWANEE 9-27 (-18),,"GOOD JUMPER by STONE,BRODY",1
01:53,,,,,"TURNOVER  by LACHANCE,RILEY",,,"TURNOVER  by LACHANCE,RILEY",1
01:53,,,,,"SUB IN by MOATS,SHELBY",,,"SUB IN by MOATS,SHELBY",1
01:53,,,,,"SUB OUT by KORNET,LUKE",,,"SUB OUT by KORNET,LUKE",1
01:30,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by MOATS,SHELBY",,,"REBOUND DEF by MOATS,SHELBY",1
01:23,,,,,"MISS LAYUP by BALDWIN IV,WADE",,,"MISS LAYUP by BALDWIN IV,WADE",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
01:06,"GOOD JUMPER by MCCULLOUGH,JACOB",11,,27 (+16),,SEWANEE 11-27 (-16),,"GOOD JUMPER by MCCULLOUGH,JACOB",1
00:32,,,,,"MISS JUMPER by LACHANCE,RILEY",,,"MISS JUMPER by LACHANCE,RILEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:31,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
00:31,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
00:31,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
00:31,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
00:31,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
00:31,,,,,"SUB IN by JONES,DAMIAN",,,"SUB IN by JONES,DAMIAN",1
00:31,,,,,"SUB IN by JOSEPHS,CARTER",,,"SUB IN by JOSEPHS,CARTER",1
00:31,,,,,"SUB OUT by HENDERSON,JOSH",,,"SUB OUT by HENDERSON,JOSH",1
00:31,,,,,"SUB OUT by LACHANCE,RILEY",,,"SUB OUT by LACHANCE,RILEY",1
00:10,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",1
00:10,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
00:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:10,,,,,"SUB IN by LACHANCE,RILEY",,,"SUB IN by LACHANCE,RILEY",1
00:10,,,,,"SUB OUT by JOSEPHS,CARTER",,,"SUB OUT by JOSEPHS,CARTER",1
00:05,,11,,30 (+19),"GOOD 3PTR by MITCHELL,SHELTON",VU 11-30 (-19),,"GOOD 3PTR by MITCHELL,SHELTON",1
--,,,,,"ASSIST  by BALDWIN IV,WADE",,,"ASSIST  by BALDWIN IV,WADE",1
20:00,,,,,"SUB IN by MOATS,SHELBY",,,"SUB IN by MOATS,SHELBY",2
20:00,,,,,"SUB OUT by KORNET,LUKE",,,"SUB OUT by KORNET,LUKE",2
19:41,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by JONES,DAMIAN",,,"REBOUND DEF by JONES,DAMIAN",2
19:19,,,,,"MISS 3PTR by LACHANCE,RILEY",,,"MISS 3PTR by LACHANCE,RILEY",2
--,,,,,"REBOUND OFF by JONES,DAMIAN",,,"REBOUND OFF by JONES,DAMIAN",2
19:10,,,,,"TURNOVER  by MOATS,SHELBY",,,"TURNOVER  by MOATS,SHELBY",2
19:08,"STEAL  by STONE,BRODY",,,,,,,"STEAL  by STONE,BRODY",2
18:49,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
18:44,"GOOD 3PTR by WILLIAMS,JORDEN",14,,30 (+16),,SEWANEE 14-30 (-16),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",2
18:10,,14,,33 (+19),"GOOD 3PTR by LACHANCE,RILEY",VU 14-33 (-19),,"GOOD 3PTR by LACHANCE,RILEY",2
--,,,,,"ASSIST  by ROBERSON,JEFF",,,"ASSIST  by ROBERSON,JEFF",2
17:54,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by MITCHELL,SHELTON",,,"REBOUND DEF by MITCHELL,SHELTON",2
17:37,,14,,36 (+22),"GOOD 3PTR by ROBERSON,JEFF",VU 14-36 (-22),,"GOOD 3PTR by ROBERSON,JEFF",2
--,,,,,"ASSIST  by MOATS,SHELBY",,,"ASSIST  by MOATS,SHELBY",2
16:59,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
16:34,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by ROBERSON,JEFF",,,"REBOUND DEF by ROBERSON,JEFF",2
16:27,,14,,38 (+24),"GOOD JUMPER by MITCHELL,SHELTON(in the paint)",VU 14-38 (-24),,"GOOD JUMPER by MITCHELL,SHELTON(in the paint)",2
16:27,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
