Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
05:38,"MISS LAYUP by KORN,LUKAS",,,,,,,"MISS LAYUP by KORN,LUKAS",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
05:33,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
05:32,"STEAL  by CHAYKOWSKY,ZACK",,,,,,,"STEAL  by CHAYKOWSKY,ZACK",1
05:30,"MISS LAYUP by KORN,LUKAS",,,,,,,"MISS LAYUP by KORN,LUKAS",1
05:30,,,,,"BLOCK  by CALDWELL,MARCELLUS",,,"BLOCK  by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
05:02,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",1
05:02,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:02,,18,,25 (+7),"GOOD FT by STONE,BRODY",SEWANEE 18-25 (+7),,"GOOD FT by STONE,BRODY",1
05:02,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
05:02,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
05:02,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
05:02,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
04:55,"GOOD JUMPER by KORN,LUKAS",20,,25 (+5),,BCM 20-25 (+5),,"GOOD JUMPER by KORN,LUKAS",1
04:36,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
04:33,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
04:33,"GOOD FT by JACOBS,OWEN",21,,25 (+4),,BCM 21-25 (+4),,"GOOD FT by JACOBS,OWEN",1
04:33,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
04:33,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
04:33,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
04:17,,21,,27 (+6),"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 21-27 (+6),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
03:58,"MISS 3PTR by CHAYKOWSKY,ZACK",,,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
03:48,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",1
03:20,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:16,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
03:16,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:16,"GOOD FT by JACOBS,OWEN",22,,27 (+5),,BCM 22-27 (+5),,"GOOD FT by JACOBS,OWEN",1
03:16,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
03:16,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
03:16,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
03:16,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
03:16,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
03:16,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
02:49,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",1
02:14,"MISS 3PTR by HARVILLE,TYLER",,,,,,,"MISS 3PTR by HARVILLE,TYLER",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
02:09,,22,,30 (+8),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 22-30 (+8),,"GOOD 3PTR by WILLIAMS,JORDEN",1
02:00,"TURNOVER  by HARVILLE,TYLER",,,,,,,"TURNOVER  by HARVILLE,TYLER",1
01:58,,,,,"STEAL  by TURNER,BYRON",,,"STEAL  by TURNER,BYRON",1
01:47,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
01:44,"STEAL  by KORN,LUKAS",,,,,,,"STEAL  by KORN,LUKAS",1
01:43,"TURNOVER  by KORN,LUKAS",,,,,,,"TURNOVER  by KORN,LUKAS",1
01:42,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",1
01:36,,,,,"TURNOVER  by TURNER,BYRON",,,"TURNOVER  by TURNER,BYRON",1
01:35,"STEAL  by CHAYKOWSKY,ZACK",,,,,,,"STEAL  by CHAYKOWSKY,ZACK",1
01:28,"TURNOVER  by HARVILLE,TYLER",,,,,,,"TURNOVER  by HARVILLE,TYLER",1
01:27,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",1
01:24,,22,,32 (+10),"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",SEWANEE 22-32 (+10),,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
01:02,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",1
--,,,,,"REBOUND DEF by TURNER,BYRON",,,"REBOUND DEF by TURNER,BYRON",1
00:54,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
00:54,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",1
00:54,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
00:54,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
00:54,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
00:54,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
00:54,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
00:54,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
00:43,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by HARVILLE,TYLER",,,,,,,"REBOUND DEF by HARVILLE,TYLER",1
00:40,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
00:40,"MISS FT by HARVILLE,TYLER",,,,,,,"MISS FT by HARVILLE,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:40,"GOOD FT by HARVILLE,TYLER",23,,32 (+9),,BCM 23-32 (+9),,"GOOD FT by HARVILLE,TYLER",1
00:08,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
00:02,"MISS 3PTR by CHAYKOWSKY,ZACK",,,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:53,"MISS JUMPER by JACOBS,OWEN",,,,,,,"MISS JUMPER by JACOBS,OWEN",2
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",2
19:28,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",2
19:28,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
19:22,"GOOD LAYUP by CHAYKOWSKY,ZACK(in the paint)",25,,32 (+7),,BCM 25-32 (+7),,"GOOD LAYUP by CHAYKOWSKY,ZACK(in the paint)",2
19:00,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",2
18:48,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",2
18:48,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",2
18:48,"SUB IN by THIGPEN,LOGAN",,,,,,,"SUB IN by THIGPEN,LOGAN",2
18:48,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
18:17,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",2
18:12,"FOUL  by HARVILLE,TYLER",,,,,,,"FOUL  by HARVILLE,TYLER",2
18:07,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",2
17:44,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",2
17:39,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
17:39,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",2
17:30,"MISS 3PTR by HARVILLE,TYLER",,,,,,,"MISS 3PTR by HARVILLE,TYLER",2
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",2
17:26,"GOOD LAYUP by JACOBS,OWEN(in the paint)",27,,32 (+5),,BCM 27-32 (+5),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
17:05,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",2
17:03,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",2
--,"REBOUND DEF by THIGPEN,LOGAN",,,,,,,"REBOUND DEF by THIGPEN,LOGAN",2
