Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
10:38,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
10:38,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
10:38,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
10:38,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
10:20,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
10:13,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",1
10:04,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
09:43,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
09:42,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
09:27,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
09:20,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by MCCULLOUGH,JACOB",,,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",1
09:17,"MISS LAYUP by MCCULLOUGH,JACOB",,,,,,,"MISS LAYUP by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
09:03,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
09:03,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
09:03,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
09:03,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
09:03,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
09:03,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
09:03,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:03,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:03,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
09:03,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:03,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
09:03,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
08:47,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
08:32,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
08:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:32,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
08:32,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
08:30,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
08:30,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:23,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
08:04,"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",8,,16 (+8),,SEWANEE 8-16 (-8),,"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",1
08:04,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
08:04,"GOOD FT by CALDWELL,MARCELLUS",9,,16 (+7),,SEWANEE 9-16 (-7),,"GOOD FT by CALDWELL,MARCELLUS",1
