Time Remaining,PIEDMONT,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
14:01,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",,,"REBOUND OFF by MCCULLOUGH,JACOB",1
13:46,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
13:41,"FOUL  by GAINES,TRAE",,,,,,,"FOUL  by GAINES,TRAE",1
13:41,,,,,"MISS FT by BORN,LEO",,,"MISS FT by BORN,LEO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:41,,,,,"MISS FT by BORN,LEO",,,"MISS FT by BORN,LEO",1
--,"REBOUND DEF by VALLEJO,JUSTIN",,,,,,,"REBOUND DEF by VALLEJO,JUSTIN",1
13:41,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
13:41,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
13:40,"TURNOVER  by LUKEN,PEYTON",,,,,,,"TURNOVER  by LUKEN,PEYTON",1
13:36,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
13:36,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
13:25,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",,,"MISS 3PTR by MCCULLOUGH,JACOB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:22,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",10,,12 (+2),,PIEDMONT 10-12 (+2),,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",1
13:15,"SUB IN by PROPST,JORDYN",,,,,,,"SUB IN by PROPST,JORDYN",1
13:15,"SUB IN by WINDERS,TREY",,,,,,,"SUB IN by WINDERS,TREY",1
13:15,"SUB IN by VALLEJO,JUSTIN",,,,,,,"SUB IN by VALLEJO,JUSTIN",1
13:15,"SUB OUT by MEEKS,CHRIS",,,,,,,"SUB OUT by MEEKS,CHRIS",1
13:15,"SUB OUT by EDWARDS,BRIAN",,,,,,,"SUB OUT by EDWARDS,BRIAN",1
13:15,"SUB OUT by ENGLAND,CHASE",,,,,,,"SUB OUT by ENGLAND,CHASE",1
12:34,,10,,15 (+5),"GOOD 3PTR by TOME,MATT",SEWANEE 10-15 (+5),,"GOOD 3PTR by TOME,MATT",1
--,,,,,"ASSIST ASSIST by MCCULLOUGH,JACOB",,,"ASSIST ASSIST by MCCULLOUGH,JACOB",1
12:16,"MISS 3PTR by GAINES,TRAE",,,,,,,"MISS 3PTR by GAINES,TRAE",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
11:46,,10,,17 (+7),"GOOD JUMPER by MCCULLOUGH,JACOB",SEWANEE 10-17 (+7),,"GOOD JUMPER by MCCULLOUGH,JACOB",1
11:31,,,,,"FOUL  by TURNER,BYRON",,,"FOUL  by TURNER,BYRON",1
11:31,"GOOD JUMPER by EDWARDS,BRIAN(in the paint)",12,,17 (+5),,PIEDMONT 12-17 (+5),,"GOOD JUMPER by EDWARDS,BRIAN(in the paint)",1
11:31,"SUB IN by EDWARDS,BRIAN",,,,,,,"SUB IN by EDWARDS,BRIAN",1
11:31,"SUB OUT by GAINES,TRAE",,,,,,,"SUB OUT by GAINES,TRAE",1
11:31,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
11:31,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:31,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
11:31,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
11:31,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
11:31,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
11:31,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
11:31,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
11:12,,12,,19 (+7),"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",SEWANEE 12-19 (+7),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
10:59,"MISS 3PTR by VALLEJO,JUSTIN",,,,,,,"MISS 3PTR by VALLEJO,JUSTIN",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
10:48,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
10:47,"SUB IN by ENGLAND,CHASE",,,,,,,"SUB IN by ENGLAND,CHASE",1
10:47,"SUB OUT by PROPST,JORDYN",,,,,,,"SUB OUT by PROPST,JORDYN",1
10:34,"MISS 3PTR by WINDERS,TREY",,,,,,,"MISS 3PTR by WINDERS,TREY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:31,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
10:31,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
10:14,,12,,22 (+10),"GOOD 3PTR by CALDWELL,MARCELLUS",SEWANEE 12-22 (+10),,"GOOD 3PTR by CALDWELL,MARCELLUS",1
10:00,"MISS LAYUP by VALLEJO,JUSTIN",,,,,,,"MISS LAYUP by VALLEJO,JUSTIN",1
10:00,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,"REBOUND OFF by VALLEJO,JUSTIN",,,,,,,"REBOUND OFF by VALLEJO,JUSTIN",1
09:55,"MISS LAYUP by VALLEJO,JUSTIN",,,,,,,"MISS LAYUP by VALLEJO,JUSTIN",1
--,"REBOUND OFF by VALLEJO,JUSTIN",,,,,,,"REBOUND OFF by VALLEJO,JUSTIN",1
09:53,"SUB IN by LANIER,MARQUISE",,,,,,,"SUB IN by LANIER,MARQUISE",1
09:53,"SUB OUT by WINDERS,TREY",,,,,,,"SUB OUT by WINDERS,TREY",1
09:50,"MISS JUMPER by LANIER,MARQUISE",,,,,,,"MISS JUMPER by LANIER,MARQUISE",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
09:35,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by EDWARDS,BRIAN",,,,,,,"REBOUND DEF by EDWARDS,BRIAN",1
09:23,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
09:15,"GOOD JUMPER by ENGLAND,CHASE(in the paint)",14,,22 (+8),,PIEDMONT 14-22 (+8),,"GOOD JUMPER by ENGLAND,CHASE(in the paint)",1
--,"ASSIST ASSIST by LUKEN,PEYTON",,,,,,,"ASSIST ASSIST by LUKEN,PEYTON",1
09:12,,,,,TIMEOUT 30s by TEAM,,,TIMEOUT 30s by TEAM,1
08:35,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND DEF by ENGLAND,CHASE",,,,,,,"REBOUND DEF by ENGLAND,CHASE",1
08:23,"GOOD 3PTR by ENGLAND,CHASE",17,,22 (+5),,PIEDMONT 17-22 (+5),,"GOOD 3PTR by ENGLAND,CHASE",1
--,"ASSIST ASSIST by LUKEN,PEYTON",,,,,,,"ASSIST ASSIST by LUKEN,PEYTON",1
07:57,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
07:54,,17,,24 (+7),"GOOD LAYUP by BORN,LEO(in the paint)",SEWANEE 17-24 (+7),,"GOOD LAYUP by BORN,LEO(in the paint)",1
07:41,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
07:41,"GOOD FT by LANIER,MARQUISE",18,,24 (+6),,PIEDMONT 18-24 (+6),,"GOOD FT by LANIER,MARQUISE",1
07:41,"MISS FT by LANIER,MARQUISE",,,,,,,"MISS FT by LANIER,MARQUISE",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
07:41,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
07:41,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
07:41,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
07:41,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
07:25,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by VALLEJO,JUSTIN",,,,,,,"REBOUND DEF by VALLEJO,JUSTIN",1
07:15,"MISS LAYUP by ENGLAND,CHASE",,,,,,,"MISS LAYUP by ENGLAND,CHASE",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
07:06,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
07:05,"STEAL  by ENGLAND,CHASE",,,,,,,"STEAL  by ENGLAND,CHASE",1
07:00,"GOOD LAYUP by EDWARDS,BRIAN(in the paint)",20,,24 (+4),,PIEDMONT 20-24 (+4),,"GOOD LAYUP by EDWARDS,BRIAN(in the paint)",1
--,"ASSIST ASSIST by LUKEN,PEYTON",,,,,,,"ASSIST ASSIST by LUKEN,PEYTON",1
06:36,"SUB IN by JENKINS,JESSIE",,,,,,,"SUB IN by JENKINS,JESSIE",1
06:36,"SUB OUT by LANIER,MARQUISE",,,,,,,"SUB OUT by LANIER,MARQUISE",1
06:24,"FOUL  by JENKINS,JESSIE",,,,,,,"FOUL  by JENKINS,JESSIE",1
06:24,,20,,25 (+5),"GOOD FT by WILLIAMS,JORDEN",SEWANEE 20-25 (+5),,"GOOD FT by WILLIAMS,JORDEN",1
06:24,,20,,26 (+6),"GOOD FT by WILLIAMS,JORDEN",SEWANEE 20-26 (+6),,"GOOD FT by WILLIAMS,JORDEN",1
06:24,,20,,27 (+7),"GOOD FT by WILLIAMS,JORDEN",SEWANEE 20-27 (+7),,"GOOD FT by WILLIAMS,JORDEN",1
06:24,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
06:24,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
06:24,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
06:24,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
06:09,"GOOD 3PTR by LUKEN,PEYTON",23,,27 (+4),,PIEDMONT 23-27 (+4),,"GOOD 3PTR by LUKEN,PEYTON",1
05:46,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by VALLEJO,JUSTIN",,,,,,,"REBOUND DEF by VALLEJO,JUSTIN",1
05:34,"GOOD 3PTR by LUKEN,PEYTON",26,,27 (+1),,PIEDMONT 26-27 (+1),,"GOOD 3PTR by LUKEN,PEYTON",1
--,"ASSIST ASSIST by ENGLAND,CHASE",,,,,,,"ASSIST ASSIST by ENGLAND,CHASE",1
05:30,,,,,TIMEOUT 30s by TEAM,,,TIMEOUT 30s by TEAM,1
05:11,"FOUL  by EDWARDS,BRIAN",,,,,,,"FOUL  by EDWARDS,BRIAN",1
05:11,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
05:11,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
05:11,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
05:11,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
04:57,"FOUL  by JENKINS,JESSIE",,,,,,,"FOUL  by JENKINS,JESSIE",1
04:51,,26,,29 (+3),"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 26-29 (+3),,"GOOD JUMPER by WILLIAMS,JORDEN",1
04:33,"MISS 3PTR by ENGLAND,CHASE",,,,,,,"MISS 3PTR by ENGLAND,CHASE",1
--,"REBOUND OFF by MEEKS,CHRIS",,,,,,,"REBOUND OFF by MEEKS,CHRIS",1
04:26,"GOOD 3PTR by LUKEN,PEYTON",29,,29,,PIEDMONT 29-29 (0),,"GOOD 3PTR by LUKEN,PEYTON",1
--,"ASSIST ASSIST by ENGLAND,CHASE",,,,,,,"ASSIST ASSIST by ENGLAND,CHASE",1
04:00,,,,,"TURNOVER  by TOME,MATT",,,"TURNOVER  by TOME,MATT",1
03:44,"MISS JUMPER by MEEKS,CHRIS",,,,,,,"MISS JUMPER by MEEKS,CHRIS",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
03:35,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
03:35,"STEAL  by ENGLAND,CHASE",,,,,,,"STEAL  by ENGLAND,CHASE",1
03:31,"GOOD LAYUP by EDWARDS,BRIAN(fastbreak)(in the paint)",31 (+2),,29,,PIEDMONT 31-29 (-2),,"GOOD LAYUP by EDWARDS,BRIAN(fastbreak)(in the paint)",1
--,"ASSIST ASSIST by ENGLAND,CHASE",,,,,,,"ASSIST ASSIST by ENGLAND,CHASE",1
03:15,,31,,32 (+1),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 31-32 (+1),,"GOOD 3PTR by WILLIAMS,JORDEN",1
02:59,"MISS LAYUP by EDWARDS,BRIAN",,,,,,,"MISS LAYUP by EDWARDS,BRIAN",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
02:53,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by EDWARDS,BRIAN",,,,,,,"REBOUND DEF by EDWARDS,BRIAN",1
02:49,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
02:48,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
02:48,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
02:48,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
02:48,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
02:48,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
02:48,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
02:33,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
02:33,"MISS FT by EDWARDS,BRIAN",,,,,,,"MISS FT by EDWARDS,BRIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:33,"MISS FT by EDWARDS,BRIAN",,,,,,,"MISS FT by EDWARDS,BRIAN",1
--,"REBOUND OFF by MEEKS,CHRIS",,,,,,,"REBOUND OFF by MEEKS,CHRIS",1
02:33,"SUB IN by ASSINESI,LANDRY",,,,,,,"SUB IN by ASSINESI,LANDRY",1
02:33,"SUB IN by GAINES,TRAE",,,,,,,"SUB IN by GAINES,TRAE",1
02:33,"SUB OUT by LUKEN,PEYTON",,,,,,,"SUB OUT by LUKEN,PEYTON",1
02:33,"SUB OUT by JENKINS,JESSIE",,,,,,,"SUB OUT by JENKINS,JESSIE",1
02:33,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
02:33,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
02:26,"GOOD LAYUP by MEEKS,CHRIS(in the paint)",33 (+1),,32,,PIEDMONT 33-32 (-1),,"GOOD LAYUP by MEEKS,CHRIS(in the paint)",1
02:26,"FOUL  by MEEKS,CHRIS",,,,,,,"FOUL  by MEEKS,CHRIS",1
02:20,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
--,"REBOUND DEF by ENGLAND,CHASE",,,,,,,"REBOUND DEF by ENGLAND,CHASE",1
02:13,"MISS 3PTR by ENGLAND,CHASE",,,,,,,"MISS 3PTR by ENGLAND,CHASE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:58,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
01:58,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
01:39,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
01:38,"STEAL  by ASSINESI,LANDRY",,,,,,,"STEAL  by ASSINESI,LANDRY",1
01:32,"TURNOVER  by ASSINESI,LANDRY",,,,,,,"TURNOVER  by ASSINESI,LANDRY",1
01:02,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
00:43,"MISS LAYUP by ASSINESI,LANDRY",,,,,,,"MISS LAYUP by ASSINESI,LANDRY",1
00:43,,,,,"BLOCK  by CALDWELL,MARCELLUS",,,"BLOCK  by CALDWELL,MARCELLUS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:39,"SUB IN by LUKEN,PEYTON",,,,,,,"SUB IN by LUKEN,PEYTON",1
00:39,"SUB OUT by ASSINESI,LANDRY",,,,,,,"SUB OUT by ASSINESI,LANDRY",1
00:37,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
00:37,"GOOD FT by ENGLAND,CHASE",34 (+2),,32,,PIEDMONT 34-32 (-2),,"GOOD FT by ENGLAND,CHASE",1
00:37,"MISS FT by ENGLAND,CHASE",,,,,,,"MISS FT by ENGLAND,CHASE",1
--,"REBOUND OFF by GAINES,TRAE",,,,,,,"REBOUND OFF by GAINES,TRAE",1
00:37,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
00:37,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
00:34,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
00:34,"GOOD FT by ENGLAND,CHASE",35 (+3),,32,,PIEDMONT 35-32 (-3),,"GOOD FT by ENGLAND,CHASE",1
00:34,"MISS FT by ENGLAND,CHASE",,,,,,,"MISS FT by ENGLAND,CHASE",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
00:03,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
00:01,"STEAL  by GAINES,TRAE",,,,,,,"STEAL  by GAINES,TRAE",1
20:00,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
20:00,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",2
19:42,"FOUL  by JENKINS,JESSIE",,,,,,,"FOUL  by JENKINS,JESSIE",2
19:42,,35 (+2),,33,"GOOD FT by CARTER,KESHONN",SEWANEE 35-33 (-2),,"GOOD FT by CARTER,KESHONN",2
19:42,,35 (+1),,34,"GOOD FT by CARTER,KESHONN",SEWANEE 35-34 (-1),,"GOOD FT by CARTER,KESHONN",2
19:24,"GOOD JUMPER by LUKEN,PEYTON",37 (+3),,34,,PIEDMONT 37-34 (-3),,"GOOD JUMPER by LUKEN,PEYTON",2
19:09,,37 (+1),,36,"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 37-36 (-1),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
18:56,"MISS 3PTR by LUKEN,PEYTON",,,,,,,"MISS 3PTR by LUKEN,PEYTON",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
18:34,,37,,38 (+1),"GOOD JUMPER by TOME,MATT",SEWANEE 37-38 (+1),,"GOOD JUMPER by TOME,MATT",2
18:30,"GOOD 3PTR by ENGLAND,CHASE",40 (+2),,38,,PIEDMONT 40-38 (-2),,"GOOD 3PTR by ENGLAND,CHASE",2
--,"ASSIST ASSIST by LUKEN,PEYTON",,,,,,,"ASSIST ASSIST by LUKEN,PEYTON",2
18:17,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND DEF by ENGLAND,CHASE",,,,,,,"REBOUND DEF by ENGLAND,CHASE",2
18:09,"GOOD 3PTR by LUKEN,PEYTON",43 (+5),,38,,PIEDMONT 43-38 (-5),,"GOOD 3PTR by LUKEN,PEYTON",2
--,"ASSIST ASSIST by EDWARDS,BRIAN",,,,,,,"ASSIST ASSIST by EDWARDS,BRIAN",2
18:01,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
18:01,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",2
--,"REBOUND DEF by EDWARDS,BRIAN",,,,,,,"REBOUND DEF by EDWARDS,BRIAN",2
18:01,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
18:01,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
18:01,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",2
18:01,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
17:38,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",2
17:38,"SUB IN by GAINES,TRAE",,,,,,,"SUB IN by GAINES,TRAE",2
17:38,"SUB OUT by JENKINS,JESSIE",,,,,,,"SUB OUT by JENKINS,JESSIE",2
17:17,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
