Time Remaining,OGLETHOR,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
09:00,"MISS LAYUP by PATRICK,DREW",,,,,,,"MISS LAYUP by PATRICK,DREW",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
08:35,,17,,26 (+9),"GOOD 3PTR by TOME,MATT",SEWANEE 17-26 (+9),,"GOOD 3PTR by TOME,MATT",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
08:09,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
08:09,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
08:09,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",1
08:09,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
08:09,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
07:56,"MISS JUMPER by DAVIS,ALEX",,,,,,,"MISS JUMPER by DAVIS,ALEX",1
07:56,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",1
07:45,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
07:40,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
07:39,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
07:36,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
07:28,"GOOD JUMPER by DAVIS,ALEX(in the paint)",19,,26 (+7),,OGLETHOR 19-26 (+7),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",1
06:59,,19,,28 (+9),"GOOD JUMPER by BROWN,SETH(in the paint)",SEWANEE 19-28 (+9),,"GOOD JUMPER by BROWN,SETH(in the paint)",1
06:42,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",1
06:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:28,,19,,30 (+11),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 19-30 (+11),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
06:18,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
05:45,,19,,32 (+13),"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 19-32 (+13),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
05:19,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
05:19,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",1
05:19,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
05:19,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
05:19,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
05:19,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
05:19,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
05:19,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
05:19,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
04:56,"MISS JUMPER by WARDLAW,CHASE",,,,,,,"MISS JUMPER by WARDLAW,CHASE",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
04:46,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",1
04:34,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
04:34,"GOOD FT by LAWRENCE,CHRIS",20,,32 (+12),,OGLETHOR 20-32 (+12),,"GOOD FT by LAWRENCE,CHRIS",1
04:34,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
04:34,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
04:34,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
04:34,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
04:34,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
04:12,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
03:58,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",22,,32 (+10),,OGLETHOR 22-32 (+10),,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",1
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",1
03:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:53,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
03:39,"MISS LAYUP by WARDLAW,CHASE",,,,,,,"MISS LAYUP by WARDLAW,CHASE",1
03:39,,,,,"BLOCK  by BROWN,SETH",,,"BLOCK  by BROWN,SETH",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
