Time Remaining,KCMB,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by LUNSFORD,DUNCAN",,,,,,,"REBOUND DEF by LUNSFORD,DUNCAN",2
16:24,"MISS LAYUP by LUNSFORD,DUNCAN",,,,,,,"MISS LAYUP by LUNSFORD,DUNCAN",2
--,"REBOUND OFF by LUNSFORD,DUNCAN",,,,,,,"REBOUND OFF by LUNSFORD,DUNCAN",2
16:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:20,"FOUL  by ANISKA,STEVE",,,,,,,"FOUL  by ANISKA,STEVE",2
16:20,"TURNOVER  by ANISKA,STEVE",,,,,,,"TURNOVER  by ANISKA,STEVE",2
15:49,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",2
--,"REBOUND DEF by ANISKA,STEVE",,,,,,,"REBOUND DEF by ANISKA,STEVE",2
15:30,"MISS LAYUP by LONGMIRE,JESSE",,,,,,,"MISS LAYUP by LONGMIRE,JESSE",2
15:30,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
15:23,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",,,"MISS LAYUP by CALDWELL,MARCELLUS",2
--,"REBOUND DEF by LUNSFORD,DUNCAN",,,,,,,"REBOUND DEF by LUNSFORD,DUNCAN",2
15:17,"TURNOVER  by MONROE,DEION",,,,,,,"TURNOVER  by MONROE,DEION",2
15:17,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,"REBOUND DEF by ANISKA,STEVE",,,,,,,"REBOUND DEF by ANISKA,STEVE",2
15:17,"SUB IN by GARDNER,DEVIN",,,,,,,"SUB IN by GARDNER,DEVIN",2
15:17,"SUB IN by DARGAN,MILES",,,,,,,"SUB IN by DARGAN,MILES",2
15:17,"SUB OUT by LONGMIRE,JESSE",,,,,,,"SUB OUT by LONGMIRE,JESSE",2
15:17,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
15:17,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
15:17,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",2
15:17,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",2
15:17,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
15:17,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
15:11,"MISS LAYUP by ANISKA,STEVE",,,,,,,"MISS LAYUP by ANISKA,STEVE",2
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",2
15:11,"SUB IN by COOPER,JAMES",,,,,,,"SUB IN by COOPER,JAMES",2
15:11,"SUB OUT by GARDNER,DEVIN",,,,,,,"SUB OUT by GARDNER,DEVIN",2
15:11,"SUB OUT by DARGAN,MILES",,,,,,,"SUB OUT by DARGAN,MILES",2
14:59,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",2
--,"REBOUND DEF by MONROE,DEION",,,,,,,"REBOUND DEF by MONROE,DEION",2
14:28,"GOOD 3PTR by LUNSFORD,DUNCAN",44 (+1),,43,,KCMB 44-43 (-1),,"GOOD 3PTR by LUNSFORD,DUNCAN",2
--,"ASSIST  by ANISKA,STEVE",,,,,,,"ASSIST  by ANISKA,STEVE",2
14:12,"SUB IN by DARGAN,MILES",,,,,,,"SUB IN by DARGAN,MILES",2
14:12,"SUB OUT by MONROE,DEION",,,,,,,"SUB OUT by MONROE,DEION",2
14:12,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",2
14:12,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",2
14:12,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
14:12,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
14:12,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
14:08,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
14:08,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
14:08,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
14:00,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
13:05,"FOUL  by DARGAN,MILES",,,,,,,"FOUL  by DARGAN,MILES",2
13:05,,44,,44,"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 44-44 (0),,"GOOD FT by CALDWELL,MARCELLUS",2
13:05,,44,,45 (+1),"GOOD FT by CALDWELL,MARCELLUS",SEWANEE 44-45 (+1),,"GOOD FT by CALDWELL,MARCELLUS",2
13:05,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",2
13:05,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
12:47,"GOOD JUMPER by LUNSFORD,DUNCAN",46 (+1),,45,,KCMB 46-45 (-1),,"GOOD JUMPER by LUNSFORD,DUNCAN",2
12:25,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
12:20,,46,,47 (+1),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 46-47 (+1),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
12:05,"GOOD LAYUP by CANDEMERES,DAN(in the paint)",48 (+1),,47,,KCMB 48-47 (-1),,"GOOD LAYUP by CANDEMERES,DAN(in the paint)",2
11:50,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
11:45,"MISS 3PTR by CANDEMERES,DAN",,,,,,,"MISS 3PTR by CANDEMERES,DAN",2
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",2
11:41,"FOUL  by ANISKA,STEVE",,,,,,,"FOUL  by ANISKA,STEVE",2
11:19,"FOUL  by CANDEMERES,DAN",,,,,,,"FOUL  by CANDEMERES,DAN",2
11:19,"SUB IN by KELLEY,RASHAUD",,,,,,,"SUB IN by KELLEY,RASHAUD",2
11:19,"SUB IN by PEEPLES,TYREEK",,,,,,,"SUB IN by PEEPLES,TYREEK",2
11:19,"SUB OUT by ANISKA,STEVE",,,,,,,"SUB OUT by ANISKA,STEVE",2
11:19,"SUB OUT by CANDEMERES,DAN",,,,,,,"SUB OUT by CANDEMERES,DAN",2
11:16,,48,,49 (+1),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 48-49 (+1),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
10:48,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",2
10:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:35,"GOOD LAYUP by DARGAN,MILES(in the paint)",50 (+1),,49,,KCMB 50-49 (-1),,"GOOD LAYUP by DARGAN,MILES(in the paint)",2
10:14,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
--,"REBOUND DEF by COOPER,JAMES",,,,,,,"REBOUND DEF by COOPER,JAMES",2
10:04,"MISS 3PTR by PEEPLES,TYREEK",,,,,,,"MISS 3PTR by PEEPLES,TYREEK",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
09:53,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
09:41,,50,,51 (+1),"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 50-51 (+1),,"GOOD JUMPER by WILLIAMS,JORDEN",2
09:26,"MISS 3PTR by DARGAN,MILES",,,,,,,"MISS 3PTR by DARGAN,MILES",2
--,"REBOUND OFF by KELLEY,RASHAUD",,,,,,,"REBOUND OFF by KELLEY,RASHAUD",2
09:14,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",2
09:14,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
09:14,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",2
09:14,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",2
09:14,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
09:03,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",2
09:03,"GOOD FT by LUNSFORD,DUNCAN",51,,51,,KCMB 51-51 (0),,"GOOD FT by LUNSFORD,DUNCAN",2
09:03,"MISS FT by LUNSFORD,DUNCAN",,,,,,,"MISS FT by LUNSFORD,DUNCAN",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
09:03,"SUB IN by MONROE,DEION",,,,,,,"SUB IN by MONROE,DEION",2
09:03,"SUB OUT by DARGAN,MILES",,,,,,,"SUB OUT by DARGAN,MILES",2
08:30,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",2
08:30,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",2
08:30,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",2
08:15,"FOUL  by LUNSFORD,DUNCAN",,,,,,,"FOUL  by LUNSFORD,DUNCAN",2
08:15,"TURNOVER  by LUNSFORD,DUNCAN",,,,,,,"TURNOVER  by LUNSFORD,DUNCAN",2
08:02,,51,,53 (+2),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 51-53 (+2),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by BROWN,SETH",,,"ASSIST  by BROWN,SETH",2
07:44,"GOOD LAYUP by LUNSFORD,DUNCAN(in the paint)",53,,53,,KCMB 53-53 (0),,"GOOD LAYUP by LUNSFORD,DUNCAN(in the paint)",2
07:28,,53,,55 (+2),"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",SEWANEE 53-55 (+2),,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",2
07:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:25,"SUB IN by DARGAN,MILES",,,,,,,"SUB IN by DARGAN,MILES",2
07:25,"SUB OUT by COOPER,JAMES",,,,,,,"SUB OUT by COOPER,JAMES",2
07:25,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
07:25,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
07:12,"MISS JUMPER by LUNSFORD,DUNCAN",,,,,,,"MISS JUMPER by LUNSFORD,DUNCAN",2
--,"REBOUND OFF by DARGAN,MILES",,,,,,,"REBOUND OFF by DARGAN,MILES",2
07:10,,,,,"FOUL  by MCCULLOUGH,JACOB",,,"FOUL  by MCCULLOUGH,JACOB",2
07:10,"MISS FT by DARGAN,MILES",,,,,,,"MISS FT by DARGAN,MILES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:10,"MISS FT by DARGAN,MILES",,,,,,,"MISS FT by DARGAN,MILES",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
07:10,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",2
07:10,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
06:37,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:36,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",2
06:36,"GOOD FT by LUNSFORD,DUNCAN",54,,55 (+1),,KCMB 54-55 (+1),,"GOOD FT by LUNSFORD,DUNCAN",2
06:36,"GOOD FT by LUNSFORD,DUNCAN",55,,55,,KCMB 55-55 (0),,"GOOD FT by LUNSFORD,DUNCAN",2
06:36,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",2
06:36,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
06:29,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
06:29,"BLOCK  by KELLEY,RASHAUD",,,,,,,"BLOCK  by KELLEY,RASHAUD",2
--,"REBOUND DEF by KELLEY,RASHAUD",,,,,,,"REBOUND DEF by KELLEY,RASHAUD",2
06:16,"GOOD LAYUP by PEEPLES,TYREEK(in the paint)",57 (+2),,55,,KCMB 57-55 (-2),,"GOOD LAYUP by PEEPLES,TYREEK(in the paint)",2
06:08,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",2
06:07,"STEAL  by LUNSFORD,DUNCAN",,,,,,,"STEAL  by LUNSFORD,DUNCAN",2
06:06,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
06:06,"GOOD FT by LUNSFORD,DUNCAN",58 (+3),,55,,KCMB 58-55 (-3),,"GOOD FT by LUNSFORD,DUNCAN",2
06:06,"GOOD FT by LUNSFORD,DUNCAN",59 (+4),,55,,KCMB 59-55 (-4),,"GOOD FT by LUNSFORD,DUNCAN",2
06:06,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
06:06,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",2
05:54,"FOUL  by DARGAN,MILES",,,,,,,"FOUL  by DARGAN,MILES",2
05:54,"SUB IN by CANDEMERES,DAN",,,,,,,"SUB IN by CANDEMERES,DAN",2
05:54,"SUB OUT by DARGAN,MILES",,,,,,,"SUB OUT by DARGAN,MILES",2
05:19,,59 (+2),,57,"GOOD JUMPER by CARTER,KESHONN",SEWANEE 59-57 (-2),,"GOOD JUMPER by CARTER,KESHONN",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
04:43,"MISS JUMPER by CANDEMERES,DAN",,,,,,,"MISS JUMPER by CANDEMERES,DAN",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
04:37,"SUB IN by LONGMIRE,JESSE",,,,,,,"SUB IN by LONGMIRE,JESSE",2
04:37,"SUB OUT by PEEPLES,TYREEK",,,,,,,"SUB OUT by PEEPLES,TYREEK",2
04:37,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",2
04:37,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",2
04:28,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",2
04:19,"FOUL  by KELLEY,RASHAUD",,,,,,,"FOUL  by KELLEY,RASHAUD",2
04:19,,59 (+1),,58,"GOOD FT by WILLIAMS,JORDEN",SEWANEE 59-58 (-1),,"GOOD FT by WILLIAMS,JORDEN",2
04:19,,59,,59,"GOOD FT by WILLIAMS,JORDEN",SEWANEE 59-59 (0),,"GOOD FT by WILLIAMS,JORDEN",2
04:10,"MISS 3PTR by LUNSFORD,DUNCAN",,,,,,,"MISS 3PTR by LUNSFORD,DUNCAN",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
03:49,,,,,"MISS JUMPER by BORN,CLAY",,,"MISS JUMPER by BORN,CLAY",2
--,"REBOUND DEF by LONGMIRE,JESSE",,,,,,,"REBOUND DEF by LONGMIRE,JESSE",2
03:31,"MISS LAYUP by CANDEMERES,DAN",,,,,,,"MISS LAYUP by CANDEMERES,DAN",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
03:09,,59,,61 (+2),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 59-61 (+2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
02:56,"MISS JUMPER by LONGMIRE,JESSE",,,,,,,"MISS JUMPER by LONGMIRE,JESSE",2
02:56,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",2
02:37,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
02:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:27,"FOUL  by LUNSFORD,DUNCAN",,,,,,,"FOUL  by LUNSFORD,DUNCAN",2
02:14,,59,,62 (+3),"GOOD FT by CARTER,KESHONN",SEWANEE 59-62 (+3),,"GOOD FT by CARTER,KESHONN",2
02:13,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
--,"REBOUND DEF by DARGAN,MILES",,,,,,,"REBOUND DEF by DARGAN,MILES",2
02:08,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:01,"MISS LAYUP by PEEPLES,TYREEK",,,,,,,"MISS LAYUP by PEEPLES,TYREEK",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
01:33,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND DEF by PEEPLES,TYREEK",,,,,,,"REBOUND DEF by PEEPLES,TYREEK",2
01:27,"MISS 3PTR by DARGAN,MILES",,,,,,,"MISS 3PTR by DARGAN,MILES",2
--,"REBOUND OFF by MONROE,DEION",,,,,,,"REBOUND OFF by MONROE,DEION",2
01:06,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
01:06,"GOOD FT by DARGAN,MILES",60,,62 (+2),,KCMB 60-62 (+2),,"GOOD FT by DARGAN,MILES",2
01:06,"GOOD FT by DARGAN,MILES",61,,62 (+1),,KCMB 61-62 (+1),,"GOOD FT by DARGAN,MILES",2
01:06,"GOOD FT by DARGAN,MILES",62,,62,,KCMB 62-62 (0),,"GOOD FT by DARGAN,MILES",2
01:06,"SUB IN by DARGAN,MILES",,,,,,,"SUB IN by DARGAN,MILES",2
01:06,"SUB IN by PEEPLES,TYREEK",,,,,,,"SUB IN by PEEPLES,TYREEK",2
01:06,"SUB OUT by CANDEMERES,DAN",,,,,,,"SUB OUT by CANDEMERES,DAN",2
01:06,"SUB OUT by LONGMIRE,JESSE",,,,,,,"SUB OUT by LONGMIRE,JESSE",2
00:48,,,,,"MISS JUMPER by BORN,CLAY",,,"MISS JUMPER by BORN,CLAY",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
00:44,,62,,64 (+2),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 62-64 (+2),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
00:44,"FOUL  by PEEPLES,TYREEK",,,,,,,"FOUL  by PEEPLES,TYREEK",2
00:44,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:40,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",2
00:40,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
00:30,"GOOD LAYUP by LUNSFORD,DUNCAN(in the paint)",64,,64,,KCMB 64-64 (0),,"GOOD LAYUP by LUNSFORD,DUNCAN(in the paint)",2
00:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:01,"FOUL  by KELLEY,RASHAUD",,,,,,,"FOUL  by KELLEY,RASHAUD",2
00:01,,,,,"MISS FT by CALDWELL,MARCELLUS",,,"MISS FT by CALDWELL,MARCELLUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:01,,,,,"MISS FT by CALDWELL,MARCELLUS",,,"MISS FT by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
00:00,,64,,66 (+2),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 64-66 (+2),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
