Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,WITM,Game Score,Team Indicator,Play,Period
17:53,"GOOD LAYUP by HENRY,COLIN(in the paint)",34,,38 (+4),,BSC 34-38 (-4),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
17:46,,,,,"TURNOVER  by BLACK,CLAYTON",,,"TURNOVER  by BLACK,CLAYTON",2
17:44,"STEAL  by RICHARDS,ZAC",,,,,,,"STEAL  by RICHARDS,ZAC",2
17:40,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
17:40,,,,,"BLOCK  by MCKEE,JOSH",,,"BLOCK  by MCKEE,JOSH",2
--,,,,,"REBOUND DEF by NEWELL,STEVEN",,,"REBOUND DEF by NEWELL,STEVEN",2
17:38,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
17:08,,34,,40 (+6),"GOOD LAYUP by BRANDT,ALEX(in the paint)",WITM 34-40 (-6),,"GOOD LAYUP by BRANDT,ALEX(in the paint)",2
--,,,,,"ASSIST  by LEAHY,ZACK",,,"ASSIST  by LEAHY,ZACK",2
16:35,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
16:35,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",2
16:35,,,,,"SUB IN by WEIDE,JACOB",,,"SUB IN by WEIDE,JACOB",2
16:35,,,,,"SUB OUT by NEWELL,STEVEN",,,"SUB OUT by NEWELL,STEVEN",2
16:35,,,,,"SUB OUT by BRANDT,ALEX",,,"SUB OUT by BRANDT,ALEX",2
16:08,,,,,"MISS JUMPER by LEAHY,ZACK",,,"MISS JUMPER by LEAHY,ZACK",2
--,,,,,"REBOUND OFF by MCKEE,JOSH",,,"REBOUND OFF by MCKEE,JOSH",2
16:00,,,,,"TURNOVER  by BLACK,CLAYTON",,,"TURNOVER  by BLACK,CLAYTON",2
15:58,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
15:56,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",2
15:27,,,,,"FOUL  by BLACK,CLAYTON",,,"FOUL  by BLACK,CLAYTON",2
15:27,,,,,"TURNOVER  by BLACK,CLAYTON",,,"TURNOVER  by BLACK,CLAYTON",2
15:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:27,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
15:27,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
15:27,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
15:27,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
15:27,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
15:27,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
15:27,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:27,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
15:27,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
15:27,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
15:27,,,,,"SUB IN by WALTON,CAM",,,"SUB IN by WALTON,CAM",2
15:27,,,,,"SUB IN by MASIN,SCOTT",,,"SUB IN by MASIN,SCOTT",2
15:27,,,,,"SUB OUT by MCKEE,JOSH",,,"SUB OUT by MCKEE,JOSH",2
15:27,,,,,"SUB OUT by BLACK,CLAYTON",,,"SUB OUT by BLACK,CLAYTON",2
15:04,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by MASIN,SCOTT",,,"REBOUND DEF by MASIN,SCOTT",2
14:52,,,,,"MISS 3PTR by LEAHY,ZACK",,,"MISS 3PTR by LEAHY,ZACK",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
14:38,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by MASIN,SCOTT",,,"REBOUND DEF by MASIN,SCOTT",2
14:33,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
14:33,,,,,"SUB IN by NEWELL,STEVEN",,,"SUB IN by NEWELL,STEVEN",2
14:33,,,,,"SUB OUT by LEAHY,ZACK",,,"SUB OUT by LEAHY,ZACK",2
14:06,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
13:34,,,,,"MISS JUMPER by COLLINS,SAM",,,"MISS JUMPER by COLLINS,SAM",2
13:34,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
13:26,"GOOD JUMPER by THOMAS,LARRY",36,,40 (+4),,BSC 36-40 (-4),,"GOOD JUMPER by THOMAS,LARRY",2
13:12,,36,,43 (+7),"GOOD 3PTR by WALTON,CAM",WITM 36-43 (-7),,"GOOD 3PTR by WALTON,CAM",2
--,,,,,"ASSIST  by WEIDE,JACOB",,,"ASSIST  by WEIDE,JACOB",2
12:56,"GOOD 3PTR by SCHAMP,GRIFFIN",39,,43 (+4),,BSC 39-43 (-4),,"GOOD 3PTR by SCHAMP,GRIFFIN",2
12:20,,,,,"MISS JUMPER by WALTON,CAM",,,"MISS JUMPER by WALTON,CAM",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
12:05,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",2
12:04,,,,,"STEAL  by WALTON,CAM",,,"STEAL  by WALTON,CAM",2
11:48,,,,,"TURNOVER  by COOPER,MICHAEL",,,"TURNOVER  by COOPER,MICHAEL",2
11:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:48,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
11:48,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
11:48,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
11:48,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
11:48,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
11:48,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
11:48,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
11:48,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
11:48,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
11:48,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
11:48,,,,,"SUB IN by BLACK,CLAYTON",,,"SUB IN by BLACK,CLAYTON",2
11:48,,,,,"SUB IN by BRANDT,ALEX",,,"SUB IN by BRANDT,ALEX",2
11:48,,,,,"SUB IN by MCKEE,JOSH",,,"SUB IN by MCKEE,JOSH",2
11:48,,,,,"SUB OUT by MASIN,SCOTT",,,"SUB OUT by MASIN,SCOTT",2
11:48,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",2
11:48,,,,,"SUB OUT by WEIDE,JACOB",,,"SUB OUT by WEIDE,JACOB",2
11:34,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",2
11:28,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
11:28,,39,,44 (+5),"GOOD FT by NEWELL,STEVEN",WITM 39-44 (-5),,"GOOD FT by NEWELL,STEVEN",2
11:28,,39,,45 (+6),"GOOD FT by NEWELL,STEVEN",WITM 39-45 (-6),,"GOOD FT by NEWELL,STEVEN",2
11:28,,,,,"SUB IN by LEAHY,ZACK",,,"SUB IN by LEAHY,ZACK",2
11:28,,,,,"SUB OUT by WALTON,CAM",,,"SUB OUT by WALTON,CAM",2
11:05,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
11:05,,,,,"STEAL  by NEWELL,STEVEN",,,"STEAL  by NEWELL,STEVEN",2
11:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:41,,,,,"MISS 3PTR by MCKEE,JOSH",,,"MISS 3PTR by MCKEE,JOSH",2
--,,,,,"REBOUND OFF by LEAHY,ZACK",,,"REBOUND OFF by LEAHY,ZACK",2
10:35,,,,,"TURNOVER  by LEAHY,ZACK",,,"TURNOVER  by LEAHY,ZACK",2
10:35,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",2
10:06,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",41,,45 (+4),,BSC 41-45 (-4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
09:36,,41,,48 (+7),"GOOD 3PTR by LEAHY,ZACK",WITM 41-48 (-7),,"GOOD 3PTR by LEAHY,ZACK",2
09:05,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",2
08:41,,,,,"TURNOVER  by BLACK,CLAYTON",,,"TURNOVER  by BLACK,CLAYTON",2
08:28,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
08:21,"GOOD 3PTR by KEGARISE,KEVIN",44,,48 (+4),,BSC 44-48 (-4),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
08:09,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
07:56,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
07:56,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:56,,44,,49 (+5),"GOOD FT by BRANDT,ALEX",WITM 44-49 (-5),,"GOOD FT by BRANDT,ALEX",2
07:56,,44,,50 (+6),"GOOD FT by BRANDT,ALEX",WITM 44-50 (-6),,"GOOD FT by BRANDT,ALEX",2
07:56,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
07:56,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
07:56,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",2
07:56,,,,,"SUB OUT by NEWELL,STEVEN",,,"SUB OUT by NEWELL,STEVEN",2
07:40,"GOOD 3PTR by SCHAMP,GRIFFIN",47,,50 (+3),,BSC 47-50 (-3),,"GOOD 3PTR by SCHAMP,GRIFFIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
07:18,,,,,"TURNOVER  by COOPER,MICHAEL",,,"TURNOVER  by COOPER,MICHAEL",2
07:02,"MISS LAYUP by KEGARISE,KEVIN",,,,,,,"MISS LAYUP by KEGARISE,KEVIN",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
06:40,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",2
06:14,,47,,52 (+5),"GOOD LAYUP by BRANDT,ALEX(in the paint)",WITM 47-52 (-5),,"GOOD LAYUP by BRANDT,ALEX(in the paint)",2
06:14,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
06:14,,47,,53 (+6),"GOOD FT by BRANDT,ALEX",WITM 47-53 (-6),,"GOOD FT by BRANDT,ALEX",2
06:14,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
06:14,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
06:14,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
06:14,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
05:55,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by BLACK,CLAYTON",,,"REBOUND DEF by BLACK,CLAYTON",2
05:25,,47,,56 (+9),"GOOD 3PTR by MCKEE,JOSH",WITM 47-56 (-9),,"GOOD 3PTR by MCKEE,JOSH",2
05:02,,,,,"FOUL  by BLACK,CLAYTON",,,"FOUL  by BLACK,CLAYTON",2
05:02,"GOOD FT by SCHAMP,GRIFFIN",48,,56 (+8),,BSC 48-56 (-8),,"GOOD FT by SCHAMP,GRIFFIN",2
05:02,"GOOD FT by SCHAMP,GRIFFIN",49,,56 (+7),,BSC 49-56 (-7),,"GOOD FT by SCHAMP,GRIFFIN",2
05:02,"GOOD FT by SCHAMP,GRIFFIN",50,,56 (+6),,BSC 50-56 (-6),,"GOOD FT by SCHAMP,GRIFFIN",2
05:02,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
05:02,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
05:02,,,,,"SUB IN by WEIDE,JACOB",,,"SUB IN by WEIDE,JACOB",2
05:02,,,,,"SUB OUT by BLACK,CLAYTON",,,"SUB OUT by BLACK,CLAYTON",2
04:49,,,,,"MISS 3PTR by COOPER,MICHAEL",,,"MISS 3PTR by COOPER,MICHAEL",2
--,,,,,"REBOUND OFF by WEIDE,JACOB",,,"REBOUND OFF by WEIDE,JACOB",2
04:41,,,,,"TURNOVER  by LEAHY,ZACK",,,"TURNOVER  by LEAHY,ZACK",2
04:40,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
04:36,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by LEAHY,ZACK",,,"REBOUND DEF by LEAHY,ZACK",2
04:20,,,,,"FOUL  by WEIDE,JACOB",,,"FOUL  by WEIDE,JACOB",2
04:20,,,,,"TURNOVER  by WEIDE,JACOB",,,"TURNOVER  by WEIDE,JACOB",2
04:20,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
04:20,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
04:20,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
04:20,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
04:20,,,,,"SUB IN by NEWELL,STEVEN",,,"SUB IN by NEWELL,STEVEN",2
04:20,,,,,"SUB IN by WALTON,CAM",,,"SUB IN by WALTON,CAM",2
04:20,,,,,"SUB OUT by LEAHY,ZACK",,,"SUB OUT by LEAHY,ZACK",2
04:20,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",2
04:00,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
04:00,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
04:00,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
04:00,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
04:00,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
04:00,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
04:00,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
03:39,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
03:39,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
03:24,,50,,58 (+8),"GOOD JUMPER by BRANDT,ALEX",WITM 50-58 (-8),,"GOOD JUMPER by BRANDT,ALEX",2
03:10,"GOOD 3PTR by JONUS,JASEN",53,,58 (+5),,BSC 53-58 (-5),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
03:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:07,,,,,"SUB IN by BLACK,CLAYTON",,,"SUB IN by BLACK,CLAYTON",2
03:07,,,,,"SUB OUT by WEIDE,JACOB",,,"SUB OUT by WEIDE,JACOB",2
02:30,,,,,"TURNOVER  by MCKEE,JOSH",,,"TURNOVER  by MCKEE,JOSH",2
02:29,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
02:27,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
02:06,,,,,"FOUL  by WALTON,CAM",,,"FOUL  by WALTON,CAM",2
02:06,,,,,"SUB IN by LEAHY,ZACK",,,"SUB IN by LEAHY,ZACK",2
02:06,,,,,"SUB OUT by WALTON,CAM",,,"SUB OUT by WALTON,CAM",2
01:50,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
01:46,,,,,"STEAL  by BRANDT,ALEX",,,"STEAL  by BRANDT,ALEX",2
01:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:25,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
01:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
01:25,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
01:25,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
01:25,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",2
01:25,,,,,"SUB OUT by LEAHY,ZACK",,,"SUB OUT by LEAHY,ZACK",2
01:18,,,,,"MISS 3PTR by MCKEE,JOSH",,,"MISS 3PTR by MCKEE,JOSH",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
01:15,,,,,"FOUL  by BRANDT,ALEX",,,"FOUL  by BRANDT,ALEX",2
01:15,"GOOD FT by RICHARDS,ZAC",54,,58 (+4),,BSC 54-58 (-4),,"GOOD FT by RICHARDS,ZAC",2
01:15,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
01:15,,,,,"SUB IN by LEAHY,ZACK",,,"SUB IN by LEAHY,ZACK",2
01:15,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",2
01:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:14,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:14,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
01:14,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
01:14,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
01:14,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
01:14,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
01:00,"GOOD JUMPER by SCHAMP,GRIFFIN",56,,58 (+2),,BSC 56-58 (-2),,"GOOD JUMPER by SCHAMP,GRIFFIN",2
01:00,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
00:55,,,,,"MISS FT by LEAHY,ZACK",,,"MISS FT by LEAHY,ZACK",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
00:32,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
00:31,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
00:31,,,,,"MISS FT by BRANDT,ALEX",,,"MISS FT by BRANDT,ALEX",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:31,,56,,59 (+3),"GOOD FT by BRANDT,ALEX",WITM 56-59 (-3),,"GOOD FT by BRANDT,ALEX",2
00:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:31,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:31,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:28,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",2
00:28,,,,,"SUB OUT by BRANDT,ALEX",,,"SUB OUT by BRANDT,ALEX",2
00:23,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
00:23,,,,,"SUB IN by BRANDT,ALEX",,,"SUB IN by BRANDT,ALEX",2
00:23,,,,,"SUB OUT by COOPER,MICHAEL",,,"SUB OUT by COOPER,MICHAEL",2
00:22,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
00:22,,56,,60 (+4),"GOOD FT by BLACK,CLAYTON",WITM 56-60 (-4),,"GOOD FT by BLACK,CLAYTON",2
00:22,,56,,61 (+5),"GOOD FT by BLACK,CLAYTON",WITM 56-61 (-5),,"GOOD FT by BLACK,CLAYTON",2
00:22,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
00:22,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:22,,,,,"SUB IN by COOPER,MICHAEL",,,"SUB IN by COOPER,MICHAEL",2
00:22,,,,,"SUB OUT by BRANDT,ALEX",,,"SUB OUT by BRANDT,ALEX",2
00:13,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by COOPER,MICHAEL",,,"REBOUND DEF by COOPER,MICHAEL",2
00:09,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
00:09,,56,,62 (+6),"GOOD FT by COOPER,MICHAEL",WITM 56-62 (-6),,"GOOD FT by COOPER,MICHAEL",2
00:09,,56,,63 (+7),"GOOD FT by COOPER,MICHAEL",WITM 56-63 (-7),,"GOOD FT by COOPER,MICHAEL",2
00:09,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:09,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
00:04,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",2
