Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
02:45,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",1
02:19,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
02:19,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
02:19,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
02:19,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
02:19,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
02:19,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
02:19,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
02:19,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:19,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
02:19,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
02:19,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",1
02:19,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",1
02:19,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",1
02:19,,,,,"SUB OUT by HOWARD,JOE",,,"SUB OUT by HOWARD,JOE",1
02:07,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
01:42,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
01:42,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",1
01:42,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",1
01:17,,21,,21,"GOOD 3PTR by WEBB,DANIEL",CCM 21-21 (0),,"GOOD 3PTR by WEBB,DANIEL",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
01:06,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",1
00:49,,,,,"TURNOVER  by WATERS,JEREMIAH",,,"TURNOVER  by WATERS,JEREMIAH",1
00:48,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",1
00:31,,,,,"FOUL  by WATERS,JEREMIAH",,,"FOUL  by WATERS,JEREMIAH",1
00:06,,,,,"FOUL  by WEBB,DANIEL",,,"FOUL  by WEBB,DANIEL",1
00:06,"GOOD FT by RICHARDS,ZAC",22 (+1),,21,,BSC-M 22-21 (+1),,"GOOD FT by RICHARDS,ZAC",1
00:06,"GOOD FT by RICHARDS,ZAC",23 (+2),,21,,BSC-M 23-21 (+2),,"GOOD FT by RICHARDS,ZAC",1
00:06,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
00:06,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
00:06,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
00:06,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
00:06,,,,,"SUB IN by KELL,RYAN",,,"SUB IN by KELL,RYAN",1
00:06,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",1
00:01,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:48,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
19:43,"GOOD LAYUP by HENRY,COLIN(in the paint)",25 (+4),,21,,BSC-M 25-21 (+4),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
19:14,,25 (+2),,23,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 25-23 (+2),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",2
18:49,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
18:15,,,,,"MISS 3PTR by LESNANSKY,CHRIS",,,"MISS 3PTR by LESNANSKY,CHRIS",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
18:12,,,,,"FOUL  by REWOLDT,IAN",,,"FOUL  by REWOLDT,IAN",2
17:57,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",27 (+4),,23,,BSC-M 27-23 (+4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
17:52,,,,,"FOUL  by WATERS,JEREMIAH",,,"FOUL  by WATERS,JEREMIAH",2
17:49,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",2
17:19,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",2
17:19,"BLOCK  by RICHARDS,ZAC",,,,,,,"BLOCK  by RICHARDS,ZAC",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:16,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",2
--,,,,,"REBOUND OFF by MAYO-SMITH,CHRIS",,,"REBOUND OFF by MAYO-SMITH,CHRIS",2
17:10,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
17:10,,27 (+3),,24,"GOOD FT by WATERS,JEREMIAH",CCM 27-24 (+3),,"GOOD FT by WATERS,JEREMIAH",2
17:10,,27 (+2),,25,"GOOD FT by WATERS,JEREMIAH",CCM 27-25 (+2),,"GOOD FT by WATERS,JEREMIAH",2
17:10,,27 (+1),,26,"GOOD FT by WATERS,JEREMIAH",CCM 27-26 (+1),,"GOOD FT by WATERS,JEREMIAH",2
17:10,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
17:10,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
16:52,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",29 (+3),,26,,BSC-M 29-26 (+3),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
16:43,,29 (+1),,28,"GOOD LAYUP by REWOLDT,IAN",CCM 29-28 (+1),,"GOOD LAYUP by REWOLDT,IAN",2
--,,,,,"ASSIST  by WATERS,JEREMIAH",,,"ASSIST  by WATERS,JEREMIAH",2
16:29,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
15:55,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
15:41,,,,,"FOUL  by WATERS,JEREMIAH",,,"FOUL  by WATERS,JEREMIAH",2
15:41,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:41,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:41,"GOOD FT by SCHAMP,GRIFFIN",30 (+2),,28,,BSC-M 30-28 (+2),,"GOOD FT by SCHAMP,GRIFFIN",2
15:41,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",2
15:41,,,,,"SUB IN by KELL,RYAN",,,"SUB IN by KELL,RYAN",2
