Time Remaining,UDMB,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
16:30,"GOOD JUMPER by ASSINESI,DREW",5,,9 (+4),,UDMB 5-9 (+4),,"GOOD JUMPER by ASSINESI,DREW",1
16:14,,,,,"MISS 3PTR by HENRY,COLIN",,,"MISS 3PTR by HENRY,COLIN",1
--,"REBOUND DEF by MALONE,KYM",,,,,,,"REBOUND DEF by MALONE,KYM",1
16:11,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
16:08,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
16:05,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
16:02,,5,,12 (+7),"GOOD 3PTR by JONUS,JASEN",BSC 5-12 (+7),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
15:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:37,"MISS 3PTR by MALONE,KYM",,,,,,,"MISS 3PTR by MALONE,KYM",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
15:30,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
15:23,,5,,14 (+9),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 5-14 (+9),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
14:25,"TURNOVER  by MALONE,KYM",,,,,,,"TURNOVER  by MALONE,KYM",1
14:23,,,,,"STEAL  by SCHAMP,GRIFFIN",,,"STEAL  by SCHAMP,GRIFFIN",1
14:15,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
14:04,"FOUL  by MALONE,KYM",,,,,,,"FOUL  by MALONE,KYM",1
13:33,,5,,16 (+11),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 5-16 (+11),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
13:22,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
13:16,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",7,,16 (+9),,UDMB 7-16 (+9),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",1
13:03,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
12:53,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
12:40,"MISS JUMPER by STEPHENS,JOE",,,,,,,"MISS JUMPER by STEPHENS,JOE",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
12:34,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
12:34,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
12:01,"MISS JUMPER by WYATT,AARON",,,,,,,"MISS JUMPER by WYATT,AARON",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
11:47,,7,,18 (+11),"GOOD JUMPER by THOMAS,LARRY",BSC 7-18 (+11),,"GOOD JUMPER by THOMAS,LARRY",1
11:17,,,,,"FOUL  by MURPHY,NICK",,,"FOUL  by MURPHY,NICK",1
11:17,"GOOD FT by HIGHTOWER,BRAETON",8,,18 (+10),,UDMB 8-18 (+10),,"GOOD FT by HIGHTOWER,BRAETON",1
11:17,"MISS FT by HIGHTOWER,BRAETON",,,,,,,"MISS FT by HIGHTOWER,BRAETON",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
11:10,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
10:53,"MISS LAYUP by MALONE,KYM",,,,,,,"MISS LAYUP by MALONE,KYM",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
10:48,"FOUL  by MALONE,KYM",,,,,,,"FOUL  by MALONE,KYM",1
10:37,"FOUL  by HIGHTOWER,BRAETON",,,,,,,"FOUL  by HIGHTOWER,BRAETON",1
10:32,,8,,20 (+12),"GOOD JUMPER by THOMAS,LARRY(in the paint)",BSC 8-20 (+12),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
10:23,"GOOD DUNK by BRUFFEY,TANNER(fastbreak)(in the paint)",10,,20 (+10),,UDMB 10-20 (+10),,"GOOD DUNK by BRUFFEY,TANNER(fastbreak)(in the paint)",1
10:08,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:48,"MISS JUMPER by STEPHENS,JOE",,,,,,,"MISS JUMPER by STEPHENS,JOE",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
09:41,,10,,23 (+13),"GOOD 3PTR by JONUS,JASEN",BSC 10-23 (+13),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
09:20,"MISS JUMPER by SMITH,DECKER",,,,,,,"MISS JUMPER by SMITH,DECKER",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
09:15,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
09:08,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:42,"TURNOVER  by SMITH,DECKER",,,,,,,"TURNOVER  by SMITH,DECKER",1
08:41,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
08:33,"FOUL  by SMITH,DECKER",,,,,,,"FOUL  by SMITH,DECKER",1
08:33,,10,,24 (+14),"GOOD FT by RICHARDS,ZAC",BSC 10-24 (+14),,"GOOD FT by RICHARDS,ZAC",1
08:33,,10,,25 (+15),"GOOD FT by RICHARDS,ZAC",BSC 10-25 (+15),,"GOOD FT by RICHARDS,ZAC",1
08:11,"TURNOVER  by STEPHENS,JOE",,,,,,,"TURNOVER  by STEPHENS,JOE",1
07:54,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
07:41,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
07:41,"TURNOVER  by STEPHENS,JOE",,,,,,,"TURNOVER  by STEPHENS,JOE",1
07:34,,,,,"MISS JUMPER by JONUS,JASEN",,,"MISS JUMPER by JONUS,JASEN",1
07:34,"BLOCK  by BRUFFEY,TANNER",,,,,,,"BLOCK  by BRUFFEY,TANNER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:21,"MISS JUMPER by ASSINESI,DREW",,,,,,,"MISS JUMPER by ASSINESI,DREW",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
06:55,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
--,"REBOUND DEF by HIGHTOWER,BRAETON",,,,,,,"REBOUND DEF by HIGHTOWER,BRAETON",1
06:46,"GOOD JUMPER by WYATT,AARON(in the paint)",12,,25 (+13),,UDMB 12-25 (+13),,"GOOD JUMPER by WYATT,AARON(in the paint)",1
--,"ASSIST  by HIGHTOWER,BRAETON",,,,,,,"ASSIST  by HIGHTOWER,BRAETON",1
06:23,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
06:11,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",1
--,"REBOUND OFF by STEPHENS,JOE",,,,,,,"REBOUND OFF by STEPHENS,JOE",1
06:05,"GOOD JUMPER by HIGHTOWER,BRAETON(in the paint)",14,,25 (+11),,UDMB 14-25 (+11),,"GOOD JUMPER by HIGHTOWER,BRAETON(in the paint)",1
--,"ASSIST  by STEPHENS,JOE",,,,,,,"ASSIST  by STEPHENS,JOE",1
05:48,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND DEF by WYATT,AARON",,,,,,,"REBOUND DEF by WYATT,AARON",1
05:36,"TURNOVER  by WYATT,AARON",,,,,,,"TURNOVER  by WYATT,AARON",1
05:14,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by BLACKBURN,BLAINE",,,,,,,"REBOUND DEF by BLACKBURN,BLAINE",1
04:59,"MISS LAYUP by HIGHTOWER,BRAETON",,,,,,,"MISS LAYUP by HIGHTOWER,BRAETON",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
04:46,,14,,28 (+14),"GOOD 3PTR by THOMAS,LARRY",BSC 14-28 (+14),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
04:11,"MISS JUMPER by WYATT,AARON",,,,,,,"MISS JUMPER by WYATT,AARON",1
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",1
04:06,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
03:53,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
03:53,"GOOD FT by WYATT,AARON",15,,28 (+13),,UDMB 15-28 (+13),,"GOOD FT by WYATT,AARON",1
03:53,"GOOD FT by WYATT,AARON",16,,28 (+12),,UDMB 16-28 (+12),,"GOOD FT by WYATT,AARON",1
03:38,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
03:31,"MISS 3PTR by ASSINESI,DREW",,,,,,,"MISS 3PTR by ASSINESI,DREW",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
03:25,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
03:25,"STEAL  by STEPHENS,JOE",,,,,,,"STEAL  by STEPHENS,JOE",1
03:25,"GOOD LAYUP by STEPHENS,JOE(fastbreak)(in the paint)",18,,28 (+10),,UDMB 18-28 (+10),,"GOOD LAYUP by STEPHENS,JOE(fastbreak)(in the paint)",1
03:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:15,,18,,31 (+13),"GOOD 3PTR by JONUS,JASEN",BSC 18-31 (+13),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
02:51,"GOOD LAYUP by STEPHENS,JOE(in the paint)",20,,31 (+11),,UDMB 20-31 (+11),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",1
02:39,,20,,33 (+13),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 20-33 (+13),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
02:25,"MISS LAYUP by ASSINESI,DREW",,,,,,,"MISS LAYUP by ASSINESI,DREW",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
02:24,"FOUL  by ASSINESI,DREW",,,,,,,"FOUL  by ASSINESI,DREW",1
02:12,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",1
01:52,"MISS JUMPER by BRUFFEY,TANNER",,,,,,,"MISS JUMPER by BRUFFEY,TANNER",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
01:45,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",1
01:24,"GOOD 3PTR by HIGHTOWER,BRAETON",23,,33 (+10),,UDMB 23-33 (+10),,"GOOD 3PTR by HIGHTOWER,BRAETON",1
--,"ASSIST  by BRUFFEY,TANNER",,,,,,,"ASSIST  by BRUFFEY,TANNER",1
00:56,,23,,35 (+12),"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 23-35 (+12),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
00:42,"FOUL  by WYATT,AARON",,,,,,,"FOUL  by WYATT,AARON",1
00:42,"TURNOVER  by WYATT,AARON",,,,,,,"TURNOVER  by WYATT,AARON",1
00:26,,23,,37 (+14),"GOOD LAYUP by MURPHY,NICK(in the paint)",BSC 23-37 (+14),,"GOOD LAYUP by MURPHY,NICK(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
00:01,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
19:45,"MISS JUMPER by STEPHENS,JOE",,,,,,,"MISS JUMPER by STEPHENS,JOE",2
--,"REBOUND OFF by WYATT,AARON",,,,,,,"REBOUND OFF by WYATT,AARON",2
19:41,"MISS JUMPER by WYATT,AARON",,,,,,,"MISS JUMPER by WYATT,AARON",2
19:41,,,,,"BLOCK  by RICHARDS,ZAC",,,"BLOCK  by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",2
19:25,,23,,40 (+17),"GOOD 3PTR by JONUS,JASEN",BSC 23-40 (+17),,"GOOD 3PTR by JONUS,JASEN",2
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",2
18:58,"MISS JUMPER by MALONE,KYM",,,,,,,"MISS JUMPER by MALONE,KYM",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
18:28,,,,,"MISS JUMPER by RICHARDS,ZAC",,,"MISS JUMPER by RICHARDS,ZAC",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
18:14,"MISS JUMPER by STEPHENS,JOE",,,,,,,"MISS JUMPER by STEPHENS,JOE",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
18:08,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
17:54,"TURNOVER  by STEPHENS,JOE",,,,,,,"TURNOVER  by STEPHENS,JOE",2
17:53,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
17:46,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",2
17:46,"BLOCK  by STEPHENS,JOE",,,,,,,"BLOCK  by STEPHENS,JOE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:41,,23,,43 (+20),"GOOD 3PTR by KEGARISE,KEVIN",BSC 23-43 (+20),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",2
17:30,"GOOD LAYUP by MALONE,KYM(in the paint)",25,,43 (+18),,UDMB 25-43 (+18),,"GOOD LAYUP by MALONE,KYM(in the paint)",2
17:06,,25,,45 (+20),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 25-45 (+20),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",2
16:52,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",2
16:51,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",2
16:47,,25,,47 (+22),"GOOD LAYUP by WHITE,BLAISE(fastbreak)(in the paint)",BSC 25-47 (+22),,"GOOD LAYUP by WHITE,BLAISE(fastbreak)(in the paint)",2
16:29,"MISS JUMPER by WYATT,AARON",,,,,,,"MISS JUMPER by WYATT,AARON",2
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",2
16:17,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND OFF by JONUS,JASEN",,,"REBOUND OFF by JONUS,JASEN",2
16:10,,,,,"MISS JUMPER by JONUS,JASEN",,,"MISS JUMPER by JONUS,JASEN",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
15:58,"TURNOVER  by STEPHENS,JOE",,,,,,,"TURNOVER  by STEPHENS,JOE",2
15:38,,,,,"MISS LAYUP by OLAFSSON,ODDUR",,,"MISS LAYUP by OLAFSSON,ODDUR",2
--,,,,,"REBOUND OFF by KEGARISE,KEVIN",,,"REBOUND OFF by KEGARISE,KEVIN",2
15:32,,25,,50 (+25),"GOOD 3PTR by OLAFSSON,ODDUR",BSC 25-50 (+25),,"GOOD 3PTR by OLAFSSON,ODDUR",2
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",2
15:16,"GOOD JUMPER by SMITH,DECKER(in the paint)",27,,50 (+23),,UDMB 27-50 (+23),,"GOOD JUMPER by SMITH,DECKER(in the paint)",2
15:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:03,,27,,53 (+26),"GOOD 3PTR by OLAFSSON,ODDUR",BSC 27-53 (+26),,"GOOD 3PTR by OLAFSSON,ODDUR",2
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",2
14:47,"GOOD LAYUP by WYATT,AARON(in the paint)",29,,53 (+24),,UDMB 29-53 (+24),,"GOOD LAYUP by WYATT,AARON(in the paint)",2
--,"ASSIST  by BLACKBURN,BLAINE",,,,,,,"ASSIST  by BLACKBURN,BLAINE",2
14:29,"FOUL  by BLACKBURN,BLAINE",,,,,,,"FOUL  by BLACKBURN,BLAINE",2
14:28,,29,,55 (+26),"GOOD DUNK by LEE,CALEB(in the paint)",BSC 29-55 (+26),,"GOOD DUNK by LEE,CALEB(in the paint)",2
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",2
14:14,"MISS LAYUP by MALONE,KYM",,,,,,,"MISS LAYUP by MALONE,KYM",2
14:14,,,,,"BLOCK  by THOMAS,LARRY",,,"BLOCK  by THOMAS,LARRY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:05,"GOOD JUMPER by WYATT,AARON(in the paint)",31,,55 (+24),,UDMB 31-55 (+24),,"GOOD JUMPER by WYATT,AARON(in the paint)",2
--,"ASSIST  by MALONE,KYM",,,,,,,"ASSIST  by MALONE,KYM",2
13:55,,,,,"MISS 3PTR by OLAFSSON,ODDUR",,,"MISS 3PTR by OLAFSSON,ODDUR",2
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",2
13:52,"FOUL  by HIGHTOWER,BRAETON",,,,,,,"FOUL  by HIGHTOWER,BRAETON",2
13:46,,31,,58 (+27),"GOOD 3PTR by THOMAS,LARRY",BSC 31-58 (+27),,"GOOD 3PTR by THOMAS,LARRY",2
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",2
13:26,,,,,"FOUL  by OLAFSSON,ODDUR",,,"FOUL  by OLAFSSON,ODDUR",2
13:23,,,,,"FOUL  by MURPHY,NICK",,,"FOUL  by MURPHY,NICK",2
13:23,"GOOD FT by HIGHTOWER,BRAETON",32,,58 (+26),,UDMB 32-58 (+26),,"GOOD FT by HIGHTOWER,BRAETON",2
13:23,"GOOD FT by HIGHTOWER,BRAETON",33,,58 (+25),,UDMB 33-58 (+25),,"GOOD FT by HIGHTOWER,BRAETON",2
13:10,,33,,61 (+28),"GOOD 3PTR by SCHAMP,GRIFFIN",BSC 33-61 (+28),,"GOOD 3PTR by SCHAMP,GRIFFIN",2
12:54,"MISS 3PTR by MALONE,KYM",,,,,,,"MISS 3PTR by MALONE,KYM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:48,"TURNOVER  by WYATT,AARON",,,,,,,"TURNOVER  by WYATT,AARON",2
12:47,,,,,"STEAL  by MARSCHNER,BRENDAN",,,"STEAL  by MARSCHNER,BRENDAN",2
12:43,,33,,63 (+30),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 33-63 (+30),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",2
12:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:35,,,,,"MISS DUNK by FREEMAN,SCHYLAR",,,"MISS DUNK by FREEMAN,SCHYLAR",2
--,"REBOUND DEF by WYATT,AARON",,,,,,,"REBOUND DEF by WYATT,AARON",2
12:25,"MISS JUMPER by WYATT,AARON",,,,,,,"MISS JUMPER by WYATT,AARON",2
12:25,,,,,"BLOCK  by THOMAS,LARRY",,,"BLOCK  by THOMAS,LARRY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:22,"TURNOVER  by MALONE,KYM",,,,,,,"TURNOVER  by MALONE,KYM",2
12:20,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",2
12:15,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",,,"MISS 3PTR by MARSCHNER,BRENDAN",2
--,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",,,"REBOUND OFF by SCHAMP,GRIFFIN",2
11:52,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",2
--,"REBOUND DEF by MALONE,KYM",,,,,,,"REBOUND DEF by MALONE,KYM",2
11:41,"MISS JUMPER by HIGHTOWER,BRAETON",,,,,,,"MISS JUMPER by HIGHTOWER,BRAETON",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
11:34,,33,,65 (+32),"GOOD JUMPER by THOMAS,LARRY",BSC 33-65 (+32),,"GOOD JUMPER by THOMAS,LARRY",2
11:28,"TURNOVER  by BLACKBURN,BLAINE",,,,,,,"TURNOVER  by BLACKBURN,BLAINE",2
11:27,,,,,"STEAL  by MARSCHNER,BRENDAN",,,"STEAL  by MARSCHNER,BRENDAN",2
11:27,,,,,"TURNOVER  by MARSCHNER,BRENDAN",,,"TURNOVER  by MARSCHNER,BRENDAN",2
11:19,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
