Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
12:38,"GOOD LAYUP by LEE,CALEB(in the paint)",14 (+6),,8,,BSC-M 14-8 (+6),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
12:28,,,,,"SUB IN by MAINER,ZACH",,,"SUB IN by MAINER,ZACH",1
12:28,,,,,"SUB OUT by GRAHAM,JOSH",,,"SUB OUT by GRAHAM,JOSH",1
12:14,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
12:06,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",17 (+9),,8,,BSC-M 17-8 (+9),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
11:52,,,,,"MISS LAYUP by MAINER,ZACH",,,"MISS LAYUP by MAINER,ZACH",1
11:52,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
11:39,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
11:39,,,,,"BLOCK  by PRIMM,COLTON",,,"BLOCK  by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by MAINER,ZACH",,,"REBOUND DEF by MAINER,ZACH",1
11:27,,17 (+6),,11,"GOOD 3PTR by GOODMAN,CHRIS",HC 17-11 (+6),,"GOOD 3PTR by GOODMAN,CHRIS",1
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",1
11:11,"MISS JUMPER by MURPHY,NICK",,,,,,,"MISS JUMPER by MURPHY,NICK",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
11:02,,17 (+3),,14,"GOOD 3PTR by RILEY,JAREN",HC 17-14 (+3),,"GOOD 3PTR by RILEY,JAREN",1
10:32,"MISS JUMPER by HOLLAND,JASON",,,,,,,"MISS JUMPER by HOLLAND,JASON",1
10:32,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
10:22,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
10:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:17,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
