Time Remaining,DALLAS,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
16:09,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
16:09,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
16:09,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
16:09,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
16:09,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
16:09,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
16:09,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
16:09,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
16:09,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
16:09,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
15:42,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
15:42,"MISS FT by STEPHENS,JOE",,,,,,,"MISS FT by STEPHENS,JOE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:42,"GOOD FT by STEPHENS,JOE",11,,16 (+5),,DALLAS 11-16 (+5),,"GOOD FT by STEPHENS,JOE",1
15:28,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
15:27,"STEAL  by WYATT,AARON",,,,,,,"STEAL  by WYATT,AARON",1
15:24,"GOOD JUMPER by ASSINESI,DREW",13,,16 (+3),,DALLAS 13-16 (+3),,"GOOD JUMPER by ASSINESI,DREW",1
15:09,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
15:09,"FOUL  by ASSINESI,DREW",,,,,,,"FOUL  by ASSINESI,DREW",1
15:09,,13,,17 (+4),"GOOD FT by THOMAS,LARRY",BSC 13-17 (+4),,"GOOD FT by THOMAS,LARRY",1
15:09,,13,,18 (+5),"GOOD FT by THOMAS,LARRY",BSC 13-18 (+5),,"GOOD FT by THOMAS,LARRY",1
14:53,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
14:41,"FOUL  by BRUFFEY,TANNER",,,,,,,"FOUL  by BRUFFEY,TANNER",1
14:27,,,,,"TURNOVER  by LEE,CALEB",,,"TURNOVER  by LEE,CALEB",1
14:25,"STEAL  by WYATT,AARON",,,,,,,"STEAL  by WYATT,AARON",1
14:11,"MISS JUMPER by STEPHENS,JOE",,,,,,,"MISS JUMPER by STEPHENS,JOE",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
13:55,"FOUL  by STEPHENS,JOE",,,,,,,"FOUL  by STEPHENS,JOE",1
13:55,,,,,"MISS FT by LEE,CALEB",,,"MISS FT by LEE,CALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:55,,13,,19 (+6),"GOOD FT by LEE,CALEB",BSC 13-19 (+6),,"GOOD FT by LEE,CALEB",1
13:55,"SUB IN by MALONE,KYM",,,,,,,"SUB IN by MALONE,KYM",1
13:55,"SUB OUT by HIGHTOWER,BRAETON",,,,,,,"SUB OUT by HIGHTOWER,BRAETON",1
13:35,"GOOD JUMPER by WYATT,AARON",15,,19 (+4),,DALLAS 15-19 (+4),,"GOOD JUMPER by WYATT,AARON",1
13:25,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND DEF by MALONE,KYM",,,,,,,"REBOUND DEF by MALONE,KYM",1
13:12,"MISS JUMPER by WYATT,AARON",,,,,,,"MISS JUMPER by WYATT,AARON",1
--,"REBOUND OFF by STEPHENS,JOE",,,,,,,"REBOUND OFF by STEPHENS,JOE",1
13:07,"MISS JUMPER by STEPHENS,JOE",,,,,,,"MISS JUMPER by STEPHENS,JOE",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
12:53,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by WYATT,AARON",,,,,,,"REBOUND DEF by WYATT,AARON",1
12:37,"TURNOVER  by MALONE,KYM",,,,,,,"TURNOVER  by MALONE,KYM",1
12:37,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",1
12:37,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
12:37,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
12:37,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
12:37,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
12:37,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
12:37,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
12:37,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
12:37,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
12:37,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
12:37,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
12:22,,,,,"MISS JUMPER by JONUS,JASEN",,,"MISS JUMPER by JONUS,JASEN",1
--,"REBOUND DEF by GILE,CURTIS",,,,,,,"REBOUND DEF by GILE,CURTIS",1
12:07,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
12:05,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
12:01,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
11:59,"STEAL  by BRUFFEY,TANNER",,,,,,,"STEAL  by BRUFFEY,TANNER",1
11:36,"GOOD 3PTR by BRUFFEY,TANNER",18,,19 (+1),,DALLAS 18-19 (+1),,"GOOD 3PTR by BRUFFEY,TANNER",1
--,"ASSIST  by MALONE,KYM",,,,,,,"ASSIST  by MALONE,KYM",1
11:17,,18,,21 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 18-21 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
11:04,"GOOD LAYUP by STEPHENS,JOE(in the paint)",20,,21 (+1),,DALLAS 20-21 (+1),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",1
--,"ASSIST  by MALONE,KYM",,,,,,,"ASSIST  by MALONE,KYM",1
11:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:03,"SUB IN by WINEBARGER,ALEX",,,,,,,"SUB IN by WINEBARGER,ALEX",1
11:03,"SUB IN by GILE,CURTIS",,,,,,,"SUB IN by GILE,CURTIS",1
11:03,"SUB OUT by WYATT,AARON",,,,,,,"SUB OUT by WYATT,AARON",1
11:03,"SUB OUT by BRUFFEY,TANNER",,,,,,,"SUB OUT by BRUFFEY,TANNER",1
10:52,,20,,23 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 20-23 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
10:33,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
10:33,"SUB IN by HIGHTOWER,BRAETON",,,,,,,"SUB IN by HIGHTOWER,BRAETON",1
10:33,"SUB OUT by ASSINESI,DREW",,,,,,,"SUB OUT by ASSINESI,DREW",1
10:25,"MISS JUMPER by WINEBARGER,ALEX",,,,,,,"MISS JUMPER by WINEBARGER,ALEX",1
--,"REBOUND OFF by MALONE,KYM",,,,,,,"REBOUND OFF by MALONE,KYM",1
10:13,"GOOD LAYUP by GILE,CURTIS(in the paint)",22,,23 (+1),,DALLAS 22-23 (+1),,"GOOD LAYUP by GILE,CURTIS(in the paint)",1
10:03,,22,,25 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 22-25 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
09:44,"MISS 3PTR by GILE,CURTIS",,,,,,,"MISS 3PTR by GILE,CURTIS",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
09:38,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by STEPHENS,JOE",,,,,,,"REBOUND DEF by STEPHENS,JOE",1
09:30,"GOOD LAYUP by HIGHTOWER,BRAETON(fastbreak)(in the paint)",24,,25 (+1),,DALLAS 24-25 (+1),,"GOOD LAYUP by HIGHTOWER,BRAETON(fastbreak)(in the paint)",1
09:14,,24,,27 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 24-27 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
09:05,"GOOD 3PTR by HIGHTOWER,BRAETON",27,,27,,DALLAS 27-27 (0),,"GOOD 3PTR by HIGHTOWER,BRAETON",1
--,"ASSIST  by MALONE,KYM",,,,,,,"ASSIST  by MALONE,KYM",1
08:52,,27,,29 (+2),"GOOD LAYUP by JONUS,JASEN(in the paint)",BSC 27-29 (+2),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
08:41,"TURNOVER  by GILE,CURTIS",,,,,,,"TURNOVER  by GILE,CURTIS",1
08:41,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
08:41,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
08:41,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
08:41,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
08:41,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
08:41,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
08:41,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
08:41,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
08:41,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
08:41,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
08:12,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by SMITH,DECKER",,,,,,,"REBOUND DEF by SMITH,DECKER",1
07:45,"MISS 3PTR by HIGHTOWER,BRAETON",,,,,,,"MISS 3PTR by HIGHTOWER,BRAETON",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
07:37,,27,,31 (+4),"GOOD LAYUP by MURPHY,NICK(in the paint)",BSC 27-31 (+4),,"GOOD LAYUP by MURPHY,NICK(in the paint)",1
07:22,"SUB IN by BRUFFEY,TANNER",,,,,,,"SUB IN by BRUFFEY,TANNER",1
07:22,"SUB OUT by STEPHENS,JOE",,,,,,,"SUB OUT by STEPHENS,JOE",1
07:22,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
07:22,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
07:01,"GOOD 3PTR by SMITH,DECKER",30,,31 (+1),,DALLAS 30-31 (+1),,"GOOD 3PTR by SMITH,DECKER",1
06:48,,30,,33 (+3),"GOOD JUMPER by THOMAS,LARRY(in the paint)",BSC 30-33 (+3),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",1
--,,,,,"ASSIST  by MARSCHNER,BRENDAN",,,"ASSIST  by MARSCHNER,BRENDAN",1
06:29,,,,,"FOUL  by MARSCHNER,BRENDAN",,,"FOUL  by MARSCHNER,BRENDAN",1
06:29,"GOOD FT by HIGHTOWER,BRAETON",31,,33 (+2),,DALLAS 31-33 (+2),,"GOOD FT by HIGHTOWER,BRAETON",1
06:29,"GOOD FT by HIGHTOWER,BRAETON",32,,33 (+1),,DALLAS 32-33 (+1),,"GOOD FT by HIGHTOWER,BRAETON",1
06:29,"SUB IN by SMITH,DECKER",,,,,,,"SUB IN by SMITH,DECKER",1
06:29,"SUB OUT by GILE,CURTIS",,,,,,,"SUB OUT by GILE,CURTIS",1
06:10,"FOUL  by WYATT,AARON",,,,,,,"FOUL  by WYATT,AARON",1
06:10,"SUB IN by WYATT,AARON",,,,,,,"SUB IN by WYATT,AARON",1
06:10,"SUB OUT by SMITH,DECKER",,,,,,,"SUB OUT by SMITH,DECKER",1
06:08,,32,,36 (+4),"GOOD 3PTR by MURPHY,NICK",BSC 32-36 (+4),,"GOOD 3PTR by MURPHY,NICK",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
05:59,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
05:59,"TURNOVER  by SMITH,DECKER",,,,,,,"TURNOVER  by SMITH,DECKER",1
05:59,"SUB IN by GILE,CURTIS",,,,,,,"SUB IN by GILE,CURTIS",1
05:59,"SUB OUT by WYATT,AARON",,,,,,,"SUB OUT by WYATT,AARON",1
05:39,"FOUL  by SMITH,DECKER",,,,,,,"FOUL  by SMITH,DECKER",1
05:39,,32,,37 (+5),"GOOD FT by LEE,CALEB",BSC 32-37 (+5),,"GOOD FT by LEE,CALEB",1
05:39,,32,,38 (+6),"GOOD FT by LEE,CALEB",BSC 32-38 (+6),,"GOOD FT by LEE,CALEB",1
05:39,"SUB IN by ASSINESI,DREW",,,,,,,"SUB IN by ASSINESI,DREW",1
05:39,"SUB IN by SMITH,DECKER",,,,,,,"SUB IN by SMITH,DECKER",1
05:39,"SUB OUT by MALONE,KYM",,,,,,,"SUB OUT by MALONE,KYM",1
05:39,"SUB OUT by WINEBARGER,ALEX",,,,,,,"SUB OUT by WINEBARGER,ALEX",1
05:20,"GOOD JUMPER by GILE,CURTIS",34,,38 (+4),,DALLAS 34-38 (+4),,"GOOD JUMPER by GILE,CURTIS",1
05:05,"FOUL  by HIGHTOWER,BRAETON",,,,,,,"FOUL  by HIGHTOWER,BRAETON",1
05:05,,,,,"MISS FT by HOLLAND,JASON",,,"MISS FT by HOLLAND,JASON",1
--,"REBOUND DEF by SMITH,DECKER",,,,,,,"REBOUND DEF by SMITH,DECKER",1
04:45,"GOOD JUMPER by ASSINESI,DREW",36,,38 (+2),,DALLAS 36-38 (+2),,"GOOD JUMPER by ASSINESI,DREW",1
04:30,,,,,"MISS JUMPER by LEE,CALEB",,,"MISS JUMPER by LEE,CALEB",1
--,"REBOUND DEF by HIGHTOWER,BRAETON",,,,,,,"REBOUND DEF by HIGHTOWER,BRAETON",1
04:21,"GOOD JUMPER by SMITH,DECKER(in the paint)",38,,38,,DALLAS 38-38 (0),,"GOOD JUMPER by SMITH,DECKER(in the paint)",1
--,"ASSIST  by ASSINESI,DREW",,,,,,,"ASSIST  by ASSINESI,DREW",1
04:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:17,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
04:17,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
04:17,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
04:17,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
04:17,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
04:17,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
04:17,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
04:17,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
04:17,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
04:17,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:52,"FOUL  by SMITH,DECKER",,,,,,,"FOUL  by SMITH,DECKER",1
03:52,,38,,39 (+1),"GOOD FT by RICHARDS,ZAC",BSC 38-39 (+1),,"GOOD FT by RICHARDS,ZAC",1
03:52,,38,,40 (+2),"GOOD FT by RICHARDS,ZAC",BSC 38-40 (+2),,"GOOD FT by RICHARDS,ZAC",1
03:52,"SUB IN by STEPHENS,JOE",,,,,,,"SUB IN by STEPHENS,JOE",1
03:52,"SUB OUT by SMITH,DECKER",,,,,,,"SUB OUT by SMITH,DECKER",1
03:46,"GOOD LAYUP by HIGHTOWER,BRAETON(in the paint)",40,,40,,DALLAS 40-40 (0),,"GOOD LAYUP by HIGHTOWER,BRAETON(in the paint)",1
03:24,"FOUL  by GILE,CURTIS",,,,,,,"FOUL  by GILE,CURTIS",1
03:24,,40,,41 (+1),"GOOD FT by RICHARDS,ZAC",BSC 40-41 (+1),,"GOOD FT by RICHARDS,ZAC",1
03:24,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",1
--,"REBOUND DEF by GILE,CURTIS",,,,,,,"REBOUND DEF by GILE,CURTIS",1
03:09,"MISS 3PTR by STEPHENS,JOE",,,,,,,"MISS 3PTR by STEPHENS,JOE",1
--,"REBOUND OFF by GILE,CURTIS",,,,,,,"REBOUND OFF by GILE,CURTIS",1
03:04,"TURNOVER  by GILE,CURTIS",,,,,,,"TURNOVER  by GILE,CURTIS",1
02:46,,,,,"MISS JUMPER by RICHARDS,ZAC",,,"MISS JUMPER by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
02:39,,40,,43 (+3),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 40-43 (+3),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
02:25,"GOOD JUMPER by BRUFFEY,TANNER",42,,43 (+1),,DALLAS 42-43 (+1),,"GOOD JUMPER by BRUFFEY,TANNER",1
02:12,,42,,45 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 42-45 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
02:05,"TURNOVER  by ASSINESI,DREW",,,,,,,"TURNOVER  by ASSINESI,DREW",1
02:03,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
01:51,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",1
01:46,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
01:46,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
01:37,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
01:27,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
01:10,"TURNOVER  by ASSINESI,DREW",,,,,,,"TURNOVER  by ASSINESI,DREW",1
01:10,,,,,"STEAL  by JONUS,JASEN",,,"STEAL  by JONUS,JASEN",1
01:05,,42,,48 (+6),"GOOD 3PTR by KEGARISE,KEVIN",BSC 42-48 (+6),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
00:55,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
00:55,"SUB IN by MALONE,KYM",,,,,,,"SUB IN by MALONE,KYM",1
00:55,"SUB OUT by ASSINESI,DREW",,,,,,,"SUB OUT by ASSINESI,DREW",1
00:55,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
00:55,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
00:47,,42,,51 (+9),"GOOD 3PTR by KEGARISE,KEVIN",BSC 42-51 (+9),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
00:46,"FOUL  by BRUFFEY,TANNER",,,,,,,"FOUL  by BRUFFEY,TANNER",1
00:46,,42,,52 (+10),"GOOD FT by KEGARISE,KEVIN",BSC 42-52 (+10),,"GOOD FT by KEGARISE,KEVIN",1
00:46,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
00:46,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
00:46,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
00:46,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
00:45,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
00:43,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
00:41,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
00:41,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
00:38,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
00:38,"GOOD FT by HIGHTOWER,BRAETON",43,,52 (+9),,DALLAS 43-52 (+9),,"GOOD FT by HIGHTOWER,BRAETON",1
00:38,"GOOD FT by HIGHTOWER,BRAETON",44,,52 (+8),,DALLAS 44-52 (+8),,"GOOD FT by HIGHTOWER,BRAETON",1
00:38,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
00:38,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
00:04,,44,,54 (+10),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 44-54 (+10),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
19:49,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",2
19:49,"GOOD FT by STEPHENS,JOE",45,,54 (+9),,DALLAS 45-54 (+9),,"GOOD FT by STEPHENS,JOE",2
