Time Remaining,CLK,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
08:22,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
08:22,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
08:22,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
08:22,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
08:22,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
08:22,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
08:11,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
07:56,,20,,22 (+2),"GOOD JUMPER by RICHARDS,ZAC",BSC 20-22 (+2),,"GOOD JUMPER by RICHARDS,ZAC",1
07:24,"GOOD 3PTR by KARAS,JOHN",23 (+1),,22,,CLK 23-22 (-1),,"GOOD 3PTR by KARAS,JOHN",1
--,"ASSIST  by BAILEY,DJ",,,,,,,"ASSIST  by BAILEY,DJ",1
07:22,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
07:22,"SUB IN by DESAUTELS,TOM",,,,,,,"SUB IN by DESAUTELS,TOM",1
07:22,"SUB OUT by BAILEY,DJ",,,,,,,"SUB OUT by BAILEY,DJ",1
07:11,,,,,"FOUL  by KEGARISE,KEVIN",,,"FOUL  by KEGARISE,KEVIN",1
07:11,"GOOD FT by KARAS,JOHN",24 (+2),,22,,CLK 24-22 (-2),,"GOOD FT by KARAS,JOHN",1
07:11,"MISS FT by KARAS,JOHN",,,,,,,"MISS FT by KARAS,JOHN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:11,"MISS FT by KARAS,JOHN",,,,,,,"MISS FT by KARAS,JOHN",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
07:01,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
07:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:01,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",1
07:01,"SUB IN by ARMSTRONG,MARCUS",,,,,,,"SUB IN by ARMSTRONG,MARCUS",1
07:01,"SUB OUT by KARAS,JOHN",,,,,,,"SUB OUT by KARAS,JOHN",1
07:01,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",1
06:44,"TURNOVER  by DESAUTELS,TOM",,,,,,,"TURNOVER  by DESAUTELS,TOM",1
06:44,"SUB IN by BILLINGTON,DREW",,,,,,,"SUB IN by BILLINGTON,DREW",1
06:44,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",1
06:44,"SUB IN by CURLEY,TRAVIS",,,,,,,"SUB IN by CURLEY,TRAVIS",1
06:44,"SUB OUT by RADOVIC,MARKO",,,,,,,"SUB OUT by RADOVIC,MARKO",1
06:44,"SUB OUT by GUBITOSE,JAKE",,,,,,,"SUB OUT by GUBITOSE,JAKE",1
06:44,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",1
06:32,,24,,24,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 24-24 (0),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
05:56,"GOOD JUMPER by RENSHAW,MITCH",26 (+2),,24,,CLK 26-24 (-2),,"GOOD JUMPER by RENSHAW,MITCH",1
05:44,,26,,26,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 26-26 (0),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
05:13,"MISS 3PTR by RENSHAW,MITCH",,,,,,,"MISS 3PTR by RENSHAW,MITCH",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
05:05,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by KEGARISE,KEVIN",,,"REBOUND OFF by KEGARISE,KEVIN",1
04:50,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND DEF by BAILEY,DJ",,,,,,,"REBOUND DEF by BAILEY,DJ",1
04:50,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
04:50,"MISS FT by BAILEY,DJ",,,,,,,"MISS FT by BAILEY,DJ",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
04:50,"SUB IN by ESBORN,TUCKER",,,,,,,"SUB IN by ESBORN,TUCKER",1
04:50,"SUB OUT by RENSHAW,MITCH",,,,,,,"SUB OUT by RENSHAW,MITCH",1
04:50,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
04:50,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
04:37,,26,,28 (+2),"GOOD JUMPER by KEGARISE,KEVIN",BSC 26-28 (+2),,"GOOD JUMPER by KEGARISE,KEVIN",1
04:07,"MISS 3PTR by ESBORN,TUCKER",,,,,,,"MISS 3PTR by ESBORN,TUCKER",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
03:54,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by ESBORN,TUCKER",,,,,,,"REBOUND DEF by ESBORN,TUCKER",1
03:23,"MISS JUMPER by CURLEY,TRAVIS",,,,,,,"MISS JUMPER by CURLEY,TRAVIS",1
--,"REBOUND OFF by BILLINGTON,DREW",,,,,,,"REBOUND OFF by BILLINGTON,DREW",1
03:20,"TURNOVER  by BILLINGTON,DREW",,,,,,,"TURNOVER  by BILLINGTON,DREW",1
03:20,,,,,"STEAL  by KEGARISE,KEVIN",,,"STEAL  by KEGARISE,KEVIN",1
03:10,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
03:10,"BLOCK  by BAILEY,DJ",,,,,,,"BLOCK  by BAILEY,DJ",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
03:05,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
03:05,"BLOCK  by BAILEY,DJ",,,,,,,"BLOCK  by BAILEY,DJ",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:01,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
03:01,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
03:01,"GOOD FT by ESBORN,TUCKER",27,,28 (+1),,CLK 27-28 (+1),,"GOOD FT by ESBORN,TUCKER",1
03:01,"GOOD FT by ESBORN,TUCKER",28,,28,,CLK 28-28 (0),,"GOOD FT by ESBORN,TUCKER",1
03:01,"SUB IN by RENSHAW,MITCH",,,,,,,"SUB IN by RENSHAW,MITCH",1
03:01,"SUB IN by GUBITOSE,JAKE",,,,,,,"SUB IN by GUBITOSE,JAKE",1
03:01,"SUB IN by KARAS,JOHN",,,,,,,"SUB IN by KARAS,JOHN",1
03:01,"SUB IN by DESAUTELS,TOM",,,,,,,"SUB IN by DESAUTELS,TOM",1
03:01,"SUB OUT by ESBORN,TUCKER",,,,,,,"SUB OUT by ESBORN,TUCKER",1
03:01,"SUB OUT by ARMSTRONG,MARCUS",,,,,,,"SUB OUT by ARMSTRONG,MARCUS",1
03:01,"SUB OUT by BILLINGTON,DREW",,,,,,,"SUB OUT by BILLINGTON,DREW",1
03:01,"SUB OUT by BAILEY,DJ",,,,,,,"SUB OUT by BAILEY,DJ",1
03:01,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
03:01,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
03:01,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
03:01,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
02:51,"FOUL  by DESAUTELS,TOM",,,,,,,"FOUL  by DESAUTELS,TOM",1
02:51,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
--,"REBOUND DEF by CURLEY,TRAVIS",,,,,,,"REBOUND DEF by CURLEY,TRAVIS",1
02:51,"SUB IN by BAILEY,DJ",,,,,,,"SUB IN by BAILEY,DJ",1
02:51,"SUB OUT by DESAUTELS,TOM",,,,,,,"SUB OUT by DESAUTELS,TOM",1
02:40,"MISS 3PTR by CURLEY,TRAVIS",,,,,,,"MISS 3PTR by CURLEY,TRAVIS",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
02:20,,28,,31 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 28-31 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
01:41,"MISS JUMPER by RENSHAW,MITCH",,,,,,,"MISS JUMPER by RENSHAW,MITCH",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
01:40,"FOUL  by BAILEY,DJ",,,,,,,"FOUL  by BAILEY,DJ",1
01:40,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by RENSHAW,MITCH",,,,,,,"REBOUND DEF by RENSHAW,MITCH",1
01:19,"MISS JUMPER by RENSHAW,MITCH",,,,,,,"MISS JUMPER by RENSHAW,MITCH",1
--,"REBOUND OFF by CURLEY,TRAVIS",,,,,,,"REBOUND OFF by CURLEY,TRAVIS",1
01:17,"GOOD LAYUP by CURLEY,TRAVIS(in the paint)",30,,31 (+1),,CLK 30-31 (+1),,"GOOD LAYUP by CURLEY,TRAVIS(in the paint)",1
01:11,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by BAILEY,DJ",,,,,,,"REBOUND DEF by BAILEY,DJ",1
01:09,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
01:09,"MISS FT by BAILEY,DJ",,,,,,,"MISS FT by BAILEY,DJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:09,"GOOD FT by BAILEY,DJ",31,,31,,CLK 31-31 (0),,"GOOD FT by BAILEY,DJ",1
01:09,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
01:09,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
01:09,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
01:09,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
00:58,,31,,33 (+2),"GOOD JUMPER by KEGARISE,KEVIN",BSC 31-33 (+2),,"GOOD JUMPER by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
00:36,"MISS JUMPER by BAILEY,DJ",,,,,,,"MISS JUMPER by BAILEY,DJ",1
--,"REBOUND OFF by CURLEY,TRAVIS",,,,,,,"REBOUND OFF by CURLEY,TRAVIS",1
00:34,"GOOD LAYUP by CURLEY,TRAVIS(in the paint)",33,,33,,CLK 33-33 (0),,"GOOD LAYUP by CURLEY,TRAVIS(in the paint)",1
00:05,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
