Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by MARSH,CODY",,,"REBOUND OFF by MARSH,CODY",1
09:14,,,,,"MISS LAYUP by SCHULTE,MICHAEL",,,"MISS LAYUP by SCHULTE,MICHAEL",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
09:04,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",1
08:59,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",1
08:43,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
08:26,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
08:25,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
08:25,,,,,"SUB IN by ALMULLA,NASSER",,,"SUB IN by ALMULLA,NASSER",1
08:25,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
08:05,,,,,"MISS LAYUP by SCHULTE,MICHAEL",,,"MISS LAYUP by SCHULTE,MICHAEL",1
08:05,"BLOCK  by KEGARISE,KEVIN",,,,,,,"BLOCK  by KEGARISE,KEVIN",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
07:51,"GOOD JUMPER by KEGARISE,KEVIN",20 (+5),,15,,BSC 20-15 (+5),,"GOOD JUMPER by KEGARISE,KEVIN",1
07:36,,,,,"TURNOVER  by ALMULLA,NASSER",,,"TURNOVER  by ALMULLA,NASSER",1
07:35,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",1
07:34,"GOOD LAYUP by WHITE,BLAISE(in the paint)",22 (+7),,15,,BSC 22-15 (+7),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
06:54,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
06:54,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",1
06:54,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
06:54,,,,,"SUB OUT by SCHULTE,MICHAEL",,,"SUB OUT by SCHULTE,MICHAEL",1
06:54,,,,,"SUB OUT by MARSH,CODY",,,"SUB OUT by MARSH,CODY",1
06:40,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by WILSON,KYLE",,,"REBOUND DEF by WILSON,KYLE",1
06:21,,22 (+5),,17,"GOOD JUMPER by GRAHAM,LAKE",BCM 22-17 (+5),,"GOOD JUMPER by GRAHAM,LAKE",1
06:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:18,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
06:18,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
06:18,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
06:18,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
06:18,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
06:18,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
06:18,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
06:18,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
06:18,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
06:18,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
05:52,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1
05:52,"GOOD FT by LEE,CALEB",23 (+6),,17,,BSC 23-17 (+6),,"GOOD FT by LEE,CALEB",1
05:52,"GOOD FT by LEE,CALEB",24 (+7),,17,,BSC 24-17 (+7),,"GOOD FT by LEE,CALEB",1
05:24,,24 (+4),,20,"GOOD 3PTR by ALMULLA,NASSER",BCM 24-20 (+4),,"GOOD 3PTR by ALMULLA,NASSER",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
05:11,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by WILSON,KYLE",,,"REBOUND DEF by WILSON,KYLE",1
04:47,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
04:45,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
04:43,"GOOD LAYUP by HOLLAND,JASON(fastbreak)(in the paint)",26 (+6),,20,,BSC 26-20 (+6),,"GOOD LAYUP by HOLLAND,JASON(fastbreak)(in the paint)",1
04:28,,,,,"MISS 3PTR by ABRAMS,JONATHAN",,,"MISS 3PTR by ABRAMS,JONATHAN",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
04:20,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
04:20,,,,,"SUB IN by SCHULTE,MICHAEL",,,"SUB IN by SCHULTE,MICHAEL",1
04:20,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",1
04:01,,26 (+3),,23,"GOOD 3PTR by ALMULLA,NASSER",BCM 26-23 (+3),,"GOOD 3PTR by ALMULLA,NASSER",1
--,,,,,"ASSIST  by SCHULTE,MICHAEL",,,"ASSIST  by SCHULTE,MICHAEL",1
03:52,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND DEF by ALMULLA,NASSER",,,"REBOUND DEF by ALMULLA,NASSER",1
03:19,,,,,"MISS 3PTR by ALMULLA,NASSER",,,"MISS 3PTR by ALMULLA,NASSER",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
03:12,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
03:11,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
03:11,,,,,"BLOCK  by SCHULTE,MICHAEL",,,"BLOCK  by SCHULTE,MICHAEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:11,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
03:11,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
03:11,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
03:11,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
03:11,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:11,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
03:11,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
03:11,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:11,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
03:11,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
03:10,"GOOD DUNK by RICHARDS,ZAC(in the paint)",28 (+5),,23,,BSC 28-23 (+5),,"GOOD DUNK by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",1
02:54,,,,,"MISS 3PTR by ALMULLA,NASSER",,,"MISS 3PTR by ALMULLA,NASSER",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
02:43,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
02:38,"GOOD LAYUP by LEE,CALEB(in the paint)",30 (+7),,23,,BSC 30-23 (+7),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
02:38,,,,,"FOUL  by GRAHAM,LAKE",,,"FOUL  by GRAHAM,LAKE",1
02:38,"GOOD FT by RICHARDS,ZAC",31 (+8),,23,,BSC 31-23 (+8),,"GOOD FT by RICHARDS,ZAC",1
02:38,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",1
02:38,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
02:38,,,,,"SUB OUT by ALMULLA,NASSER",,,"SUB OUT by ALMULLA,NASSER",1
02:38,,,,,"SUB OUT by WILSON,KYLE",,,"SUB OUT by WILSON,KYLE",1
02:01,,31 (+6),,25,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 31-25 (+6),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",1
--,,,,,"ASSIST  by SCHULTE,MICHAEL",,,"ASSIST  by SCHULTE,MICHAEL",1
01:38,"GOOD LAYUP by HENRY,COLIN(in the paint)",33 (+8),,25,,BSC 33-25 (+8),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
01:13,,33 (+5),,28,"GOOD 3PTR by WHALEN,MAC",BCM 33-28 (+5),,"GOOD 3PTR by WHALEN,MAC",1
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1
00:53,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
00:53,"GOOD JUMPER by RICHARDS,ZAC",35 (+7),,28,,BSC 35-28 (+7),,"GOOD JUMPER by RICHARDS,ZAC",1
00:16,,35 (+4),,31,"GOOD 3PTR by WHALEN,MAC",BCM 35-31 (+4),,"GOOD 3PTR by WHALEN,MAC",1
00:05,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
20:00,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
20:00,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
19:52,,35 (+2),,33,"GOOD JUMPER by WHALEN,MAC",BCM 35-33 (+2),,"GOOD JUMPER by WHALEN,MAC",2
19:31,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
19:31,,,,,"BLOCK  by GRAHAM,LAKE",,,"BLOCK  by GRAHAM,LAKE",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
19:25,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
19:15,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
19:10,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",37 (+4),,33,,BSC 37-33 (+4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
18:42,,,,,"TURNOVER  by SCHULTE,MICHAEL",,,"TURNOVER  by SCHULTE,MICHAEL",2
18:40,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
18:37,,,,,"FOUL  by MARSH,CODY",,,"FOUL  by MARSH,CODY",2
18:37,"GOOD FT by RICHARDS,ZAC",38 (+5),,33,,BSC 38-33 (+5),,"GOOD FT by RICHARDS,ZAC",2
18:37,"GOOD FT by RICHARDS,ZAC",39 (+6),,33,,BSC 39-33 (+6),,"GOOD FT by RICHARDS,ZAC",2
18:37,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
18:37,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
18:32,,,,,"FOUL  by SCHULTE,MICHAEL",,,"FOUL  by SCHULTE,MICHAEL",2
18:04,"MISS LAYUP by JONUS,JASEN",,,,,,,"MISS LAYUP by JONUS,JASEN",2
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",2
18:00,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",2
17:58,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
17:56,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",41 (+8),,33,,BSC 41-33 (+8),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",2
17:50,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
17:39,,,,,"TURNOVER  by MARSH,CODY",,,"TURNOVER  by MARSH,CODY",2
17:29,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
16:53,,,,,"MISS LAYUP by GRAHAM,LAKE",,,"MISS LAYUP by GRAHAM,LAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:40,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",2
16:24,,,,,"TURNOVER  by GRAHAM,LAKE",,,"TURNOVER  by GRAHAM,LAKE",2
16:23,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
16:08,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
16:08,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",2
16:08,,,,,"SUB OUT by MARSH,CODY",,,"SUB OUT by MARSH,CODY",2
15:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:53,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
15:53,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:38,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
15:38,,41 (+6),,35,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 41-35 (+6),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
--,,,,,"ASSIST  by ABRAMS,JONATHAN",,,"ASSIST  by ABRAMS,JONATHAN",2
15:38,"GOOD 3PTR by JONUS,JASEN",44 (+9),,35,,BSC 44-35 (+9),,"GOOD 3PTR by JONUS,JASEN",2
15:38,,,,,"MISS LAYUP by ABRAMS,JONATHAN",,,"MISS LAYUP by ABRAMS,JONATHAN",2
--,,,,,"REBOUND OFF by GRAHAM,LAKE",,,"REBOUND OFF by GRAHAM,LAKE",2
15:38,,44 (+7),,37,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 44-37 (+7),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
15:20,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",2
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",2
