Time Remaining,POINT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
17:27,"GOOD 3PTR by SHELLEY,STEPHEN",5,,8 (+3),,POINT 5-8 (+3),,"GOOD 3PTR by SHELLEY,STEPHEN",1
--,"ASSIST  by INGLE,MICHAEL",,,,,,,"ASSIST  by INGLE,MICHAEL",1
17:12,"FOUL  by WOOLEY,TORY",,,,,,,"FOUL  by WOOLEY,TORY",1
16:56,,,,,"MISS LAYUP by JONUS,JASEN",,,"MISS LAYUP by JONUS,JASEN",1
--,"REBOUND DEF by WOOLEY,TORY",,,,,,,"REBOUND DEF by WOOLEY,TORY",1
16:42,"MISS LAYUP by MAHAFFEY,JEREMY",,,,,,,"MISS LAYUP by MAHAFFEY,JEREMY",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
16:32,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
16:15,"MISS JUMPER by SCOTT,SHASTA",,,,,,,"MISS JUMPER by SCOTT,SHASTA",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
16:09,,5,,11 (+6),"GOOD 3PTR by THOMAS,LARRY",BSC 5-11 (+6),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
16:06,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
16:06,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
16:06,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
16:06,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
16:06,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
16:06,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
16:06,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
16:06,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
16:06,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
16:06,,,,,"SUB OUT by OLAFSSON,ODDUR",,,"SUB OUT by OLAFSSON,ODDUR",1
15:39,"TURNOVER  by INGLE,MICHAEL",,,,,,,"TURNOVER  by INGLE,MICHAEL",1
15:37,,,,,"STEAL  by SCHAMP,GRIFFIN",,,"STEAL  by SCHAMP,GRIFFIN",1
15:35,,,,,"MISS LAYUP by HOLLAND,JASON",,,"MISS LAYUP by HOLLAND,JASON",1
--,"REBOUND DEF by INGLE,MICHAEL",,,,,,,"REBOUND DEF by INGLE,MICHAEL",1
15:30,"GOOD DUNK by MAHAFFEY,JEREMY(in the paint)",7,,11 (+4),,POINT 7-11 (+4),,"GOOD DUNK by MAHAFFEY,JEREMY(in the paint)",1
--,"ASSIST  by INGLE,MICHAEL",,,,,,,"ASSIST  by INGLE,MICHAEL",1
15:18,,7,,13 (+6),"GOOD JUMPER by LEE,CALEB",BSC 7-13 (+6),,"GOOD JUMPER by LEE,CALEB",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
14:45,"FOUL  by MAHAFFEY,JEREMY",,,,,,,"FOUL  by MAHAFFEY,JEREMY",1
14:45,"TURNOVER  by MAHAFFEY,JEREMY",,,,,,,"TURNOVER  by MAHAFFEY,JEREMY",1
14:45,"SUB IN by COOPER,CHRIS",,,,,,,"SUB IN by COOPER,CHRIS",1
14:45,"SUB IN by WHITE,KADEEM",,,,,,,"SUB IN by WHITE,KADEEM",1
14:45,"SUB IN by MILLER,JSEPH",,,,,,,"SUB IN by MILLER,JSEPH",1
14:45,"SUB OUT by WOOLEY,TORY",,,,,,,"SUB OUT by WOOLEY,TORY",1
14:45,"SUB OUT by INGLE,MICHAEL",,,,,,,"SUB OUT by INGLE,MICHAEL",1
14:45,"SUB OUT by MAHAFFEY,JEREMY",,,,,,,"SUB OUT by MAHAFFEY,JEREMY",1
14:27,,7,,16 (+9),"GOOD 3PTR by THOMAS,LARRY",BSC 7-16 (+9),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by LEE,CALEB",,,"ASSIST  by LEE,CALEB",1
14:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
14:11,"TURNOVER  by WHITE,KADEEM",,,,,,,"TURNOVER  by WHITE,KADEEM",1
14:10,,,,,"STEAL  by LEE,CALEB",,,"STEAL  by LEE,CALEB",1
13:47,,7,,19 (+12),"GOOD 3PTR by MURPHY,NICK",BSC 7-19 (+12),,"GOOD 3PTR by MURPHY,NICK",1
--,,,,,"ASSIST  by LEE,CALEB",,,"ASSIST  by LEE,CALEB",1
13:41,"SUB IN by BROWN,DEVONTE",,,,,,,"SUB IN by BROWN,DEVONTE",1
13:41,"SUB OUT by SCOTT,SHASTA",,,,,,,"SUB OUT by SCOTT,SHASTA",1
13:18,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by MILLER,JSEPH",,,,,,,"REBOUND DEF by MILLER,JSEPH",1
13:06,"GOOD LAYUP by WHITE,KADEEM(in the paint)",9,,19 (+10),,POINT 9-19 (+10),,"GOOD LAYUP by WHITE,KADEEM(in the paint)",1
12:53,"FOUL  by COOPER,CHRIS",,,,,,,"FOUL  by COOPER,CHRIS",1
12:46,,9,,22 (+13),"GOOD 3PTR by HOLLAND,JASON",BSC 9-22 (+13),,"GOOD 3PTR by HOLLAND,JASON",1
12:26,"TURNOVER  by COOPER,CHRIS",,,,,,,"TURNOVER  by COOPER,CHRIS",1
12:24,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
12:11,,,,,"MISS JUMPER by HOLLAND,JASON",,,"MISS JUMPER by HOLLAND,JASON",1
--,"REBOUND DEF by SHELLEY,STEPHEN",,,,,,,"REBOUND DEF by SHELLEY,STEPHEN",1
12:06,"TURNOVER  by SHELLEY,STEPHEN",,,,,,,"TURNOVER  by SHELLEY,STEPHEN",1
12:06,"SUB IN by WOOLEY,TORY",,,,,,,"SUB IN by WOOLEY,TORY",1
12:06,"SUB IN by SCOTT,SHASTA",,,,,,,"SUB IN by SCOTT,SHASTA",1
12:06,"SUB OUT by BROWN,DEVONTE",,,,,,,"SUB OUT by BROWN,DEVONTE",1
12:06,"SUB OUT by SHELLEY,STEPHEN",,,,,,,"SUB OUT by SHELLEY,STEPHEN",1
12:06,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
12:06,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
12:06,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
12:06,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
12:06,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
12:06,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
12:06,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
12:06,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
12:06,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
12:06,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
12:04,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
12:04,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
11:52,"GOOD JUMPER by WOOLEY,TORY(in the paint)",11,,22 (+11),,POINT 11-22 (+11),,"GOOD JUMPER by WOOLEY,TORY(in the paint)",1
11:46,,11,,24 (+13),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 11-24 (+13),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
11:35,"TURNOVER  by COOPER,CHRIS",,,,,,,"TURNOVER  by COOPER,CHRIS",1
11:33,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
11:31,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
11:31,"BLOCK  by SCOTT,SHASTA",,,,,,,"BLOCK  by SCOTT,SHASTA",1
--,"REBOUND DEF by SCOTT,SHASTA",,,,,,,"REBOUND DEF by SCOTT,SHASTA",1
11:21,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
11:21,"GOOD FT by WHITE,KADEEM",12,,24 (+12),,POINT 12-24 (+12),,"GOOD FT by WHITE,KADEEM",1
11:21,"GOOD FT by WHITE,KADEEM",13,,24 (+11),,POINT 13-24 (+11),,"GOOD FT by WHITE,KADEEM",1
11:21,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
11:21,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
11:15,,13,,26 (+13),"GOOD JUMPER by KEGARISE,KEVIN",BSC 13-26 (+13),,"GOOD JUMPER by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
10:46,"GOOD LAYUP by COOPER,CHRIS(in the paint)",15,,26 (+11),,POINT 15-26 (+11),,"GOOD LAYUP by COOPER,CHRIS(in the paint)",1
10:37,,,,,"MISS JUMPER by WHITE,BLAISE",,,"MISS JUMPER by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
10:32,,15,,28 (+13),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 15-28 (+13),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
10:18,"GOOD 3PTR by SCOTT,SHASTA",18,,28 (+10),,POINT 18-28 (+10),,"GOOD 3PTR by SCOTT,SHASTA",1
--,"ASSIST  by WHITE,KADEEM",,,,,,,"ASSIST  by WHITE,KADEEM",1
09:53,,,,,"MISS LAYUP by JONUS,JASEN",,,"MISS LAYUP by JONUS,JASEN",1
--,"REBOUND DEF by MILLER,JSEPH",,,,,,,"REBOUND DEF by MILLER,JSEPH",1
09:45,"MISS 3PTR by SCOTT,SHASTA",,,,,,,"MISS 3PTR by SCOTT,SHASTA",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
09:25,,18,,30 (+12),"GOOD JUMPER by SCHAMP,GRIFFIN",BSC 18-30 (+12),,"GOOD JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
09:14,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
09:14,"SUB IN by INGLE,MICHAEL",,,,,,,"SUB IN by INGLE,MICHAEL",1
09:14,"SUB OUT by COOPER,CHRIS",,,,,,,"SUB OUT by COOPER,CHRIS",1
09:14,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
09:14,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
09:14,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
09:14,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
09:14,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
09:14,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
09:14,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
09:14,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
08:43,"MISS 3PTR by SCOTT,SHASTA",,,,,,,"MISS 3PTR by SCOTT,SHASTA",1
--,"REBOUND OFF by WHITE,KADEEM",,,,,,,"REBOUND OFF by WHITE,KADEEM",1
08:36,"MISS 3PTR by INGLE,MICHAEL",,,,,,,"MISS 3PTR by INGLE,MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:17,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
08:17,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
08:09,"TURNOVER  by SCOTT,SHASTA",,,,,,,"TURNOVER  by SCOTT,SHASTA",1
07:47,"FOUL  by WHITE,KADEEM",,,,,,,"FOUL  by WHITE,KADEEM",1
07:47,"SUB IN by SHELLEY,STEPHEN",,,,,,,"SUB IN by SHELLEY,STEPHEN",1
07:47,"SUB OUT by WHITE,KADEEM",,,,,,,"SUB OUT by WHITE,KADEEM",1
07:42,,18,,32 (+14),"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",BSC 18-32 (+14),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
07:30,"TURNOVER  by INGLE,MICHAEL",,,,,,,"TURNOVER  by INGLE,MICHAEL",1
07:10,,18,,35 (+17),"GOOD 3PTR by MURPHY,NICK",BSC 18-35 (+17),,"GOOD 3PTR by MURPHY,NICK",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
06:53,"TURNOVER  by SCOTT,SHASTA",,,,,,,"TURNOVER  by SCOTT,SHASTA",1
06:52,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
06:49,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by SCOTT,SHASTA",,,,,,,"REBOUND DEF by SCOTT,SHASTA",1
06:43,"TURNOVER  by SCOTT,SHASTA",,,,,,,"TURNOVER  by SCOTT,SHASTA",1
06:41,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
06:35,"FOUL  by SHELLEY,STEPHEN",,,,,,,"FOUL  by SHELLEY,STEPHEN",1
06:35,,18,,36 (+18),"GOOD FT by HOLLAND,JASON",BSC 18-36 (+18),,"GOOD FT by HOLLAND,JASON",1
06:35,,,,,"MISS FT by HOLLAND,JASON",,,"MISS FT by HOLLAND,JASON",1
--,"REBOUND DEF by WOOLEY,TORY",,,,,,,"REBOUND DEF by WOOLEY,TORY",1
06:35,"SUB IN by BROWN,DEVONTE",,,,,,,"SUB IN by BROWN,DEVONTE",1
06:35,"SUB OUT by SHELLEY,STEPHEN",,,,,,,"SUB OUT by SHELLEY,STEPHEN",1
06:13,"GOOD 3PTR by BROWN,DEVONTE",21,,36 (+15),,POINT 21-36 (+15),,"GOOD 3PTR by BROWN,DEVONTE",1
--,"ASSIST  by SCOTT,SHASTA",,,,,,,"ASSIST  by SCOTT,SHASTA",1
05:48,,,,,"MISS LAYUP by HOLLAND,JASON",,,"MISS LAYUP by HOLLAND,JASON",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
05:43,"FOUL  by MILLER,JSEPH",,,,,,,"FOUL  by MILLER,JSEPH",1
05:43,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:43,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",1
--,"REBOUND DEF by MILLER,JSEPH",,,,,,,"REBOUND DEF by MILLER,JSEPH",1
05:31,"MISS JUMPER by MILLER,JSEPH",,,,,,,"MISS JUMPER by MILLER,JSEPH",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
05:26,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
05:24,"STEAL  by WOOLEY,TORY",,,,,,,"STEAL  by WOOLEY,TORY",1
05:23,"GOOD LAYUP by WOOLEY,TORY(fastbreak)(in the paint)",23,,36 (+13),,POINT 23-36 (+13),,"GOOD LAYUP by WOOLEY,TORY(fastbreak)(in the paint)",1
05:13,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
05:10,,23,,38 (+15),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 23-38 (+15),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
05:10,"FOUL  by MILLER,JSEPH",,,,,,,"FOUL  by MILLER,JSEPH",1
05:10,,23,,39 (+16),"GOOD FT by LEE,CALEB",BSC 23-39 (+16),,"GOOD FT by LEE,CALEB",1
05:10,,,,,"SUB IN by OLAFSSON,ODDUR",,,"SUB IN by OLAFSSON,ODDUR",1
05:10,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
04:52,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
04:38,"TURNOVER  by INGLE,MICHAEL",,,,,,,"TURNOVER  by INGLE,MICHAEL",1
04:36,,,,,"STEAL  by OLAFSSON,ODDUR",,,"STEAL  by OLAFSSON,ODDUR",1
04:20,,23,,41 (+18),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 23-41 (+18),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
04:20,"FOUL  by MILLER,JSEPH",,,,,,,"FOUL  by MILLER,JSEPH",1
04:20,,,,,"MISS FT by LEE,CALEB",,,"MISS FT by LEE,CALEB",1
--,"REBOUND DEF by MAHAFFEY,JEREMY",,,,,,,"REBOUND DEF by MAHAFFEY,JEREMY",1
04:20,"SUB IN by MAHAFFEY,JEREMY",,,,,,,"SUB IN by MAHAFFEY,JEREMY",1
04:20,"SUB IN by COOPER,CHRIS",,,,,,,"SUB IN by COOPER,CHRIS",1
04:20,"SUB OUT by BROWN,DEVONTE",,,,,,,"SUB OUT by BROWN,DEVONTE",1
04:20,"SUB OUT by MILLER,JSEPH",,,,,,,"SUB OUT by MILLER,JSEPH",1
04:20,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
04:20,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
04:09,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
04:09,"GOOD FT by COOPER,CHRIS",24,,41 (+17),,POINT 24-41 (+17),,"GOOD FT by COOPER,CHRIS",1
04:09,"GOOD FT by COOPER,CHRIS",25,,41 (+16),,POINT 25-41 (+16),,"GOOD FT by COOPER,CHRIS",1
04:09,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
04:09,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:59,,,,,"MISS 3PTR by OLAFSSON,ODDUR",,,"MISS 3PTR by OLAFSSON,ODDUR",1
--,"REBOUND DEF by COOPER,CHRIS",,,,,,,"REBOUND DEF by COOPER,CHRIS",1
03:47,"GOOD 3PTR by INGLE,MICHAEL",28,,41 (+13),,POINT 28-41 (+13),,"GOOD 3PTR by INGLE,MICHAEL",1
--,"ASSIST  by SCOTT,SHASTA",,,,,,,"ASSIST  by SCOTT,SHASTA",1
03:39,,,,,"MISS LAYUP by OLAFSSON,ODDUR",,,"MISS LAYUP by OLAFSSON,ODDUR",1
--,"REBOUND DEF by MAHAFFEY,JEREMY",,,,,,,"REBOUND DEF by MAHAFFEY,JEREMY",1
03:35,"TURNOVER  by INGLE,MICHAEL",,,,,,,"TURNOVER  by INGLE,MICHAEL",1
03:35,"SUB IN by WHITE,KADEEM",,,,,,,"SUB IN by WHITE,KADEEM",1
03:35,"SUB OUT by INGLE,MICHAEL",,,,,,,"SUB OUT by INGLE,MICHAEL",1
03:35,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
03:35,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
03:35,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
03:35,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
03:35,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
03:35,,,,,"SUB OUT by OLAFSSON,ODDUR",,,"SUB OUT by OLAFSSON,ODDUR",1
03:18,,28,,43 (+15),"GOOD LAYUP by JONUS,JASEN(in the paint)",BSC 28-43 (+15),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
03:18,"FOUL  by SCOTT,SHASTA",,,,,,,"FOUL  by SCOTT,SHASTA",1
03:18,,28,,44 (+16),"GOOD FT by JONUS,JASEN",BSC 28-44 (+16),,"GOOD FT by JONUS,JASEN",1
03:02,"GOOD LAYUP by WHITE,KADEEM(in the paint)",30,,44 (+14),,POINT 30-44 (+14),,"GOOD LAYUP by WHITE,KADEEM(in the paint)",1
02:45,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
02:38,,30,,47 (+17),"GOOD 3PTR by WHITE,BLAISE",BSC 30-47 (+17),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
02:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:10,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
02:10,"MISS FT by WHITE,KADEEM",,,,,,,"MISS FT by WHITE,KADEEM",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
01:43,,30,,50 (+20),"GOOD 3PTR by WHITE,BLAISE",BSC 30-50 (+20),,"GOOD 3PTR by WHITE,BLAISE",1
01:37,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
01:37,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
01:37,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
01:37,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
01:37,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
01:32,,30,,53 (+23),"GOOD 3PTR by KEGARISE,KEVIN",BSC 30-53 (+23),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
01:05,"MISS 3PTR by COOPER,CHRIS",,,,,,,"MISS 3PTR by COOPER,CHRIS",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
00:57,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by SCOTT,SHASTA",,,,,,,"REBOUND DEF by SCOTT,SHASTA",1
00:53,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
00:53,"MISS FT by SCOTT,SHASTA",,,,,,,"MISS FT by SCOTT,SHASTA",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
00:50,,,,,"MISS 3PTR by OLAFSSON,ODDUR",,,"MISS 3PTR by OLAFSSON,ODDUR",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
00:46,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
--,"REBOUND DEF by WHITE,KADEEM",,,,,,,"REBOUND DEF by WHITE,KADEEM",1
00:36,"MISS 3PTR by SCOTT,SHASTA",,,,,,,"MISS 3PTR by SCOTT,SHASTA",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
00:14,,,,,"MISS JUMPER by WHITE,BLAISE",,,"MISS JUMPER by WHITE,BLAISE",1
--,"REBOUND DEF by WHITE,KADEEM",,,,,,,"REBOUND DEF by WHITE,KADEEM",1
00:09,"GOOD DUNK by MAHAFFEY,JEREMY(fastbreak)(in the paint)",32,,53 (+21),,POINT 32-53 (+21),,"GOOD DUNK by MAHAFFEY,JEREMY(fastbreak)(in the paint)",1
--,"ASSIST  by WHITE,KADEEM",,,,,,,"ASSIST  by WHITE,KADEEM",1
