Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SUM,Game Score,Team Indicator,Play,Period
16:31,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by TATES,JOSHUA",,,"REBOUND DEF by TATES,JOSHUA",1
16:22,,0,,10 (+10),"GOOD 3PTR by MATAYA,DANIEL",SUM 0-10 (-10),,"GOOD 3PTR by MATAYA,DANIEL",1
--,,,,,"ASSIST  by KOCHER,CHASE",,,"ASSIST  by KOCHER,CHASE",1
16:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:18,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
16:18,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
16:18,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
16:18,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
16:18,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
16:18,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
16:18,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
16:18,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
16:18,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
16:18,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
16:08,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
15:52,,,,,"TURNOVER  by MATAYA,DANIEL",,,"TURNOVER  by MATAYA,DANIEL",1
15:43,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,,,,,"REBOUND DEF by ATIEE,NICK",,,"REBOUND DEF by ATIEE,NICK",1
15:28,,,,,"MISS LAYUP by KOCHER,CHASE",,,"MISS LAYUP by KOCHER,CHASE",1
15:28,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:27,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
15:27,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",1
15:27,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
15:27,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
15:27,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",1
15:27,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
15:27,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",1
15:27,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
15:27,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
15:27,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",1
15:03,,,,,"MISS JUMPER by KURTZ,TRAVIS",,,"MISS JUMPER by KURTZ,TRAVIS",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
14:54,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
14:52,,,,,"STEAL  by KURTZ,TRAVIS",,,"STEAL  by KURTZ,TRAVIS",1
14:51,,,,,"TURNOVER  by KURTZ,TRAVIS",,,"TURNOVER  by KURTZ,TRAVIS",1
14:50,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
14:36,"GOOD 3PTR by THOMAS,LARRY",3,,10 (+7),,BSC-M 3-10 (-7),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
14:09,,,,,"TURNOVER  by MYERS,SEAN",,,"TURNOVER  by MYERS,SEAN",1
14:08,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
14:06,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",5,,10 (+5),,BSC-M 5-10 (-5),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",1
13:58,,,,,"FOUL  by DAVENPORT,JAMES",,,"FOUL  by DAVENPORT,JAMES",1
13:47,"GOOD 3PTR by MURPHY,NICK",8,,10 (+2),,BSC-M 8-10 (-2),,"GOOD 3PTR by MURPHY,NICK",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
13:40,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",1
13:40,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",1
13:40,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
13:40,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
13:40,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",1
13:40,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
13:40,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
13:40,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
13:40,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
13:40,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
13:23,,,,,"MISS LAYUP by KOCHER,CHASE",,,"MISS LAYUP by KOCHER,CHASE",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
13:13,,,,,"FOUL  by ATIEE,NICK",,,"FOUL  by ATIEE,NICK",1
13:06,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:03,,,,,"SUB IN by JOHNSON,ADRIAN",,,"SUB IN by JOHNSON,ADRIAN",1
13:03,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",1
12:48,,,,,"FOUL  by TATES,JOSHUA",,,"FOUL  by TATES,JOSHUA",1
12:48,"GOOD FT by LEE,CALEB",9,,10 (+1),,BSC-M 9-10 (-1),,"GOOD FT by LEE,CALEB",1
12:48,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
12:46,"GOOD LAYUP by LEE,CALEB(in the paint)",11 (+1),,10,,BSC-M 11-10 (+1),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
12:27,,11,,13 (+2),"GOOD 3PTR by ATIEE,NICK",SUM 11-13 (-2),,"GOOD 3PTR by ATIEE,NICK",1
--,,,,,"ASSIST  by KOCHER,CHASE",,,"ASSIST  by KOCHER,CHASE",1
12:15,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by KOCHER,CHASE",,,"REBOUND DEF by KOCHER,CHASE",1
12:03,,,,,"FOUL  by KOCHER,CHASE",,,"FOUL  by KOCHER,CHASE",1
11:53,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
11:50,"GOOD LAYUP by LEE,CALEB(in the paint)",13,,13,,BSC-M 13-13 (0),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
11:40,,,,,"MISS 3PTR by ATIEE,NICK",,,"MISS 3PTR by ATIEE,NICK",1
--,,,,,"REBOUND OFF by ATIEE,NICK",,,"REBOUND OFF by ATIEE,NICK",1
11:33,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
11:33,,13,,14 (+1),"GOOD FT by MATAYA,DANIEL",SUM 13-14 (-1),,"GOOD FT by MATAYA,DANIEL",1
11:33,,,,,"MISS FT by MATAYA,DANIEL",,,"MISS FT by MATAYA,DANIEL",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
11:33,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
11:33,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
11:33,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",1
11:33,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
11:33,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
11:33,,,,,"SUB OUT by JOHNSON,ADRIAN",,,"SUB OUT by JOHNSON,ADRIAN",1
11:33,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",1
11:33,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
11:25,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
11:25,,,,,"STEAL  by DAVENPORT,JAMES",,,"STEAL  by DAVENPORT,JAMES",1
11:19,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
11:19,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
11:19,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
11:19,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
11:19,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:19,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
11:19,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
11:19,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
11:19,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
11:19,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
11:19,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",1
11:19,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
11:03,,,,,"MISS 3PTR by MYERS,SEAN",,,"MISS 3PTR by MYERS,SEAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:40,,13,,16 (+3),"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",SUM 13-16 (-3),,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",1
--,,,,,"ASSIST  by MYERS,SEAN",,,"ASSIST  by MYERS,SEAN",1
10:34,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",1
10:31,,,,,"FOUL  by KURTZ,TRAVIS",,,"FOUL  by KURTZ,TRAVIS",1
10:31,"GOOD FT by JONUS,JASEN",14,,16 (+2),,BSC-M 14-16 (-2),,"GOOD FT by JONUS,JASEN",1
10:31,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",1
--,,,,,"REBOUND DEF by KURTZ,TRAVIS",,,"REBOUND DEF by KURTZ,TRAVIS",1
10:19,,,,,"MISS 3PTR by SPEARMAN,DEMETRICE",,,"MISS 3PTR by SPEARMAN,DEMETRICE",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
10:03,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
09:49,,,,,"TURNOVER  by MYERS,SEAN",,,"TURNOVER  by MYERS,SEAN",1
09:48,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",1
09:45,"GOOD LAYUP by JONUS,JASEN(fastbreak)(in the paint)",16,,16,,BSC-M 16-16 (0),,"GOOD LAYUP by JONUS,JASEN(fastbreak)(in the paint)",1
09:34,,,,,"MISS JUMPER by CANTU,MICHAEL",,,"MISS JUMPER by CANTU,MICHAEL",1
--,,,,,"REBOUND OFF by MYERS,SEAN",,,"REBOUND OFF by MYERS,SEAN",1
09:29,,16,,18 (+2),"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",SUM 16-18 (-2),,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",1
09:25,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
09:25,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
09:25,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
09:25,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
09:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
09:25,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
09:25,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
09:25,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
09:25,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
09:25,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
09:25,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",1
09:25,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",1
09:25,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
09:25,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",1
09:25,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
09:25,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
09:25,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
09:25,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
09:25,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
09:25,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
09:13,,,,,"FOUL  by MATAYA,DANIEL",,,"FOUL  by MATAYA,DANIEL",1
09:13,"GOOD FT by SCHAMP,GRIFFIN",17,,18 (+1),,BSC-M 17-18 (-1),,"GOOD FT by SCHAMP,GRIFFIN",1
09:13,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by TATES,JOSHUA",,,"REBOUND DEF by TATES,JOSHUA",1
09:00,,,,,"TURNOVER  by MATAYA,DANIEL",,,"TURNOVER  by MATAYA,DANIEL",1
08:58,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
08:55,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",1
08:48,,17,,20 (+3),"GOOD JUMPER by ATIEE,NICK(fastbreak)(in the paint)",SUM 17-20 (-3),,"GOOD JUMPER by ATIEE,NICK(fastbreak)(in the paint)",1
08:18,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
08:18,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
08:18,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
08:06,,,,,"TURNOVER  by BROOKS,KENNETH",,,"TURNOVER  by BROOKS,KENNETH",1
07:55,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MATAYA,DANIEL",,,"REBOUND DEF by MATAYA,DANIEL",1
07:44,,,,,"TURNOVER  by ATIEE,NICK",,,"TURNOVER  by ATIEE,NICK",1
07:44,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
07:44,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
07:44,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",1
07:44,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
07:44,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",1
07:44,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",1
07:44,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
07:44,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
07:44,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",1
07:44,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
07:32,"GOOD LAYUP by LEE,CALEB(in the paint)",19,,20 (+1),,BSC-M 19-20 (-1),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
07:08,,,,,"TURNOVER  by DAVENPORT,JAMES",,,"TURNOVER  by DAVENPORT,JAMES",1
07:07,"STEAL  by MURPHY,NICK",,,,,,,"STEAL  by MURPHY,NICK",1
07:07,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",1
06:57,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
06:54,,,,,"MISS LAYUP by CANTU,MICHAEL",,,"MISS LAYUP by CANTU,MICHAEL",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
06:39,,,,,"FOUL  by CANTU,MICHAEL",,,"FOUL  by CANTU,MICHAEL",1
06:39,"GOOD FT by SCHAMP,GRIFFIN",20,,20,,BSC-M 20-20 (0),,"GOOD FT by SCHAMP,GRIFFIN",1
06:39,"GOOD FT by SCHAMP,GRIFFIN",21 (+1),,20,,BSC-M 21-20 (+1),,"GOOD FT by SCHAMP,GRIFFIN",1
06:39,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
06:39,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
06:39,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
06:39,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
06:23,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
06:23,,,,,"MISS FT by DAVENPORT,JAMES",,,"MISS FT by DAVENPORT,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:23,,21,,21,"GOOD FT by DAVENPORT,JAMES",SUM 21-21 (0),,"GOOD FT by DAVENPORT,JAMES",1
06:23,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
06:23,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
06:03,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by DAVENPORT,JAMES",,,"REBOUND DEF by DAVENPORT,JAMES",1
05:54,,21,,24 (+3),"GOOD 3PTR by KURTZ,TRAVIS",SUM 21-24 (-3),,"GOOD 3PTR by KURTZ,TRAVIS",1
--,,,,,"ASSIST  by SPEARMAN,DEMETRICE",,,"ASSIST  by SPEARMAN,DEMETRICE",1
05:35,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MYERS,SEAN",,,"REBOUND DEF by MYERS,SEAN",1
05:22,,,,,"TURNOVER  by DAVENPORT,JAMES",,,"TURNOVER  by DAVENPORT,JAMES",1
05:21,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
05:18,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by DAVENPORT,JAMES",,,"REBOUND DEF by DAVENPORT,JAMES",1
05:02,,21,,26 (+5),"GOOD JUMPER by CANTU,MICHAEL",SUM 21-26 (-5),,"GOOD JUMPER by CANTU,MICHAEL",1
04:47,,,,,"FOUL  by CANTU,MICHAEL",,,"FOUL  by CANTU,MICHAEL",1
04:47,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",1
--,,,,,"REBOUND DEF by TATES,JOSHUA",,,"REBOUND DEF by TATES,JOSHUA",1
04:47,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
04:47,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
04:47,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",1
04:47,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
04:47,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",1
04:47,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",1
04:47,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
04:47,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
04:47,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
04:47,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
04:47,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
04:47,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
04:20,,,,,"TURNOVER  by KOCHER,CHASE",,,"TURNOVER  by KOCHER,CHASE",1
04:20,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
04:17,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
03:57,,,,,"MISS 3PTR by KOCHER,CHASE",,,"MISS 3PTR by KOCHER,CHASE",1
