Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
10:23,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
10:23,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
10:23,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
10:13,,15,,28 (+13),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 15-28 (+13),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
09:57,"MISS JUMPER by MACLIN,CATRELL",,,,,,,"MISS JUMPER by MACLIN,CATRELL",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
09:47,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
09:45,,,,,"MISS TIPIN by RICHARDS,ZAC",,,"MISS TIPIN by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
09:39,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND DEF by SHERMAN,XAVIER",,,,,,,"REBOUND DEF by SHERMAN,XAVIER",1
09:34,"GOOD LAYUP by MITCHELL,NICK(in the paint)",17,,28 (+11),,LAGRANGE 17-28 (+11),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
09:16,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",1
09:00,"TURNOVER  by MACLIN,CATRELL",,,,,,,"TURNOVER  by MACLIN,CATRELL",1
08:57,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",1
08:57,"SUB OUT by MACLIN,CATRELL",,,,,,,"SUB OUT by MACLIN,CATRELL",1
08:38,,,,,"MISS LAYUP by JONUS,JASEN",,,"MISS LAYUP by JONUS,JASEN",1
08:38,"BLOCK  by SHERMAN,XAVIER",,,,,,,"BLOCK  by SHERMAN,XAVIER",1
--,"REBOUND DEF by SHERMAN,XAVIER",,,,,,,"REBOUND DEF by SHERMAN,XAVIER",1
08:24,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
08:14,,17,,30 (+13),"GOOD JUMPER by KEGARISE,KEVIN(in the paint)",BSC 17-30 (+13),,"GOOD JUMPER by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
07:54,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
07:54,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
07:46,"MISS 3PTR by POWER,AARON",,,,,,,"MISS 3PTR by POWER,AARON",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
07:40,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",1
07:40,,17,,31 (+14),"GOOD FT by THOMAS,LARRY",BSC 17-31 (+14),,"GOOD FT by THOMAS,LARRY",1
07:40,,17,,32 (+15),"GOOD FT by THOMAS,LARRY",BSC 17-32 (+15),,"GOOD FT by THOMAS,LARRY",1
07:40,"SUB IN by ANDERKAVICH,JOEY",,,,,,,"SUB IN by ANDERKAVICH,JOEY",1
07:40,"SUB IN by CRAFT,BLAKE",,,,,,,"SUB IN by CRAFT,BLAKE",1
07:40,"SUB OUT by POWER,AARON",,,,,,,"SUB OUT by POWER,AARON",1
07:40,"SUB OUT by SHERMAN,XAVIER",,,,,,,"SUB OUT by SHERMAN,XAVIER",1
07:21,"GOOD LAYUP by MITCHELL,NICK(in the paint)",19,,32 (+13),,LAGRANGE 19-32 (+13),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
07:15,,19,,35 (+16),"GOOD 3PTR by THOMAS,LARRY",BSC 19-35 (+16),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
07:00,"MISS 3PTR by HOWARD,JEROD",,,,,,,"MISS 3PTR by HOWARD,JEROD",1
--,"REBOUND OFF by ANDERKAVICH,JOEY",,,,,,,"REBOUND OFF by ANDERKAVICH,JOEY",1
06:57,"TURNOVER  by ANDERKAVICH,JOEY",,,,,,,"TURNOVER  by ANDERKAVICH,JOEY",1
06:56,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
06:53,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
06:46,"FOUL  by ANDERKAVICH,JOEY",,,,,,,"FOUL  by ANDERKAVICH,JOEY",1
06:43,,19,,37 (+18),"GOOD JUMPER by HENRY,COLIN(in the paint)",BSC 19-37 (+18),,"GOOD JUMPER by HENRY,COLIN(in the paint)",1
06:12,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
06:12,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
06:12,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
06:12,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
06:12,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
06:12,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
06:12,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
06:12,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
06:11,"TURNOVER  by CRAFT,BLAKE",,,,,,,"TURNOVER  by CRAFT,BLAKE",1
06:10,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
05:59,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
05:59,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
05:49,"TURNOVER  by CRAFT,BLAKE",,,,,,,"TURNOVER  by CRAFT,BLAKE",1
05:49,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
05:34,,19,,39 (+20),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 19-39 (+20),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
05:26,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",1
05:24,,19,,40 (+21),"GOOD FT by SCHAMP,GRIFFIN",BSC 19-40 (+21),,"GOOD FT by SCHAMP,GRIFFIN",1
05:24,,,,,"SUB IN by OLAFSSON,ODDUR",,,"SUB IN by OLAFSSON,ODDUR",1
05:24,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
05:19,,,,,"FOUL  by OLAFSSON,ODDUR",,,"FOUL  by OLAFSSON,ODDUR",1
04:59,"MISS LAYUP by MITCHELL,NICK",,,,,,,"MISS LAYUP by MITCHELL,NICK",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
04:57,"FOUL  by HOWARD,JEROD",,,,,,,"FOUL  by HOWARD,JEROD",1
04:57,,19,,41 (+22),"GOOD FT by HOLLAND,JASON",BSC 19-41 (+22),,"GOOD FT by HOLLAND,JASON",1
04:57,,,,,"MISS FT by HOLLAND,JASON",,,"MISS FT by HOLLAND,JASON",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
04:57,"SUB IN by VAUGHN,MARCUS",,,,,,,"SUB IN by VAUGHN,MARCUS",1
04:57,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",1
04:57,"SUB IN by MACLIN,CATRELL",,,,,,,"SUB IN by MACLIN,CATRELL",1
04:57,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",1
04:57,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",1
04:57,"SUB OUT by MUNCH,PETER",,,,,,,"SUB OUT by MUNCH,PETER",1
04:53,,,,,"MISS LAYUP by OLAFSSON,ODDUR",,,"MISS LAYUP by OLAFSSON,ODDUR",1
--,"REBOUND DEF by ANDERKAVICH,JOEY",,,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",1
04:42,"MISS LAYUP by VAUGHN,MARCUS",,,,,,,"MISS LAYUP by VAUGHN,MARCUS",1
--,"REBOUND OFF by ANDERKAVICH,JOEY",,,,,,,"REBOUND OFF by ANDERKAVICH,JOEY",1
04:40,"GOOD TIPIN by ANDERKAVICH,JOEY(in the paint)",21,,41 (+20),,LAGRANGE 21-41 (+20),,"GOOD TIPIN by ANDERKAVICH,JOEY(in the paint)",1
04:14,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
03:56,"GOOD 3PTR by ROBINSON,DENZEL",24,,41 (+17),,LAGRANGE 24-41 (+17),,"GOOD 3PTR by ROBINSON,DENZEL",1
03:43,,24,,44 (+20),"GOOD 3PTR by MURPHY,NICK",BSC 24-44 (+20),,"GOOD 3PTR by MURPHY,NICK",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
03:26,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
03:26,"GOOD FT by VAUGHN,MARCUS",25,,44 (+19),,LAGRANGE 25-44 (+19),,"GOOD FT by VAUGHN,MARCUS",1
03:26,"GOOD FT by VAUGHN,MARCUS",26,,44 (+18),,LAGRANGE 26-44 (+18),,"GOOD FT by VAUGHN,MARCUS",1
03:26,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
03:26,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
03:26,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
03:26,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
03:26,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
03:26,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
03:26,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:26,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
03:26,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
03:26,,,,,"SUB OUT by OLAFSSON,ODDUR",,,"SUB OUT by OLAFSSON,ODDUR",1
03:01,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
02:42,,,,,"MISS LAYUP by JONUS,JASEN",,,"MISS LAYUP by JONUS,JASEN",1
--,"REBOUND DEF by MACLIN,CATRELL",,,,,,,"REBOUND DEF by MACLIN,CATRELL",1
02:34,"MISS 3PTR by MACLIN,CATRELL",,,,,,,"MISS 3PTR by MACLIN,CATRELL",1
--,"REBOUND OFF by VAUGHN,MARCUS",,,,,,,"REBOUND OFF by VAUGHN,MARCUS",1
02:29,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",28,,44 (+16),,LAGRANGE 28-44 (+16),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",1
02:29,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
02:29,"MISS FT by VAUGHN,MARCUS",,,,,,,"MISS FT by VAUGHN,MARCUS",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
02:29,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
02:29,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
02:10,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
02:10,"BLOCK  by VAUGHN,MARCUS",,,,,,,"BLOCK  by VAUGHN,MARCUS",1
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",1
01:35,"MISS JUMPER by MACLIN,CATRELL",,,,,,,"MISS JUMPER by MACLIN,CATRELL",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
01:28,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by ROBINSON,DENZEL",,,,,,,"REBOUND DEF by ROBINSON,DENZEL",1
01:16,"MISS 3PTR by MACLIN,CATRELL",,,,,,,"MISS 3PTR by MACLIN,CATRELL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:13,"SUB IN by POWER,AARON",,,,,,,"SUB IN by POWER,AARON",1
01:13,"SUB OUT by VAUGHN,MARCUS",,,,,,,"SUB OUT by VAUGHN,MARCUS",1
01:13,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
01:13,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
01:00,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",1
00:57,,,,,"STEAL  by RICHARDS,ZAC",,,"STEAL  by RICHARDS,ZAC",1
00:55,,28,,46 (+18),"GOOD LAYUP by JONUS,JASEN(in the paint)",BSC 28-46 (+18),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
00:34,"MISS 3PTR by CRAFT,BLAKE",,,,,,,"MISS 3PTR by CRAFT,BLAKE",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
00:33,"FOUL  by ANDERKAVICH,JOEY",,,,,,,"FOUL  by ANDERKAVICH,JOEY",1
00:33,,28,,47 (+19),"GOOD FT by RICHARDS,ZAC",BSC 28-47 (+19),,"GOOD FT by RICHARDS,ZAC",1
00:33,,28,,48 (+20),"GOOD FT by RICHARDS,ZAC",BSC 28-48 (+20),,"GOOD FT by RICHARDS,ZAC",1
00:33,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
00:33,"SUB OUT by ANDERKAVICH,JOEY",,,,,,,"SUB OUT by ANDERKAVICH,JOEY",1
00:17,"MISS JUMPER by ROBINSON,DENZEL",,,,,,,"MISS JUMPER by ROBINSON,DENZEL",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
