Time Remaining,BSC_M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
13:23,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
13:16,"GOOD LAYUP by HENRY,COLIN(in the paint)",46,,46,,BSC_M 46-46 (0),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
13:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:11,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
13:11,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
13:11,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
13:11,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
13:11,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
13:11,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
13:11,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
13:11,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
13:11,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
13:11,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
13:11,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
13:11,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
13:11,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
13:11,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
13:11,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
13:11,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
13:02,,46,,49 (+3),"GOOD 3PTR by GRIGGS,MATT",CENTRE_M 46-49 (-3),,"GOOD 3PTR by GRIGGS,MATT",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
12:48,"GOOD LAYUP by LEE,CALEB(in the paint)",48,,49 (+1),,BSC_M 48-49 (-1),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
12:19,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:13,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",2
12:13,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
11:53,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
11:36,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
11:23,,48,,51 (+3),"GOOD LAYUP by GRIGGS,MATT(in the paint)",CENTRE_M 48-51 (-3),,"GOOD LAYUP by GRIGGS,MATT(in the paint)",2
10:56,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
10:37,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,"REBOUND OFF by MURPHY,NICK",,,,,,,"REBOUND OFF by MURPHY,NICK",2
10:32,"MISS JUMPER by MURPHY,NICK",,,,,,,"MISS JUMPER by MURPHY,NICK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:02,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
10:02,,48,,52 (+4),"GOOD FT by MELLOAN,JAMES",CENTRE_M 48-52 (-4),,"GOOD FT by MELLOAN,JAMES",2
10:02,,,,,"MISS FT by MELLOAN,JAMES",,,"MISS FT by MELLOAN,JAMES",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
10:02,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",2
10:02,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",2
09:42,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",2
09:15,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
08:55,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:53,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
08:53,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
08:53,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
08:53,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
08:53,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
08:53,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
08:53,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
08:53,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
08:53,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
08:53,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
08:53,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
08:53,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",2
08:53,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
08:53,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",2
08:53,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
08:53,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
08:49,"MISS LAYUP by KEGARISE,KEVIN",,,,,,,"MISS LAYUP by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
08:17,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
08:17,,,,,"MISS FT by LOPEZ,COLLIN",,,"MISS FT by LOPEZ,COLLIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:17,,48,,53 (+5),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 48-53 (-5),,"GOOD FT by LOPEZ,COLLIN",2
08:04,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
07:52,,48,,56 (+8),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 48-56 (-8),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
07:33,"GOOD LAYUP by JONUS,JASEN(in the paint)",50,,56 (+6),,BSC_M 50-56 (-6),,"GOOD LAYUP by JONUS,JASEN(in the paint)",2
07:17,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
07:10,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
07:10,,50,,57 (+7),"GOOD FT by KARSNER,JOSH",CENTRE_M 50-57 (-7),,"GOOD FT by KARSNER,JOSH",2
07:10,,50,,58 (+8),"GOOD FT by KARSNER,JOSH",CENTRE_M 50-58 (-8),,"GOOD FT by KARSNER,JOSH",2
07:10,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",2
07:10,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
06:57,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",2
06:54,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",2
06:52,,50,,60 (+10),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 50-60 (-10),,"GOOD JUMPER by TAYLOR,CHRIS",2
06:36,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
06:33,,,,,"STEAL  by MULLANEY,JEFF",,,"STEAL  by MULLANEY,JEFF",2
06:15,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",2
06:13,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",2
06:08,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
06:01,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
06:01,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
06:01,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
06:01,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
06:01,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
06:01,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
05:55,"MISS JUMPER by HOLLAND,JASON",,,,,,,"MISS JUMPER by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",2
05:36,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
05:36,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
05:35,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
05:31,,,,,"TURNOVER  by ROSS,GREG",,,"TURNOVER  by ROSS,GREG",2
05:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:10,"GOOD DUNK by LEE,CALEB(in the paint)",52,,60 (+8),,BSC_M 52-60 (-8),,"GOOD DUNK by LEE,CALEB(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
04:36,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
04:31,,52,,62 (+10),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 52-62 (-10),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
04:31,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
04:31,,52,,63 (+11),"GOOD FT by ROSS,GREG",CENTRE_M 52-63 (-11),,"GOOD FT by ROSS,GREG",2
04:08,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",2
04:06,"GOOD JUMPER by KEGARISE,KEVIN",54,,63 (+9),,BSC_M 54-63 (-9),,"GOOD JUMPER by KEGARISE,KEVIN",2
03:41,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
03:32,"GOOD LAYUP by LEE,CALEB(in the paint)",56,,63 (+7),,BSC_M 56-63 (-7),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
03:05,,,,,"MISS LAYUP by MULLANEY,JEFF",,,"MISS LAYUP by MULLANEY,JEFF",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
02:50,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",2
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",2
02:43,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
02:33,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
02:33,"GOOD FT by SCHAMP,GRIFFIN",57,,63 (+6),,BSC_M 57-63 (-6),,"GOOD FT by SCHAMP,GRIFFIN",2
02:33,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
02:33,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
02:33,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
02:33,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
02:33,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
02:33,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
02:33,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
02:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:04,,57,,65 (+8),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 57-65 (-8),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
01:53,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
01:47,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
01:47,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
01:47,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
01:40,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
01:40,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
01:40,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
01:30,,57,,67 (+10),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 57-67 (-10),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
01:23,"GOOD 3PTR by WHITE,BLAISE",60,,67 (+7),,BSC_M 60-67 (-7),,"GOOD 3PTR by WHITE,BLAISE",2
01:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:22,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
01:22,,,,,"MISS FT by ROSS,GREG",,,"MISS FT by ROSS,GREG",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
01:22,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
01:22,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
01:15,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
01:15,,,,,"BLOCK  by MULLANEY,JEFF",,,"BLOCK  by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
01:04,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
01:00,,60,,68 (+8),"GOOD FT by MULLANEY,JEFF",CENTRE_M 60-68 (-8),,"GOOD FT by MULLANEY,JEFF",2
01:00,,60,,69 (+9),"GOOD FT by MULLANEY,JEFF",CENTRE_M 60-69 (-9),,"GOOD FT by MULLANEY,JEFF",2
01:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:00,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
01:00,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
01:00,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
01:00,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
00:47,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",2
00:44,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",2
00:39,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",2
00:33,"GOOD 3PTR by JONUS,JASEN",63,,69 (+6),,BSC_M 63-69 (-6),,"GOOD 3PTR by JONUS,JASEN",2
00:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:32,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:32,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:32,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
00:32,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
00:32,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:32,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
00:32,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",2
00:32,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
00:32,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
00:32,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
00:31,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:28,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
00:28,,63,,70 (+7),"GOOD FT by ELLIS,BRYON",CENTRE_M 63-70 (-7),,"GOOD FT by ELLIS,BRYON",2
00:28,,,,,"MISS FT by ELLIS,BRYON",,,"MISS FT by ELLIS,BRYON",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
00:28,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
00:28,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
00:28,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
00:28,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
00:28,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:28,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
00:28,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
00:28,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
00:28,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
00:28,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
00:28,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
00:28,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
00:21,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",2
00:17,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",2
00:17,,63,,71 (+8),"GOOD FT by ELLIS,BRYON",CENTRE_M 63-71 (-8),,"GOOD FT by ELLIS,BRYON",2
00:17,,63,,72 (+9),"GOOD FT by ELLIS,BRYON",CENTRE_M 63-72 (-9),,"GOOD FT by ELLIS,BRYON",2
00:17,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:17,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:17,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
00:17,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
00:11,"GOOD LAYUP by WHITE,BLAISE(in the paint)",65,,72 (+7),,BSC_M 65-72 (-7),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
00:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:10,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:10,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
00:10,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
00:10,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
00:10,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:10,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
00:10,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
00:10,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",2
00:10,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
00:10,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
00:10,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
00:10,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
00:08,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",2
00:06,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
00:04,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",2
