Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
15:24,"SUB IN by GREGG,SCOTT",,,,,,,"SUB IN by GREGG,SCOTT",1
15:24,"SUB OUT by BOBB,MARCUS",,,,,,,"SUB OUT by BOBB,MARCUS",1
15:24,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
15:24,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
15:24,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
15:24,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
15:24,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
15:24,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
15:24,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
15:24,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
15:10,,4,,10 (+6),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 4-10 (+6),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by MURPHY,NICK",,,"ASSIST  by MURPHY,NICK",1
15:02,"TURNOVER  by FLINT,BRYTON",,,,,,,"TURNOVER  by FLINT,BRYTON",1
15:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:38,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",,,"REBOUND OFF by SCHAMP,GRIFFIN",1
14:29,,4,,13 (+9),"GOOD 3PTR by THOMAS,LARRY",BSC 4-13 (+9),,"GOOD 3PTR by THOMAS,LARRY",1
14:17,"SUB IN by GRAY,CARLTON",,,,,,,"SUB IN by GRAY,CARLTON",1
14:17,"SUB OUT by DODD,RONNIE",,,,,,,"SUB OUT by DODD,RONNIE",1
14:01,"GOOD LAYUP by FLINT,BRYTON(in the paint)",6,,13 (+7),,OZARKS 6-13 (+7),,"GOOD LAYUP by FLINT,BRYTON(in the paint)",1
14:01,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
14:01,"GOOD FT by FLINT,BRYTON",7,,13 (+6),,OZARKS 7-13 (+6),,"GOOD FT by FLINT,BRYTON",1
13:55,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
13:43,"GOOD 3PTR by BOXELL,ISAIAH",10,,13 (+3),,OZARKS 10-13 (+3),,"GOOD 3PTR by BOXELL,ISAIAH",1
--,"ASSIST  by ROBERTSON,DAVID",,,,,,,"ASSIST  by ROBERTSON,DAVID",1
13:31,"SUB IN by MARTIN,TYLER",,,,,,,"SUB IN by MARTIN,TYLER",1
13:31,"SUB OUT by ROBERTSON,DAVID",,,,,,,"SUB OUT by ROBERTSON,DAVID",1
13:17,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by BOXELL,ISAIAH",,,,,,,"REBOUND DEF by BOXELL,ISAIAH",1
13:11,"GOOD 3PTR by MARTIN,TYLER",13,,13,,OZARKS 13-13 (0),,"GOOD 3PTR by MARTIN,TYLER",1
--,"ASSIST  by BOXELL,ISAIAH",,,,,,,"ASSIST  by BOXELL,ISAIAH",1
12:51,,,,,"MISS LAYUP by LEE,CALEB",,,"MISS LAYUP by LEE,CALEB",1
--,"REBOUND DEF by GREGG,SCOTT",,,,,,,"REBOUND DEF by GREGG,SCOTT",1
12:34,"MISS 3PTR by FLINT,BRYTON",,,,,,,"MISS 3PTR by FLINT,BRYTON",1
--,,,,,"REBOUND DEF by LEE,CALEB",,,"REBOUND DEF by LEE,CALEB",1
12:28,,13,,15 (+2),"GOOD JUMPER by THOMAS,LARRY",BSC 13-15 (+2),,"GOOD JUMPER by THOMAS,LARRY",1
12:10,"GOOD 3PTR by BOXELL,ISAIAH",16 (+1),,15,,OZARKS 16-15 (-1),,"GOOD 3PTR by BOXELL,ISAIAH",1
11:50,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
11:48,"STEAL  by GRAY,CARLTON",,,,,,,"STEAL  by GRAY,CARLTON",1
11:46,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
11:46,"GOOD FT by MARTIN,TYLER",17 (+2),,15,,OZARKS 17-15 (-2),,"GOOD FT by MARTIN,TYLER",1
11:46,"GOOD FT by MARTIN,TYLER",18 (+3),,15,,OZARKS 18-15 (-3),,"GOOD FT by MARTIN,TYLER",1
11:46,"SUB IN by LEWIS,KASEY",,,,,,,"SUB IN by LEWIS,KASEY",1
11:46,"SUB OUT by GRAY,CARLTON",,,,,,,"SUB OUT by GRAY,CARLTON",1
11:46,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
11:46,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
11:46,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
11:46,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
11:46,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
11:46,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
11:46,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
11:46,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
11:22,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
11:22,"SUB IN by DODD,RONNIE",,,,,,,"SUB IN by DODD,RONNIE",1
11:22,"SUB IN by BOBB,MARCUS",,,,,,,"SUB IN by BOBB,MARCUS",1
11:22,"SUB OUT by MARTIN,TYLER",,,,,,,"SUB OUT by MARTIN,TYLER",1
11:22,"SUB OUT by GREGG,SCOTT",,,,,,,"SUB OUT by GREGG,SCOTT",1
11:16,"GOOD LAYUP by BOBB,MARCUS(in the paint)",20 (+5),,15,,OZARKS 20-15 (-5),,"GOOD LAYUP by BOBB,MARCUS(in the paint)",1
--,"ASSIST  by DODD,RONNIE",,,,,,,"ASSIST  by DODD,RONNIE",1
11:09,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
11:01,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND DEF by DODD,RONNIE",,,,,,,"REBOUND DEF by DODD,RONNIE",1
10:53,"MISS LAYUP by FLINT,BRYTON",,,,,,,"MISS LAYUP by FLINT,BRYTON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:51,"SUB IN by VICTOR,JERMERY",,,,,,,"SUB IN by VICTOR,JERMERY",1
10:51,"SUB OUT by BOXELL,ISAIAH",,,,,,,"SUB OUT by BOXELL,ISAIAH",1
10:51,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
10:51,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
10:38,"MISS JUMPER by DODD,RONNIE",,,,,,,"MISS JUMPER by DODD,RONNIE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:22,"TURNOVER  by VICTOR,JERMERY",,,,,,,"TURNOVER  by VICTOR,JERMERY",1
09:58,,20 (+2),,18,"GOOD 3PTR by WHITE,BLAISE",BSC 20-18 (-2),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
09:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:46,"TURNOVER  by DODD,RONNIE",,,,,,,"TURNOVER  by DODD,RONNIE",1
09:44,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
09:32,"SUB IN by GREGG,SCOTT",,,,,,,"SUB IN by GREGG,SCOTT",1
09:32,"SUB OUT by DODD,RONNIE",,,,,,,"SUB OUT by DODD,RONNIE",1
09:24,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
09:16,,20,,21 (+1),"GOOD 3PTR by WHITE,BLAISE",BSC 20-21 (+1),,"GOOD 3PTR by WHITE,BLAISE",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
09:11,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
08:56,"MISS JUMPER by FLINT,BRYTON",,,,,,,"MISS JUMPER by FLINT,BRYTON",1
--,"REBOUND OFF by LEWIS,KASEY",,,,,,,"REBOUND OFF by LEWIS,KASEY",1
08:46,"MISS JUMPER by FLINT,BRYTON",,,,,,,"MISS JUMPER by FLINT,BRYTON",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
08:27,,20,,24 (+4),"GOOD 3PTR by KEGARISE,KEVIN",BSC 20-24 (+4),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
08:10,"GOOD JUMPER by BOBB,MARCUS",22,,24 (+2),,OZARKS 22-24 (+2),,"GOOD JUMPER by BOBB,MARCUS",1
--,"ASSIST  by VICTOR,JERMERY",,,,,,,"ASSIST  by VICTOR,JERMERY",1
07:55,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND DEF by VICTOR,JERMERY",,,,,,,"REBOUND DEF by VICTOR,JERMERY",1
07:38,"MISS 3PTR by VICTOR,JERMERY",,,,,,,"MISS 3PTR by VICTOR,JERMERY",1
--,"REBOUND OFF by BOBB,MARCUS",,,,,,,"REBOUND OFF by BOBB,MARCUS",1
07:25,"GOOD JUMPER by BOBB,MARCUS(in the paint)",24,,24,,OZARKS 24-24 (0),,"GOOD JUMPER by BOBB,MARCUS(in the paint)",1
07:22,,24,,27 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 24-27 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
07:03,"SUB IN by ROBERTSON,DAVID",,,,,,,"SUB IN by ROBERTSON,DAVID",1
07:03,"SUB IN by DODD,RONNIE",,,,,,,"SUB IN by DODD,RONNIE",1
07:03,"SUB IN by BOXELL,ISAIAH",,,,,,,"SUB IN by BOXELL,ISAIAH",1
07:03,"SUB OUT by VICTOR,JERMERY",,,,,,,"SUB OUT by VICTOR,JERMERY",1
07:03,"SUB OUT by GREGG,SCOTT",,,,,,,"SUB OUT by GREGG,SCOTT",1
07:03,"SUB OUT by FLINT,BRYTON",,,,,,,"SUB OUT by FLINT,BRYTON",1
07:03,,,,,"SUB IN by OLAFSSON,ODDUR",,,"SUB IN by OLAFSSON,ODDUR",1
07:03,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
07:03,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
07:03,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
07:03,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
07:03,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
07:03,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
07:03,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
07:02,"TURNOVER  by BOBB,MARCUS",,,,,,,"TURNOVER  by BOBB,MARCUS",1
07:00,,,,,"STEAL  by OLAFSSON,ODDUR",,,"STEAL  by OLAFSSON,ODDUR",1
06:57,,24,,30 (+6),"GOOD 3PTR by KEGARISE,KEVIN",BSC 24-30 (+6),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by OLAFSSON,ODDUR",,,"ASSIST  by OLAFSSON,ODDUR",1
06:39,"FOUL  by LEWIS,KASEY",,,,,,,"FOUL  by LEWIS,KASEY",1
06:39,"TURNOVER  by LEWIS,KASEY",,,,,,,"TURNOVER  by LEWIS,KASEY",1
06:20,"FOUL  by BOBB,MARCUS",,,,,,,"FOUL  by BOBB,MARCUS",1
06:20,,24,,31 (+7),"GOOD FT by SCHAMP,GRIFFIN",BSC 24-31 (+7),,"GOOD FT by SCHAMP,GRIFFIN",1
06:20,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by ROBERTSON,DAVID",,,,,,,"REBOUND DEF by ROBERTSON,DAVID",1
06:03,,,,,"FOUL  by OLAFSSON,ODDUR",,,"FOUL  by OLAFSSON,ODDUR",1
06:03,"GOOD FT by ROBERTSON,DAVID",25,,31 (+6),,OZARKS 25-31 (+6),,"GOOD FT by ROBERTSON,DAVID",1
06:03,"GOOD FT by ROBERTSON,DAVID",26,,31 (+5),,OZARKS 26-31 (+5),,"GOOD FT by ROBERTSON,DAVID",1
06:03,"GOOD FT by ROBERTSON,DAVID",27,,31 (+4),,OZARKS 27-31 (+4),,"GOOD FT by ROBERTSON,DAVID",1
05:55,,,,,"TURNOVER  by LEE,CALEB",,,"TURNOVER  by LEE,CALEB",1
05:54,"STEAL  by ROBERTSON,DAVID",,,,,,,"STEAL  by ROBERTSON,DAVID",1
05:50,"GOOD LAYUP by ROBERTSON,DAVID(fastbreak)(in the paint)",29,,31 (+2),,OZARKS 29-31 (+2),,"GOOD LAYUP by ROBERTSON,DAVID(fastbreak)(in the paint)",1
05:35,,29,,33 (+4),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 29-33 (+4),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
05:35,"FOUL  by DODD,RONNIE",,,,,,,"FOUL  by DODD,RONNIE",1
05:35,,29,,34 (+5),"GOOD FT by LEE,CALEB",BSC 29-34 (+5),,"GOOD FT by LEE,CALEB",1
05:35,"SUB IN by PLEASANT,DEON",,,,,,,"SUB IN by PLEASANT,DEON",1
05:35,"SUB IN by GRAY,CARLTON",,,,,,,"SUB IN by GRAY,CARLTON",1
05:35,"SUB IN by BALLARD,DYLAN",,,,,,,"SUB IN by BALLARD,DYLAN",1
05:35,"SUB IN by FLINT,BRYTON",,,,,,,"SUB IN by FLINT,BRYTON",1
05:35,"SUB OUT by DODD,RONNIE",,,,,,,"SUB OUT by DODD,RONNIE",1
05:35,"SUB OUT by BOXELL,ISAIAH",,,,,,,"SUB OUT by BOXELL,ISAIAH",1
05:35,"SUB OUT by LEWIS,KASEY",,,,,,,"SUB OUT by LEWIS,KASEY",1
05:35,"SUB OUT by BOBB,MARCUS",,,,,,,"SUB OUT by BOBB,MARCUS",1
05:35,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
05:35,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
05:35,,,,,"SUB OUT by OLAFSSON,ODDUR",,,"SUB OUT by OLAFSSON,ODDUR",1
05:35,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
05:25,"TURNOVER  by ROBERTSON,DAVID",,,,,,,"TURNOVER  by ROBERTSON,DAVID",1
05:12,,29,,36 (+7),"GOOD DUNK by LEE,CALEB(in the paint)",BSC 29-36 (+7),,"GOOD DUNK by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
05:12,"FOUL  by GRAY,CARLTON",,,,,,,"FOUL  by GRAY,CARLTON",1
05:12,,29,,37 (+8),"GOOD FT by LEE,CALEB",BSC 29-37 (+8),,"GOOD FT by LEE,CALEB",1
04:52,"GOOD 3PTR by LEWIS,KASEY",32,,37 (+5),,OZARKS 32-37 (+5),,"GOOD 3PTR by LEWIS,KASEY",1
04:45,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
04:43,"STEAL  by LEWIS,KASEY",,,,,,,"STEAL  by LEWIS,KASEY",1
04:39,"MISS LAYUP by BALLARD,DYLAN",,,,,,,"MISS LAYUP by BALLARD,DYLAN",1
--,"REBOUND OFF by GRAY,CARLTON",,,,,,,"REBOUND OFF by GRAY,CARLTON",1
04:36,"MISS LAYUP by GRAY,CARLTON",,,,,,,"MISS LAYUP by GRAY,CARLTON",1
--,"REBOUND OFF by LEWIS,KASEY",,,,,,,"REBOUND OFF by LEWIS,KASEY",1
04:30,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
04:30,"SUB IN by GREGG,SCOTT",,,,,,,"SUB IN by GREGG,SCOTT",1
04:30,"SUB IN by LEWIS,KASEY",,,,,,,"SUB IN by LEWIS,KASEY",1
04:30,"SUB IN by BOXELL,ISAIAH",,,,,,,"SUB IN by BOXELL,ISAIAH",1
04:30,"SUB OUT by PLEASANT,DEON",,,,,,,"SUB OUT by PLEASANT,DEON",1
04:30,"SUB OUT by BALLARD,DYLAN",,,,,,,"SUB OUT by BALLARD,DYLAN",1
04:30,"SUB OUT by FLINT,BRYTON",,,,,,,"SUB OUT by FLINT,BRYTON",1
04:30,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
04:30,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
04:30,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
04:30,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
04:15,"MISS 3PTR by LEWIS,KASEY",,,,,,,"MISS 3PTR by LEWIS,KASEY",1
--,"REBOUND OFF by ROBERTSON,DAVID",,,,,,,"REBOUND OFF by ROBERTSON,DAVID",1
04:09,"TURNOVER  by GRAY,CARLTON",,,,,,,"TURNOVER  by GRAY,CARLTON",1
04:06,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
04:02,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
03:57,,32,,39 (+7),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 32-39 (+7),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
03:44,"TURNOVER  by BOXELL,ISAIAH",,,,,,,"TURNOVER  by BOXELL,ISAIAH",1
03:42,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
03:39,,32,,41 (+9),"GOOD DUNK by LEE,CALEB(in the paint)",BSC 32-41 (+9),,"GOOD DUNK by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
03:19,"MISS JUMPER by ROBERTSON,DAVID",,,,,,,"MISS JUMPER by ROBERTSON,DAVID",1
--,"REBOUND OFF by GRAY,CARLTON",,,,,,,"REBOUND OFF by GRAY,CARLTON",1
03:16,"GOOD LAYUP by GRAY,CARLTON(in the paint)",34,,41 (+7),,OZARKS 34-41 (+7),,"GOOD LAYUP by GRAY,CARLTON(in the paint)",1
03:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:14,"SUB IN by WOOLVERTON,COLBY",,,,,,,"SUB IN by WOOLVERTON,COLBY",1
03:14,"SUB OUT by LEWIS,KASEY",,,,,,,"SUB OUT by LEWIS,KASEY",1
03:14,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
03:14,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",1
03:05,,,,,"MISS 3PTR by JONUS,JASEN",,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
02:57,,34,,43 (+9),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 34-43 (+9),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
02:47,"TURNOVER  by WOOLVERTON,COLBY",,,,,,,"TURNOVER  by WOOLVERTON,COLBY",1
02:45,,,,,"STEAL  by JONUS,JASEN",,,"STEAL  by JONUS,JASEN",1
02:33,"FOUL  by GREGG,SCOTT",,,,,,,"FOUL  by GREGG,SCOTT",1
02:33,,34,,44 (+10),"GOOD FT by SCHAMP,GRIFFIN",BSC 34-44 (+10),,"GOOD FT by SCHAMP,GRIFFIN",1
02:33,,34,,45 (+11),"GOOD FT by SCHAMP,GRIFFIN",BSC 34-45 (+11),,"GOOD FT by SCHAMP,GRIFFIN",1
02:31,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
