Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
11:25,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
11:25,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
10:51,,14,,18 (+4),"GOOD 3PTR by MURPHY,JUWAN",16BSC-M 14-18 (-4),,"GOOD 3PTR by MURPHY,JUWAN",1
10:39,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",16,,18 (+2),,MMB 16-18 (-2),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
10:39,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
10:39,"GOOD FT by GAGEN,BRENNAN",17,,18 (+1),,MMB 17-18 (-1),,"GOOD FT by GAGEN,BRENNAN",1
10:39,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:39,"GOOD 3PTR by BLANZ,BUCK",20 (+2),,18,,MMB 20-18 (+2),,"GOOD 3PTR by BLANZ,BUCK",1
09:51,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by GARDNER,ROBERT",,,,,,,"REBOUND DEF by GARDNER,ROBERT",1
09:21,"MISS 3PTR by GARDNER,ROBERT",,,,,,,"MISS 3PTR by GARDNER,ROBERT",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
09:13,,20,,20,"GOOD JUMPER by THOM,IAN(fastbreak)(in the paint)",16BSC-M 20-20 (0),,"GOOD JUMPER by THOM,IAN(fastbreak)(in the paint)",1
08:55,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",1
08:50,"MISS JUMPER by MASON,WADE",,,,,,,"MISS JUMPER by MASON,WADE",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
08:44,,20,,22 (+2),"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",16BSC-M 20-22 (-2),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
08:14,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
08:07,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
08:07,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
08:07,"SUB OUT by MASON,WADE",,,,,,,"SUB OUT by MASON,WADE",1
08:07,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
08:07,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
08:07,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
08:07,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
08:07,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
08:07,,,,,"SUB OUT by MURPHY,JUWAN",,,"SUB OUT by MURPHY,JUWAN",1
08:07,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
08:06,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
07:56,,20,,25 (+5),"GOOD 3PTR by LEWIS,EVAN",16BSC-M 20-25 (-5),,"GOOD 3PTR by LEWIS,EVAN",1
07:34,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
07:34,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:34,"GOOD FT by BECKER,SAXTON",21,,25 (+4),,MMB 21-25 (-4),,"GOOD FT by BECKER,SAXTON",1
07:34,"GOOD FT by BECKER,SAXTON",22,,25 (+3),,MMB 22-25 (-3),,"GOOD FT by BECKER,SAXTON",1
07:34,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",1
07:34,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
07:20,,22,,27 (+5),"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 22-27 (-5),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
07:06,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
06:55,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
06:55,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
06:55,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
06:55,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
06:55,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
06:55,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
06:55,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
06:38,,,,,"MISS 3PTR by HARDIMAN,BEN",,,"MISS 3PTR by HARDIMAN,BEN",1
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",1
06:15,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
06:15,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
06:15,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
06:15,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
06:04,,22,,30 (+8),"GOOD 3PTR by HARDIMAN,BEN",16BSC-M 22-30 (-8),,"GOOD 3PTR by HARDIMAN,BEN",1
--,,,,,"ASSIST  by MURPHY,JUWAN",,,"ASSIST  by MURPHY,JUWAN",1
05:38,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
05:33,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
05:11,"GOOD 3PTR by BECKER,SAXTON",25,,30 (+5),,MMB 25-30 (-5),,"GOOD 3PTR by BECKER,SAXTON",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
04:56,,25,,31 (+6),"GOOD FT by MCLEAN,JAMES",16BSC-M 25-31 (-6),,"GOOD FT by MCLEAN,JAMES",1
04:56,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",1
04:56,,25,,32 (+7),"GOOD FT by MCLEAN,JAMES",16BSC-M 25-32 (-7),,"GOOD FT by MCLEAN,JAMES",1
04:56,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
04:56,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
04:35,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",1
04:15,,25,,35 (+10),"GOOD 3PTR by HARDIMAN,BEN",16BSC-M 25-35 (-10),,"GOOD 3PTR by HARDIMAN,BEN",1
--,,,,,"ASSIST  by MURPHY,JUWAN",,,"ASSIST  by MURPHY,JUWAN",1
04:01,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",1
04:01,,,,,"STEAL  by HARDIMAN,BEN",,,"STEAL  by HARDIMAN,BEN",1
03:47,,,,,"MISS JUMPER by PERKINS,ALEX",,,"MISS JUMPER by PERKINS,ALEX",1
--,"REBOUND OFF by COLEMAN,DANIEL",,,,,,,"REBOUND OFF by COLEMAN,DANIEL",1
03:30,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:30,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
03:30,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
03:30,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:30,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
03:30,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
03:30,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
03:30,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
03:30,,,,,"SUB OUT by MURPHY,JUWAN",,,"SUB OUT by MURPHY,JUWAN",1
03:30,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
03:30,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
03:28,"GOOD 3PTR by COLEMAN,DANIEL",28,,35 (+7),,MMB 28-35 (-7),,"GOOD 3PTR by COLEMAN,DANIEL",1
03:23,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
03:18,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
02:40,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",1
02:40,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
02:40,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
02:31,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
02:05,"GOOD 3PTR by COLEMAN,DANIEL",31,,35 (+4),,MMB 31-35 (-4),,"GOOD 3PTR by COLEMAN,DANIEL",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
01:55,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
01:45,"MISS JUMPER by COLEMAN,DANIEL",,,,,,,"MISS JUMPER by COLEMAN,DANIEL",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
01:40,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
01:40,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
01:40,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
01:40,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
01:40,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
01:29,"MISS LAYUP by BECKER,SAXTON",,,,,,,"MISS LAYUP by BECKER,SAXTON",1
01:29,,,,,"BLOCK  by MCLEAN,JAMES",,,"BLOCK  by MCLEAN,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:27,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
01:20,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",1
01:19,,,,,"STEAL  by RUDAK,MATTY",,,"STEAL  by RUDAK,MATTY",1
01:14,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
01:14,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
00:59,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
00:58,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",1
00:53,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
00:46,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
00:46,,31,,36 (+5),"GOOD FT by DENEKA,HARRISON",16BSC-M 31-36 (-5),,"GOOD FT by DENEKA,HARRISON",1
00:46,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
00:46,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
00:46,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
00:46,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
00:46,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
00:46,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
00:46,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
00:38,"GOOD 3PTR by BECKER,SAXTON",34,,36 (+2),,MMB 34-36 (-2),,"GOOD 3PTR by BECKER,SAXTON",1
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",1
00:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:29,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",1
00:29,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
00:29,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
00:29,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
00:29,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
00:29,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
00:08,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
00:07,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
00:01,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
00:01,"GOOD FT by TULLOS,ZACHARY",35,,36 (+1),,MMB 35-36 (-1),,"GOOD FT by TULLOS,ZACHARY",1
00:01,"GOOD FT by TULLOS,ZACHARY",36,,36,,MMB 36-36 (0),,"GOOD FT by TULLOS,ZACHARY",1
00:01,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:01,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",1
