Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
14:18,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
14:18,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
14:18,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
14:18,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
14:14,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
14:04,,10,,10,"GOOD LAYUP by MASON,WADE(in the paint)",MMB 10-10 (0),,"GOOD LAYUP by MASON,WADE(in the paint)",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
13:55,"GOOD 3PTR by HARRIS,CEDRIC(fastbreak)",13 (+3),,10,,CENTMB 13-10 (-3),,"GOOD 3PTR by HARRIS,CEDRIC(fastbreak)",1
--,"ASSIST  by BOYD,KJ",,,,,,,"ASSIST  by BOYD,KJ",1
13:42,,13 (+1),,12,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MMB 13-12 (-1),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
13:30,"GOOD 3PTR by BOYD,KJ",16 (+4),,12,,CENTMB 16-12 (-4),,"GOOD 3PTR by BOYD,KJ",1
13:14,,16 (+2),,14,"GOOD JUMPER by MASON,WADE",MMB 16-14 (-2),,"GOOD JUMPER by MASON,WADE",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
13:06,"MISS 3PTR by GRAY,JERICHO",,,,,,,"MISS 3PTR by GRAY,JERICHO",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
12:52,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",1
--,"REBOUND DEF by BOYD,KJ",,,,,,,"REBOUND DEF by BOYD,KJ",1
12:45,"MISS JUMPER by BOYD,KJ",,,,,,,"MISS JUMPER by BOYD,KJ",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
12:26,,16,,16,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",MMB 16-16 (0),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",1
12:11,"MISS 3PTR by BOYD,KJ",,,,,,,"MISS 3PTR by BOYD,KJ",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
11:13,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
11:13,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",1
11:13,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1
11:13,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
11:13,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
11:13,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
11:13,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
11:13,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
11:13,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
--,"REBOUND OFF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",1
11:07,"GOOD JUMPER by WEAVER,DYLLON",18 (+2),,16,,CENTMB 18-16 (-2),,"GOOD JUMPER by WEAVER,DYLLON",1
11:02,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
11:00,"STEAL  by WEAVER,DYLLON",,,,,,,"STEAL  by WEAVER,DYLLON",1
10:58,"GOOD LAYUP by WEAVER,DYLLON(fastbreak)(in the paint)",20 (+4),,16,,CENTMB 20-16 (-4),,"GOOD LAYUP by WEAVER,DYLLON(fastbreak)(in the paint)",1
10:58,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
10:58,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
10:47,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
10:32,"MISS JUMPER by SAPP,JAMES",,,,,,,"MISS JUMPER by SAPP,JAMES",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
10:23,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
09:58,"MISS 3PTR by WEAVER,DYLLON",,,,,,,"MISS 3PTR by WEAVER,DYLLON",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
09:38,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
09:38,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
09:23,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
09:19,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by TARANTOLO,MITCHELL",,,,,,,"REBOUND DEF by TARANTOLO,MITCHELL",1
