Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
17:01,,5,,10 (+5),"GOOD JUMPER by GAGEN,BRENNAN",MMB 5-10 (+5),,"GOOD JUMPER by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
16:48,"MISS 3PTR by WELLS,AUSTIN",,,,,,,"MISS 3PTR by WELLS,AUSTIN",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
16:40,,5,,12 (+7),"GOOD LAYUP by BLANZ,BUCK(fastbreak)(in the paint)",MMB 5-12 (+7),,"GOOD LAYUP by BLANZ,BUCK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
16:16,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,"REBOUND OFF by IGBINOSA,STEPHEN",,,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",1
15:59,"GOOD 3PTR by RIVERA,ANDRES",8,,12 (+4),,ACM 8-12 (+4),,"GOOD 3PTR by RIVERA,ANDRES",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
15:39,"FOUL  by RIVERA,ANDRES",,,,,,,"FOUL  by RIVERA,ANDRES",1
15:39,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:39,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:39,,8,,13 (+5),"GOOD FT by MARKWITH,TRENT",MMB 8-13 (+5),,"GOOD FT by MARKWITH,TRENT",1
15:39,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
15:39,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
15:23,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
15:23,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",1
15:23,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
15:23,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
15:23,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
15:19,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
15:16,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",1
15:03,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND OFF by WADE,JUSTIN",,,,,,,"REBOUND OFF by WADE,JUSTIN",1
14:58,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
14:58,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
14:58,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
14:43,"TURNOVER  by RIVERA,ANDRES",,,,,,,"TURNOVER  by RIVERA,ANDRES",1
14:23,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,"REBOUND DEF by PASS,JOHN",,,,,,,"REBOUND DEF by PASS,JOHN",1
14:18,"MISS 3PTR by PASS,JOHN",,,,,,,"MISS 3PTR by PASS,JOHN",1
--,"REBOUND OFF by BAEHL,BRIAN",,,,,,,"REBOUND OFF by BAEHL,BRIAN",1
14:02,"TURNOVER  by WELLS,AUSTIN",,,,,,,"TURNOVER  by WELLS,AUSTIN",1
14:02,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",1
14:02,"SUB IN by CHILES,CHRISTIAN",,,,,,,"SUB IN by CHILES,CHRISTIAN",1
14:02,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
14:02,"SUB OUT by WELLS,AUSTIN",,,,,,,"SUB OUT by WELLS,AUSTIN",1
14:02,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
14:02,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
14:02,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
14:02,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
13:44,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:44,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",1
13:25,"MISS 3PTR by CHILES,CHRISTIAN",,,,,,,"MISS 3PTR by CHILES,CHRISTIAN",1
--,,,,,"REBOUND DEF by MASON,WADE",,,"REBOUND DEF by MASON,WADE",1
13:13,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
13:13,,8,,14 (+6),"GOOD FT by MANCUSO,LOGAN",MMB 8-14 (+6),,"GOOD FT by MANCUSO,LOGAN",1
13:13,,,,,"MISS FT by MANCUSO,LOGAN",,,"MISS FT by MANCUSO,LOGAN",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
13:13,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
13:13,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
13:09,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",1
13:09,"BLOCK  by PASS,JOHN",,,,,,,"BLOCK  by PASS,JOHN",1
--,"REBOUND DEF by PASS,JOHN",,,,,,,"REBOUND DEF by PASS,JOHN",1
13:05,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
13:05,"MISS FT by CHILES,CHRISTIAN",,,,,,,"MISS FT by CHILES,CHRISTIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:05,"GOOD FT by CHILES,CHRISTIAN",9,,14 (+5),,ACM 9-14 (+5),,"GOOD FT by CHILES,CHRISTIAN",1
12:46,,,,,"TURNOVER  by MANCUSO,LOGAN",,,"TURNOVER  by MANCUSO,LOGAN",1
12:36,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",1
12:36,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
12:36,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
12:36,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
12:36,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
12:29,"GOOD LAYUP by CHILES,CHRISTIAN(in the paint)",11,,14 (+3),,ACM 11-14 (+3),,"GOOD LAYUP by CHILES,CHRISTIAN(in the paint)",1
12:17,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND DEF by WADE,JUSTIN",,,,,,,"REBOUND DEF by WADE,JUSTIN",1
12:08,"GOOD 3PTR by DICKERMAN,JOSH(fastbreak)",14,,14,,ACM 14-14 (0),,"GOOD 3PTR by DICKERMAN,JOSH(fastbreak)",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
12:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:54,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
11:41,"MISS JUMPER by PASS,JOHN",,,,,,,"MISS JUMPER by PASS,JOHN",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
11:29,,14,,16 (+2),"GOOD JUMPER by BLANZ,BUCK",MMB 14-16 (+2),,"GOOD JUMPER by BLANZ,BUCK",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
10:55,"GOOD JUMPER by BAEHL,BRIAN",16,,16,,ACM 16-16 (0),,"GOOD JUMPER by BAEHL,BRIAN",1
10:37,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
10:26,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
10:26,"STEAL  by WELLS,AUSTIN",,,,,,,"STEAL  by WELLS,AUSTIN",1
10:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:19,"MISS LAYUP by SWISHER,JEREMY",,,,,,,"MISS LAYUP by SWISHER,JEREMY",1
--,"REBOUND OFF by JOHNSON,PATRICK",,,,,,,"REBOUND OFF by JOHNSON,PATRICK",1
10:17,"GOOD LAYUP by JOHNSON,PATRICK(in the paint)",18 (+2),,16,,ACM 18-16 (-2),,"GOOD LAYUP by JOHNSON,PATRICK(in the paint)",1
10:08,"FOUL  by JOHNSON,PATRICK",,,,,,,"FOUL  by JOHNSON,PATRICK",1
10:08,,18 (+1),,17,"GOOD FT by MARKWITH,TRENT",MMB 18-17 (-1),,"GOOD FT by MARKWITH,TRENT",1
10:08,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
10:04,,18,,20 (+2),"GOOD 3PTR by GAGEN,BRENNAN",MMB 18-20 (+2),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
10:00,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
10:00,"SUB IN by JOHNSON,PATRICK",,,,,,,"SUB IN by JOHNSON,PATRICK",1
10:00,"SUB OUT by PASS,JOHN",,,,,,,"SUB OUT by PASS,JOHN",1
10:00,"SUB OUT by CHILES,CHRISTIAN",,,,,,,"SUB OUT by CHILES,CHRISTIAN",1
09:52,"MISS JUMPER by DICKERMAN,JOSH",,,,,,,"MISS JUMPER by DICKERMAN,JOSH",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
09:48,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
09:48,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:48,,18,,21 (+3),"GOOD FT by TULLOS,ZACHARY",MMB 18-21 (+3),,"GOOD FT by TULLOS,ZACHARY",1
09:48,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
09:48,"SUB IN by WELLS,AUSTIN",,,,,,,"SUB IN by WELLS,AUSTIN",1
09:48,"SUB IN by IGBINOSA,STEPHEN",,,,,,,"SUB IN by IGBINOSA,STEPHEN",1
09:48,"SUB OUT by WADE,JUSTIN",,,,,,,"SUB OUT by WADE,JUSTIN",1
09:48,"SUB OUT by DICKERMAN,JOSH",,,,,,,"SUB OUT by DICKERMAN,JOSH",1
09:48,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
09:48,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
09:48,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
09:48,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
09:48,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
09:22,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
09:17,"GOOD FT by IGBINOSA,STEPHEN",19,,21 (+2),,ACM 19-21 (+2),,"GOOD FT by IGBINOSA,STEPHEN",1
09:17,"GOOD FT by IGBINOSA,STEPHEN",20,,21 (+1),,ACM 20-21 (+1),,"GOOD FT by IGBINOSA,STEPHEN",1
09:17,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
09:17,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
09:17,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
09:17,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
08:58,,,,,"MISS 3PTR by COLEMAN,DANIEL",,,"MISS 3PTR by COLEMAN,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:58,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",1
08:58,,20,,22 (+2),"GOOD FT by GAGEN,BRENNAN",MMB 20-22 (+2),,"GOOD FT by GAGEN,BRENNAN",1
08:58,,20,,23 (+3),"GOOD FT by GAGEN,BRENNAN",MMB 20-23 (+3),,"GOOD FT by GAGEN,BRENNAN",1
08:52,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
08:39,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
08:39,"GOOD FT by IGBINOSA,STEPHEN",21,,23 (+2),,ACM 21-23 (+2),,"GOOD FT by IGBINOSA,STEPHEN",1
08:39,"MISS FT by IGBINOSA,STEPHEN",,,,,,,"MISS FT by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
08:39,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
08:39,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
08:22,,,,,"TURNOVER  by COLEMAN,DANIEL",,,"TURNOVER  by COLEMAN,DANIEL",1
08:20,"STEAL  by IGBINOSA,STEPHEN",,,,,,,"STEAL  by IGBINOSA,STEPHEN",1
08:13,"MISS FT by JOHNSON,PATRICK",,,,,,,"MISS FT by JOHNSON,PATRICK",1
08:12,"MISS FT by JOHNSON,PATRICK",,,,,,,"MISS FT by JOHNSON,PATRICK",1
08:12,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:12,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
08:12,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
08:12,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
08:12,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
07:53,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:40,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
07:36,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
07:36,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",1
07:36,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
07:36,"SUB OUT by JOHNSON,PATRICK",,,,,,,"SUB OUT by JOHNSON,PATRICK",1
07:23,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",1
07:23,"GOOD FT by BAEHL,BRIAN",22,,23 (+1),,ACM 22-23 (+1),,"GOOD FT by BAEHL,BRIAN",1
07:23,"GOOD FT by BAEHL,BRIAN",23,,23,,ACM 23-23 (0),,"GOOD FT by BAEHL,BRIAN",1
07:23,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
07:23,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
07:13,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",1
07:13,,23,,24 (+1),"GOOD FT by GAGEN,BRENNAN",MMB 23-24 (+1),,"GOOD FT by GAGEN,BRENNAN",1
07:13,,23,,25 (+2),"GOOD FT by GAGEN,BRENNAN",MMB 23-25 (+2),,"GOOD FT by GAGEN,BRENNAN",1
06:54,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND OFF by RIVERA,ANDRES",,,,,,,"REBOUND OFF by RIVERA,ANDRES",1
06:54,"TURNOVER  by RIVERA,ANDRES",,,,,,,"TURNOVER  by RIVERA,ANDRES",1
06:37,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:31,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
06:16,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
06:16,"GOOD FT by IGBINOSA,STEPHEN",24,,25 (+1),,ACM 24-25 (+1),,"GOOD FT by IGBINOSA,STEPHEN",1
06:16,"GOOD FT by IGBINOSA,STEPHEN",25,,25,,ACM 25-25 (0),,"GOOD FT by IGBINOSA,STEPHEN",1
06:16,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
06:16,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
05:52,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
05:39,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
05:34,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
05:33,"STEAL  by RIVERA,ANDRES",,,,,,,"STEAL  by RIVERA,ANDRES",1
05:25,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
04:55,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
04:39,"GOOD 3PTR by SWISHER,JEREMY",28 (+3),,25,,ACM 28-25 (-3),,"GOOD 3PTR by SWISHER,JEREMY",1
04:25,,28,,28,"GOOD 3PTR by TURNER,JAMES",MMB 28-28 (0),,"GOOD 3PTR by TURNER,JAMES",1
--,,,,,"ASSIST  by TULLOS,ZACHARY",,,"ASSIST  by TULLOS,ZACHARY",1
04:12,"GOOD 3PTR by WELLS,AUSTIN",31 (+3),,28,,ACM 31-28 (-3),,"GOOD 3PTR by WELLS,AUSTIN",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
04:02,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by RIVERA,ANDRES",,,,,,,"REBOUND DEF by RIVERA,ANDRES",1
03:51,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",1
03:51,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",1
03:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:51,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",1
03:51,"SUB IN by CHILES,CHRISTIAN",,,,,,,"SUB IN by CHILES,CHRISTIAN",1
03:51,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
03:51,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
03:51,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
03:51,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
03:51,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
03:51,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
03:51,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
03:51,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
03:36,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
03:23,"TURNOVER  by WADE,JUSTIN",,,,,,,"TURNOVER  by WADE,JUSTIN",1
03:22,,,,,"STEAL  by BLANZ,BUCK",,,"STEAL  by BLANZ,BUCK",1
03:15,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by WELLS,AUSTIN",,,,,,,"REBOUND DEF by WELLS,AUSTIN",1
03:02,"MISS 3PTR by WELLS,AUSTIN",,,,,,,"MISS 3PTR by WELLS,AUSTIN",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
02:59,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
02:56,,,,,"MISS FT by BLANZ,BUCK",,,"MISS FT by BLANZ,BUCK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:56,,,,,"MISS FT by BLANZ,BUCK",,,"MISS FT by BLANZ,BUCK",1
--,"REBOUND DEF by CHILES,CHRISTIAN",,,,,,,"REBOUND DEF by CHILES,CHRISTIAN",1
02:56,"SUB IN by GARRETT,JOSH",,,,,,,"SUB IN by GARRETT,JOSH",1
02:56,"SUB OUT by WADE,JUSTIN",,,,,,,"SUB OUT by WADE,JUSTIN",1
02:43,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
02:43,"FOUL  by GARRETT,JOSH",,,,,,,"FOUL  by GARRETT,JOSH",1
02:43,,31 (+2),,29,"GOOD FT by BLANZ,BUCK",MMB 31-29 (-2),,"GOOD FT by BLANZ,BUCK",1
02:43,,31 (+1),,30,"GOOD FT by BLANZ,BUCK",MMB 31-30 (-1),,"GOOD FT by BLANZ,BUCK",1
02:21,"MISS 3PTR by CHILES,CHRISTIAN",,,,,,,"MISS 3PTR by CHILES,CHRISTIAN",1
