Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
11:36,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
11:32,,17 (+7),,10,"GOOD LAYUP by BLANZ,BUCK(in the paint)",MMB 17-10 (-7),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
11:17,"GOOD LAYUP by HAYNES,CALEB(in the paint)",19 (+9),,10,,CCM 19-10 (-9),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
10:53,,,,,"TURNOVER  by MASON,WADE",,,"TURNOVER  by MASON,WADE",1
10:53,"SUB IN by TWAGIRAYEZU,PATJO",,,,,,,"SUB IN by TWAGIRAYEZU,PATJO",1
10:53,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
10:33,"MISS LAYUP by ARIMA,Z",,,,,,,"MISS LAYUP by ARIMA,Z",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
10:25,,,,,"MISS 3PTR by MASON,WADE",,,"MISS 3PTR by MASON,WADE",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
10:10,"MISS LAYUP by DRYDEN,BERTO",,,,,,,"MISS LAYUP by DRYDEN,BERTO",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
10:03,,19 (+6),,13,"GOOD 3PTR by KOHNKE,SAM",MMB 19-13 (-6),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
09:34,"MISS 3PTR by ALLEN,ZACK",,,,,,,"MISS 3PTR by ALLEN,ZACK",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
09:30,"FOUL  by ARIMA,Z",,,,,,,"FOUL  by ARIMA,Z",1
09:30,"SUB IN by SEARS,CONNOR",,,,,,,"SUB IN by SEARS,CONNOR",1
09:30,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
09:30,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
09:30,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
09:30,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
09:30,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
09:30,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
09:30,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
09:12,"FOUL  by SEARS,CONNOR",,,,,,,"FOUL  by SEARS,CONNOR",1
09:12,"FOUL  by DRYDEN,BERTO",,,,,,,"FOUL  by DRYDEN,BERTO",1
09:12,"SUB IN by SPRAGG,BAILEY",,,,,,,"SUB IN by SPRAGG,BAILEY",1
09:12,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
09:11,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by SEARS,CONNOR",,,,,,,"REBOUND DEF by SEARS,CONNOR",1
08:53,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",1
08:53,,,,,"BLOCK  by TURNER,JAMES",,,"BLOCK  by TURNER,JAMES",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
08:50,"FOUL  by TWAGIRAYEZU,PATJO",,,,,,,"FOUL  by TWAGIRAYEZU,PATJO",1
08:50,,19 (+5),,14,"GOOD FT by TURNER,JAMES",MMB 19-14 (-5),,"GOOD FT by TURNER,JAMES",1
08:50,,19 (+4),,15,"GOOD FT by TURNER,JAMES",MMB 19-15 (-4),,"GOOD FT by TURNER,JAMES",1
08:30,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND OFF by SEARS,CONNOR",,,,,,,"REBOUND OFF by SEARS,CONNOR",1
08:21,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",1
08:21,,,,,"BLOCK  by TURNER,JAMES",,,"BLOCK  by TURNER,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:15,"MISS 3PTR by SPRAGG,BAILEY",,,,,,,"MISS 3PTR by SPRAGG,BAILEY",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
08:00,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
08:00,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
07:32,"MISS 3PTR by PALMER,NICK",,,,,,,"MISS 3PTR by PALMER,NICK",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
07:22,"FOUL  by DRYDEN,BERTO",,,,,,,"FOUL  by DRYDEN,BERTO",1
07:22,,,,,"MISS FT by GARDNER,ROBERT",,,"MISS FT by GARDNER,ROBERT",1
--,"REBOUND DEF by PALMER,NICK",,,,,,,"REBOUND DEF by PALMER,NICK",1
06:54,"TURNOVER  by SEARS,CONNOR",,,,,,,"TURNOVER  by SEARS,CONNOR",1
06:54,"FOUL  by SEARS,CONNOR",,,,,,,"FOUL  by SEARS,CONNOR",1
06:54,"SUB IN by ARIMA,Z",,,,,,,"SUB IN by ARIMA,Z",1
06:54,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
06:54,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
06:54,"SUB OUT by PALMER,NICK",,,,,,,"SUB OUT by PALMER,NICK",1
06:41,,,,,"MISS LAYUP by GARDNER,ROBERT",,,"MISS LAYUP by GARDNER,ROBERT",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
06:31,"GOOD LAYUP by DRYDEN,BERTO(in the paint)",21 (+6),,15,,CCM 21-15 (-6),,"GOOD LAYUP by DRYDEN,BERTO(in the paint)",1
06:16,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",1
06:16,"BLOCK  by HAYNES,CALEB",,,,,,,"BLOCK  by HAYNES,CALEB",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
06:12,"FOUL  by HAYNES,CALEB",,,,,,,"FOUL  by HAYNES,CALEB",1
06:12,,21 (+5),,16,"GOOD FT by BLANZ,BUCK",MMB 21-16 (-5),,"GOOD FT by BLANZ,BUCK",1
06:12,,21 (+4),,17,"GOOD FT by BLANZ,BUCK",MMB 21-17 (-4),,"GOOD FT by BLANZ,BUCK",1
06:12,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
06:12,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
05:59,"GOOD 3PTR by SPRAGG,BAILEY",24 (+7),,17,,CCM 24-17 (-7),,"GOOD 3PTR by SPRAGG,BAILEY",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
05:44,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
05:43,"STEAL  by ARIMA,Z",,,,,,,"STEAL  by ARIMA,Z",1
05:41,"TURNOVER  by ARIMA,Z",,,,,,,"TURNOVER  by ARIMA,Z",1
05:41,,,,,"STEAL  by GARDNER,ROBERT",,,"STEAL  by GARDNER,ROBERT",1
05:40,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
05:39,"STEAL  by SPRAGG,BAILEY",,,,,,,"STEAL  by SPRAGG,BAILEY",1
05:37,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
05:35,"MISS JUMPER by ARIMA,Z",,,,,,,"MISS JUMPER by ARIMA,Z",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
05:22,,24 (+4),,20,"GOOD 3PTR by GAGEN,BRENNAN",MMB 24-20 (-4),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
04:56,"TURNOVER  by DRYDEN,BERTO",,,,,,,"TURNOVER  by DRYDEN,BERTO",1
04:56,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
04:56,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
04:42,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
04:41,"STEAL  by ARIMA,Z",,,,,,,"STEAL  by ARIMA,Z",1
04:29,"MISS LAYUP by DRYDEN,BERTO",,,,,,,"MISS LAYUP by DRYDEN,BERTO",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
04:20,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
04:03,"GOOD 3PTR by ARIMA,Z",27 (+7),,20,,CCM 27-20 (-7),,"GOOD 3PTR by ARIMA,Z",1
--,"ASSIST  by TWAGIRAYEZU,PATJO",,,,,,,"ASSIST  by TWAGIRAYEZU,PATJO",1
03:47,,27 (+5),,22,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",MMB 27-22 (-5),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",1
03:31,"MISS 3PTR by ARIMA,Z",,,,,,,"MISS 3PTR by ARIMA,Z",1
--,"REBOUND OFF by SPRAGG,BAILEY",,,,,,,"REBOUND OFF by SPRAGG,BAILEY",1
03:15,"GOOD JUMPER by SPRAGG,BAILEY",29 (+7),,22,,CCM 29-22 (-7),,"GOOD JUMPER by SPRAGG,BAILEY",1
02:54,"FOUL  by TWAGIRAYEZU,PATJO",,,,,,,"FOUL  by TWAGIRAYEZU,PATJO",1
02:54,,29 (+6),,23,"GOOD FT by TURNER,JAMES",MMB 29-23 (-6),,"GOOD FT by TURNER,JAMES",1
02:54,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",1
--,"REBOUND DEF by SPRAGG,BAILEY",,,,,,,"REBOUND DEF by SPRAGG,BAILEY",1
02:54,"SUB IN by SEARS,CONNOR",,,,,,,"SUB IN by SEARS,CONNOR",1
02:54,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
02:54,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
02:54,"SUB OUT by TWAGIRAYEZU,PATJO",,,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",1
02:54,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
02:54,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
02:43,"GOOD LAYUP by HAYNES,CALEB(in the paint)",31 (+8),,23,,CCM 31-23 (-8),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",1
02:27,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
02:27,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
02:27,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
02:01,"MISS JUMPER by DRYDEN,BERTO",,,,,,,"MISS JUMPER by DRYDEN,BERTO",1
--,"REBOUND OFF by SEARS,CONNOR",,,,,,,"REBOUND OFF by SEARS,CONNOR",1
01:33,"GOOD LAYUP by SEARS,CONNOR(in the paint)",33 (+10),,23,,CCM 33-23 (-10),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,"ASSIST  by PALMER,NICK",,,,,,,"ASSIST  by PALMER,NICK",1
01:33,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
01:33,"MISS FT by SEARS,CONNOR",,,,,,,"MISS FT by SEARS,CONNOR",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
01:33,"SUB IN by ARIMA,Z",,,,,,,"SUB IN by ARIMA,Z",1
01:33,"SUB OUT by PALMER,NICK",,,,,,,"SUB OUT by PALMER,NICK",1
01:14,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
01:02,"GOOD LAYUP by HAYNES,CALEB(in the paint)",35 (+12),,23,,CCM 35-23 (-12),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,"ASSIST  by ARIMA,Z",,,,,,,"ASSIST  by ARIMA,Z",1
00:52,"FOUL  by ARIMA,Z",,,,,,,"FOUL  by ARIMA,Z",1
00:52,,35 (+11),,24,"GOOD FT by GAGEN,BRENNAN",MMB 35-24 (-11),,"GOOD FT by GAGEN,BRENNAN",1
00:52,,35 (+10),,25,"GOOD FT by GAGEN,BRENNAN",MMB 35-25 (-10),,"GOOD FT by GAGEN,BRENNAN",1
00:52,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
00:52,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
00:52,"SUB OUT by DRYDEN,BERTO",,,,,,,"SUB OUT by DRYDEN,BERTO",1
00:52,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
00:52,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
00:52,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
00:52,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
00:52,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
00:52,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
00:52,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
00:25,"MISS JUMPER by HAYNES,CALEB",,,,,,,"MISS JUMPER by HAYNES,CALEB",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
00:05,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by PALMER,NICK",,,,,,,"REBOUND DEF by PALMER,NICK",1
00:01,"MISS 3PTR by PALMER,NICK",,,,,,,"MISS 3PTR by PALMER,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:46,"GOOD LAYUP by SEARS,CONNOR(in the paint)",37 (+12),,25,,CCM 37-25 (-12),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",2
--,"ASSIST  by ARIMA,Z",,,,,,,"ASSIST  by ARIMA,Z",2
19:34,,37 (+10),,27,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 37-27 (-10),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
19:04,"MISS 3PTR by ARIMA,Z",,,,,,,"MISS 3PTR by ARIMA,Z",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:48,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",2
--,"REBOUND DEF by SPRAGG,BAILEY",,,,,,,"REBOUND DEF by SPRAGG,BAILEY",2
18:40,"GOOD LAYUP by ARIMA,Z(fastbreak)(in the paint)",39 (+12),,27,,CCM 39-27 (-12),,"GOOD LAYUP by ARIMA,Z(fastbreak)(in the paint)",2
--,"ASSIST  by SPRAGG,BAILEY",,,,,,,"ASSIST  by SPRAGG,BAILEY",2
18:26,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",2
--,"REBOUND DEF by SEARS,CONNOR",,,,,,,"REBOUND DEF by SEARS,CONNOR",2
18:19,"GOOD 3PTR by TWAGIRAYEZU,PATJO(fastbreak)",42 (+15),,27,,CCM 42-27 (-15),,"GOOD 3PTR by TWAGIRAYEZU,PATJO(fastbreak)",2
--,"ASSIST  by DRYDEN,BERTO",,,,,,,"ASSIST  by DRYDEN,BERTO",2
17:59,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
17:59,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",2
17:59,"SUB OUT by DRYDEN,BERTO",,,,,,,"SUB OUT by DRYDEN,BERTO",2
17:46,"TURNOVER  by ALLEN,ZACK",,,,,,,"TURNOVER  by ALLEN,ZACK",2
17:43,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
17:39,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",2
--,"REBOUND DEF by ARIMA,Z",,,,,,,"REBOUND DEF by ARIMA,Z",2
