Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,BLU,Game Score,Team Indicator,Play,Period
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:44,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:42,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
12:42,,,,,"SUB IN by WENTLING,JARED",,,"SUB IN by WENTLING,JARED",1
12:42,,,,,"SUB OUT by HOPKINS,ADAM",,,"SUB OUT by HOPKINS,ADAM",1
12:26,,,,,"MISS LAYUP by WENTLING,JARED",,,"MISS LAYUP by WENTLING,JARED",1
--,"REBOUND DEF by GARDNER,ROBERT",,,,,,,"REBOUND DEF by GARDNER,ROBERT",1
12:01,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",8,,15 (+7),,MIL 8-15 (-7),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
--,"ASSIST  by GARDNER,ROBERT",,,,,,,"ASSIST  by GARDNER,ROBERT",1
11:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:59,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:59,,,,,"SUB IN by RENNER,ANDREW",,,"SUB IN by RENNER,ANDREW",1
11:59,,,,,"SUB OUT by CHRISTIE,KEVIN",,,"SUB OUT by CHRISTIE,KEVIN",1
11:33,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
11:33,,8,,16 (+8),"GOOD FT by ROHDE,AUSTIN",BLU 8-16 (-8),,"GOOD FT by ROHDE,AUSTIN",1
11:33,,8,,17 (+9),"GOOD FT by ROHDE,AUSTIN",BLU 8-17 (-9),,"GOOD FT by ROHDE,AUSTIN",1
11:33,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
11:33,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
11:16,,,,,"FOUL  by ELCHERT,TREY",,,"FOUL  by ELCHERT,TREY",1
11:16,"GOOD FT by GAGEN,BRENNAN",9,,17 (+8),,MIL 9-17 (-8),,"GOOD FT by GAGEN,BRENNAN",1
11:16,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
11:16,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
11:16,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by RENNER,ANDREW",,,"REBOUND DEF by RENNER,ANDREW",1
11:00,,9,,19 (+10),"GOOD LAYUP by WENTLING,JARED(in the paint)",BLU 9-19 (-10),,"GOOD LAYUP by WENTLING,JARED(in the paint)",1
--,,,,,"ASSIST  by ELCHERT,TREY",,,"ASSIST  by ELCHERT,TREY",1
10:42,"GOOD JUMPER by BLANZ,BUCK",11,,19 (+8),,MIL 11-19 (-8),,"GOOD JUMPER by BLANZ,BUCK",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
10:32,,,,,"MISS 3PTR by RENNER,ANDREW",,,"MISS 3PTR by RENNER,ANDREW",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:31,,,,,"SUB OUT by RENNER,ANDREW",,,"SUB OUT by RENNER,ANDREW",1
10:31,,,,,"SUB OUT by ELCHERT,TREY",,,"SUB OUT by ELCHERT,TREY",1
10:31,,,,,"SUB OUT by MAKSVYTIS,MARTIN",,,"SUB OUT by MAKSVYTIS,MARTIN",1
10:31,,,,,"SUB OUT by WENTLING,JARED",,,"SUB OUT by WENTLING,JARED",1
10:31,,,,,"SUB OUT by ROHDE,AUSTIN",,,"SUB OUT by ROHDE,AUSTIN",1
10:31,,,,,"SUB IN by HUNTER,ANDREW",,,"SUB IN by HUNTER,ANDREW",1
10:31,,,,,"SUB IN by RENNER,ANDREW",,,"SUB IN by RENNER,ANDREW",1
10:31,,,,,"SUB IN by ELCHERT,TREY",,,"SUB IN by ELCHERT,TREY",1
10:31,,,,,"SUB IN by WENTLING,JARED",,,"SUB IN by WENTLING,JARED",1
10:31,,,,,"SUB IN by DOWDY,JUSTIS",,,"SUB IN by DOWDY,JUSTIS",1
10:24,"FOUL  by GARDNER,ROBERT",,,,,,,"FOUL  by GARDNER,ROBERT",1
09:56,,11,,21 (+10),"GOOD JUMPER by HUNTER,ANDREW",BLU 11-21 (-10),,"GOOD JUMPER by HUNTER,ANDREW",1
--,,,,,"ASSIST  by ELCHERT,TREY",,,"ASSIST  by ELCHERT,TREY",1
09:41,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by WENTLING,JARED",,,"REBOUND DEF by WENTLING,JARED",1
09:29,,11,,24 (+13),"GOOD 3PTR by RENNER,ANDREW",BLU 11-24 (-13),,"GOOD 3PTR by RENNER,ANDREW",1
--,,,,,"ASSIST  by ELCHERT,TREY",,,"ASSIST  by ELCHERT,TREY",1
09:13,"GOOD JUMPER by BLANZ,BUCK",13,,24 (+11),,MIL 13-24 (-11),,"GOOD JUMPER by BLANZ,BUCK",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
08:53,,,,,"TURNOVER  by WENTLING,JARED",,,"TURNOVER  by WENTLING,JARED",1
08:52,"STEAL  by GARDNER,ROBERT",,,,,,,"STEAL  by GARDNER,ROBERT",1
08:50,"TURNOVER  by GARDNER,ROBERT",,,,,,,"TURNOVER  by GARDNER,ROBERT",1
08:45,,,,,"STEAL  by HUNTER,ANDREW",,,"STEAL  by HUNTER,ANDREW",1
08:25,,13,,26 (+13),"GOOD JUMPER by WENTLING,JARED",BLU 13-26 (-13),,"GOOD JUMPER by WENTLING,JARED",1
--,,,,,"ASSIST  by HUNTER,ANDREW",,,"ASSIST  by HUNTER,ANDREW",1
08:04,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
08:04,,,,,"SUB OUT by RENNER,ANDREW",,,"SUB OUT by RENNER,ANDREW",1
08:04,,,,,"SUB OUT by ELCHERT,TREY",,,"SUB OUT by ELCHERT,TREY",1
08:04,,,,,"SUB OUT by MAKSVYTIS,MARTIN",,,"SUB OUT by MAKSVYTIS,MARTIN",1
08:04,,,,,"SUB OUT by WENTLING,JARED",,,"SUB OUT by WENTLING,JARED",1
08:04,,,,,"SUB OUT by ROHDE,AUSTIN",,,"SUB OUT by ROHDE,AUSTIN",1
08:04,,,,,"SUB IN by CHRISTIE,KEVIN",,,"SUB IN by CHRISTIE,KEVIN",1
08:04,,,,,"SUB IN by HUNTER,ANDREW",,,"SUB IN by HUNTER,ANDREW",1
08:04,,,,,"SUB IN by ROHDE,AUSTIN",,,"SUB IN by ROHDE,AUSTIN",1
08:04,,,,,"SUB IN by DOWDY,JUSTIS",,,"SUB IN by DOWDY,JUSTIS",1
08:04,,,,,"SUB IN by HOPKINS,ADAM",,,"SUB IN by HOPKINS,ADAM",1
08:04,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
08:04,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
08:04,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
08:04,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
08:04,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
08:04,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
08:04,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
08:04,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",1
08:04,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",1
08:04,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
07:57,,,,,"TURNOVER  by CHRISTIE,KEVIN",,,"TURNOVER  by CHRISTIE,KEVIN",1
07:55,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
07:53,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",15,,26 (+11),,MIL 15-26 (-11),,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",1
07:36,,,,,"MISS 3PTR by ROHDE,AUSTIN",,,"MISS 3PTR by ROHDE,AUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:36,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",1
07:36,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:26,,,,,"MISS JUMPER by ROHDE,AUSTIN",,,"MISS JUMPER by ROHDE,AUSTIN",1
--,"REBOUND DEF by MASON,WADE",,,,,,,"REBOUND DEF by MASON,WADE",1
07:01,"MISS LAYUP by BLANZ,BUCK",,,,,,,"MISS LAYUP by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by DOWDY,JUSTIS",,,"REBOUND DEF by DOWDY,JUSTIS",1
06:34,"FOUL  by COLEMAN,DANIEL",,,,,,,"FOUL  by COLEMAN,DANIEL",1
06:34,,15,,27 (+12),"GOOD FT by CHRISTIE,KEVIN",BLU 15-27 (-12),,"GOOD FT by CHRISTIE,KEVIN",1
06:34,,15,,28 (+13),"GOOD FT by CHRISTIE,KEVIN",BLU 15-28 (-13),,"GOOD FT by CHRISTIE,KEVIN",1
06:34,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
06:34,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
06:34,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
06:34,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
06:34,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
06:34,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
06:34,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
06:34,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",1
06:34,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",1
06:34,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
06:34,,15,,29 (+14),"GOOD FT by CHRISTIE,KEVIN",BLU 15-29 (-14),,"GOOD FT by CHRISTIE,KEVIN",1
06:14,"GOOD JUMPER by GAGEN,BRENNAN",17,,29 (+12),,MIL 17-29 (-12),,"GOOD JUMPER by GAGEN,BRENNAN",1
06:05,"FOUL  by MASON,WADE",,,,,,,"FOUL  by MASON,WADE",1
06:05,,,,,"SUB IN by RENNER,ANDREW",,,"SUB IN by RENNER,ANDREW",1
06:05,,,,,"SUB OUT by HUNTER,ANDREW",,,"SUB OUT by HUNTER,ANDREW",1
06:05,,17,,30 (+13),"GOOD FT by ROHDE,AUSTIN",BLU 17-30 (-13),,"GOOD FT by ROHDE,AUSTIN",1
06:05,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
06:05,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
06:05,,17,,31 (+14),"GOOD FT by ROHDE,AUSTIN",BLU 17-31 (-14),,"GOOD FT by ROHDE,AUSTIN",1
05:46,"MISS JUMPER by KOHNKE,SAM",,,,,,,"MISS JUMPER by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by DOWDY,JUSTIS",,,"REBOUND DEF by DOWDY,JUSTIS",1
05:34,,,,,"TURNOVER  by RENNER,ANDREW",,,"TURNOVER  by RENNER,ANDREW",1
05:34,"STEAL  by TURNER,JAMES",,,,,,,"STEAL  by TURNER,JAMES",1
05:31,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",19,,31 (+12),,MIL 19-31 (-12),,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",1
05:09,,,,,"MISS LAYUP by HOPKINS,ADAM",,,"MISS LAYUP by HOPKINS,ADAM",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
04:49,"GOOD JUMPER by MASON,WADE",21,,31 (+10),,MIL 21-31 (-10),,"GOOD JUMPER by MASON,WADE",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
04:27,,,,,"MISS LAYUP by DOWDY,JUSTIS",,,"MISS LAYUP by DOWDY,JUSTIS",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
04:10,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",23,,31 (+8),,MIL 23-31 (-8),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",1
03:51,,,,,"TURNOVER  by CHRISTIE,KEVIN",,,"TURNOVER  by CHRISTIE,KEVIN",1
03:50,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
03:34,"MISS LAYUP by MANCUSO,LOGAN",,,,,,,"MISS LAYUP by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by RENNER,ANDREW",,,"REBOUND DEF by RENNER,ANDREW",1
03:26,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",1
03:26,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:26,,,,,"SUB OUT by RENNER,ANDREW",,,"SUB OUT by RENNER,ANDREW",1
03:26,,,,,"SUB OUT by ELCHERT,TREY",,,"SUB OUT by ELCHERT,TREY",1
03:26,,,,,"SUB OUT by MAKSVYTIS,MARTIN",,,"SUB OUT by MAKSVYTIS,MARTIN",1
03:26,,,,,"SUB OUT by WENTLING,JARED",,,"SUB OUT by WENTLING,JARED",1
03:26,,,,,"SUB OUT by ROHDE,AUSTIN",,,"SUB OUT by ROHDE,AUSTIN",1
03:26,,,,,"SUB IN by RENNER,ANDREW",,,"SUB IN by RENNER,ANDREW",1
03:26,,,,,"SUB IN by ELCHERT,TREY",,,"SUB IN by ELCHERT,TREY",1
03:26,,,,,"SUB IN by WENTLING,JARED",,,"SUB IN by WENTLING,JARED",1
03:26,,,,,"SUB IN by ROHDE,AUSTIN",,,"SUB IN by ROHDE,AUSTIN",1
03:26,,,,,"SUB IN by DOWDY,JUSTIS",,,"SUB IN by DOWDY,JUSTIS",1
03:26,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
03:26,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
03:26,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
03:26,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
03:26,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
03:26,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
03:26,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
03:26,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
03:26,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
03:26,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
03:26,,23,,32 (+9),"GOOD FT by DOWDY,JUSTIS",BLU 23-32 (-9),,"GOOD FT by DOWDY,JUSTIS",1
03:26,,23,,33 (+10),"GOOD FT by DOWDY,JUSTIS",BLU 23-33 (-10),,"GOOD FT by DOWDY,JUSTIS",1
03:26,,,,,"SUB IN by MAKSVYTIS,MARTIN",,,"SUB IN by MAKSVYTIS,MARTIN",1
03:26,,,,,"SUB OUT by DOWDY,JUSTIS",,,"SUB OUT by DOWDY,JUSTIS",1
03:12,"GOOD JUMPER by TULLOS,ZACHARY",25,,33 (+8),,MIL 25-33 (-8),,"GOOD JUMPER by TULLOS,ZACHARY",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
02:46,,,,,"MISS 3PTR by RENNER,ANDREW",,,"MISS 3PTR by RENNER,ANDREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:43,,,,,"FOUL  by ROHDE,AUSTIN",,,"FOUL  by ROHDE,AUSTIN",1
02:28,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",27,,33 (+6),,MIL 27-33 (-6),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
02:01,,,,,"MISS 3PTR by ROHDE,AUSTIN",,,"MISS 3PTR by ROHDE,AUSTIN",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
01:46,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
01:44,,,,,"STEAL  by WENTLING,JARED",,,"STEAL  by WENTLING,JARED",1
01:24,,,,,"MISS JUMPER by WENTLING,JARED",,,"MISS JUMPER by WENTLING,JARED",1
