Time Remaining,TLUMEN,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
16:23,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
16:23,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
16:04,"MISS 3PTR by RAY,BLAKE",,,,,,,"MISS 3PTR by RAY,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:01,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
16:00,"TURNOVER  by JOWELL,HARRIS",,,,,,,"TURNOVER  by JOWELL,HARRIS",1
16:00,"FOUL  by JOWELL,HARRIS",,,,,,,"FOUL  by JOWELL,HARRIS",1
15:35,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by KOUREMETIS,JORDAN",,,,,,,"REBOUND DEF by KOUREMETIS,JORDAN",1
15:23,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:09,"MISS 3PTR by RAY,BLAKE",,,,,,,"MISS 3PTR by RAY,BLAKE",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
14:54,,9 (+3),,6,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",MMB 9-6 (-3),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
14:34,"MISS 3PTR by KOUREMETIS,JORDAN",,,,,,,"MISS 3PTR by KOUREMETIS,JORDAN",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
14:09,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND DEF by RAY,BLAKE",,,,,,,"REBOUND DEF by RAY,BLAKE",1
13:51,"MISS JUMPER by JOWELL,HARRIS",,,,,,,"MISS JUMPER by JOWELL,HARRIS",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
13:42,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
13:42,"SUB IN by GILLETTE,MATTHEW",,,,,,,"SUB IN by GILLETTE,MATTHEW",1
13:42,"SUB IN by CAGE,ALEX",,,,,,,"SUB IN by CAGE,ALEX",1
13:42,"SUB IN by PERRY,MATT",,,,,,,"SUB IN by PERRY,MATT",1
13:42,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
13:42,"SUB OUT by RAY,BLAKE",,,,,,,"SUB OUT by RAY,BLAKE",1
13:42,"SUB OUT by JOWELL,HARRIS",,,,,,,"SUB OUT by JOWELL,HARRIS",1
13:42,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
13:42,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
13:42,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
13:42,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
13:24,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",1
13:24,"GOOD FT by KOUREMETIS,JORDAN",10 (+4),,6,,TLUMEN 10-6 (-4),,"GOOD FT by KOUREMETIS,JORDAN",1
13:24,"GOOD FT by KOUREMETIS,JORDAN",11 (+5),,6,,TLUMEN 11-6 (-5),,"GOOD FT by KOUREMETIS,JORDAN",1
13:08,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,"REBOUND OFF by MANCUSO,LOGAN",,,"REBOUND OFF by MANCUSO,LOGAN",1
13:05,"FOUL  by GILLETTE,MATTHEW",,,,,,,"FOUL  by GILLETTE,MATTHEW",1
13:03,,11 (+3),,8,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",MMB 11-8 (-3),,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
12:43,"GOOD JUMPER by KOUREMETIS,JORDAN",13 (+5),,8,,TLUMEN 13-8 (-5),,"GOOD JUMPER by KOUREMETIS,JORDAN",1
--,"ASSIST  by CAGE,ALEX",,,,,,,"ASSIST  by CAGE,ALEX",1
12:16,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,"REBOUND DEF by CAGE,ALEX",,,,,,,"REBOUND DEF by CAGE,ALEX",1
12:06,"MISS 3PTR by CAGE,ALEX",,,,,,,"MISS 3PTR by CAGE,ALEX",1
--,"REBOUND OFF by GILLETTE,MATTHEW",,,,,,,"REBOUND OFF by GILLETTE,MATTHEW",1
12:02,"MISS LAYUP by GILLETTE,MATTHEW",,,,,,,"MISS LAYUP by GILLETTE,MATTHEW",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
11:54,"FOUL  by BEHR,ZACH",,,,,,,"FOUL  by BEHR,ZACH",1
11:54,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:54,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:54,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
11:54,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
11:54,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
11:41,"TURNOVER  by BEHR,ZACH",,,,,,,"TURNOVER  by BEHR,ZACH",1
11:38,,,,,"STEAL  by GARDNER,ROBERT",,,"STEAL  by GARDNER,ROBERT",1
11:14,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by BEHR,ZACH",,,,,,,"REBOUND DEF by BEHR,ZACH",1
10:48,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
10:48,"SUB IN by HAMILTON,SHAWN",,,,,,,"SUB IN by HAMILTON,SHAWN",1
10:48,"SUB IN by KOUREMETIS,JACOB",,,,,,,"SUB IN by KOUREMETIS,JACOB",1
10:48,"SUB OUT by KOUREMETIS,JORDAN",,,,,,,"SUB OUT by KOUREMETIS,JORDAN",1
10:48,"SUB OUT by BEHR,ZACH",,,,,,,"SUB OUT by BEHR,ZACH",1
10:48,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
10:48,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
10:48,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
10:48,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
10:48,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
10:48,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
10:44,"MISS 3PTR by HAMILTON,SHAWN",,,,,,,"MISS 3PTR by HAMILTON,SHAWN",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
10:29,,13 (+3),,10,"GOOD JUMPER by MASON,WADE",MMB 13-10 (-3),,"GOOD JUMPER by MASON,WADE",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
10:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:08,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",15 (+5),,10,,TLUMEN 15-10 (-5),,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",1
--,"ASSIST  by CAGE,ALEX",,,,,,,"ASSIST  by CAGE,ALEX",1
10:00,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
09:38,"MISS JUMPER by CAGE,ALEX",,,,,,,"MISS JUMPER by CAGE,ALEX",1
--,"REBOUND OFF by GILLETTE,MATTHEW",,,,,,,"REBOUND OFF by GILLETTE,MATTHEW",1
09:33,,,,,"FOUL  by MASON,WADE",,,"FOUL  by MASON,WADE",1
09:33,"GOOD FT by GILLETTE,MATTHEW",16 (+6),,10,,TLUMEN 16-10 (-6),,"GOOD FT by GILLETTE,MATTHEW",1
09:33,"GOOD FT by GILLETTE,MATTHEW",17 (+7),,10,,TLUMEN 17-10 (-7),,"GOOD FT by GILLETTE,MATTHEW",1
09:33,"SUB IN by SULLIVAN,MARK",,,,,,,"SUB IN by SULLIVAN,MARK",1
09:33,"SUB OUT by CAGE,ALEX",,,,,,,"SUB OUT by CAGE,ALEX",1
09:33,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
09:33,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
09:20,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",1
--,"REBOUND DEF by GILLETTE,MATTHEW",,,,,,,"REBOUND DEF by GILLETTE,MATTHEW",1
08:59,"TURNOVER  by PERRY,MATT",,,,,,,"TURNOVER  by PERRY,MATT",1
08:59,"FOUL  by PERRY,MATT",,,,,,,"FOUL  by PERRY,MATT",1
08:34,,,,,"MISS 3PTR by MASON,WADE",,,"MISS 3PTR by MASON,WADE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:18,"GOOD 3PTR by SULLIVAN,MARK",20 (+10),,10,,TLUMEN 20-10 (-10),,"GOOD 3PTR by SULLIVAN,MARK",1
--,"ASSIST  by KOUREMETIS,JACOB",,,,,,,"ASSIST  by KOUREMETIS,JACOB",1
08:07,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",1
--,,,,,"REBOUND OFF by GARDNER,ROBERT",,,"REBOUND OFF by GARDNER,ROBERT",1
08:01,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
07:43,"GOOD 3PTR by PERRY,MATT",23 (+13),,10,,TLUMEN 23-10 (-13),,"GOOD 3PTR by PERRY,MATT",1
--,"ASSIST  by HAMILTON,SHAWN",,,,,,,"ASSIST  by HAMILTON,SHAWN",1
07:22,"FOUL  by SULLIVAN,MARK",,,,,,,"FOUL  by SULLIVAN,MARK",1
07:22,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:22,,23 (+12),,11,"GOOD FT by GAGEN,BRENNAN",MMB 23-11 (-12),,"GOOD FT by GAGEN,BRENNAN",1
07:22,,23 (+11),,12,"GOOD FT by GAGEN,BRENNAN",MMB 23-12 (-11),,"GOOD FT by GAGEN,BRENNAN",1
07:22,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
07:22,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
07:22,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
07:22,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
07:06,"GOOD 3PTR by PERRY,MATT",26 (+14),,12,,TLUMEN 26-12 (-14),,"GOOD 3PTR by PERRY,MATT",1
--,"ASSIST  by KOUREMETIS,JACOB",,,,,,,"ASSIST  by KOUREMETIS,JACOB",1
06:44,"FOUL  by HAMILTON,SHAWN",,,,,,,"FOUL  by HAMILTON,SHAWN",1
06:44,,26 (+12),,14,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",MMB 26-14 (-12),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
06:44,,26 (+11),,15,"GOOD FT by TULLOS,ZACHARY",MMB 26-15 (-11),,"GOOD FT by TULLOS,ZACHARY",1
06:31,"MISS 3PTR by SULLIVAN,MARK",,,,,,,"MISS 3PTR by SULLIVAN,MARK",1
--,"REBOUND OFF by GILLETTE,MATTHEW",,,,,,,"REBOUND OFF by GILLETTE,MATTHEW",1
06:28,"MISS LAYUP by GILLETTE,MATTHEW",,,,,,,"MISS LAYUP by GILLETTE,MATTHEW",1
06:28,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1
--,"REBOUND OFF by HAMILTON,SHAWN",,,,,,,"REBOUND OFF by HAMILTON,SHAWN",1
06:23,"GOOD JUMPER by GILLETTE,MATTHEW",28 (+13),,15,,TLUMEN 28-15 (-13),,"GOOD JUMPER by GILLETTE,MATTHEW",1
--,"ASSIST  by KOUREMETIS,JACOB",,,,,,,"ASSIST  by KOUREMETIS,JACOB",1
05:54,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
05:54,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
05:54,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
05:54,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
05:54,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
05:34,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",30 (+15),,15,,TLUMEN 30-15 (-15),,"GOOD LAYUP by GILLETTE,MATTHEW(in the paint)",1
--,"ASSIST  by HAMILTON,SHAWN",,,,,,,"ASSIST  by HAMILTON,SHAWN",1
05:10,,30 (+12),,18,"GOOD 3PTR by TURNER,JAMES",MMB 30-18 (-12),,"GOOD 3PTR by TURNER,JAMES",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
04:50,"MISS 3PTR by HAMILTON,SHAWN",,,,,,,"MISS 3PTR by HAMILTON,SHAWN",1
04:50,,,,,"BLOCK  by GARDNER,ROBERT",,,"BLOCK  by GARDNER,ROBERT",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
04:38,,30 (+10),,20,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 30-20 (-10),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
04:19,"MISS 3PTR by KOUREMETIS,JACOB",,,,,,,"MISS 3PTR by KOUREMETIS,JACOB",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
04:15,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
04:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:14,"SUB IN by BEHR,ZACH",,,,,,,"SUB IN by BEHR,ZACH",1
04:14,"SUB IN by KOUREMETIS,JORDAN",,,,,,,"SUB IN by KOUREMETIS,JORDAN",1
04:14,"SUB OUT by HAMILTON,SHAWN",,,,,,,"SUB OUT by HAMILTON,SHAWN",1
04:14,"SUB OUT by KOUREMETIS,JACOB",,,,,,,"SUB OUT by KOUREMETIS,JACOB",1
04:07,"TURNOVER  by KOUREMETIS,JORDAN",,,,,,,"TURNOVER  by KOUREMETIS,JORDAN",1
04:03,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",1
04:02,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
04:02,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
03:54,"TURNOVER  by KOUREMETIS,JORDAN",,,,,,,"TURNOVER  by KOUREMETIS,JORDAN",1
03:53,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
03:37,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",1
03:37,"STEAL  by SULLIVAN,MARK",,,,,,,"STEAL  by SULLIVAN,MARK",1
03:33,"GOOD 3PTR by KOUREMETIS,JORDAN(fastbreak)",33 (+13),,20,,TLUMEN 33-20 (-13),,"GOOD 3PTR by KOUREMETIS,JORDAN(fastbreak)",1
--,"ASSIST  by SULLIVAN,MARK",,,,,,,"ASSIST  by SULLIVAN,MARK",1
03:21,"FOUL  by KOUREMETIS,JORDAN",,,,,,,"FOUL  by KOUREMETIS,JORDAN",1
03:21,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:21,,33 (+12),,21,"GOOD FT by TULLOS,ZACHARY",MMB 33-21 (-12),,"GOOD FT by TULLOS,ZACHARY",1
03:21,"SUB IN by JOWELL,HARRIS",,,,,,,"SUB IN by JOWELL,HARRIS",1
03:21,"SUB OUT by GILLETTE,MATTHEW",,,,,,,"SUB OUT by GILLETTE,MATTHEW",1
03:21,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
03:21,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
03:07,"GOOD LAYUP by SULLIVAN,MARK(in the paint)",35 (+14),,21,,TLUMEN 35-21 (-14),,"GOOD LAYUP by SULLIVAN,MARK(in the paint)",1
--,"ASSIST  by JOWELL,HARRIS",,,,,,,"ASSIST  by JOWELL,HARRIS",1
02:49,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND DEF by KOUREMETIS,JORDAN",,,,,,,"REBOUND DEF by KOUREMETIS,JORDAN",1
02:29,"TURNOVER  by JOWELL,HARRIS",,,,,,,"TURNOVER  by JOWELL,HARRIS",1
02:28,,,,,"STEAL  by TULLOS,ZACHARY",,,"STEAL  by TULLOS,ZACHARY",1
02:21,,,,,"MISS LAYUP by TULLOS,ZACHARY",,,"MISS LAYUP by TULLOS,ZACHARY",1
02:21,"BLOCK  by PERRY,MATT",,,,,,,"BLOCK  by PERRY,MATT",1
02:20,"SUB IN by THOMPSON,JOSHUA",,,,,,,"SUB IN by THOMPSON,JOSHUA",1
02:20,"SUB OUT by PERRY,MATT",,,,,,,"SUB OUT by PERRY,MATT",1
02:20,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
02:20,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:06,,35 (+11),,24,"GOOD 3PTR by KOHNKE,SAM",MMB 35-24 (-11),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
01:50,"MISS 3PTR by THOMPSON,JOSHUA",,,,,,,"MISS 3PTR by THOMPSON,JOSHUA",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:47,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
01:47,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
01:35,,35 (+9),,26,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",MMB 35-26 (-9),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
01:11,"MISS 3PTR by THOMPSON,JOSHUA",,,,,,,"MISS 3PTR by THOMPSON,JOSHUA",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
00:53,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND DEF by BEHR,ZACH",,,,,,,"REBOUND DEF by BEHR,ZACH",1
00:31,"MISS JUMPER by BEHR,ZACH",,,,,,,"MISS JUMPER by BEHR,ZACH",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
00:03,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,,,,,"REBOUND OFF by KOHNKE,SAM",,,"REBOUND OFF by KOHNKE,SAM",1
00:00,,35 (+7),,28,"GOOD JUMPER by KOHNKE,SAM",MMB 35-28 (-7),,"GOOD JUMPER by KOHNKE,SAM",1
19:37,,35 (+5),,30,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",MMB 35-30 (-5),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",2
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",2
19:31,"MISS 3PTR by KOUREMETIS,JORDAN",,,,,,,"MISS 3PTR by KOUREMETIS,JORDAN",2
--,"REBOUND OFF by JOWELL,HARRIS",,,,,,,"REBOUND OFF by JOWELL,HARRIS",2
19:15,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
19:15,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",2
19:06,"GOOD 3PTR by KOUREMETIS,JORDAN",38 (+8),,30,,TLUMEN 38-30 (-8),,"GOOD 3PTR by KOUREMETIS,JORDAN",2
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",2
18:45,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
18:23,"MISS JUMPER by JOWELL,HARRIS",,,,,,,"MISS JUMPER by JOWELL,HARRIS",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
18:09,,38 (+6),,32,"GOOD JUMPER by BLANZ,BUCK",MMB 38-32 (-6),,"GOOD JUMPER by BLANZ,BUCK",2
--,,,,,"ASSIST  by TULLOS,ZACHARY",,,"ASSIST  by TULLOS,ZACHARY",2
17:51,"GOOD JUMPER by KOUREMETIS,JORDAN",40 (+8),,32,,TLUMEN 40-32 (-8),,"GOOD JUMPER by KOUREMETIS,JORDAN",2
--,"ASSIST  by JOWELL,HARRIS",,,,,,,"ASSIST  by JOWELL,HARRIS",2
17:15,,40 (+6),,34,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",MMB 40-34 (-6),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
16:49,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",2
16:49,"GOOD FT by KOUREMETIS,JORDAN",41 (+7),,34,,TLUMEN 41-34 (-7),,"GOOD FT by KOUREMETIS,JORDAN",2
16:49,"GOOD FT by KOUREMETIS,JORDAN",42 (+8),,34,,TLUMEN 42-34 (-8),,"GOOD FT by KOUREMETIS,JORDAN",2
16:49,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
16:49,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
