Time Remaining,LOU,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
16:49,,,,,"SUB OUT by WISE,ASA",,,"SUB OUT by WISE,ASA",1
16:49,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
16:49,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
16:49,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
16:49,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
16:49,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
16:49,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
16:49,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
16:49,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
16:37,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND DEF by BURKS,NICK",,,,,,,"REBOUND DEF by BURKS,NICK",1
16:26,"GOOD LAYUP by REGIS,RAHEEM(in the paint)",4 (+4),,0,,LOU 4-0 (-4),,"GOOD LAYUP by REGIS,RAHEEM(in the paint)",1
--,"ASSIST  by GROGAN,TAYLAN",,,,,,,"ASSIST  by GROGAN,TAYLAN",1
16:17,"FOUL  by BURKS,NICK",,,,,,,"FOUL  by BURKS,NICK",1
16:10,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",1
16:07,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
16:07,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
15:50,"GOOD LAYUP by GROGAN,TAYLAN(in the paint)",6 (+6),,0,,LOU 6-0 (-6),,"GOOD LAYUP by GROGAN,TAYLAN(in the paint)",1
15:33,,6 (+3),,3,"GOOD 3PTR by GARDNER,ROBERT",MIL 6-3 (-3),,"GOOD 3PTR by GARDNER,ROBERT",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
15:21,"MISS LAYUP by REGIS,RAHEEM",,,,,,,"MISS LAYUP by REGIS,RAHEEM",1
--,,,,,"REBOUND DEF by MASON,WADE",,,"REBOUND DEF by MASON,WADE",1
15:13,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",1
--,"REBOUND DEF by GROGAN,TAYLAN",,,,,,,"REBOUND DEF by GROGAN,TAYLAN",1
15:03,"MISS LAYUP by LEE,TORRIAN",,,,,,,"MISS LAYUP by LEE,TORRIAN",1
--,"REBOUND OFF by REGIS,RAHEEM",,,,,,,"REBOUND OFF by REGIS,RAHEEM",1
15:03,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
15:03,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:02,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
15:02,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
15:02,"MISS FT by REGIS,RAHEEM",,,,,,,"MISS FT by REGIS,RAHEEM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:02,"GOOD FT by REGIS,RAHEEM",7 (+4),,3,,LOU 7-3 (-4),,"GOOD FT by REGIS,RAHEEM",1
15:02,"SUB IN by WATKINS,BRANDON",,,,,,,"SUB IN by WATKINS,BRANDON",1
15:02,"SUB OUT by REGIS,RAHEEM",,,,,,,"SUB OUT by REGIS,RAHEEM",1
14:43,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",1
--,"REBOUND DEF by DAVIS,D'AARON",,,,,,,"REBOUND DEF by DAVIS,D'AARON",1
14:27,"MISS JUMPER by GROGAN,TAYLAN",,,,,,,"MISS JUMPER by GROGAN,TAYLAN",1
14:27,,,,,"BLOCK  by GARDNER,ROBERT",,,"BLOCK  by GARDNER,ROBERT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:26,"SUB IN by EVANS,STEVE",,,,,,,"SUB IN by EVANS,STEVE",1
14:26,"SUB OUT by DAVIS,D'AARON",,,,,,,"SUB OUT by DAVIS,D'AARON",1
14:15,"TURNOVER  by GROGAN,TAYLAN",,,,,,,"TURNOVER  by GROGAN,TAYLAN",1
14:15,"FOUL  by GROGAN,TAYLAN",,,,,,,"FOUL  by GROGAN,TAYLAN",1
14:12,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
14:12,,,,,"SUB OUT by WISE,ASA",,,"SUB OUT by WISE,ASA",1
14:12,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
14:12,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
14:12,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
14:12,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
14:12,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
14:12,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
14:12,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
14:12,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
14:12,,,,,"TURNOVER  by COLEMAN,DANIEL",,,"TURNOVER  by COLEMAN,DANIEL",1
14:10,"STEAL  by LEE,TORRIAN",,,,,,,"STEAL  by LEE,TORRIAN",1
14:08,"TURNOVER  by LEE,TORRIAN",,,,,,,"TURNOVER  by LEE,TORRIAN",1
13:57,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND DEF by EVANS,STEVE",,,,,,,"REBOUND DEF by EVANS,STEVE",1
13:45,"MISS LAYUP by WATKINS,BRANDON",,,,,,,"MISS LAYUP by WATKINS,BRANDON",1
--,"REBOUND OFF by WATKINS,BRANDON",,,,,,,"REBOUND OFF by WATKINS,BRANDON",1
13:43,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
13:43,,,,,"SUB OUT by WISE,ASA",,,"SUB OUT by WISE,ASA",1
13:43,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
13:43,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
13:43,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
13:43,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
13:43,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
13:43,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
13:43,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
13:43,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
13:43,"SUB OUT by PARKER,JOHN",,,,,,,"SUB OUT by PARKER,JOHN",1
13:43,"SUB OUT by HILL,PALMER",,,,,,,"SUB OUT by HILL,PALMER",1
13:43,"SUB OUT by DAVIS,MIKE",,,,,,,"SUB OUT by DAVIS,MIKE",1
13:43,"SUB OUT by LEBLANC,LEJAWON",,,,,,,"SUB OUT by LEBLANC,LEJAWON",1
13:43,"SUB OUT by COLEMAN,J",,,,,,,"SUB OUT by COLEMAN,J",1
13:43,"SUB IN by COTTONHAM,KEVIN",,,,,,,"SUB IN by COTTONHAM,KEVIN",1
13:43,"SUB IN by PARKER,JOHN",,,,,,,"SUB IN by PARKER,JOHN",1
13:43,"SUB IN by STOKES,TIMOTHY",,,,,,,"SUB IN by STOKES,TIMOTHY",1
13:43,"SUB IN by EVANS,STEVE",,,,,,,"SUB IN by EVANS,STEVE",1
13:43,"SUB IN by WATKINS,BRANDON",,,,,,,"SUB IN by WATKINS,BRANDON",1
13:29,"MISS JUMPER by PARKER,JOHN",,,,,,,"MISS JUMPER by PARKER,JOHN",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
13:19,,,,,"MISS 3PTR by GARDNER,ROBERT",,,"MISS 3PTR by GARDNER,ROBERT",1
--,"REBOUND DEF by WATKINS,BRANDON",,,,,,,"REBOUND DEF by WATKINS,BRANDON",1
13:06,"MISS JUMPER by EVANS,STEVE",,,,,,,"MISS JUMPER by EVANS,STEVE",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
12:52,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
12:52,"STEAL  by COTTONHAM,KEVIN",,,,,,,"STEAL  by COTTONHAM,KEVIN",1
12:48,"TURNOVER  by COTTONHAM,KEVIN",,,,,,,"TURNOVER  by COTTONHAM,KEVIN",1
12:47,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",1
12:40,"FOUL  by EVANS,STEVE",,,,,,,"FOUL  by EVANS,STEVE",1
12:40,,7 (+3),,4,"GOOD FT by GARDNER,ROBERT",MIL 7-4 (-3),,"GOOD FT by GARDNER,ROBERT",1
12:40,,7 (+2),,5,"GOOD FT by GARDNER,ROBERT",MIL 7-5 (-2),,"GOOD FT by GARDNER,ROBERT",1
12:23,"MISS LAYUP by COTTONHAM,KEVIN",,,,,,,"MISS LAYUP by COTTONHAM,KEVIN",1
12:23,,,,,"BLOCK  by GARDNER,ROBERT",,,"BLOCK  by GARDNER,ROBERT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:15,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
12:15,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
12:10,"MISS 3PTR by STOKES,TIMOTHY",,,,,,,"MISS 3PTR by STOKES,TIMOTHY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:55,,7,,7,"GOOD JUMPER by BLANZ,BUCK",MIL 7-7 (0),,"GOOD JUMPER by BLANZ,BUCK",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
11:38,"MISS LAYUP by EVANS,STEVE",,,,,,,"MISS LAYUP by EVANS,STEVE",1
11:38,,,,,"BLOCK  by MANCUSO,LOGAN",,,"BLOCK  by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
11:23,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
11:23,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:23,"SUB IN by REGIS,RAHEEM",,,,,,,"SUB IN by REGIS,RAHEEM",1
11:23,"SUB OUT by WATKINS,BRANDON",,,,,,,"SUB OUT by WATKINS,BRANDON",1
11:21,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
11:06,"MISS LAYUP by REGIS,RAHEEM",,,,,,,"MISS LAYUP by REGIS,RAHEEM",1
--,"REBOUND OFF by REGIS,RAHEEM",,,,,,,"REBOUND OFF by REGIS,RAHEEM",1
11:03,"GOOD LAYUP by REGIS,RAHEEM(in the paint)",9 (+2),,7,,LOU 9-7 (-2),,"GOOD LAYUP by REGIS,RAHEEM(in the paint)",1
10:53,"FOUL  by STOKES,TIMOTHY",,,,,,,"FOUL  by STOKES,TIMOTHY",1
10:53,,,,,"TURNOVER  by MANCUSO,LOGAN",,,"TURNOVER  by MANCUSO,LOGAN",1
10:53,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
10:40,"TURNOVER  by COTTONHAM,KEVIN",,,,,,,"TURNOVER  by COTTONHAM,KEVIN",1
10:39,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",1
10:26,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
10:24,"STEAL  by PARKER,JOHN",,,,,,,"STEAL  by PARKER,JOHN",1
10:22,"GOOD LAYUP by COTTONHAM,KEVIN(fastbreak)(in the paint)",11 (+4),,7,,LOU 11-7 (-4),,"GOOD LAYUP by COTTONHAM,KEVIN(fastbreak)(in the paint)",1
--,"ASSIST  by STOKES,TIMOTHY",,,,,,,"ASSIST  by STOKES,TIMOTHY",1
10:10,,11 (+2),,9,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MIL 11-9 (-2),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
09:56,"GOOD 3PTR by COTTONHAM,KEVIN",14 (+5),,9,,LOU 14-9 (-5),,"GOOD 3PTR by COTTONHAM,KEVIN",1
09:37,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by EVANS,STEVE",,,,,,,"REBOUND DEF by EVANS,STEVE",1
09:27,"GOOD JUMPER by REGIS,RAHEEM",16 (+7),,9,,LOU 16-9 (-7),,"GOOD JUMPER by REGIS,RAHEEM",1
--,"ASSIST  by PARKER,JOHN",,,,,,,"ASSIST  by PARKER,JOHN",1
09:11,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
09:07,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
09:07,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
09:07,,,,,"SUB OUT by WISE,ASA",,,"SUB OUT by WISE,ASA",1
09:07,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
09:07,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
09:07,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
09:07,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
09:07,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
09:07,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
09:07,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
09:07,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
09:07,"SUB OUT by PARKER,JOHN",,,,,,,"SUB OUT by PARKER,JOHN",1
09:07,"SUB OUT by HILL,PALMER",,,,,,,"SUB OUT by HILL,PALMER",1
09:07,"SUB OUT by DAVIS,MIKE",,,,,,,"SUB OUT by DAVIS,MIKE",1
09:07,"SUB OUT by LEBLANC,LEJAWON",,,,,,,"SUB OUT by LEBLANC,LEJAWON",1
09:07,"SUB OUT by COLEMAN,J",,,,,,,"SUB OUT by COLEMAN,J",1
09:07,"SUB IN by LEE,TORRIAN",,,,,,,"SUB IN by LEE,TORRIAN",1
09:07,"SUB IN by PARKER,JOHN",,,,,,,"SUB IN by PARKER,JOHN",1
09:07,"SUB IN by GROGAN,TAYLAN",,,,,,,"SUB IN by GROGAN,TAYLAN",1
09:07,"SUB IN by DAVIS,D'AARON",,,,,,,"SUB IN by DAVIS,D'AARON",1
09:07,"SUB IN by EVANS,STEVE",,,,,,,"SUB IN by EVANS,STEVE",1
08:47,"TURNOVER  by DAVIS,D'AARON",,,,,,,"TURNOVER  by DAVIS,D'AARON",1
08:47,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
08:47,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
08:36,"FOUL  by EVANS,STEVE",,,,,,,"FOUL  by EVANS,STEVE",1
08:36,"SUB IN by WATKINS,BRANDON",,,,,,,"SUB IN by WATKINS,BRANDON",1
08:36,"SUB OUT by EVANS,STEVE",,,,,,,"SUB OUT by EVANS,STEVE",1
08:25,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
08:25,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
08:25,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
08:24,"STEAL  by PARKER,JOHN",,,,,,,"STEAL  by PARKER,JOHN",1
08:17,"MISS JUMPER by WATKINS,BRANDON",,,,,,,"MISS JUMPER by WATKINS,BRANDON",1
--,"REBOUND OFF by PARKER,JOHN",,,,,,,"REBOUND OFF by PARKER,JOHN",1
08:14,"GOOD LAYUP by PARKER,JOHN(in the paint)",18 (+9),,9,,LOU 18-9 (-9),,"GOOD LAYUP by PARKER,JOHN(in the paint)",1
07:56,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
07:55,"STEAL  by WATKINS,BRANDON",,,,,,,"STEAL  by WATKINS,BRANDON",1
07:53,"MISS LAYUP by PARKER,JOHN",,,,,,,"MISS LAYUP by PARKER,JOHN",1
--,"REBOUND OFF by WATKINS,BRANDON",,,,,,,"REBOUND OFF by WATKINS,BRANDON",1
07:50,"GOOD TIPIN by WATKINS,BRANDON(in the paint)",20 (+11),,9,,LOU 20-9 (-11),,"GOOD TIPIN by WATKINS,BRANDON(in the paint)",1
07:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:49,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:49,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
07:49,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
07:37,,,,,"MISS JUMPER by TULLOS,ZACHARY",,,"MISS JUMPER by TULLOS,ZACHARY",1
--,"REBOUND DEF by DAVIS,D'AARON",,,,,,,"REBOUND DEF by DAVIS,D'AARON",1
07:26,"MISS LAYUP by PARKER,JOHN",,,,,,,"MISS LAYUP by PARKER,JOHN",1
--,"REBOUND OFF by DAVIS,D'AARON",,,,,,,"REBOUND OFF by DAVIS,D'AARON",1
07:17,"GOOD LAYUP by DAVIS,D'AARON(in the paint)",22 (+13),,9,,LOU 22-9 (-13),,"GOOD LAYUP by DAVIS,D'AARON(in the paint)",1
--,"ASSIST  by LEE,TORRIAN",,,,,,,"ASSIST  by LEE,TORRIAN",1
07:04,"FOUL  by LEE,TORRIAN",,,,,,,"FOUL  by LEE,TORRIAN",1
07:04,,22 (+12),,10,"GOOD FT by GAGEN,BRENNAN",MIL 22-10 (-12),,"GOOD FT by GAGEN,BRENNAN",1
07:04,,22 (+11),,11,"GOOD FT by GAGEN,BRENNAN",MIL 22-11 (-11),,"GOOD FT by GAGEN,BRENNAN",1
06:37,"MISS 3PTR by LEE,TORRIAN",,,,,,,"MISS 3PTR by LEE,TORRIAN",1
--,"REBOUND OFF by PARKER,JOHN",,,,,,,"REBOUND OFF by PARKER,JOHN",1
06:32,"GOOD TIPIN by PARKER,JOHN(in the paint)",24 (+13),,11,,LOU 24-11 (-13),,"GOOD TIPIN by PARKER,JOHN(in the paint)",1
06:15,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
06:15,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
06:15,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
06:15,"SUB OUT by PARKER,JOHN",,,,,,,"SUB OUT by PARKER,JOHN",1
06:15,"SUB OUT by HILL,PALMER",,,,,,,"SUB OUT by HILL,PALMER",1
06:15,"SUB OUT by DAVIS,MIKE",,,,,,,"SUB OUT by DAVIS,MIKE",1
06:15,"SUB OUT by LEBLANC,LEJAWON",,,,,,,"SUB OUT by LEBLANC,LEJAWON",1
06:15,"SUB OUT by COLEMAN,J",,,,,,,"SUB OUT by COLEMAN,J",1
06:15,"SUB IN by COTTONHAM,KEVIN",,,,,,,"SUB IN by COTTONHAM,KEVIN",1
06:15,"SUB IN by PARKER,JOHN",,,,,,,"SUB IN by PARKER,JOHN",1
06:15,"SUB IN by STOKES,TIMOTHY",,,,,,,"SUB IN by STOKES,TIMOTHY",1
06:15,"SUB IN by REGIS,RAHEEM",,,,,,,"SUB IN by REGIS,RAHEEM",1
06:15,"SUB IN by EVANS,STEVE",,,,,,,"SUB IN by EVANS,STEVE",1
05:47,"TURNOVER  by STOKES,TIMOTHY",,,,,,,"TURNOVER  by STOKES,TIMOTHY",1
05:46,,,,,"STEAL  by TULLOS,ZACHARY",,,"STEAL  by TULLOS,ZACHARY",1
05:42,,24 (+11),,13,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",MIL 24-13 (-11),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",1
05:13,"MISS JUMPER by EVANS,STEVE",,,,,,,"MISS JUMPER by EVANS,STEVE",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
04:59,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
04:56,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
04:56,"SUB IN by BURKS,NICK",,,,,,,"SUB IN by BURKS,NICK",1
04:56,"SUB OUT by REGIS,RAHEEM",,,,,,,"SUB OUT by REGIS,RAHEEM",1
04:35,"MISS LAYUP by PARKER,JOHN",,,,,,,"MISS LAYUP by PARKER,JOHN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:18,,24 (+9),,15,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MIL 24-15 (-9),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
03:49,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
03:49,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:49,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
03:49,,,,,"SUB OUT by WISE,ASA",,,"SUB OUT by WISE,ASA",1
03:49,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
03:49,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
03:49,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
03:49,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
03:49,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
03:49,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
03:49,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
03:49,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
03:49,"SUB IN by GROGAN,TAYLAN",,,,,,,"SUB IN by GROGAN,TAYLAN",1
03:49,"SUB OUT by EVANS,STEVE",,,,,,,"SUB OUT by EVANS,STEVE",1
03:49,"MISS FT by BURKS,NICK",,,,,,,"MISS FT by BURKS,NICK",1
