Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
02:25,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by PRICE,VICTOR",,,,,,,"REBOUND DEF by PRICE,VICTOR",1
02:16,"TURNOVER  by PRICE,VICTOR",,,,,,,"TURNOVER  by PRICE,VICTOR",1
02:02,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",1
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",1
01:50,"MISS 3PTR by RICHARDSON,TERIK",,,,,,,"MISS 3PTR by RICHARDSON,TERIK",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
01:34,,21 (+2),,19,"GOOD JUMPER by BLANZ,BUCK(in the paint)",MMB 21-19 (-2),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",1
01:06,"TURNOVER  by DAVIS,RON",,,,,,,"TURNOVER  by DAVIS,RON",1
01:04,,,,,"STEAL  by BECKER,SAXTON",,,"STEAL  by BECKER,SAXTON",1
00:55,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
00:53,"STEAL  by RICHARDSON,TERIK",,,,,,,"STEAL  by RICHARDSON,TERIK",1
00:42,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
00:42,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
00:42,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
00:23,"MISS LAYUP by PRESSLEY,BRANDON",,,,,,,"MISS LAYUP by PRESSLEY,BRANDON",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
00:10,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
00:06,,,,,"MISS JUMPER by MASON,WADE",,,"MISS JUMPER by MASON,WADE",1
--,"REBOUND DEF by RICHARDSON,TERIK",,,,,,,"REBOUND DEF by RICHARDSON,TERIK",1
00:00,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by DAVIS,RON",,,,,,,"SUB IN by DAVIS,RON",2
20:00,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",2
20:00,"SUB IN by LORIS,JOHN",,,,,,,"SUB IN by LORIS,JOHN",2
20:00,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",2
20:00,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",2
20:00,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
20:00,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",2
20:00,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
20:00,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
20:00,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
19:33,,,,,"MISS JUMPER by TURNER,JAMES",,,"MISS JUMPER by TURNER,JAMES",2
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",2
--,"REBOUND DEF by PRESSLEY,BRANDON",,,,,,,"REBOUND DEF by PRESSLEY,BRANDON",2
19:21,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",2
19:00,"MISS 3PTR by LORIS,JOHN",,,,,,,"MISS 3PTR by LORIS,JOHN",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
18:41,,21,,21,"GOOD LAYUP by GARDNER,ROBERT(in the paint)",MMB 21-21 (0),,"GOOD LAYUP by GARDNER,ROBERT(in the paint)",2
18:32,"GOOD LAYUP by DAVIS,RON(in the paint)",23 (+2),,21,,BU 23-21 (-2),,"GOOD LAYUP by DAVIS,RON(in the paint)",2
--,"ASSIST  by PRICE,VICTOR",,,,,,,"ASSIST  by PRICE,VICTOR",2
18:00,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",2
18:00,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
17:47,"TURNOVER  by PRESSLEY,BRANDON",,,,,,,"TURNOVER  by PRESSLEY,BRANDON",2
17:46,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
17:44,,23,,23,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",MMB 23-23 (0),,"GOOD LAYUP by KOHNKE,SAM(fastbreak)(in the paint)",2
17:28,"TURNOVER  by PRESSLEY,BRANDON",,,,,,,"TURNOVER  by PRESSLEY,BRANDON",2
17:28,,,,,"STEAL  by KOHNKE,SAM",,,"STEAL  by KOHNKE,SAM",2
17:21,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",2
--,,,,,"REBOUND OFF by KOHNKE,SAM",,,"REBOUND OFF by KOHNKE,SAM",2
17:17,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
17:17,"SUB IN by HEERINGEN,GIAN VAN",,,,,,,"SUB IN by HEERINGEN,GIAN VAN",2
17:17,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",2
16:52,"MISS 3PTR by RICHARDSON,TERIK",,,,,,,"MISS 3PTR by RICHARDSON,TERIK",2
