Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
00:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:26,,,,,"TURNOVER  by GARDNER,ROBERT",,,"TURNOVER  by GARDNER,ROBERT",2
00:25,"STEAL  by HODUM,RICK",,,,,,,"STEAL  by HODUM,RICK",2
00:21,"GOOD LAYUP by HODUM,RICK(in the paint)",54,,60 (+6),,BU 54-60 (+6),,"GOOD LAYUP by HODUM,RICK(in the paint)",2
00:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:16,"FOUL  by PRICE,VICTOR",,,,,,,"FOUL  by PRICE,VICTOR",2
00:13,,,,,"MISS FT by GAGEN,BRENNAN",,,"MISS FT by GAGEN,BRENNAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:00,,54,,61 (+7),"GOOD FT by GAGEN,BRENNAN",MMB 54-61 (+7),,"GOOD FT by GAGEN,BRENNAN",2
00:00,,,,,"MISS JUMPER by COLEMAN,DANIEL",,,"MISS JUMPER by COLEMAN,DANIEL",2
--,"REBOUND DEF by COLE,DAVID",,,,,,,"REBOUND DEF by COLE,DAVID",2
00:00,"FOUL  by RICHARDSON,TERIK",,,,,,,"FOUL  by RICHARDSON,TERIK",2
00:08,,54,,62 (+8),"GOOD FT by GAGEN,BRENNAN",MMB 54-62 (+8),,"GOOD FT by GAGEN,BRENNAN",2
00:08,,54,,63 (+9),"GOOD FT by GAGEN,BRENNAN",MMB 54-63 (+9),,"GOOD FT by GAGEN,BRENNAN",2
00:01,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
00:01,"MISS FT by DAVIS,RON",,,,,,,"MISS FT by DAVIS,RON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:01,"GOOD FT by DAVIS,RON",55,,63 (+8),,BU 55-63 (+8),,"GOOD FT by DAVIS,RON",2
00:01,"GOOD FT by DAVIS,RON",56,,63 (+7),,BU 56-63 (+7),,"GOOD FT by DAVIS,RON",2
00:00,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",2
00:00,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
00:00,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
00:00,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",2
00:00,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
