Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:00,,11,,15 (+4),"GOOD FT by CALAMESE,MICHAEL",HENDRIX 11-15 (-4),,"GOOD FT by CALAMESE,MICHAEL",1
12:00,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
12:00,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
12:00,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
12:00,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
11:50,"GOOD LAYUP by TULLOS,ZACHARY(fastbreak)(in the paint)",13,,15 (+2),,MMB 13-15 (-2),,"GOOD LAYUP by TULLOS,ZACHARY(fastbreak)(in the paint)",1
--,"ASSIST  by MASON,WADE",,,,,,,"ASSIST  by MASON,WADE",1
11:34,,13,,17 (+4),"GOOD JUMPER by GARRETT,TRAVIS",HENDRIX 13-17 (-4),,"GOOD JUMPER by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
11:10,"TURNOVER  by MASON,WADE",,,,,,,"TURNOVER  by MASON,WADE",1
11:10,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:10,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
11:10,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
10:43,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",1
10:21,"GOOD 3PTR by TURNER,JAMES",16,,17 (+1),,MMB 16-17 (-1),,"GOOD 3PTR by TURNER,JAMES",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
10:03,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
09:59,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by MASON,WADE",,,,,,,"REBOUND DEF by MASON,WADE",1
09:36,"MISS JUMPER by TULLOS,ZACHARY",,,,,,,"MISS JUMPER by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
09:25,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",1
