Time Remaining,MMB,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
--,"ASSIST ASSIST by GAGEN,BRENNAN",,,,,,,"ASSIST ASSIST by GAGEN,BRENNAN",1
16:14,,8,,11 (+3),"GOOD 3PTR by SWISHER,JEREMY",ACM 8-11 (-3),,"GOOD 3PTR by SWISHER,JEREMY",1
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",1
16:01,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by SWISHER,JEREMY",,,"REBOUND DEF by SWISHER,JEREMY",1
15:46,,,,,"MISS JUMPER by SWISHER,JEREMY",,,"MISS JUMPER by SWISHER,JEREMY",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
15:37,"GOOD JUMPER by GAGEN,BRENNAN",10,,11 (+1),,MMB 10-11 (-1),,"GOOD JUMPER by GAGEN,BRENNAN",1
15:21,,10,,14 (+4),"GOOD 3PTR by WELLS,AUSTIN",ACM 10-14 (-4),,"GOOD 3PTR by WELLS,AUSTIN",1
--,,,,,"ASSIST ASSIST by IGBINOSA,STEPHEN",,,"ASSIST ASSIST by IGBINOSA,STEPHEN",1
15:07,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",1
15:00,"GOOD JUMPER by BLANZ,BUCK",12,,14 (+2),,MMB 12-14 (-2),,"GOOD JUMPER by BLANZ,BUCK",1
14:42,,12,,17 (+5),"GOOD 3PTR by FREET,AUSTIN",ACM 12-17 (-5),,"GOOD 3PTR by FREET,AUSTIN",1
--,,,,,"ASSIST ASSIST by WELLS,AUSTIN",,,"ASSIST ASSIST by WELLS,AUSTIN",1
14:18,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND OFF by GARDNER,ROBERT",,,,,,,"REBOUND OFF by GARDNER,ROBERT",1
14:14,,,,,"FOUL  by WELLS,AUSTIN",,,"FOUL  by WELLS,AUSTIN",1
14:14,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
14:14,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
14:14,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",1
14:14,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
14:14,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
14:14,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
14:14,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
14:14,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
14:06,,,,,"SUB IN by JOHNSON,PATRICK",,,"SUB IN by JOHNSON,PATRICK",1
14:06,,,,,"SUB IN by PASS,JOHN",,,"SUB IN by PASS,JOHN",1
14:06,,,,,"SUB IN by FEIDER,JP",,,"SUB IN by FEIDER,JP",1
14:06,,,,,"SUB IN by RIVERA,ANDRES",,,"SUB IN by RIVERA,ANDRES",1
14:06,,,,,"SUB IN by QUINN,JOSH",,,"SUB IN by QUINN,JOSH",1
14:06,,,,,"SUB OUT by BAEHL,BRIAN",,,"SUB OUT by BAEHL,BRIAN",1
14:06,,,,,"SUB OUT by IGBINOSA,STEPHEN",,,"SUB OUT by IGBINOSA,STEPHEN",1
14:06,,,,,"SUB OUT by SWISHER,JEREMY",,,"SUB OUT by SWISHER,JEREMY",1
14:06,,,,,"SUB OUT by WELLS,AUSTIN",,,"SUB OUT by WELLS,AUSTIN",1
14:06,,,,,"SUB OUT by FREET,AUSTIN",,,"SUB OUT by FREET,AUSTIN",1
14:02,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",1
13:59,,,,,"STEAL  by FEIDER,JP",,,"STEAL  by FEIDER,JP",1
13:58,,12,,19 (+7),"GOOD LAYUP by JOHNSON,PATRICK(fastbreak)(in the paint)",ACM 12-19 (-7),,"GOOD LAYUP by JOHNSON,PATRICK(fastbreak)(in the paint)",1
13:52,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
13:44,,,,,"MISS 3PTR by PASS,JOHN",,,"MISS 3PTR by PASS,JOHN",1
--,,,,,"REBOUND OFF by RIVERA,ANDRES",,,"REBOUND OFF by RIVERA,ANDRES",1
13:33,,,,,"MISS 3PTR by RIVERA,ANDRES",,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
13:17,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND OFF by MANCUSO,LOGAN",,,,,,,"REBOUND OFF by MANCUSO,LOGAN",1
13:11,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
13:09,,,,,"STEAL  by PASS,JOHN",,,"STEAL  by PASS,JOHN",1
12:46,,,,,"MISS 3PTR by QUINN,JOSH",,,"MISS 3PTR by QUINN,JOSH",1
--,,,,,"REBOUND OFF by FEIDER,JP",,,"REBOUND OFF by FEIDER,JP",1
12:43,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
12:42,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
12:42,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
12:25,,12,,22 (+10),"GOOD 3PTR by RIVERA,ANDRES",ACM 12-22 (-10),,"GOOD 3PTR by RIVERA,ANDRES",1
--,,,,,"ASSIST ASSIST by QUINN,JOSH",,,"ASSIST ASSIST by QUINN,JOSH",1
12:06,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
12:06,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
11:58,"GOOD JUMPER by MASON,WADE",14,,22 (+8),,MMB 14-22 (-8),,"GOOD JUMPER by MASON,WADE",1
--,"ASSIST ASSIST by GAGEN,BRENNAN",,,,,,,"ASSIST ASSIST by GAGEN,BRENNAN",1
11:41,,,,,"TURNOVER  by RIVERA,ANDRES",,,"TURNOVER  by RIVERA,ANDRES",1
11:41,,,,,"SUB IN by WADE,JUSTIN",,,"SUB IN by WADE,JUSTIN",1
11:41,,,,,"SUB IN by BAEHL,BRIAN",,,"SUB IN by BAEHL,BRIAN",1
11:41,,,,,"SUB IN by FREET,AUSTIN",,,"SUB IN by FREET,AUSTIN",1
11:41,,,,,"SUB IN by SWISHER,JEREMY",,,"SUB IN by SWISHER,JEREMY",1
11:41,,,,,"SUB OUT by JOHNSON,PATRICK",,,"SUB OUT by JOHNSON,PATRICK",1
11:41,,,,,"SUB OUT by PASS,JOHN",,,"SUB OUT by PASS,JOHN",1
11:41,,,,,"SUB OUT by FEIDER,JP",,,"SUB OUT by FEIDER,JP",1
11:41,,,,,"SUB OUT by RIVERA,ANDRES",,,"SUB OUT by RIVERA,ANDRES",1
11:28,"GOOD JUMPER by MASON,WADE",16,,22 (+6),,MMB 16-22 (-6),,"GOOD JUMPER by MASON,WADE",1
--,"ASSIST ASSIST by MARKWITH,TRENT",,,,,,,"ASSIST ASSIST by MARKWITH,TRENT",1
11:17,,16,,24 (+8),"GOOD LAYUP by WADE,JUSTIN(in the paint)",ACM 16-24 (-8),,"GOOD LAYUP by WADE,JUSTIN(in the paint)",1
--,,,,,"ASSIST ASSIST by SWISHER,JEREMY",,,"ASSIST ASSIST by SWISHER,JEREMY",1
10:49,"TURNOVER  by MANCUSO,LOGAN",,,,,,,"TURNOVER  by MANCUSO,LOGAN",1
10:49,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
10:49,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
10:49,,,,,"SUB IN by DICKERMAN,JOSH",,,"SUB IN by DICKERMAN,JOSH",1
10:49,,,,,"SUB OUT by QUINN,JOSH",,,"SUB OUT by QUINN,JOSH",1
10:24,,16,,26 (+10),"GOOD LAYUP by BAEHL,BRIAN(in the paint)",ACM 16-26 (-10),,"GOOD LAYUP by BAEHL,BRIAN(in the paint)",1
10:21,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
09:54,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
09:34,,16,,29 (+13),"GOOD 3PTR by BAEHL,BRIAN",ACM 16-29 (-13),,"GOOD 3PTR by BAEHL,BRIAN",1
--,,,,,"ASSIST ASSIST by SWISHER,JEREMY",,,"ASSIST ASSIST by SWISHER,JEREMY",1
09:23,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",1
09:14,,,,,"FOUL  by SWISHER,JEREMY",,,"FOUL  by SWISHER,JEREMY",1
09:14,,,,,"TURNOVER  by SWISHER,JEREMY",,,"TURNOVER  by SWISHER,JEREMY",1
09:14,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
09:14,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
09:14,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
09:14,"SUB OUT by MASON,WADE",,,,,,,"SUB OUT by MASON,WADE",1
08:54,"GOOD JUMPER by TULLOS,ZACHARY",18,,29 (+11),,MMB 18-29 (-11),,"GOOD JUMPER by TULLOS,ZACHARY",1
--,"ASSIST ASSIST by GAGEN,BRENNAN",,,,,,,"ASSIST ASSIST by GAGEN,BRENNAN",1
08:29,,,,,"TURNOVER  by FREET,AUSTIN",,,"TURNOVER  by FREET,AUSTIN",1
08:28,"STEAL  by BLANZ,BUCK",,,,,,,"STEAL  by BLANZ,BUCK",1
08:11,"GOOD LAYUP by BLANZ,BUCK(in the paint)",20,,29 (+9),,MMB 20-29 (-9),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
--,"ASSIST ASSIST by TULLOS,ZACHARY",,,,,,,"ASSIST ASSIST by TULLOS,ZACHARY",1
07:47,,,,,"MISS 3PTR by DICKERMAN,JOSH",,,"MISS 3PTR by DICKERMAN,JOSH",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
07:27,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:24,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",1
07:24,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
07:24,,,,,"SUB IN by WELLS,AUSTIN",,,"SUB IN by WELLS,AUSTIN",1
07:24,,,,,"SUB IN by IGBINOSA,STEPHEN",,,"SUB IN by IGBINOSA,STEPHEN",1
07:24,,,,,"SUB OUT by WADE,JUSTIN",,,"SUB OUT by WADE,JUSTIN",1
07:24,,,,,"SUB OUT by DICKERMAN,JOSH",,,"SUB OUT by DICKERMAN,JOSH",1
07:15,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
07:13,,,,,"STEAL  by FREET,AUSTIN",,,"STEAL  by FREET,AUSTIN",1
07:09,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",1
--,,,,,"REBOUND OFF by SWISHER,JEREMY",,,"REBOUND OFF by SWISHER,JEREMY",1
07:01,,20,,31 (+11),"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",ACM 20-31 (-11),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",1
--,,,,,"ASSIST ASSIST by SWISHER,JEREMY",,,"ASSIST ASSIST by SWISHER,JEREMY",1
06:44,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by BAEHL,BRIAN",,,"REBOUND DEF by BAEHL,BRIAN",1
06:35,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
06:35,,20,,32 (+12),"GOOD FT by BAEHL,BRIAN",ACM 20-32 (-12),,"GOOD FT by BAEHL,BRIAN",1
06:35,,,,,"MISS FT by BAEHL,BRIAN",,,"MISS FT by BAEHL,BRIAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:09,"GOOD JUMPER by TULLOS,ZACHARY",22,,32 (+10),,MMB 22-32 (-10),,"GOOD JUMPER by TULLOS,ZACHARY",1
--,"ASSIST ASSIST by BLANZ,BUCK",,,,,,,"ASSIST ASSIST by BLANZ,BUCK",1
05:50,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
05:50,,22,,33 (+11),"GOOD FT by IGBINOSA,STEPHEN",ACM 22-33 (-11),,"GOOD FT by IGBINOSA,STEPHEN",1
05:50,,,,,"MISS FT by IGBINOSA,STEPHEN",,,"MISS FT by IGBINOSA,STEPHEN",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
05:50,,,,,"SUB IN by JOHNSON,PATRICK",,,"SUB IN by JOHNSON,PATRICK",1
05:50,,,,,"SUB IN by RIVERA,ANDRES",,,"SUB IN by RIVERA,ANDRES",1
05:50,,,,,"SUB OUT by BAEHL,BRIAN",,,"SUB OUT by BAEHL,BRIAN",1
05:50,,,,,"SUB OUT by FREET,AUSTIN",,,"SUB OUT by FREET,AUSTIN",1
05:41,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:20,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",1
05:20,,,,,"BLOCK  by IGBINOSA,STEPHEN",,,"BLOCK  by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by WELLS,AUSTIN",,,"REBOUND DEF by WELLS,AUSTIN",1
05:11,,22,,35 (+13),"GOOD JUMPER by SWISHER,JEREMY",ACM 22-35 (-13),,"GOOD JUMPER by SWISHER,JEREMY",1
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",1
05:04,,,,,"FOUL  by IGBINOSA,STEPHEN",,,"FOUL  by IGBINOSA,STEPHEN",1
05:04,"GOOD FT by TULLOS,ZACHARY",23,,35 (+12),,MMB 23-35 (-12),,"GOOD FT by TULLOS,ZACHARY",1
05:04,"GOOD FT by TULLOS,ZACHARY",24,,35 (+11),,MMB 24-35 (-11),,"GOOD FT by TULLOS,ZACHARY",1
05:04,,,,,"SUB IN by QUINN,JOSH",,,"SUB IN by QUINN,JOSH",1
05:04,,,,,"SUB OUT by WELLS,AUSTIN",,,"SUB OUT by WELLS,AUSTIN",1
04:55,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
04:39,"MISS JUMPER by GARDNER,ROBERT",,,,,,,"MISS JUMPER by GARDNER,ROBERT",1
04:39,,,,,"BLOCK  by QUINN,JOSH",,,"BLOCK  by QUINN,JOSH",1
--,"REBOUND OFF by GARDNER,ROBERT",,,,,,,"REBOUND OFF by GARDNER,ROBERT",1
04:30,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
04:30,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
04:30,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
04:30,,,,,"SUB IN by FEIDER,JP",,,"SUB IN by FEIDER,JP",1
04:30,,,,,"SUB IN by PASS,JOHN",,,"SUB IN by PASS,JOHN",1
04:30,,,,,"SUB OUT by SWISHER,JEREMY",,,"SUB OUT by SWISHER,JEREMY",1
04:30,,,,,"SUB OUT by IGBINOSA,STEPHEN",,,"SUB OUT by IGBINOSA,STEPHEN",1
04:19,,,,,"TURNOVER  by PASS,JOHN",,,"TURNOVER  by PASS,JOHN",1
04:19,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
04:14,"MISS LAYUP by KOHNKE,SAM",,,,,,,"MISS LAYUP by KOHNKE,SAM",1
--,"REBOUND OFF by GARDNER,ROBERT",,,,,,,"REBOUND OFF by GARDNER,ROBERT",1
04:10,"GOOD TIPIN by GARDNER,ROBERT(in the paint)",26,,35 (+9),,MMB 26-35 (-9),,"GOOD TIPIN by GARDNER,ROBERT(in the paint)",1
03:57,,,,,"MISS 3PTR by RIVERA,ANDRES",,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
03:46,"GOOD 3PTR by KOHNKE,SAM",29,,35 (+6),,MMB 29-35 (-6),,"GOOD 3PTR by KOHNKE,SAM",1
--,"ASSIST ASSIST by MARKWITH,TRENT",,,,,,,"ASSIST ASSIST by MARKWITH,TRENT",1
03:22,,29,,37 (+8),"GOOD JUMPER by JOHNSON,PATRICK(in the paint)",ACM 29-37 (-8),,"GOOD JUMPER by JOHNSON,PATRICK(in the paint)",1
03:06,"MISS 3PTR by GARDNER,ROBERT",,,,,,,"MISS 3PTR by GARDNER,ROBERT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:03,"SUB IN by MASON,WADE",,,,,,,"SUB IN by MASON,WADE",1
03:03,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
03:03,"SUB OUT by GARDNER,ROBERT",,,,,,,"SUB OUT by GARDNER,ROBERT",1
03:03,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
03:03,,,,,"SUB IN by FREET,AUSTIN",,,"SUB IN by FREET,AUSTIN",1
03:03,,,,,"SUB IN by BAEHL,BRIAN",,,"SUB IN by BAEHL,BRIAN",1
03:03,,,,,"SUB OUT by JOHNSON,PATRICK",,,"SUB OUT by JOHNSON,PATRICK",1
03:03,,,,,"SUB OUT by RIVERA,ANDRES",,,"SUB OUT by RIVERA,ANDRES",1
02:42,,,,,"MISS 3PTR by FREET,AUSTIN",,,"MISS 3PTR by FREET,AUSTIN",1
--,,,,,"REBOUND OFF by FEIDER,JP",,,"REBOUND OFF by FEIDER,JP",1
02:39,,29,,39 (+10),"GOOD LAYUP by FEIDER,JP(in the paint)",ACM 29-39 (-10),,"GOOD LAYUP by FEIDER,JP(in the paint)",1
02:15,"GOOD 3PTR by KOHNKE,SAM",32,,39 (+7),,MMB 32-39 (-7),,"GOOD 3PTR by KOHNKE,SAM",1
--,"ASSIST ASSIST by MARKWITH,TRENT",,,,,,,"ASSIST ASSIST by MARKWITH,TRENT",1
01:49,,,,,"MISS 3PTR by QUINN,JOSH",,,"MISS 3PTR by QUINN,JOSH",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
01:41,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",1
01:29,"FOUL  by MASON,WADE",,,,,,,"FOUL  by MASON,WADE",1
01:29,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
01:29,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
01:29,,,,,"SUB IN by DICKERMAN,JOSH",,,"SUB IN by DICKERMAN,JOSH",1
01:29,,,,,"SUB OUT by PASS,JOHN",,,"SUB OUT by PASS,JOHN",1
01:24,,,,,"MISS JUMPER by BAEHL,BRIAN",,,"MISS JUMPER by BAEHL,BRIAN",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
01:14,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by DICKERMAN,JOSH",,,"REBOUND DEF by DICKERMAN,JOSH",1
00:46,,32,,42 (+10),"GOOD 3PTR by DICKERMAN,JOSH",ACM 32-42 (-10),,"GOOD 3PTR by DICKERMAN,JOSH",1
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",1
00:22,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
00:22,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
00:22,"SUB IN by GARDNER,ROBERT",,,,,,,"SUB IN by GARDNER,ROBERT",1
00:22,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
00:22,,,,,"SUB IN by CHILES,CHRISTIAN",,,"SUB IN by CHILES,CHRISTIAN",1
00:22,,,,,"SUB OUT by FREET,AUSTIN",,,"SUB OUT by FREET,AUSTIN",1
00:07,,,,,"FOUL  by CHILES,CHRISTIAN",,,"FOUL  by CHILES,CHRISTIAN",1
00:07,,,,,"TURNOVER  by CHILES,CHRISTIAN",,,"TURNOVER  by CHILES,CHRISTIAN",1
19:45,"MISS 3PTR by GARDNER,ROBERT",,,,,,,"MISS 3PTR by GARDNER,ROBERT",2
--,,,,,"REBOUND DEF by SWISHER,JEREMY",,,"REBOUND DEF by SWISHER,JEREMY",2
19:24,,,,,"MISS JUMPER by BAEHL,BRIAN",,,"MISS JUMPER by BAEHL,BRIAN",2
--,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",,,"REBOUND OFF by IGBINOSA,STEPHEN",2
19:21,,32,,44 (+12),"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",ACM 32-44 (-12),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",2
19:21,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",2
19:21,,,,,"MISS FT by IGBINOSA,STEPHEN",,,"MISS FT by IGBINOSA,STEPHEN",2
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",2
18:51,"GOOD 3PTR by KOHNKE,SAM",35,,44 (+9),,MMB 35-44 (-9),,"GOOD 3PTR by KOHNKE,SAM",2
--,"ASSIST ASSIST by GAGEN,BRENNAN",,,,,,,"ASSIST ASSIST by GAGEN,BRENNAN",2
18:39,,35,,46 (+11),"GOOD LAYUP by WELLS,AUSTIN(in the paint)",ACM 35-46 (-11),,"GOOD LAYUP by WELLS,AUSTIN(in the paint)",2
18:15,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",2
18:00,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",2
--,,,,,"REBOUND OFF by BAEHL,BRIAN",,,"REBOUND OFF by BAEHL,BRIAN",2
17:58,,35,,48 (+13),"GOOD LAYUP by BAEHL,BRIAN(in the paint)",ACM 35-48 (-13),,"GOOD LAYUP by BAEHL,BRIAN(in the paint)",2
17:39,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",37,,48 (+11),,MMB 37-48 (-11),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",2
--,"ASSIST ASSIST by KOHNKE,SAM",,,,,,,"ASSIST ASSIST by KOHNKE,SAM",2
17:23,,,,,"MISS JUMPER by WELLS,AUSTIN",,,"MISS JUMPER by WELLS,AUSTIN",2
