Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
12:02,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
12:02,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
11:52,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,,,,,"REBOUND OFF by MCGRAIL,PATRICK",,,"REBOUND OFF by MCGRAIL,PATRICK",1
11:44,"FOUL  by EDGAR,COURTNEE",,,,,,,"FOUL  by EDGAR,COURTNEE",1
11:44,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
11:44,"SUB IN by ROBERSON,D'ANGELO",,,,,,,"SUB IN by ROBERSON,D'ANGELO",1
11:44,"SUB OUT by LEE,JERROD",,,,,,,"SUB OUT by LEE,JERROD",1
11:44,"SUB OUT by THOMAS,JEREMIAH",,,,,,,"SUB OUT by THOMAS,JEREMIAH",1
11:32,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:29,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
11:13,"MISS 3PTR by BLACKMON,KANDEN",,,,,,,"MISS 3PTR by BLACKMON,KANDEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:10,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
11:10,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
11:10,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
11:07,"MISS 3PTR by EDGAR,COURTNEE",,,,,,,"MISS 3PTR by EDGAR,COURTNEE",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
10:51,,21 (+5),,16,"GOOD 3PTR by KILPATRICK,KORY",RCMBB12 21-16 (-5),,"GOOD 3PTR by KILPATRICK,KORY",1
--,,,,,"ASSIST  by WATSON,SHANE",,,"ASSIST  by WATSON,SHANE",1
10:33,"MISS 3PTR by EDGAR,COURTNEE",,,,,,,"MISS 3PTR by EDGAR,COURTNEE",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
10:20,"FOUL  by ROBERSON,D'ANGELO",,,,,,,"FOUL  by ROBERSON,D'ANGELO",1
10:20,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:20,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:20,"SUB IN by PETTY,RYAN",,,,,,,"SUB IN by PETTY,RYAN",1
10:20,"SUB IN by THOMAS,JEREMIAH",,,,,,,"SUB IN by THOMAS,JEREMIAH",1
10:20,"SUB OUT by BLACKMON,KANDEN",,,,,,,"SUB OUT by BLACKMON,KANDEN",1
10:20,"SUB OUT by KILPATRICK,MIKE",,,,,,,"SUB OUT by KILPATRICK,MIKE",1
10:13,"GOOD JUMPER by ROBERSON,D'ANGELO",23 (+7),,16,,HCM 23-16 (-7),,"GOOD JUMPER by ROBERSON,D'ANGELO",1
--,"ASSIST  by THOMAS,JEREMIAH",,,,,,,"ASSIST  by THOMAS,JEREMIAH",1
09:54,,23 (+4),,19,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 23-19 (-4),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
09:35,"MISS 3PTR by EDGAR,COURTNEE",,,,,,,"MISS 3PTR by EDGAR,COURTNEE",1
09:35,,,,,"BLOCK  by WATSON,SHANE",,,"BLOCK  by WATSON,SHANE",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
09:19,,23 (+2),,21,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 23-21 (-2),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
09:03,"MISS JUMPER by PETTY,RYAN",,,,,,,"MISS JUMPER by PETTY,RYAN",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
08:54,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",1
08:26,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:26,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
08:26,"MISS FT by ROBERSON,D'ANGELO",,,,,,,"MISS FT by ROBERSON,D'ANGELO",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
08:26,"SUB IN by BLACKMON,KANDEN",,,,,,,"SUB IN by BLACKMON,KANDEN",1
08:26,"SUB IN by LEE,JERROD",,,,,,,"SUB IN by LEE,JERROD",1
08:26,"SUB OUT by EDGAR,COURTNEE",,,,,,,"SUB OUT by EDGAR,COURTNEE",1
08:26,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
08:26,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",1
08:26,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
08:26,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
08:26,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
08:18,"FOUL  by ROBERSON,D'ANGELO",,,,,,,"FOUL  by ROBERSON,D'ANGELO",1
08:18,,,,,"MISS FT by DRUMMOND,TRIPP",,,"MISS FT by DRUMMOND,TRIPP",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:18,,23 (+1),,22,"GOOD FT by DRUMMOND,TRIPP",RCMBB12 23-22 (-1),,"GOOD FT by DRUMMOND,TRIPP",1
08:18,"SUB IN by PETTY,RYAN",,,,,,,"SUB IN by PETTY,RYAN",1
08:18,"SUB OUT by ROBERSON,D'ANGELO",,,,,,,"SUB OUT by ROBERSON,D'ANGELO",1
08:05,"MISS 3PTR by BLACKMON,KANDEN",,,,,,,"MISS 3PTR by BLACKMON,KANDEN",1
--,"REBOUND OFF by LEE,JERROD",,,,,,,"REBOUND OFF by LEE,JERROD",1
07:55,"TURNOVER  by LEE,JERROD",,,,,,,"TURNOVER  by LEE,JERROD",1
07:35,"FOUL  by VARNEY,JASON",,,,,,,"FOUL  by VARNEY,JASON",1
07:35,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
07:35,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
07:30,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
07:25,"STEAL  by PETTY,RYAN",,,,,,,"STEAL  by PETTY,RYAN",1
07:23,"MISS LAYUP by PETTY,RYAN",,,,,,,"MISS LAYUP by PETTY,RYAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
07:17,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by MILLER,JOEY",,,"REBOUND OFF by MILLER,JOEY",1
07:13,,23,,24 (+1),"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 23-24 (+1),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
06:54,"MISS LAYUP by PETTY,RYAN",,,,,,,"MISS LAYUP by PETTY,RYAN",1
--,,,,,"REBOUND DEF by DRUMMOND,TRIPP",,,"REBOUND DEF by DRUMMOND,TRIPP",1
06:41,,23,,26 (+3),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 23-26 (+3),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
06:29,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
06:29,"SUB OUT by VARNEY,JASON",,,,,,,"SUB OUT by VARNEY,JASON",1
06:29,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
06:29,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",1
06:26,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",25,,26 (+1),,HCM 25-26 (+1),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
--,"ASSIST  by EDGAR,COURTNEE",,,,,,,"ASSIST  by EDGAR,COURTNEE",1
06:01,,25,,28 (+3),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 25-28 (+3),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
05:41,"SUB IN by ROBERSON,D'ANGELO",,,,,,,"SUB IN by ROBERSON,D'ANGELO",1
05:41,"SUB OUT by BLACKMON,KANDEN",,,,,,,"SUB OUT by BLACKMON,KANDEN",1
05:35,"MISS JUMPER by THOMAS,JEREMIAH",,,,,,,"MISS JUMPER by THOMAS,JEREMIAH",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
05:24,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by ROBERSON,D'ANGELO",,,,,,,"REBOUND DEF by ROBERSON,D'ANGELO",1
05:05,"MISS JUMPER by PETTY,RYAN",,,,,,,"MISS JUMPER by PETTY,RYAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
04:48,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by LEE,JERROD",,,,,,,"REBOUND DEF by LEE,JERROD",1
04:42,"MISS LAYUP by PETTY,RYAN",,,,,,,"MISS LAYUP by PETTY,RYAN",1
04:42,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:40,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",1
04:40,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
04:35,"MISS JUMPER by EDGAR,COURTNEE",,,,,,,"MISS JUMPER by EDGAR,COURTNEE",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
04:21,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by ROBERSON,D'ANGELO",,,,,,,"REBOUND DEF by ROBERSON,D'ANGELO",1
04:10,"MISS LAYUP by THOMAS,JEREMIAH",,,,,,,"MISS LAYUP by THOMAS,JEREMIAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:10,"FOUL  by ROBERSON,D'ANGELO",,,,,,,"FOUL  by ROBERSON,D'ANGELO",1
04:10,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,"REBOUND DEF by THOMAS,JEREMIAH",,,,,,,"REBOUND DEF by THOMAS,JEREMIAH",1
04:10,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",27,,28 (+1),,HCM 27-28 (+1),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
--,"ASSIST  by PETTY,RYAN",,,,,,,"ASSIST  by PETTY,RYAN",1
04:10,,27,,30 (+3),"GOOD JUMPER by DRUMMOND,TRIPP",RCMBB12 27-30 (+3),,"GOOD JUMPER by DRUMMOND,TRIPP",1
--,,,,,"ASSIST  by MILLER,JOEY",,,"ASSIST  by MILLER,JOEY",1
04:10,"SUB IN by VARNEY,JASON",,,,,,,"SUB IN by VARNEY,JASON",1
04:10,"SUB OUT by ROBERSON,D'ANGELO",,,,,,,"SUB OUT by ROBERSON,D'ANGELO",1
04:02,"GOOD 3PTR by EDGAR,COURTNEE",30,,30,,HCM 30-30 (0),,"GOOD 3PTR by EDGAR,COURTNEE",1
--,"ASSIST  by PETTY,RYAN",,,,,,,"ASSIST  by PETTY,RYAN",1
03:48,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
03:45,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
03:44,"STEAL  by EDGAR,COURTNEE",,,,,,,"STEAL  by EDGAR,COURTNEE",1
03:41,"MISS JUMPER by EDGAR,COURTNEE",,,,,,,"MISS JUMPER by EDGAR,COURTNEE",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
03:33,"FOUL  by EDGAR,COURTNEE",,,,,,,"FOUL  by EDGAR,COURTNEE",1
03:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:29,,30,,31 (+1),"GOOD FT by LIVSEY,GEOFF",RCMBB12 30-31 (+1),,"GOOD FT by LIVSEY,GEOFF",1
03:29,,30,,32 (+2),"GOOD FT by LIVSEY,GEOFF",RCMBB12 30-32 (+2),,"GOOD FT by LIVSEY,GEOFF",1
03:29,"SUB IN by KILPATRICK,MIKE",,,,,,,"SUB IN by KILPATRICK,MIKE",1
03:29,"SUB IN by KARN,GRANTLAND",,,,,,,"SUB IN by KARN,GRANTLAND",1
03:29,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
03:29,"SUB OUT by EDGAR,COURTNEE",,,,,,,"SUB OUT by EDGAR,COURTNEE",1
03:29,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
03:29,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
03:16,"TURNOVER  by KILPATRICK,MIKE",,,,,,,"TURNOVER  by KILPATRICK,MIKE",1
03:15,,,,,"STEAL  by MILLER,JOEY",,,"STEAL  by MILLER,JOEY",1
03:04,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by LEE,JERROD",,,,,,,"REBOUND DEF by LEE,JERROD",1
02:39,"MISS JUMPER by VARNEY,JASON",,,,,,,"MISS JUMPER by VARNEY,JASON",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
02:26,"FOUL  by KARN,GRANTLAND",,,,,,,"FOUL  by KARN,GRANTLAND",1
02:11,,30,,33 (+3),"GOOD FT by GALOW,ANDREW",RCMBB12 30-33 (+3),,"GOOD FT by GALOW,ANDREW",1
02:00,,30,,34 (+4),"GOOD FT by GALOW,ANDREW",RCMBB12 30-34 (+4),,"GOOD FT by GALOW,ANDREW",1
02:00,"SUB IN by PETTY,RYAN",,,,,,,"SUB IN by PETTY,RYAN",1
02:00,"SUB OUT by KILPATRICK,MIKE",,,,,,,"SUB OUT by KILPATRICK,MIKE",1
01:45,"MISS LAYUP by VARNEY,JASON",,,,,,,"MISS LAYUP by VARNEY,JASON",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
01:33,,30,,36 (+6),"GOOD LAYUP by DRUMMOND,TRIPP(in the paint)",RCMBB12 30-36 (+6),,"GOOD LAYUP by DRUMMOND,TRIPP(in the paint)",1
01:17,"GOOD 3PTR by PETTY,RYAN",33,,36 (+3),,HCM 33-36 (+3),,"GOOD 3PTR by PETTY,RYAN",1
--,"ASSIST  by LEE,JERROD",,,,,,,"ASSIST  by LEE,JERROD",1
01:00,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
01:00,"SUB IN by BLACKMON,KANDEN",,,,,,,"SUB IN by BLACKMON,KANDEN",1
01:00,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
01:00,"SUB OUT by LEE,JERROD",,,,,,,"SUB OUT by LEE,JERROD",1
01:00,"SUB OUT by KARN,GRANTLAND",,,,,,,"SUB OUT by KARN,GRANTLAND",1
01:00,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
01:00,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",1
00:49,"MISS JUMPER by PETTY,RYAN",,,,,,,"MISS JUMPER by PETTY,RYAN",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
00:19,,33,,38 (+5),"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 33-38 (+5),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
00:03,"TURNOVER  by PETTY,RYAN",,,,,,,"TURNOVER  by PETTY,RYAN",1
00:00,,,,,"MISS 3PTR by MILLER,JOEY",,,"MISS 3PTR by MILLER,JOEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:48,"GOOD 3PTR by PETTY,RYAN",36,,38 (+2),,HCM 36-38 (+2),,"GOOD 3PTR by PETTY,RYAN",2
--,"ASSIST  by VARNEY,JASON",,,,,,,"ASSIST  by VARNEY,JASON",2
19:27,,36,,41 (+5),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 36-41 (+5),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
19:09,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",38,,41 (+3),,HCM 38-41 (+3),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",2
--,"ASSIST  by PETTY,RYAN",,,,,,,"ASSIST  by PETTY,RYAN",2
18:53,,38,,43 (+5),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 38-43 (+5),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
18:24,"MISS LAYUP by BLACKMON,KANDEN",,,,,,,"MISS LAYUP by BLACKMON,KANDEN",2
18:24,,,,,"BLOCK  by KILPATRICK,KORY",,,"BLOCK  by KILPATRICK,KORY",2
