Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
10:18,,19 (+4),,15,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 19-15 (-4),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
10:11,"GOOD JUMPER by THOMAS,LARRY",21 (+6),,15,,BSC 21-15 (-6),,"GOOD JUMPER by THOMAS,LARRY",1
09:57,,21 (+4),,17,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 21-17 (-4),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
09:34,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
09:24,,21 (+1),,20,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 21-20 (-1),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
09:10,"MISS LAYUP by LEE,CALEB",,,,,,,"MISS LAYUP by LEE,CALEB",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
09:00,,21,,23 (+2),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 21-23 (+2),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
08:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:25,"GOOD 3PTR by JONUS,JASEN",24 (+1),,23,,BSC 24-23 (-1),,"GOOD 3PTR by JONUS,JASEN",1
08:19,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
08:19,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
08:19,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
08:19,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
08:19,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
08:19,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
08:19,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
08:19,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
