Time Remaining,UCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by GALOW,ANDREW",,,"REBOUND OFF by GALOW,ANDREW",1
16:42,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by GAGE,SAM",,,,,,,"REBOUND DEF by GAGE,SAM",1
16:30,"GOOD 3PTR by JOHNSON,MATT",7,,8 (+1),,UCM 7-8 (+1),,"GOOD 3PTR by JOHNSON,MATT",1
--,"ASSIST  by HUGHES,CHARLIE",,,,,,,"ASSIST  by HUGHES,CHARLIE",1
16:15,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",1
16:13,"STEAL  by GAGE,SAM",,,,,,,"STEAL  by GAGE,SAM",1
15:54,"MISS 3PTR by JOHNSON,MATT",,,,,,,"MISS 3PTR by JOHNSON,MATT",1
--,"REBOUND OFF by HUGHES,CHARLIE",,,,,,,"REBOUND OFF by HUGHES,CHARLIE",1
15:43,"MISS JUMPER by HUGHES,CHARLIE",,,,,,,"MISS JUMPER by HUGHES,CHARLIE",1
--,"REBOUND OFF by MACKENZIE,MATT",,,,,,,"REBOUND OFF by MACKENZIE,MATT",1
15:41,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
15:41,"GOOD FT by MACKENZIE,MATT",8,,8,,UCM 8-8 (0),,"GOOD FT by MACKENZIE,MATT",1
15:41,"GOOD FT by MACKENZIE,MATT",9 (+1),,8,,UCM 9-8 (-1),,"GOOD FT by MACKENZIE,MATT",1
15:41,"SUB IN by MUSKEYVALLEY,ROYCE",,,,,,,"SUB IN by MUSKEYVALLEY,ROYCE",1
15:41,"SUB IN by SOTOS,TOMMY",,,,,,,"SUB IN by SOTOS,TOMMY",1
15:41,"SUB IN by STEFANOU,STEVE",,,,,,,"SUB IN by STEFANOU,STEVE",1
15:41,"SUB OUT by HUGHES,CHARLIE",,,,,,,"SUB OUT by HUGHES,CHARLIE",1
15:41,"SUB OUT by MACKENZIE,MATT",,,,,,,"SUB OUT by MACKENZIE,MATT",1
15:41,"SUB OUT by SUSTARSIC,MICHAEL",,,,,,,"SUB OUT by SUSTARSIC,MICHAEL",1
15:41,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
15:41,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
15:41,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
15:41,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
15:26,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by JOHNSON,MATT",,,,,,,"REBOUND DEF by JOHNSON,MATT",1
15:17,"MISS JUMPER by JOHNSON,MATT",,,,,,,"MISS JUMPER by JOHNSON,MATT",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
15:07,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,"REBOUND DEF by STEFANOU,STEVE",,,,,,,"REBOUND DEF by STEFANOU,STEVE",1
14:59,"TURNOVER  by MUSKEYVALLEY,ROYCE",,,,,,,"TURNOVER  by MUSKEYVALLEY,ROYCE",1
14:59,,,,,"STEAL  by KILPATRICK,KORY",,,"STEAL  by KILPATRICK,KORY",1
14:50,"FOUL  by SOTOS,TOMMY",,,,,,,"FOUL  by SOTOS,TOMMY",1
14:50,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
14:50,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
14:39,"FOUL  by MUSKEYVALLEY,ROYCE",,,,,,,"FOUL  by MUSKEYVALLEY,ROYCE",1
14:39,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:39,,9,,9,"GOOD FT by GALOW,ANDREW",RCMBB12 9-9 (0),,"GOOD FT by GALOW,ANDREW",1
14:26,"GOOD JUMPER by JOHNSON,MATT",11 (+2),,9,,UCM 11-9 (-2),,"GOOD JUMPER by JOHNSON,MATT",1
--,"ASSIST  by MUSKEYVALLEY,ROYCE",,,,,,,"ASSIST  by MUSKEYVALLEY,ROYCE",1
14:19,"FOUL  by MUSKEYVALLEY,ROYCE",,,,,,,"FOUL  by MUSKEYVALLEY,ROYCE",1
14:19,"SUB IN by SUSTARSIC,MICHAEL",,,,,,,"SUB IN by SUSTARSIC,MICHAEL",1
14:19,"SUB OUT by MUSKEYVALLEY,ROYCE",,,,,,,"SUB OUT by MUSKEYVALLEY,ROYCE",1
14:08,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by GAGE,SAM",,,,,,,"REBOUND DEF by GAGE,SAM",1
13:59,"GOOD 3PTR by JOHNSON,MATT",14 (+5),,9,,UCM 14-9 (-5),,"GOOD 3PTR by JOHNSON,MATT",1
--,"ASSIST  by SUSTARSIC,MICHAEL",,,,,,,"ASSIST  by SUSTARSIC,MICHAEL",1
13:42,,14 (+3),,11,"GOOD LAYUP by WATSON,SHANE(in the paint)",RCMBB12 14-11 (-3),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
13:42,"FOUL  by SOTOS,TOMMY",,,,,,,"FOUL  by SOTOS,TOMMY",1
13:42,,,,,"MISS FT by WATSON,SHANE",,,"MISS FT by WATSON,SHANE",1
--,"REBOUND DEF by JOHNSON,MATT",,,,,,,"REBOUND DEF by JOHNSON,MATT",1
13:42,"SUB IN by DAVIS,DERRICK",,,,,,,"SUB IN by DAVIS,DERRICK",1
13:42,"SUB OUT by SOTOS,TOMMY",,,,,,,"SUB OUT by SOTOS,TOMMY",1
13:42,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
13:42,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
13:18,"MISS 3PTR by SUSTARSIC,MICHAEL",,,,,,,"MISS 3PTR by SUSTARSIC,MICHAEL",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
12:58,"FOUL  by GAGE,SAM",,,,,,,"FOUL  by GAGE,SAM",1
12:45,,14,,14,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 14-14 (0),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
12:35,"GOOD 3PTR by GAGE,SAM",17 (+3),,14,,UCM 17-14 (-3),,"GOOD 3PTR by GAGE,SAM",1
--,"ASSIST  by SUSTARSIC,MICHAEL",,,,,,,"ASSIST  by SUSTARSIC,MICHAEL",1
12:05,"FOUL  by STEFANOU,STEVE",,,,,,,"FOUL  by STEFANOU,STEVE",1
12:05,,17 (+2),,15,"GOOD FT by DUNAVANT,JOHN",RCMBB12 17-15 (-2),,"GOOD FT by DUNAVANT,JOHN",1
12:05,,,,,"MISS FT by DUNAVANT,JOHN",,,"MISS FT by DUNAVANT,JOHN",1
--,"REBOUND DEF by PYPER,ALEX",,,,,,,"REBOUND DEF by PYPER,ALEX",1
12:05,"SUB IN by PYPER,ALEX",,,,,,,"SUB IN by PYPER,ALEX",1
12:05,"SUB OUT by JOHNSON,MATT",,,,,,,"SUB OUT by JOHNSON,MATT",1
12:05,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
12:05,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
12:05,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
12:05,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
11:59,"TURNOVER  by DAVIS,DERRICK",,,,,,,"TURNOVER  by DAVIS,DERRICK",1
11:59,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",1
11:59,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
11:36,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by GAGE,SAM",,,,,,,"REBOUND DEF by GAGE,SAM",1
11:25,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
11:25,"SUB IN by HUGHES,CHARLIE",,,,,,,"SUB IN by HUGHES,CHARLIE",1
11:25,"SUB OUT by DAVIS,DERRICK",,,,,,,"SUB OUT by DAVIS,DERRICK",1
11:25,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
11:25,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
11:22,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
11:19,"MISS JUMPER by PYPER,ALEX",,,,,,,"MISS JUMPER by PYPER,ALEX",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
11:10,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by STEFANOU,STEVE",,,,,,,"REBOUND DEF by STEFANOU,STEVE",1
10:45,"MISS 3PTR by STEFANOU,STEVE",,,,,,,"MISS 3PTR by STEFANOU,STEVE",1
--,"REBOUND OFF by HUGHES,CHARLIE",,,,,,,"REBOUND OFF by HUGHES,CHARLIE",1
10:37,"SUB IN by MACKENZIE,MATT",,,,,,,"SUB IN by MACKENZIE,MATT",1
10:37,"SUB IN by PALMTAG,STEPHEN",,,,,,,"SUB IN by PALMTAG,STEPHEN",1
10:37,"SUB OUT by GAGE,SAM",,,,,,,"SUB OUT by GAGE,SAM",1
10:37,"SUB OUT by STEFANOU,STEVE",,,,,,,"SUB OUT by STEFANOU,STEVE",1
10:25,"GOOD 3PTR by PYPER,ALEX",20 (+5),,15,,UCM 20-15 (-5),,"GOOD 3PTR by PYPER,ALEX",1
--,"ASSIST  by HUGHES,CHARLIE",,,,,,,"ASSIST  by HUGHES,CHARLIE",1
09:59,,20 (+3),,17,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 20-17 (-3),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
09:40,"MISS 3PTR by PYPER,ALEX",,,,,,,"MISS 3PTR by PYPER,ALEX",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
09:28,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
09:19,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
09:16,"STEAL  by PYPER,ALEX",,,,,,,"STEAL  by PYPER,ALEX",1
08:53,"FOUL  by PYPER,ALEX",,,,,,,"FOUL  by PYPER,ALEX",1
08:51,"SUB IN by JOHNSON,MATT",,,,,,,"SUB IN by JOHNSON,MATT",1
08:51,"SUB OUT by PYPER,ALEX",,,,,,,"SUB OUT by PYPER,ALEX",1
08:51,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
08:51,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
08:51,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
08:51,,,,,"SUB OUT by DRUMMOND,TRIPP",,,"SUB OUT by DRUMMOND,TRIPP",1
08:39,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by MACKENZIE,MATT",,,,,,,"REBOUND DEF by MACKENZIE,MATT",1
08:23,"GOOD JUMPER by HUGHES,CHARLIE",22 (+5),,17,,UCM 22-17 (-5),,"GOOD JUMPER by HUGHES,CHARLIE",1
--,"ASSIST  by JOHNSON,MATT",,,,,,,"ASSIST  by JOHNSON,MATT",1
08:00,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:54,"SUB IN by GAGE,SAM",,,,,,,"SUB IN by GAGE,SAM",1
07:54,"SUB OUT by PALMTAG,STEPHEN",,,,,,,"SUB OUT by PALMTAG,STEPHEN",1
07:41,"GOOD 3PTR by JOHNSON,MATT",25 (+8),,17,,UCM 25-17 (-8),,"GOOD 3PTR by JOHNSON,MATT",1
07:17,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:45,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
06:45,"MISS FT by GAGE,SAM",,,,,,,"MISS FT by GAGE,SAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:45,"GOOD FT by GAGE,SAM",26 (+9),,17,,UCM 26-17 (-9),,"GOOD FT by GAGE,SAM",1
06:33,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND DEF by MACKENZIE,MATT",,,,,,,"REBOUND DEF by MACKENZIE,MATT",1
06:19,"GOOD LAYUP by MACKENZIE,MATT(in the paint)",28 (+11),,17,,UCM 28-17 (-11),,"GOOD LAYUP by MACKENZIE,MATT(in the paint)",1
06:11,"FOUL  by HUGHES,CHARLIE",,,,,,,"FOUL  by HUGHES,CHARLIE",1
06:11,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by JOHNSON,MATT",,,,,,,"REBOUND DEF by JOHNSON,MATT",1
06:11,"SUB IN by SOTOS,TOMMY",,,,,,,"SUB IN by SOTOS,TOMMY",1
06:11,"SUB OUT by HUGHES,CHARLIE",,,,,,,"SUB OUT by HUGHES,CHARLIE",1
06:11,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
06:11,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
06:03,"GOOD 3PTR by SOTOS,TOMMY",31 (+14),,17,,UCM 31-17 (-14),,"GOOD 3PTR by SOTOS,TOMMY",1
--,"ASSIST  by MACKENZIE,MATT",,,,,,,"ASSIST  by MACKENZIE,MATT",1
05:41,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by JOHNSON,MATT",,,,,,,"REBOUND DEF by JOHNSON,MATT",1
05:37,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
05:37,"SUB IN by STEFANOU,STEVE",,,,,,,"SUB IN by STEFANOU,STEVE",1
05:37,"SUB OUT by MACKENZIE,MATT",,,,,,,"SUB OUT by MACKENZIE,MATT",1
05:18,"GOOD 3PTR by JOHNSON,MATT",34 (+17),,17,,UCM 34-17 (-17),,"GOOD 3PTR by JOHNSON,MATT",1
05:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:48,,34 (+15),,19,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 34-19 (-15),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
04:32,"GOOD LAYUP by STEFANOU,STEVE(in the paint)",36 (+17),,19,,UCM 36-19 (-17),,"GOOD LAYUP by STEFANOU,STEVE(in the paint)",1
--,"ASSIST  by JOHNSON,MATT",,,,,,,"ASSIST  by JOHNSON,MATT",1
04:04,"FOUL  by SOTOS,TOMMY",,,,,,,"FOUL  by SOTOS,TOMMY",1
04:04,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:04,,36 (+16),,20,"GOOD FT by KILPATRICK,KORY",RCMBB12 36-20 (-16),,"GOOD FT by KILPATRICK,KORY",1
04:04,"SUB IN by PYPER,ALEX",,,,,,,"SUB IN by PYPER,ALEX",1
04:04,"SUB OUT by SOTOS,TOMMY",,,,,,,"SUB OUT by SOTOS,TOMMY",1
04:04,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
04:04,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
03:47,"GOOD 3PTR by JOHNSON,MATT",39 (+19),,20,,UCM 39-20 (-19),,"GOOD 3PTR by JOHNSON,MATT",1
--,"ASSIST  by STEFANOU,STEVE",,,,,,,"ASSIST  by STEFANOU,STEVE",1
03:20,,39 (+17),,22,"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 39-22 (-17),,"GOOD JUMPER by DUNAVANT,JOHN",1
03:18,"FOUL  by JOHNSON,MATT",,,,,,,"FOUL  by JOHNSON,MATT",1
03:18,,39 (+16),,23,"GOOD FT by DUNAVANT,JOHN",RCMBB12 39-23 (-16),,"GOOD FT by DUNAVANT,JOHN",1
03:18,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
03:18,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
03:07,"TURNOVER  by STEFANOU,STEVE",,,,,,,"TURNOVER  by STEFANOU,STEVE",1
02:44,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",1
02:27,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
02:27,"GOOD FT by STEFANOU,STEVE",40 (+17),,23,,UCM 40-23 (-17),,"GOOD FT by STEFANOU,STEVE",1
02:27,"MISS FT by STEFANOU,STEVE",,,,,,,"MISS FT by STEFANOU,STEVE",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
02:10,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
--,"REBOUND DEF by STEFANOU,STEVE",,,,,,,"REBOUND DEF by STEFANOU,STEVE",1
02:01,"GOOD 3PTR by JOHNSON,MATT",43 (+20),,23,,UCM 43-23 (-20),,"GOOD 3PTR by JOHNSON,MATT",1
--,"ASSIST  by SUSTARSIC,MICHAEL",,,,,,,"ASSIST  by SUSTARSIC,MICHAEL",1
01:32,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:29,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
01:27,"MISS FT by STEFANOU,STEVE",,,,,,,"MISS FT by STEFANOU,STEVE",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
01:20,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
01:20,,,,,"SUB IN by HADE,ALEX",,,"SUB IN by HADE,ALEX",1
01:20,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
01:04,"MISS 3PTR by STEFANOU,STEVE",,,,,,,"MISS 3PTR by STEFANOU,STEVE",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
00:56,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
00:53,"FOUL  by GAGE,SAM",,,,,,,"FOUL  by GAGE,SAM",1
00:53,,43 (+19),,24,"GOOD FT by LIVSEY,GEOFF",RCMBB12 43-24 (-19),,"GOOD FT by LIVSEY,GEOFF",1
00:53,,43 (+18),,25,"GOOD FT by LIVSEY,GEOFF",RCMBB12 43-25 (-18),,"GOOD FT by LIVSEY,GEOFF",1
00:53,"SUB IN by MACKENZIE,MATT",,,,,,,"SUB IN by MACKENZIE,MATT",1
00:53,"SUB IN by PALMTAG,STEPHEN",,,,,,,"SUB IN by PALMTAG,STEPHEN",1
00:53,"SUB OUT by GAGE,SAM",,,,,,,"SUB OUT by GAGE,SAM",1
00:53,"SUB OUT by STEFANOU,STEVE",,,,,,,"SUB OUT by STEFANOU,STEVE",1
00:42,"MISS 3PTR by JOHNSON,MATT",,,,,,,"MISS 3PTR by JOHNSON,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:39,"FOUL  by MACKENZIE,MATT",,,,,,,"FOUL  by MACKENZIE,MATT",1
00:39,,,,,"MISS FT by HADE,ALEX",,,"MISS FT by HADE,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:39,,,,,"MISS FT by HADE,ALEX",,,"MISS FT by HADE,ALEX",1
--,"REBOUND DEF by JOHNSON,MATT",,,,,,,"REBOUND DEF by JOHNSON,MATT",1
00:13,"TURNOVER  by SUSTARSIC,MICHAEL",,,,,,,"TURNOVER  by SUSTARSIC,MICHAEL",1
00:07,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
00:03,"STEAL  by PYPER,ALEX",,,,,,,"STEAL  by PYPER,ALEX",1
00:01,"MISS 3PTR by PYPER,ALEX",,,,,,,"MISS 3PTR by PYPER,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:47,"MISS 3PTR by GAGE,SAM",,,,,,,"MISS 3PTR by GAGE,SAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:33,,43 (+16),,27,"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 43-27 (-16),,"GOOD JUMPER by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
19:18,"MISS 3PTR by JOHNSON,MATT",,,,,,,"MISS 3PTR by JOHNSON,MATT",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
19:04,"FOUL  by HUGHES,CHARLIE",,,,,,,"FOUL  by HUGHES,CHARLIE",2
19:04,,43 (+15),,28,"GOOD FT by GALOW,ANDREW",RCMBB12 43-28 (-15),,"GOOD FT by GALOW,ANDREW",2
19:02,,43 (+14),,29,"GOOD FT by GALOW,ANDREW",RCMBB12 43-29 (-14),,"GOOD FT by GALOW,ANDREW",2
18:50,"MISS JUMPER by JOHNSON,MATT",,,,,,,"MISS JUMPER by JOHNSON,MATT",2
--,"REBOUND OFF by HUGHES,CHARLIE",,,,,,,"REBOUND OFF by HUGHES,CHARLIE",2
18:47,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
18:47,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
18:34,"MISS LAYUP by MACKENZIE,MATT",,,,,,,"MISS LAYUP by MACKENZIE,MATT",2
18:34,,,,,"BLOCK  by KILPATRICK,KORY",,,"BLOCK  by KILPATRICK,KORY",2
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",2
18:09,,43 (+11),,32,"GOOD 3PTR by GALOW,ANDREW",RCMBB12 43-32 (-11),,"GOOD 3PTR by GALOW,ANDREW",2
17:51,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
17:51,"FOUL  by MACKENZIE,MATT",,,,,,,"FOUL  by MACKENZIE,MATT",2
17:35,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",2
17:27,,43 (+8),,35,"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 43-35 (-8),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
17:05,"MISS 3PTR by SUSTARSIC,MICHAEL",,,,,,,"MISS 3PTR by SUSTARSIC,MICHAEL",2
