Time Remaining,RCB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
10:02,"GOOD LAYUP by STOKES,PATRICK(in the paint)",14,,19 (+5),,RCB 14-19 (+5),,"GOOD LAYUP by STOKES,PATRICK(in the paint)",1
09:54,"FOUL  by STOKES,PATRICK",,,,,,,"FOUL  by STOKES,PATRICK",1
09:48,,14,,22 (+8),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 14-22 (+8),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",1
09:21,"TURNOVER  by STOKES,PATRICK",,,,,,,"TURNOVER  by STOKES,PATRICK",1
09:21,"SUB IN by MCPHERSON,FABIAN",,,,,,,"SUB IN by MCPHERSON,FABIAN",1
09:21,"SUB OUT by MONTGOMERY,WILLIAM",,,,,,,"SUB OUT by MONTGOMERY,WILLIAM",1
09:10,,14,,25 (+11),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 14-25 (+11),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by WATSON,SHANE",,,"ASSIST  by WATSON,SHANE",1
08:48,,,,,"FOUL  by MILLER,JOEY",,,"FOUL  by MILLER,JOEY",1
08:48,"GOOD FT by CLARK,JUSTYCZE",15,,25 (+10),,RCB 15-25 (+10),,"GOOD FT by CLARK,JUSTYCZE",1
08:48,"GOOD FT by CLARK,JUSTYCZE",16,,25 (+9),,RCB 16-25 (+9),,"GOOD FT by CLARK,JUSTYCZE",1
08:39,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:36,,,,,"FOUL  by MILLER,JOEY",,,"FOUL  by MILLER,JOEY",1
08:11,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,"REBOUND OFF by STOKES,PATRICK",,,,,,,"REBOUND OFF by STOKES,PATRICK",1
08:04,"GOOD LAYUP by STOKES,PATRICK(in the paint)",18,,25 (+7),,RCB 18-25 (+7),,"GOOD LAYUP by STOKES,PATRICK(in the paint)",1
07:42,,,,,"TURNOVER  by MILLER,JOEY",,,"TURNOVER  by MILLER,JOEY",1
07:39,"STEAL  by BIRKS,ANDREW",,,,,,,"STEAL  by BIRKS,ANDREW",1
07:37,"TURNOVER  by STOKES,PATRICK",,,,,,,"TURNOVER  by STOKES,PATRICK",1
07:34,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by STOKES,PATRICK",,,,,,,"REBOUND DEF by STOKES,PATRICK",1
07:26,"SUB IN by VEASLEY,LARRY",,,,,,,"SUB IN by VEASLEY,LARRY",1
07:26,"SUB OUT by STOKES,PATRICK",,,,,,,"SUB OUT by STOKES,PATRICK",1
07:26,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
07:26,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
07:06,"MISS JUMPER by THOMPSON,SHUNN",,,,,,,"MISS JUMPER by THOMPSON,SHUNN",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
06:46,,18,,27 (+9),"GOOD LAYUP by WATSON,SHANE(in the paint)",RCMBB12 18-27 (+9),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
06:26,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,"REBOUND OFF by CLARK,JUSTYCZE",,,,,,,"REBOUND OFF by CLARK,JUSTYCZE",1
06:12,,,,,"MISS LAYUP by CHIEN,KEVIN",,,"MISS LAYUP by CHIEN,KEVIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:06,"FOUL  by BIRKS,ANDREW",,,,,,,"FOUL  by BIRKS,ANDREW",1
06:06,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by WILSON,MARKEITH",,,,,,,"REBOUND DEF by WILSON,MARKEITH",1
06:06,"GOOD LAYUP by CLARK,JUSTYCZE(in the paint)",20,,27 (+7),,RCB 20-27 (+7),,"GOOD LAYUP by CLARK,JUSTYCZE(in the paint)",1
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",1
06:06,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
06:06,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
06:04,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
06:04,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
06:04,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",1
06:04,,,,,"SUB IN by PHILLIPS,JEREMY",,,"SUB IN by PHILLIPS,JEREMY",1
06:04,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
06:04,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
06:04,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
06:04,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
05:58,,20,,30 (+10),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB12 20-30 (+10),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
05:43,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
05:43,"GOOD JUMPER by VEASLEY,LARRY",22,,30 (+8),,RCB 22-30 (+8),,"GOOD JUMPER by VEASLEY,LARRY",1
05:43,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",1
05:43,,,,,"SUB OUT by DAVIS,MAX",,,"SUB OUT by DAVIS,MAX",1
05:30,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by WILSON,MARKEITH",,,,,,,"REBOUND DEF by WILSON,MARKEITH",1
05:14,"MISS LAYUP by STOKES,PATRICK",,,,,,,"MISS LAYUP by STOKES,PATRICK",1
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",1
05:09,"FOUL  by VEASLEY,LARRY",,,,,,,"FOUL  by VEASLEY,LARRY",1
05:09,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
05:09,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
05:09,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
05:09,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
05:09,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",1
05:09,,,,,"SUB OUT by PHILLIPS,JEREMY",,,"SUB OUT by PHILLIPS,JEREMY",1
04:54,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
04:35,"TURNOVER  by MONTGOMERY,WILLIAM",,,,,,,"TURNOVER  by MONTGOMERY,WILLIAM",1
04:31,,,,,"STEAL  by WATSON,SHANE",,,"STEAL  by WATSON,SHANE",1
04:19,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by WILSON,MARKEITH",,,,,,,"REBOUND DEF by WILSON,MARKEITH",1
04:08,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",24,,30 (+6),,RCB 24-30 (+6),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
03:53,"FOUL  by WILSON,MARKEITH",,,,,,,"FOUL  by WILSON,MARKEITH",1
03:53,,24,,31 (+7),"GOOD FT by GALOW,ANDREW",RCMBB12 24-31 (+7),,"GOOD FT by GALOW,ANDREW",1
03:53,,24,,32 (+8),"GOOD FT by GALOW,ANDREW",RCMBB12 24-32 (+8),,"GOOD FT by GALOW,ANDREW",1
03:53,"SUB IN by WILSON,MARKEITH",,,,,,,"SUB IN by WILSON,MARKEITH",1
03:53,"SUB IN by STOKES,PATRICK",,,,,,,"SUB IN by STOKES,PATRICK",1
03:53,"SUB IN by MONTGOMERY,WILLIAM",,,,,,,"SUB IN by MONTGOMERY,WILLIAM",1
03:53,"SUB OUT by THOMPSON,SHUNN",,,,,,,"SUB OUT by THOMPSON,SHUNN",1
03:53,"SUB OUT by CLARK,JUSTYCZE",,,,,,,"SUB OUT by CLARK,JUSTYCZE",1
03:53,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",1
03:38,"TURNOVER  by STOKES,PATRICK",,,,,,,"TURNOVER  by STOKES,PATRICK",1
03:37,,,,,"STEAL  by KILPATRICK,KORY",,,"STEAL  by KILPATRICK,KORY",1
03:29,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",,,"REBOUND OFF by GALLAGHER,MICHAEL",1
03:09,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",1
--,"REBOUND DEF by MCPHERSON,FABIAN",,,,,,,"REBOUND DEF by MCPHERSON,FABIAN",1
03:03,"MISS LAYUP by MCPHERSON,FABIAN",,,,,,,"MISS LAYUP by MCPHERSON,FABIAN",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
02:58,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",26,,32 (+6),,RCB 26-32 (+6),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
02:58,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
02:58,"MISS FT by VEASLEY,LARRY",,,,,,,"MISS FT by VEASLEY,LARRY",1
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",1
02:58,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",1
02:58,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
02:48,,26,,35 (+9),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 26-35 (+9),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
02:21,"MISS JUMPER by VEASLEY,LARRY",,,,,,,"MISS JUMPER by VEASLEY,LARRY",1
--,"REBOUND OFF by WILSON,MARKEITH",,,,,,,"REBOUND OFF by WILSON,MARKEITH",1
02:15,"TURNOVER  by STOKES,PATRICK",,,,,,,"TURNOVER  by STOKES,PATRICK",1
02:15,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
02:15,"MISS LAYUP by MCPHERSON,FABIAN",,,,,,,"MISS LAYUP by MCPHERSON,FABIAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
02:15,"SUB IN by CLARK,JUSTYCZE",,,,,,,"SUB IN by CLARK,JUSTYCZE",1
02:15,"SUB IN by THOMPSON,SHUNN",,,,,,,"SUB IN by THOMPSON,SHUNN",1
02:08,"FOUL  by MONTGOMERY,WILLIAM",,,,,,,"FOUL  by MONTGOMERY,WILLIAM",1
02:00,"SUB OUT by STOKES,PATRICK",,,,,,,"SUB OUT by STOKES,PATRICK",1
01:51,,26,,38 (+12),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 26-38 (+12),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by WATSON,SHANE",,,"ASSIST  by WATSON,SHANE",1
00:00,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",1
00:00,"SUB OUT by CLARK,JUSTYCZE",,,,,,,"SUB OUT by CLARK,JUSTYCZE",1
00:00,"SUB OUT by THOMPSON,SHUNN",,,,,,,"SUB OUT by THOMPSON,SHUNN",1
00:00,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
00:00,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
00:00,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
00:00,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
00:00,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
00:00,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",1
19:51,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
19:42,"FOUL  by VEASLEY,LARRY",,,,,,,"FOUL  by VEASLEY,LARRY",2
19:42,,26,,39 (+13),"GOOD FT by KILPATRICK,KORY",RCMBB12 26-39 (+13),,"GOOD FT by KILPATRICK,KORY",2
19:42,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",2
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",2
19:31,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",28,,39 (+11),,RCB 28-39 (+11),,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",2
19:13,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",2
19:04,"FOUL  by MCPHERSON,FABIAN",,,,,,,"FOUL  by MCPHERSON,FABIAN",2
18:41,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",2
18:34,"TURNOVER  by WILSON,MARKEITH",,,,,,,"TURNOVER  by WILSON,MARKEITH",2
18:32,,,,,"STEAL  by KILPATRICK,KORY",,,"STEAL  by KILPATRICK,KORY",2
18:23,,28,,41 (+13),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 28-41 (+13),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",2
18:13,"GOOD JUMPER by VEASLEY,LARRY",30,,41 (+11),,RCB 30-41 (+11),,"GOOD JUMPER by VEASLEY,LARRY",2
17:59,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",2
17:56,"STEAL  by MCPHERSON,FABIAN",,,,,,,"STEAL  by MCPHERSON,FABIAN",2
17:53,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:53,"MISS FT by SEALS,JORDAN",,,,,,,"MISS FT by SEALS,JORDAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:53,"GOOD FT by SEALS,JORDAN",31,,41 (+10),,RCB 31-41 (+10),,"GOOD FT by SEALS,JORDAN",2
17:53,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
17:53,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
17:40,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",2
17:26,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:26,"MISS JUMPER by MONTGOMERY,WILLIAM",,,,,,,"MISS JUMPER by MONTGOMERY,WILLIAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:26,"SUB IN by STOKES,PATRICK",,,,,,,"SUB IN by STOKES,PATRICK",2
17:26,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",2
17:24,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
17:24,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
17:09,"FOUL  by VEASLEY,LARRY",,,,,,,"FOUL  by VEASLEY,LARRY",2
17:09,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
